name,source,term,party
Christopher Howard Bateson,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Christopher Howard Bateson,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2011,None
Christopher Howard Bateson,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2013,None
Christopher Robert Nightingale,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Christopher Robert Nightingale,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2011,None
Christopher Robert Nightingale,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2013,None
Christopher Robert Nightingale,"https://en.wikipedia.org/wiki/Sark_general_election,_2014",2015,None
Colin Golds,"https://en.wikipedia.org/wiki/Sark_general_election,_2014",2015,None
David Pollard,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
David Pollard,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2011,None
David Thomas Cocksedge,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
David Thomas Cocksedge,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2011,None
David Thomas Cocksedge,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2013,None
David Woods Melling,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
David Woods Melling,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2011,None
David Woods Melling,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2013,None
Diane Baker,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Diane Baker,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2011,None
Diane Baker,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2013,None
Diane Baker,"https://en.wikipedia.org/wiki/Sark_general_election,_2014",2015,None
Edric Baker,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Edric Baker,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2011,None
Edric Baker,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2013,None
Edric Baker,"https://en.wikipedia.org/wiki/Sark_general_election,_2014",2015,None
Elizabeth Mary Dewe,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Elizabeth Mary Dewe,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2011,None
Elizabeth Mary Dewe,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2013,None
Elizabeth Mary Dewe,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2015,None
Elizabeth Norwich,"https://en.wikipedia.org/wiki/Sark_general_election,_2014",2015,None
Elsie Courtney,"https://en.wikipedia.org/wiki/Sark_general_election,_2014",2015,None
Hazel Fry,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2013,None
Hazel Fry,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2015,None
Helen Clair Magell,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Helen Clair Magell,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2011,None
Helen Mildred Plummer,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Helen Mildred Plummer,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2011,None
Helen Mildred Plummer,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2013,None
Helen Mildred Plummer,"https://en.wikipedia.org/wiki/Sark_general_election,_2014",2015,None
Janet Mary Guy,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Janet Mary Guy,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2011,None
Janet Mary Guy,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2013,None
John Edward Hunt,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
John Edward Hunt,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2011,None
John Edward Hunt,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2013,None
Karen Adams,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2013,None
Karen Adams,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2015,None
Margaret Mallinson,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2013,None
Margaret Mallinson,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2015,None
Michael Mann,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2013,None
Michael Mann,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2015,None
Michelle Andrée Perrée,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Michelle Andrée Perrée,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2011,None
Michelle Andrée Perrée,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2013,None
Nicolas Moloney,"https://en.wikipedia.org/wiki/Sark_general_election,_2014",2015,None
Paul Burgess,"https://en.wikipedia.org/wiki/Sark_general_election,_2014",2015,None
Paul Martin Armorgie,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Paul Martin Armorgie,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2011,None
Paul Williams,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Paul Williams,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2011,None
Paul Williams,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2013,None
Paul Williams,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2015,None
Peter Byrne,"https://en.wikipedia.org/wiki/Sark_general_election,_2014",2015,None
Peter John Cole,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Richard James Dewe,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Richard James Dewe,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2013,None
Richard James Dewe,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2015,None
Robert Cottle,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2013,None
Robert Cottle,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2015,None
Roger Norwich,"https://en.wikipedia.org/wiki/Sark_general_election,_2014",2015,None
Rosanne Byrne,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2013,None
Rosanne Byrne,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2015,None
Rossford John de Carteret,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Rossford John de Carteret,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2011,None
Sandra Williams,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Sandra Williams,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2011,None
Sandra Williams,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2013,None
Sandra Williams,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2015,None
Stefan Bernd Gomoll,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Stefan Bernd Gomoll,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2011,None
Stefan Bernd Gomoll,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2013,None
Stephen Laurence Henry,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Stephen Laurence Henry,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2011,None
Stephen Taylor,"https://en.wikipedia.org/wiki/Sark_general_election,_2014",2015,None
William Raymond,"https://en.wikipedia.org/wiki/Sark_general_election,_2014",2015,None
