name,suplente,area,party,image,term,source
H.D. JAIME PEDROL GUERRA,"Bejerano Bejerano, Nicolás",12-2,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/,2014,http://www.asamblea.gob.pa/diputados/
H.D. ALFREDO VICTOR PEREZ DIA,"Ayola Thompson, Juan José",8-4,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/xHD_ALFREDO_PEREZ_PWC.jpg.pagespeed.ic.0ee7yPOaIL.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. IVAN PICOTA BENITEZ,"Forero Gómez, Edgardo Alfonso",8-7,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/xHD_IVAN_PICOTA_PWC.jpg.pagespeed.ic.IKVf3DTtry.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. RAUL GILBERTO PINEDA VERGARA,"Plata Hernández, Enrique Abdiel",8-6,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/xHD_RAUL_PINEDA_PWC.jpg.pagespeed.ic.hyiwVng2dC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. JUAN MANUEL POVEDA GUEVARA,"Martínez Guevara, Ernesto",9-4,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/xHD_JUAN_M_POVEDA_PWC.jpg.pagespeed.ic._yOQpFaAe6.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. CRESCENCIA PRADO GARCIA,"Guerra Santos, Víctor",12-3,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/xHD_CRESCENCIA_PRADO_PWC.jpg.pagespeed.ic.ANBChA8_wi.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. LUIS EDUARDO QUIROS,"Broce Urriola, Edison Augusto",8-8,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/xHD_LUIS_E_QUIROS_PWC.jpg.pagespeed.ic.SLuMsDqYq5.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. SALVADOR REAL CHEN,"Rosales Guainora, Naiper",5-2,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/xH.D_SALVADOR_REAL_PWC.jpg.pagespeed.ic.247GMRoae9.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. JUAN MIGUEL RIOS GONZALEZ,"Vega Tello, Luis Alberto",6-3,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/xHD_JUAN_MIGUEL_RIOS_PWC.jpg.pagespeed.ic.YxkBEVF_So.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. BENICIO E. ROBINSON G,"Quintero Miranda, Mónica",1-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/xHD_BENICIO_ROBINSON_PWC.jpg.pagespeed.ic.x2_etwiLiZ.jpg,2014,http://www.asamblea.gob.pa/diputados/
