id,name,constituency,party,party_id,term,start_date,start_reason,source,end_date
e69fa4cd-9328-4749-ab72-6f6f9078062f,Avgenakis Eleftherios,Iraklio,N.D. (New Democracy),nd,15,2012-06-17,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=e69fa4cd-9328-4749-ab72-6f6f9078062f,
e69fa4cd-9328-4749-ab72-6f6f9078062f,Avgenakis Eleftherios,Iraklio,N.D. (New Democracy),nd,16,2015-01-25,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=e69fa4cd-9328-4749-ab72-6f6f9078062f,
6dc1b61e-a420-4093-a12c-709751fc27d2,Avgerinidis Nikolaos,Kilkis,N.D. (New Democracy),nd,5,1989-06-18,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=6dc1b61e-a420-4093-a12c-709751fc27d2,
6dc1b61e-a420-4093-a12c-709751fc27d2,Avgerinidis Nikolaos,Kilkis,N.D. (New Democracy),nd,7,1990-04-08,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=6dc1b61e-a420-4093-a12c-709751fc27d2,
f4625b5a-b4af-41cd-8d92-a042827dbc7f,Avgerinopoulou Dionysia - Theodora,State,N.D. (New Democracy),nd,13,2009-10-04,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=f4625b5a-b4af-41cd-8d92-a042827dbc7f,
f4625b5a-b4af-41cd-8d92-a042827dbc7f,Avgerinopoulou Dionysia - Theodora,Ileia,N.D. (New Democracy),nd,14,2012-05-06,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=f4625b5a-b4af-41cd-8d92-a042827dbc7f,
f4625b5a-b4af-41cd-8d92-a042827dbc7f,Avgerinopoulou Dionysia - Theodora,Ileia,N.D. (New Democracy),nd,15,2012-06-17,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=f4625b5a-b4af-41cd-8d92-a042827dbc7f,
f1f9c68a-1c77-4805-872b-6ae02018e1cb,Avgerinos Paraskevas,State,PA.SO.K. (Panhellenic Socialist Movement),pasok,10,2000-04-09,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=f1f9c68a-1c77-4805-872b-6ae02018e1cb,
4d7306d4-b301-43df-bd2d-2ffbd22c5327,Avlonitou Eleni,Athens B,SYRIZA (Coalition of the Radical Left),syriza,15,2014-03-27,Aντικατέστησε: Dourou Eirini (Rena) (Λόγω:Resignation from Parliamentary Office),http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=4d7306d4-b301-43df-bd2d-2ffbd22c5327,
4d7306d4-b301-43df-bd2d-2ffbd22c5327,Avlonitou Eleni,Athens B,SYRIZA (Coalition of the Radical Left),syriza,16,2015-01-25,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=4d7306d4-b301-43df-bd2d-2ffbd22c5327,
