name,party,party_id,term,source,image
Dr.Amir Ibrahim B. Rajab,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Amr+Ibrahim+B.+Rajab,http://www.shura.gov.sa/img/ar/cv/Img199.jpg
Assaf bin Salim bin Faisal Abu Thnain,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Assaf+bin+Salim+bin+Faisal+Abu+Thnain,""
Dr.Attallah Bin Ahmad Abu Hassan,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Attallah+Bin+Muslim+Abu+Hassan,http://www.shura.gov.sa/img/ar/cv/atallah_abuhassan.jpg
Atta bin Hamoud bin Atta Al-Subeiti,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Atta+bin+Hamoud+bin+Atta+Al-Subeiti,""
Dr.Awad bin Khzeim bin Ali Al Suroor Al-Asmari,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Awad+bin+Khzeim+bin+Ali+Al+Suroor+Al-Asmari,""
Dr.Azebi Saeed Al-Mesbile,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Azzebi+Saeed+Aal-Musbil,http://www.shura.gov.sa/img/ar/cv/Img169.jpg
Dr.Dalal bint Mekhled bin Jahez Al-Harbi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Dalal+bint+Mekhled+bin+Jahez+Al-Harbi,""
Dr.Khalil bin Abdulfattah bin Khalil Kurdi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Khalil+bin+Abdulfattah+bin+Khalil+Kurdi,""
Dr.Elham bint Mahjoub bin Ahmed Hasanain,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Elham+bint+Mahjoub+bin+Ahmed+Hasanain,""
Dr.Fadwa bint Salamah bin Odeh Abu Marifah,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Fadwa+bint+Salamah+bin+Odeh+Abu+Marifah,""
Dr. Fahd Bin Saleh Al-Enezy,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Fahd+Bin+Saleh+Al-Enezy,""
Dr. Faleh Bin Mohammed Al-Sugai’yer,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Faleh+Bin+Faleh+Al-Sagheer,http://www.shura.gov.sa/img/ar/cv/faleh_alsgyer.jpg
Dr.Fardous bint Saud bin Mohammed Al-Saleh,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Fardous+bint+Saud+bin+Mohammed+Al-Saleh,""
Dr. Fatima bint Mohammed bin Mohsen Al-Saeed Al-Qarni,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.%20Fatima+bint+Mohammed+bin+Mohsen+Al-Saeed+Al-Qarni,""
Dr.Fayez bin Abdullah bin Ali Al-Shihri,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/shuraen/internet/cv,
Dr.Ghazi bin Faisal bin Saeed Mohammed bin Zagr,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Ghazi+bin+Faisal+bin+Saeed+Mohammed+bin+Zagr,""
maj.Gen.Staff Pilot.Hamad bin Abdulrahman bin Abdullah Al-Husoon,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/maj.Gen.Staff%20Pilot.Hamad+bin+Abdulrahman+bin+Abdullah+Al-Husoon,""
Dr.Hamad bin Ayedh bin Mohammed bin Hamad Al-Fahhad,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Hamad+bin+Ayedh+bin+Mohammed+bin+Hamad+Al-Fahhad,""
Dr.Hamdah bint Khalaf bin Miqbel Al-Enzy,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Hamdah+bint+Khalaf+bin+Miqbel+Al-Enzy,""
Dr. Hamed Dhafi Al-Sharary,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Hamed+Al-Wardah+Al-Sharari,http://www.shura.gov.sa/img/ar/cv/hamid_alsharary.jpg
Dr.Hamza bin Hussein bin Hamza Al-Shareef,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Hamza+bin+Hussein+bin+Hamza+Al-Shareef,""
Dr.Hanan bint Abdulraheem bin Mutlaq Al-Ahmadi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Hanan+bint+Abdulraheem+bin+Mutlaq+Al-Ahmadi,""
Dr.Hani bin Yusuf bin Ibrahim Khashogji,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Hani+bin+Yusuf+bin+Ibrahim+Khashogji,""
Hashim bin Ali bin Hamzah Al-Rajeh,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Hashim+bin+Ali+bin+Hamzah+Al-Rajeh,""
Dr. Hatem Bin Hassan Al-Marzouki,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Hatem+Bin+Hamza+Al-Marzooki,http://www.shura.gov.sa/img/ar/cv/hatem_almarzooki.jpg
Dr.Hayat bint Sulaiman bin Hasan Sindi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Hayat+bint+Sulaiman+bin+Hasan+Sindi,""
Dr.Hia bint Abdulaziz bin Nasser Al-Manea,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Hia+bint+Abdulaziz+bin+Nasser+Al-Manea,""
Huda bint Abdulrahman bin Saleh Al-Halisi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Huda+bint+Abdulrahman+bin+Saleh+Al-Halisi,""
Dr. Hussam bin Abdulmohsen bin Abdulaziz Al-Anqari,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.%20Hussam+bin+Abdulmohsen+bin+Abdulaziz+Al-Anqari,""
Dr.Ibrahim bin Abdullah in Mohammed Albrahim,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Ibrahim+A.+Al-Ibrahim,http://www.shura.gov.sa/img/ar/cv/Img133.jpg
Ibrahim bin Abdulrahman bin Sulaiman Al-Bilaihi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Ibrahim+A.+AL-Blaihi,http://www.shura.gov.sa/img/ar/cv/Img131.jpg
Dr.Ibrhaim bin Mohammed bin Abdullah Abu Abat,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Ibrhaim+bin+Mohammed+bin+Abdullah+Abu+Abat,""
Dr.Issa Abdullah bin Abdulrahman Al-Ghaith,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Issa+Abdullah+bin+Abdulrahman+Al-Ghaith%20,""
Dr. Gebreel Bin Hasan Mohammad Al-Areeshi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Jibril+Bin+Hassan+Mohammad+Al-Arishi,http://www.shura.gov.sa/img/ar/cv/jibril_alqurashy.jpg
Jubran bin Hamid bin Ali Dubraha Al-Qahtani,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Jubran+bin+Hamid+bin+Ali+Dubraha+Al-Qahtani,""
Dr. Khedir O. Al-Qurashi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Kheder+A.+Al-Korashi,http://www.shura.gov.sa/img/ar/cv/Img149.jpg
Dr.Khalid Bin Abdullah Al-Meshari Al Saud,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Khaled+Bin+Muqrin+Al-Mishari+Al-Saud,http://www.shura.gov.sa/img/ar/cv/khaled_alsaud.jpg
Dr.Khalid bin Abdulmohsen bin Mohammed Al-Mehaisen,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Khalid+bin+Abdulmohsen+bin+Mohammed+Al-Mehaisen,""
Dr.Khalid Bin Ibrahime Alawad,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Khalid+Al-Awad,http://www.shura.gov.sa/img/ar/cv/Img145.jpg
Dr.Khalid bin Mansour bin Nasser Al-Aqeel,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Khalid+bin+Mansour+bin+Nasser+Al-Aqeel,http://www.shura.gov.sa/img/ar/cv/khaled_aqeel.jpg
Dr.Khalid bin Mohammed bin Ali Al-Saif,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Khalid+bin+Mohammed+bin+Ali+Al-Saif,""
Dr.Khalid bin Saad bin Abdulaziz bin Saeed,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Khalid+bin+Saad+bin+Abdulaziz+bin+Saeed,""
