name,party,term,area,area_id,source
"BAIRD, Edison",Anguilla Democratic Party,1994,5,Road North,http://www.caribbeanelections.com/ai/election2015/districts/district05.asp
"BAIRD, Edison",Anguilla Democratic Party,1999,5,Road North,http://www.caribbeanelections.com/ai/election2015/districts/district05.asp
"BAIRD, Edison",Independent,2000,5,Road North,http://www.caribbeanelections.com/ai/election2015/districts/district05.asp
"BAIRD, Edison",Anguilla Strategic Alliance,2005,5,Road North,http://www.caribbeanelections.com/ai/election2015/districts/district05.asp
"BAIRD, Edison",Anguilla United Movement,2010,5,Road North,http://www.caribbeanelections.com/ai/election2015/districts/district05.asp
"BRADLEY, Evalie",Anguilla United Front,2015,5,Road North,http://www.caribbeanelections.com/ai/election2015/districts/district05.asp
"HUGHES, Hubert Benjamin",Anguilla United Party,1989,6,Road South,http://www.caribbeanelections.com/ai/election2015/districts/district06.asp
"HUGHES, Hubert Benjamin",Anguilla United Party,1994,6,Road South,http://www.caribbeanelections.com/ai/election2015/districts/district06.asp
"HUGHES, Hubert Benjamin",Anguilla United Party,1999,6,Road South,http://www.caribbeanelections.com/ai/election2015/districts/district06.asp
"HUGHES, Hubert Benjamin",Anguilla United Movement,2000,6,Road South,http://www.caribbeanelections.com/ai/election2015/districts/district06.asp
"HUGHES, Hubert Benjamin",Anguilla United Movement,2005,6,Road South,http://www.caribbeanelections.com/ai/election2015/districts/district06.asp
"HUGHES, Hubert Benjamin",Anguilla United Movement,2010,6,Road South,http://www.caribbeanelections.com/ai/election2015/districts/district06.asp
"RICHARDSON, Curtis A.",Anguilla United Front,2015,6,Road South,http://www.caribbeanelections.com/ai/election2015/districts/district06.asp
"HUGHES, Albert E.",Anguilla United Party,1989,7,West End,http://www.caribbeanelections.com/ai/election2015/districts/district07.asp
"HUGHES, Albert E.",Anguilla United Party,1994,7,West End,http://www.caribbeanelections.com/ai/election2015/districts/district07.asp
"HUGHES, Albert E.",Anguilla United Party,1999,7,West End,http://www.caribbeanelections.com/ai/election2015/districts/district07.asp
"HUGHES, Albert E.",Anguilla United Movement,2000,7,West End,http://www.caribbeanelections.com/ai/election2015/districts/district07.asp
"HUGHES, Albert E.",Anguilla Strategic Alliance,2005,7,West End,http://www.caribbeanelections.com/ai/election2015/districts/district07.asp
"RICHARDSON, Walcott",Anguilla United Movement,2010,7,West End,http://www.caribbeanelections.com/ai/election2015/districts/district07.asp
"CONNOR, Cardigan",Anguilla United Front,2015,7,West End,http://www.caribbeanelections.com/ai/election2015/districts/district07.asp
