name,wikiname,party,party_wikiname,area,term,source
Pin Ratana,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Battambang Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Heng Samrin,Heng Samrin,Cambodian People's Party,Cambodian People's Party,Kampong Cham Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Hor Namhong,Hor Namhong,Cambodian People's Party,Cambodian People's Party,Kampong Cham Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Hun Neng,"",Cambodian People's Party,Cambodian People's Party,Kampong Cham Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Khieu Kanharith,Khieu Kanharith,Cambodian People's Party,Cambodian People's Party,Kampong Cham Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Chea Sophara,"",Cambodian People's Party,Cambodian People's Party,Kampong Cham Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Im Sethy,"",Cambodian People's Party,Cambodian People's Party,Kampong Cham Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Vong Soth,"",Cambodian People's Party,Cambodian People's Party,Kampong Cham Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Min Khin,"",Cambodian People's Party,Cambodian People's Party,Kampong Cham Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Kem Sokha,Kem Sokha,Cambodia National Rescue Party,Cambodia National Rescue Party,Kampong Cham Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Kuoy Bunroeun,Kuoy Bunroeun,Cambodia National Rescue Party,Cambodia National Rescue Party,Kampong Cham Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Mao Monivann,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kampong Cham Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Van Narith,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kampong Cham Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Tuon Yuda,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kampong Cham Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Kimsuor Pheairth,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kampong Cham Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Ouch Sereyvuth,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kampong Cham Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Nhoy Chamroeun,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kampong Cham Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Chiv Kata,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kampong Cham Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Kang Kim Hak,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kampong Cham Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Kong Sam Ol,Kong Sam Ol,Cambodian People's Party,Cambodian People's Party,Kampong Chhnang Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Ouk Rabun,Ouk Rabun,Cambodian People's Party,Cambodian People's Party,Kampong Chhnang Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Ky Vandara,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kampong Chhnang Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Ngo Kimcheang,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kampong Chhnang Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Say Chhum,Say Chhum,Cambodian People's Party,Cambodian People's Party,Kampong Speu Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Chhay Than,"",Cambodian People's Party,Cambodian People's Party,Kampong Speu Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Korng Heang,"",Cambodian People's Party,Cambodian People's Party,Kampong Speu Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Pen Sovan,Pen Sovan,Cambodia National Rescue Party,Cambodia National Rescue Party,Kampong Speu Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Nuth Rumduol,Nuth Rumduol,Cambodia National Rescue Party,Cambodia National Rescue Party,Kampong Speu Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Sok Oumsea,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kampong Speu Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Nguon Nhel,Nguon Nhel,Cambodian People's Party,Cambodian People's Party,Kampong Thom Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Thong Khon,Thong Khon,Cambodian People's Party,Cambodian People's Party,Kampong Thom Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Khem Thavy,"",Cambodian People's Party,Cambodian People's Party,Kampong Thom Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Pen Sothavarin,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kampong Thom Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Cheam Channy,Cheam Channy,Cambodia National Rescue Party,Cambodia National Rescue Party,Kampong Thom Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Lim Kimya,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kampong Thom Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Nay Pena,"",Cambodian People's Party,Cambodian People's Party,Kampot Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Pen Simon,"",Cambodian People's Party,Cambodian People's Party,Kampot Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Chay Saing Yun,Chay Saing Yun,Cambodian People's Party,Cambodian People's Party,Kampot Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Chea Poch,Chea Poch,Cambodia National Rescue Party,Cambodia National Rescue Party,Kampot Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Lim Bunsidareth,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kampot Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Dang Chamroeun,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kampot Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Hun Sen,Hun Sen,Cambodian People's Party,Cambodian People's Party,Kandal Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Khuon Sodary,Khuon Sodary,Cambodian People's Party,Cambodian People's Party,Kandal Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Mum Chim Huy,"",Cambodian People's Party,Cambodian People's Party,Kandal Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Ho Non,Ho Non,Cambodian People's Party,Cambodian People's Party,Kandal Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Lim Kean Hor,"",Cambodian People's Party,Cambodian People's Party,Kandal Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Eng Chhai Eang,Eng Chhai Eang,Cambodia National Rescue Party,Cambodia National Rescue Party,Kandal Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Ou Chanrith,Ou Chanrith,Cambodia National Rescue Party,Cambodia National Rescue Party,Kandal Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Chan Cheng,Chan Cheng,Cambodia National Rescue Party,Cambodia National Rescue Party,Kandal Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
To Vanchan,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kandal Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Pot Pouv,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kandal Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Te Chanmony,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kandal Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Ay Khorn,"",Cambodian People's Party,Cambodian People's Party,Koh Kong Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Im Chhun Lim,Im Chhun Lim,Cambodian People's Party,Cambodian People's Party,Kratie Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Troeung Thavy,"",Cambodian People's Party,Cambodian People's Party,Kratie Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Keo Phyrum,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Kratie Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Chan Yoeun,"",Cambodian People's Party,Cambodian People's Party,Mondulkiri Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Chea Sim,Chea Sim,Cambodian People's Party,Cambodian People's Party,Phnom Penh Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Keat Chhon,Keat Chhon,Cambodian People's Party,Cambodian People's Party,Phnom Penh Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Kep Chuktema,Kep Chuktema,Cambodian People's Party,Cambodian People's Party,Phnom Penh Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Ith Sam Heng,"",Cambodian People's Party,Cambodian People's Party,Phnom Penh Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Mam Bunheng,"",Cambodian People's Party,Cambodian People's Party,Phnom Penh Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Tioulong Saumura,Tioulong Saumura,Cambodia National Rescue Party,Cambodia National Rescue Party,Phnom Penh Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Yim Sovann,Yim Sovann,Cambodia National Rescue Party,Cambodia National Rescue Party,Phnom Penh Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Son Chhay,Son Chhay,Cambodia National Rescue Party,Cambodia National Rescue Party,Phnom Penh Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Ho Vann,Ho Vann,Cambodia National Rescue Party,Cambodia National Rescue Party,Phnom Penh Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Keo Sambath,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Phnom Penh Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Ly Srey Vina,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Phnom Penh Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Dam Sith,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Phnom Penh Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Suos Yara,"",Cambodian People's Party,Cambodian People's Party,Preah Vihear Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Bin Chhin,"",Cambodian People's Party,Cambodian People's Party,Prey Veng Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Cheam Yeap,"",Cambodian People's Party,Cambodian People's Party,Prey Veng Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Pen Panha,Pen Panha,Cambodian People's Party,Cambodian People's Party,Prey Veng Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Prum Sokha,"",Cambodian People's Party,Cambodian People's Party,Prey Veng Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Nhem Vanda,"",Cambodian People's Party,Cambodian People's Party,Prey Veng Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Yem Ponnarith,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Prey Veng Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Heng Danaro,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Prey Veng Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Kong Bora,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Prey Veng Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Tout Khoeut,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Prey Veng Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Lat Litey,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Prey Veng Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Long Buny,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Prey Veng Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Suy Sem,Suy Sem,Cambodian People's Party,Cambodian People's Party,Pursat Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Keo Ratanak,"",Cambodian People's Party,Cambodian People's Party,Pursat Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Tan Kim Vin,"",Cambodian People's Party,Cambodian People's Party,Pursat Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Ngim Yeng,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Pursat Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Bou Lam,"",Cambodian People's Party,Cambodian People's Party,Ratanakiri Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Tia Banh,"",Cambodian People's Party,Cambodian People's Party,Siem Reap Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Seang Nam,"",Cambodian People's Party,Cambodian People's Party,Siem Reap Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Chhim Ma,"",Cambodian People's Party,Cambodian People's Party,Siem Reap Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Peou Savoeun,"",Cambodian People's Party,Cambodian People's Party,Siem Reap Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Ke Sovannaroth,Ke Sovannaroth,Cambodia National Rescue Party,Cambodia National Rescue Party,Siem Reap Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Oum Sam An,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Siem Reap Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Chev Kimheng,"",Cambodian People's Party,Cambodian People's Party,Sihanouk Ville Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Loy Sophat,"",Cambodian People's Party,Cambodian People's Party,Steung Treng Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Men Sam An,Men Sam An,Cambodian People's Party,Cambodian People's Party,Svay Rieng Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Chhun Sarim,"",Cambodian People's Party,Cambodian People's Party,Svay Rieng Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Duong Vanna,Duong Vanna,Cambodian People's Party,Cambodian People's Party,Svay Rieng Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Real Khemrin,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Svay Rieng Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Kong Saphea,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Svay Rieng Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Sok An,Sok An,Cambodian People's Party,Cambodian People's Party,Takeo Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Nin Saphon,Nin Saphon,Cambodian People's Party,Cambodian People's Party,Takeo Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Mok Mareth,Mok Mareth,Cambodian People's Party,Cambodian People's Party,Takeo Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
So Khun,So Khun,Cambodian People's Party,Cambodian People's Party,Takeo Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Pol Horm,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Takeo Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Khy Vandeth,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Takeo Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Ou Chanroath,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Takeo Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Tep Sothy,Tep Sothy,Cambodia National Rescue Party,Cambodia National Rescue Party,Takeo Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Cham Prasidh,Cham Prasidh,Cambodian People's Party,Cambodian People's Party,Kep Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Ban Sreymom,"",Cambodian People's Party,Cambodian People's Party,Pailin Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Kum Kim,"",Cambodian People's Party,Cambodian People's Party,Oddar Meanchey Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
