name,wikiname,area,area_id,party,party_id,term,source
Aytən Mustafayeva,Aytən Mustafayeva,Nəsimi birinci seçki dairəsi,21,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Asim Mollazadə,Asim Mollazadə,Nəsimi ikinci seçki dairəsi,22,Azərbaycan Demokratik İslahatlar Partiyası,DİP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Ziyad Səmədzadə,Ziyad Səmədzadə,Nəsimi-Səbail seçki dairəsi,23,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Rövnəq Abdullayev,Rövnəq Abdullayev,Nizami birinci seçki dairəsi,24,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Sədaqət Vəliyeva,Sədaqət Vəliyeva,Nizami ikinci seçki dairəsi,25,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Fazil Mustafa,Fazil Mustafa,Sabunçu birinci seçki dairəsi,26,Böyük Quruluş Partiyası,BQP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Qalib Salahzadə,Qalib Salahzadə,Sabunçu ikinci seçki dairəsi,27,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Eldar Quliyev,Eldar Quliyev (millət vəkili),Sabunçu üçüncü seçki dairəsi,28,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Fuad Muradov,Fuad Muradov,Səbail seçki dairəsi,29,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Sevinc Fətəliyeva,Sevinc Fətəliyeva,Suraxanı birinci seçki dairəsi,30,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Fərəc Quliyev,Fərəc Quliyev,Suraxanı ikinci seçki dairəsi,31,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Ağacan Əbiyev,Ağacan Əbiyev,Suraxanı üçüncü seçki dairəsi,32,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Hüseynbala Mirələmov,Hüseynbala Mirələmov,Xətai birinci seçki dairəsi,33,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Gülər Əhmədova,Gülər Əhmədova,Xətai ikinci seçki dairəsi,34,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
İqbal Ağazadə,İqbal Ağazadə,Xətai üçüncü seçki dairəsi,35,Ümid Partiyası,ÜP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Səməd Seyidov,Səməd Seyidov,Xətai dördüncü seçki dairəsi,36,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Aydın Abbasov,Aydın Abbasov,Nizami birinci (Gəncə) seçki dairəsi,37,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Asəf Hacıyev,Asəf Hacıyev,Nizami ikinci (Gəncə) seçki dairəsi,38,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Xanlar Fətiyev,Xanlar Fətiyev,Kəpəz birinci (Gəncə) seçki dairəsi,39,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Musa Quliyev,Musa Urud,Kəpəz ikinci (Gəncə) seçki dairəsi,40,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Leyla Abdullayeva,Leyla Abdullayeva,Sumqayıt birinci seçki dairəsi,41,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Musa Qasımlı,Musa Qasımlı,Sumqayıt ikinci seçki dairəsi,42,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
