name,image,group,group_id,term,source
Dr. Neil Prakash Sharma,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/sharma.jpg.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Netani Rika,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/rika.jpg.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Alivereti Nabulivou,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/nabulivou.jpg.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Alvik Avhikrit Maharaj,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/maharaj.jpg.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Ashneel Sudhakar,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/sudhakar.jpg.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Ro Teimumu Vuikaba Kepa,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/kepa.jpg.aspx,Social Democratic Liberal Party,SODELPA,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Ratu Naiqama Lalabalavu,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/lalabalavu.jpg.aspx,Social Democratic Liberal Party,SODELPA,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Ratu Isoa Tikoca,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/tikoca.jpg.aspx,Social Democratic Liberal Party,SODELPA,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Niko Nawaikula,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/nawaikula-(1).jpg.aspx,Social Democratic Liberal Party,SODELPA,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Ratu Suliano Matanitobua,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/matanitobua.jpg.aspx,Social Democratic Liberal Party,SODELPA,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Mosese Drecala Bulitavo,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/bulitavu.jpg.aspx,Social Democratic Liberal Party,SODELPA,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Viliame Rogoibulu Gavoka,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/gavoka.jpg.aspx,Social Democratic Liberal Party,SODELPA,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Jiosefa Dulakiverata,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/dulakiverata.jpg.aspx,Social Democratic Liberal Party,SODELPA,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Aseri Masivou Radrodro,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/radrodro1.jpg.aspx,Social Democratic Liberal Party,SODELPA,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Ratu Kiniviliame Kiliraki,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/kiliraki.jpg.aspx,Social Democratic Liberal Party,SODELPA,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Anare Tuidraki Vadei,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/vadei.jpg.aspx,Social Democratic Liberal Party,SODELPA,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Semesa Druavesi Karavaki,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/karavaki.jpg.aspx,Social Democratic Liberal Party,SODELPA,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Salote Vuibureta Radrodro,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/radrodro.jpg.aspx,Social Democratic Liberal Party,SODELPA,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Ratu Sela Vuinakasa Nanovo,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/nanovo.jpg.aspx,Social Democratic Liberal Party,SODELPA,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Ratu Viliame Manakiwai Tagivetaua,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/tagivetaua.jpg.aspx,Social Democratic Liberal Party,SODELPA,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Dr. Biman Chand Prasad,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/prasad.jpg.aspx,National Federation Party,NFP,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Tupou T. S. Draunidalo,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/draunidalo.jpg.aspx,National Federation Party,NFP,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Prem Singh,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/singh-(1).jpg.aspx,National Federation Party,NFP,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
