name,constituency,term,party,source,id,phone,image
"Mewa, Hon. Commins Aston",Temotu Nende,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/861,861,+677 36720/36721,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Commins%20Aston%20Mewa.jpg
"Muala, Hon. Elijah Doro",South Choiseul,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/862,862,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Elijah%20Doro%20Muala.jpg
"Pacha, Hon. David Day",South Guadalcanal,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/863,863,+677 21552,http://www.parliament.gov.sb/memberfiles/memberpics/pacha.jpg
"Panakitasi, Hon. Dickson Mua",Savo-Russells,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/864,864,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Dickson%20Mua.jpg
"Parapolo, Hon. Bartholomew",Ngella,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/833,,,
"Philip, Hon. Danny",South New Georgia-Rendova-Tetepari,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/865,865,+677 38255/38256,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Danny%20Philip.jpg
"Qora, Hon. Lionel Alex",South Vella Lavella,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/866,866,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Lionel%20Alex.jpg
"Rini, Hon. Snyder",Marovo,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/849,849,+677 22556/22557/22558,http://www.parliament.gov.sb/memberfiles%5Cmemberpics%5Crini.jpg
"Sadakabatu, Hon. Connelly Mathew",North-West Choiseul,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/867,867,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Connelly%20Sandakabatu.jpg
"Sigoto, Hon. Charles",Rannonga-Simbo,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/871,871,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Charles%20Sigoto.jpg
"Sikua, Hon. Dr. Derek",North-East Guadalcanal,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/872,872,+677 28803,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Dr.%20Derek%20Sikua.JPG
"Sofu, Hon. Stanley Festus",East Kwaio,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/873,873,+677 21141/23430,http://www.parliament.gov.sb/memberfiles/memberpics/sofu.jpg
"Sogavare, Hon. Manasseh Damukana",East Choiseul,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/846,846,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Manasseh%20Sogavare.JPG
"Soriacomua, Hon. Freda A.B. Tuki",Temotu Vatud,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/833,,,
"Tanangada, Hon. Jimson Fiau",Gizo-Kolombangara,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/833,,,
"Tausinga, Hon. Silas Kerry Vaqara",West New Georgia-Vona Vona,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/874,874,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Silas%20Tausinga.JPG
"Togamana, Hon. Dr. Culwick",Maringe-Kokota,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/833,,,
"Tom, Hon. Peter",West Kwaio,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/875,875,+677 28520,http://www.parliament.gov.sb/memberfiles/memberpics/tom.jpg
"Tome, Hon. David Wanesiofa",Baegu/Asifola,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/876,876,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics%5CHon.%20David%20Tome.jpg
