name,group,term,source
C/laahi Maxamed Ciise,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
C/raxman Xoosh Jibriil,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
C/waxid Cabdullahi Jama,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Cabdi Cabdulaahi Maxamed,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Dahir Haji Gelle Farah,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Da'ud Abdikarim Sh. Omar,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Dr. Abdulkadir Abdi Hashi,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Hamza Sh. Husen,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Hassan Abshir Farah,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Isse Mohamed Ahmed,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Mahdi Ali Osman,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamud Axmed Maxamud,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed C/lahi Xasan,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed Iidle Geedi,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Mohamed Abdi Yusuf,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Mohamed Ahmed Kulan,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Mohamed Ismail Shuriye,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Mohamed Sh. Aden Hirale,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Mohamud Hayir Ibrahim,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Muse Ahmed Ismail,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Muse Hassan Abdulle,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Prof. Mohamed Abdi Mohamed,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Sacdiya Careys Ciise,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Saciid Abdulahi Mohamed,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Sadiiq Abdikariim Maxamed,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Sahra Jama Ali,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Siyaad Maxauud Shire,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Xuseen Khalif Jama,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Sado Ali Warsame,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Prof. Ali Khalif,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Aamino Cumar Jaamac,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Abdulaahi Hussein Ali,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Abdulaahi Cisman Ducaale,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Abdulahi Abyan Nuur,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Abdulahi Cumar Abshir Cumar,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Ahmed Dhimbil Roble,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Axmed Aadan Axmed,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Axmed Aadan C/raxman,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Busharo Cabdi Diriye4,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
C/lahi Cisman Ducale,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
C/lle Xaaji Cali Axmed,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
C/naasir Gaarane Mohamed,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
C/qaadir Sh. Cali Ibrahim,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
C/qafaar Mohamed Oomar,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
C/raxman Maxamud Caateye,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
C/risaaq Daahir Maxamud,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
C/xakiim Ciise Guuled,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Caashakoos Maxamuud Cumar,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Cabdalle Boss Axmed,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Cabdi Xaashi C/llahi,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Cabdirahman Ahmed Suge,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Cabdullahi Qayad Barre,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Cadar Abdi warsame Isaaq,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Cali Xasan Guyow,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Cisman Cilmi Boqare,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Dr Siciid Mohamed Ali,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Dr. Ibrahim Suleyman Xaaji Nuur,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Duniya Maxamed Cali,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Faaduma Xasan Cali,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Faduma Odowa Rageh,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Faysal Cumar Guuleed,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Gen Siciid Xasan Geedi,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Ismaciil Xassan Jaamac,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Jamaal Xasan Ismaaciil,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Khadar Biixi Caalin,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Khadra Ahmed Ibrahim,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Mahad Cabdalle Cawad,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Mahad Mohamed Ducaale,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed Axmed Gurxan,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed C/laahi Kaamil,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed Cabdi Xayir,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed Cali Xagaa,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed Xasan Aadan,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Prof Ahmed Ismail Samatar,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Ridwan Hirsi Mohamed,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Sahro C/qadir C/raxman,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Saynab Maxamed Caamir,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Xiis Hassan Aadan,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Xiis Muuse Cawl Cali,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Xuseen Arab Esse Xayd,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Xuseen Cabdisalaan,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Yusuf Dirir Abdi,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
Zakariye Xuseen Aare5,DIR,2012,http://www.parliament.somaligov.net/The%20Members.html
A/qadir Cosoble Ali,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
A/raxman Ibrahim Ali,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Abdirahman Kulmiye Hirsi,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Abdisamad Maxamud Xasan,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Abdulkadir Mohamed Aden,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Abdullahi Jama Hussein,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Amina Mohamed Abdi,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Bashiir Addow Alassow,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
C/laahi Goodax Barre,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
C/laahi Maxamed Adan,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
C/qadir Sheekh Xanafi,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Caasha Xaaji Cilmi,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Cabdi Axmed Dhuxulow,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Cabdisataar Sh. C/salaam Sh Xasan Barsame,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Cali Nuur Xuseen Cali,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Cali Yuusuf Cusman,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Ciise Wehelie Maalin,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Cismaan Maxamed Cabdi,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Cumar Islow Maxamed Abukar,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Cusman Xaaji Cali,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Daahir Aamin Jeesow,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Daahir Xasan Cabdi,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Mahad Maxamed Salaad,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed Abukar Islow,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed C/laahi Xasan,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed Hasan Ibrahim,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed Maxamud Guure,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Mohamed Ahmed Nur,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Mustafa Sh. Cali Dhuxulow,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Nadifo Maxamed Osman,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Nuur Iidow Beyle,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Qaali Axmed Diiriye,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Sacdiyo Cumar Sheegow,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Samira Xasan Cabdulle,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Shuriye Mumin Afrax,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Xasan Macalin Maxamed,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
Yuusuf Geele Ugaas,HAWIYE,2012,http://www.parliament.somaligov.net/The%20Members.html
