id,name,birth_date,death_date,term,source,image,start_date,end_date,area,faction
10792,Michel ZUMKELLER,1966-01-21,"",14,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10792,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10792.jpg,2012-06-20,"",Territoire-de-Belfort,Union pour un mouvement populaire
10774,Frédéric SOULIER,1965-12-08,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10774,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10774.jpg,2002-06-16,2007-06-25,Corrèze,Union pour la majorité présidentielle
7453,Jean-Luc WARSMANN,1965-10-22,"",10,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=7453,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/7453.jpg,1995-12-12,1997-04-21,Ardennes,Rassemblement pour la République
7453,Jean-Luc WARSMANN,1965-10-22,"",11,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=7453,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/7453.jpg,1997-06-01,2002-06-18,Ardennes,Rassemblement pour la République
7453,Jean-Luc WARSMANN,1965-10-22,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=7453,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/7453.jpg,2002-06-09,2007-06-25,Ardennes,Union pour la majorité présidentielle
7453,Jean-Luc WARSMANN,1965-10-22,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=7453,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/7453.jpg,2007-06-10,2012-06-19,Ardennes,Union pour un mouvement populaire
7453,Jean-Luc WARSMANN,1965-10-22,"",14,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=7453,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/7453.jpg,2012-06-20,"",Ardennes,Union pour un mouvement populaire
421,François BAROIN,1965-06-21,"",10,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=421,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/421.jpg,1993-03-28,1997-04-21,Aube,Rassemblement pour la République
421,François BAROIN,1965-06-21,"",11,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=421,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/421.jpg,1997-06-01,2002-06-18,Aube,Rassemblement pour la République
421,François BAROIN,1965-06-21,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=421,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/421.jpg,2002-06-16,2007-06-25,Aube,Union pour la majorité présidentielle
421,François BAROIN,1965-06-21,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=421,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/421.jpg,2007-06-10,2012-06-19,Aube,Union pour un Mouvement Populaire
421,François BAROIN,1965-06-21,"",14,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=421,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/421.jpg,2012-06-20,"",Aube,Union pour un mouvement populaire
