id,name,image
32,Afioga TUISA Tasi Patea,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-TUISA-Tasi-Patea.png
33,Afioga_Hon_MANU_ALESAGALALA_Enokati_Posala,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga_Hon_MANU_ALESAGALALA_Enokati_Posala.png
35,Afioga_TOESULUSULU_Cedric_Pose_Salesa_Schuster,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga_TOESULUSULU_Cedric_Pose_Salesa_Schuster.png
37,Susuga Hon LAAULI Leuatea Polataivao Fosi Schmidt,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Susuga-Hon-LAAULI-Leuatea-Polataivao-Fosi-Schmidt.png
38,Susuga Hon PAPALIITELE Niko Lee Hang,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Susuga-Hon-PAPALIITELE-Niko-Lee-Hang.png
39,Susuga IFOPO Matia Filisi,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Susuga-IFOPO-Matia-Filisi.png
40,Susuga PAPALII Lio Faavaivaiomanu Taeu Masipau,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Susuga-PAPALII-Lio-Faavaivaiomanu-Taeu-Masipau.png
41,Susuga_Hon_Tuilaepa_Fatialofa_Lupesoliai_Aiono_Neioti_Sailele_Malielegaoi,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Susuga_Hon_Tuilaepa_Fatialofa_Lupesoliai_Aiono_Neioti_Sailele_Malielegaoi.png
42,Tofa AGAFILI Patisela Eteuati Tolovaa,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-AGAFILI-Patisela-Eteuati-Tolovaa.png
43,Tofa ALO Fulifuli Taveuveu,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-ALO-Fulifuli-Taveuveu.png
44,Tofa AVEAU Tuala Lepale Niko Palamo,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-AVEAU-Tuala-Lepale-Niko-Palamo.png
45,Tofa Fagaaivalu Kenrick Samu,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-Fagaaivalu-Kenrick-Samu.JPG
47,Tofa Hon FONOTOE Nuafesili Pierre Lauofo,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-Hon-FONOTOE-Nuafesili-Pierre-Lauofo.png
48,Tofa Hon TOLOFUAIVALELEI Falemoe Leiataua,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-Hon-TOLOFUAIVALELEI-Falemoe-Leiataua.png
49,Tofa Hon TUILOMA Lameko,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-Hon-TUILOMA-Lameko.png
50,Tofa Hon TUUU Anasii Leota,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-Hon-TUUU-Anasii-Leota.png
51,Tofa LEALAILEPULE Rimoni Aiafi,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-LEALAILEPULE-Rimoni-Aiafi.png
52,Tofa LEFAU Harry Schuster,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-LEFAU-Harry-Schuster.png
53,Tofa LENATAI Victor Faafoi Tamapua,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-LENATAI-Victor-Faafoi-Tamapua.png
54,Tofa LEVAOPOLO Talatonu,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-LEVAOPOLO-Talatonu.png
55,Tofa MOTUOPUAA Uifagasa Aisoli Vaai,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-MOTUOPUAA-Uifagasa-Aisoli-Vaai.png
56,Tofa SOOALO Mene,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-SOOALO-Mene.png
57,Tofa TAPUAI Toese Ah Sam,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-TAPUAI-Toese-Ah-Sam.png
58,Tofa TUILEUTU Alavaa Voi,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-TUILEUTU-Alavaa-Voi.png
60,Tofa TUSA Misi Tupuola,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-TUSA-Misi-Tupuola.png
92,Afioga-TAFUA-Maluelue-Tafua,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-TAFUA-Maluelue-Tafua.jpg
148,Tofa-Hon-Faamoetauloa-Ulaitino-Faale,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-Hon-Faamoetauloa-Ulaitino-Faale.jpg
152,Tofa-Faimalotoa-Kika-Iemaima-Stowers,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-Faimalotoa-Kika-Iemaima-Stowers.jpg
1119,Susuga Seiuli Ueligitone Seiuli,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Susuga-Seiuli-Ueligitone-Seiuli.JPG
