name,party,term,constituency,source,image,facebook
Winston Baldwin SPENCER,UPP,2009,St. John's Rural West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRW.asp,http://www.caribbeanelections.com/ag/images/people/Baldwin_Spencer_2014.jpg,https://www.facebook.com/pmspencer
Winston Baldwin SPENCER,UPP,2014,St. John's Rural West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRW.asp,http://www.caribbeanelections.com/ag/images/people/Baldwin_Spencer_2014.jpg,https://www.facebook.com/pmspencer
Geoffrey SCOTLAND,PLM,1971,St. John's Rural South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRS.asp,,
Vere BIRD Jr.,ALP,1976,St. John's Rural South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRS.asp,,
Vere BIRD Jr.,ALP,1980,St. John's Rural South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRS.asp,,
Vere BIRD Jr.,ALP,1984,St. John's Rural South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRS.asp,,
Vere BIRD Jr.,ALP,1989,St. John's Rural South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRS.asp,,
Vere BIRD Jr.,ALP,1994,St. John's Rural South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRS.asp,,
Vere BIRD Jr.,ALP,1999,St. John's Rural South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRS.asp,,
Winston Vincent WILLIAMS,UPP,2004,St. John's Rural South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRS.asp,,
Eustace LAKE,ALP,2009,St. John's Rural South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRS.asp,http://www.caribbeanelections.com/ag/images/people/Eustace_Lake_2014c.jpg,https://www.facebook.com/eustace.lake
Eustace LAKE,ABLP,2014,St. John's Rural South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRS.asp,http://www.caribbeanelections.com/ag/images/people/Eustace_Lake_2014c.jpg,https://www.facebook.com/eustace.lake
Gerald WATT,PLM,1971,St. John's Rural East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRE.asp,,
Lester Bryant BIRD,ALP,1976,St. John's Rural East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRE.asp,http://www.caribbeanelections.com/ag/images/people/Lester_Bird_2014c.jpg,https://www.facebook.com/honlester.bird
Lester Bryant BIRD,ALP,1980,St. John's Rural East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRE.asp,http://www.caribbeanelections.com/ag/images/people/Lester_Bird_2014c.jpg,https://www.facebook.com/honlester.bird
Lester Bryant BIRD,ALP,1984,St. John's Rural East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRE.asp,http://www.caribbeanelections.com/ag/images/people/Lester_Bird_2014c.jpg,https://www.facebook.com/honlester.bird
Lester Bryant BIRD,ALP,1989,St. John's Rural East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRE.asp,http://www.caribbeanelections.com/ag/images/people/Lester_Bird_2014c.jpg,https://www.facebook.com/honlester.bird
Lester Bryant BIRD,ALP,1994,St. John's Rural East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRE.asp,http://www.caribbeanelections.com/ag/images/people/Lester_Bird_2014c.jpg,https://www.facebook.com/honlester.bird
Lester Bryant BIRD,ALP,1999,St. John's Rural East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRE.asp,http://www.caribbeanelections.com/ag/images/people/Lester_Bird_2014c.jpg,https://www.facebook.com/honlester.bird
Leon Errol CORT,UPP,2004,St. John's Rural East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRE.asp,http://www.caribbeanelections.com/ag/images/people/Errol_Cort_2014.jpg,https://www.facebook.com/ErrolCort
Lester Bryant BIRD,ALP,2009,St. John's Rural East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRE.asp,http://www.caribbeanelections.com/ag/images/people/Lester_Bird_2014c.jpg,https://www.facebook.com/honlester.bird
Lester Bryant BIRD,ABLP,2014,St. John's Rural East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRE.asp,http://www.caribbeanelections.com/ag/images/people/Lester_Bird_2014c.jpg,https://www.facebook.com/honlester.bird
Denfield HURST,ALP,1971,St. John's Rural North,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRN.asp,,
Vere BIRD Sr.,ALP,1976,St. John's Rural North,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRN.asp,,
Vere BIRD Sr.,ALP,1980,St. John's Rural North,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRN.asp,,
Vere BIRD Sr.,ALP,1984,St. John's Rural North,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRN.asp,,
Vere BIRD Sr.,ALP,1989,St. John's Rural North,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRN.asp,,
Bernard PERCIVAL,ALP,1994,St. John's Rural North,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRN.asp,,
Bernard PERCIVAL,ALP,1999,St. John's Rural North,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRN.asp,,
Hubert John MAGINLEY,UPP,2004,St. John's Rural North,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRN.asp,http://www.caribbeanelections.com/ag/images/people/John_Maginley_2014.jpg,https://www.facebook.com/votemaginley
Hubert John MAGINLEY,UPP,2009,St. John's Rural North,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRN.asp,http://www.caribbeanelections.com/ag/images/people/John_Maginley_2014.jpg,https://www.facebook.com/votemaginley
Charles FERNANDEZ,ABLP,2014,St. John's Rural North,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRN.asp,http://www.caribbeanelections.com/ag/images/people/Charles_Fernandez_2014c.jpg,https://www.facebook.com/charlesmaxfernandez
Robert HALL,PLM,1971,St. Mary's North,http://www.caribbeanelections.com/ag/election2014/constituencies/SMN.asp,,
Robert HALL,PLM,1976,St. Mary's North,http://www.caribbeanelections.com/ag/election2014/constituencies/SMN.asp,,
Robert HALL,PLM,1980,St. Mary's North,http://www.caribbeanelections.com/ag/election2014/constituencies/SMN.asp,,
Molwyn Morgorson JOSEPH,ALP,1984,St. Mary's North,http://www.caribbeanelections.com/ag/election2014/constituencies/SMN.asp,http://www.caribbeanelections.com/ag/images/people/Molwyn-Joseph_2014c.jpg,https://www.facebook.com/molwyn.joseph.1
Molwyn Morgorson JOSEPH,ALP,1989,St. Mary's North,http://www.caribbeanelections.com/ag/election2014/constituencies/SMN.asp,http://www.caribbeanelections.com/ag/images/people/Molwyn-Joseph_2014c.jpg,https://www.facebook.com/molwyn.joseph.1
Molwyn Morgorson JOSEPH,ALP,1994,St. Mary's North,http://www.caribbeanelections.com/ag/election2014/constituencies/SMN.asp,http://www.caribbeanelections.com/ag/images/people/Molwyn-Joseph_2014c.jpg,https://www.facebook.com/molwyn.joseph.1
Molwyn Morgorson JOSEPH,ALP,1999,St. Mary's North,http://www.caribbeanelections.com/ag/election2014/constituencies/SMN.asp,http://www.caribbeanelections.com/ag/images/people/Molwyn-Joseph_2014c.jpg,https://www.facebook.com/molwyn.joseph.1
Bertrand Lemuel JOSEPH,UPP,2004,St. Mary's North,http://www.caribbeanelections.com/ag/election2014/constituencies/SMN.asp,,
Molwyn Morgorson JOSEPH,ALP,2009,St. Mary's North,http://www.caribbeanelections.com/ag/election2014/constituencies/SMN.asp,http://www.caribbeanelections.com/ag/images/people/Molwyn-Joseph_2014c.jpg,https://www.facebook.com/molwyn.joseph.1
Molwyn Morgorson JOSEPH,ABLP,2014,St. Mary's North,http://www.caribbeanelections.com/ag/election2014/constituencies/SMN.asp,http://www.caribbeanelections.com/ag/images/people/Molwyn-Joseph_2014c.jpg,https://www.facebook.com/molwyn.joseph.1
Victor McKAY,PLM,1971,St. Mary's South,http://www.caribbeanelections.com/ag/election2014/constituencies/SMS.asp,,
Victor McKAY,PLM,1976,St. Mary's South,http://www.caribbeanelections.com/ag/election2014/constituencies/SMS.asp,,
Hugh Charlesworth MARSHALL,ALP,1980,St. Mary's South,http://www.caribbeanelections.com/ag/election2014/constituencies/SMS.asp,,
Hugh Charlesworth MARSHALL,ALP,1984,St. Mary's South,http://www.caribbeanelections.com/ag/election2014/constituencies/SMS.asp,,
Hugh Charlesworth MARSHALL,ALP,1989,St. Mary's South,http://www.caribbeanelections.com/ag/election2014/constituencies/SMS.asp,,
Hilson BAPTISTE,UPP,1994,St. Mary's South,http://www.caribbeanelections.com/ag/election2014/constituencies/SMS.asp,http://www.caribbeanelections.com/ag/images/people/Hilson_Baptiste_2014.jpg,https://www.facebook.com/hilson.baptiste
Hilson BAPTISTE,UPP,1999,St. Mary's South,http://www.caribbeanelections.com/ag/election2014/constituencies/SMS.asp,http://www.caribbeanelections.com/ag/images/people/Hilson_Baptiste_2014.jpg,https://www.facebook.com/hilson.baptiste
Hilson BAPTISTE,UPP,2004,St. Mary's South,http://www.caribbeanelections.com/ag/election2014/constituencies/SMS.asp,http://www.caribbeanelections.com/ag/images/people/Hilson_Baptiste_2014.jpg,https://www.facebook.com/hilson.baptiste
Hilson BAPTISTE,UPP,2009,St. Mary's South,http://www.caribbeanelections.com/ag/election2014/constituencies/SMS.asp,http://www.caribbeanelections.com/ag/images/people/Hilson_Baptiste_2014.jpg,https://www.facebook.com/hilson.baptiste
Samantha MARSHALL,ABLP,2014,St. Mary's South,http://www.caribbeanelections.com/ag/election2014/constituencies/SMS.asp,http://www.caribbeanelections.com/ag/images/people/Samantha_Marshall_2014c.jpg,https://www.facebook.com/pages/Samantha-Marshall/248589848568036
Eustace COCHRANE,ALP,1984,All Saints East & St. Luke,http://www.caribbeanelections.com/ag/election2014/constituencies/ASE.asp,,
Eustace COCHRANE,ALP,1989,All Saints East & St. Luke,http://www.caribbeanelections.com/ag/election2014/constituencies/ASE.asp,,
Charlesworth T. SAMUEL,UPP,1994,All Saints East & St. Luke,http://www.caribbeanelections.com/ag/election2014/constituencies/ASE.asp,,
Charlesworth T. SAMUEL,UPP,1999,All Saints East & St. Luke,http://www.caribbeanelections.com/ag/election2014/constituencies/ASE.asp,,
Charlesworth T. SAMUEL,UPP,2004,All Saints East & St. Luke,http://www.caribbeanelections.com/ag/election2014/constituencies/ASE.asp,,
Chester HUGHES,UPP,2009,All Saints East & St. Luke,http://www.caribbeanelections.com/ag/election2014/constituencies/ASE.asp,http://www.caribbeanelections.com/ag/images/people/Chester_Hughes_2014.jpg,https://www.facebook.com/chesterhughes
Joanne MASSIAH,UPP,2014,All Saints East & St. Luke,http://www.caribbeanelections.com/ag/election2014/constituencies/ASE.asp,http://www.caribbeanelections.com/ag/images/people/Joanne_Massiah_2014.jpg,https://www.facebook.com/joanne.massiah.9
Hilroy HUMPHREYS,ALP,1984,All Saints West,http://www.caribbeanelections.com/ag/election2014/constituencies/ASW.asp,,
Hilroy HUMPHREYS,ALP,1989,All Saints West,http://www.caribbeanelections.com/ag/election2014/constituencies/ASW.asp,,
Hilroy HUMPHREYS,ALP,1994,All Saints West,http://www.caribbeanelections.com/ag/election2014/constituencies/ASW.asp,,
Hilroy HUMPHREYS,ALP,1999,All Saints West,http://www.caribbeanelections.com/ag/election2014/constituencies/ASW.asp,,
Lorencezo Chanlah CODRINGTON,UPP,2004,All Saints West,http://www.caribbeanelections.com/ag/election2014/constituencies/ASW.asp,http://www.caribbeanelections.com/ag/images/people/Chanlah_Codrington_2014.jpg,https://www.facebook.com/chanlah.codrington
Lorencezo Chanlah CODRINGTON,UPP,2009,All Saints West,http://www.caribbeanelections.com/ag/election2014/constituencies/ASW.asp,http://www.caribbeanelections.com/ag/images/people/Chanlah_Codrington_2014.jpg,https://www.facebook.com/chanlah.codrington
Michael BROWNE,ABLP,2014,All Saints West,http://www.caribbeanelections.com/ag/election2014/constituencies/ASW.asp,http://www.caribbeanelections.com/ag/images/people/Michael_Browne_2014c.jpg,https://www.facebook.com/SirMSHB
Sydney PRINCE,PLM,1971,St. George,http://www.caribbeanelections.com/ag/election2014/constituencies/SG.asp,,
Adolphus FREELAND,ALP,1976,St. George,http://www.caribbeanelections.com/ag/election2014/constituencies/SG.asp,,
Adolphus FREELAND,ALP,1980,St. George,http://www.caribbeanelections.com/ag/election2014/constituencies/SG.asp,,
Adolphus FREELAND,ALP,1984,St. George,http://www.caribbeanelections.com/ag/election2014/constituencies/SG.asp,,
Adolphus FREELAND,ALP,1989,St. George,http://www.caribbeanelections.com/ag/election2014/constituencies/SG.asp,,
Adolphus FREELAND,ALP,1994,St. George,http://www.caribbeanelections.com/ag/election2014/constituencies/SG.asp,,
Nathan FRANCIS,UPP,1999,St. George,http://www.caribbeanelections.com/ag/election2014/constituencies/SG.asp,,
Jacqui QUINN-LEANDRO,UPP,2004,St. George,http://www.caribbeanelections.com/ag/election2014/constituencies/SG.asp,http://www.caribbeanelections.com/ag/images/people/Jacqui_Quinn_Leandro_2014.jpg,https://www.facebook.com/jacqui.quinnleaandro
Jacqui QUINN-LEANDRO,UPP,2009,St. George,http://www.caribbeanelections.com/ag/election2014/constituencies/SG.asp,http://www.caribbeanelections.com/ag/images/people/Jacqui_Quinn_Leandro_2014.jpg,https://www.facebook.com/jacqui.quinnleaandro
Dean JONAS,ABLP,2014,St. George,http://www.caribbeanelections.com/ag/election2014/constituencies/SG.asp,http://www.caribbeanelections.com/ag/images/people/Dean_Jonas_2014c.jpg,https://www.facebook.com/deanjonas
Joseph MYERS,ALP,1971,St. Peter,http://www.caribbeanelections.com/ag/election2014/constituencies/SPE.asp,,
Joseph MYERS,ALP,1976,St. Peter,http://www.caribbeanelections.com/ag/election2014/constituencies/SPE.asp,,
Joseph MYERS,ALP,1980,St. Peter,http://www.caribbeanelections.com/ag/election2014/constituencies/SPE.asp,,
Joseph MYERS,ALP,1984,St. Peter,http://www.caribbeanelections.com/ag/election2014/constituencies/SPE.asp,,
Joseph MYERS,ALP,1989,St. Peter,http://www.caribbeanelections.com/ag/election2014/constituencies/SPE.asp,,
Longford JEREMY,ALP,1994,St. Peter,http://www.caribbeanelections.com/ag/election2014/constituencies/SPE.asp,,
Longford JEREMY,ALP,1999,St. Peter,http://www.caribbeanelections.com/ag/election2014/constituencies/SPE.asp,,
Asot Anthony MICHAEL,ALP,2004,St. Peter,http://www.caribbeanelections.com/ag/election2014/constituencies/SPE.asp,http://www.caribbeanelections.com/ag/images/people/Asot_Michael_2014c.jpg,https://www.facebook.com/asot.michael
Asot Anthony MICHAEL,ALP,2009,St. Peter,http://www.caribbeanelections.com/ag/election2014/constituencies/SPE.asp,http://www.caribbeanelections.com/ag/images/people/Asot_Michael_2014c.jpg,https://www.facebook.com/asot.michael
Asot Anthony MICHAEL,ALP,2014,St. Peter,http://www.caribbeanelections.com/ag/election2014/constituencies/SPE.asp,http://www.caribbeanelections.com/ag/images/people/Asot_Michael_2014c.jpg,https://www.facebook.com/asot.michael
Donald SHEPPARD,ALP,1971,St. Phillip North,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHN.asp,,
Robin Kensworth YEARWOOD,ALP,1976,St. Phillip North,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHN.asp,http://www.caribbeanelections.com/ag/images/people/Robin_Yearwood_2014c.jpg,https://www.facebook.com/robin.yearwoodsnr
Robin Kensworth YEARWOOD,ALP,1980,St. Phillip North,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHN.asp,http://www.caribbeanelections.com/ag/images/people/Robin_Yearwood_2014c.jpg,https://www.facebook.com/robin.yearwoodsnr
Robin Kensworth YEARWOOD,ALP,1984,St. Phillip North,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHN.asp,http://www.caribbeanelections.com/ag/images/people/Robin_Yearwood_2014c.jpg,https://www.facebook.com/robin.yearwoodsnr
Robin Kensworth YEARWOOD,ALP,1989,St. Phillip North,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHN.asp,http://www.caribbeanelections.com/ag/images/people/Robin_Yearwood_2014c.jpg,https://www.facebook.com/robin.yearwoodsnr
Robin Kensworth YEARWOOD,ALP,1994,St. Phillip North,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHN.asp,http://www.caribbeanelections.com/ag/images/people/Robin_Yearwood_2014c.jpg,https://www.facebook.com/robin.yearwoodsnr
Robin Kensworth YEARWOOD,ALP,1999,St. Phillip North,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHN.asp,http://www.caribbeanelections.com/ag/images/people/Robin_Yearwood_2014c.jpg,https://www.facebook.com/robin.yearwoodsnr
Robin Kensworth YEARWOOD,ALP,2004,St. Phillip North,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHN.asp,http://www.caribbeanelections.com/ag/images/people/Robin_Yearwood_2014c.jpg,https://www.facebook.com/robin.yearwoodsnr
Robin Kensworth YEARWOOD,ALP,2009,St. Phillip North,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHN.asp,http://www.caribbeanelections.com/ag/images/people/Robin_Yearwood_2014c.jpg,https://www.facebook.com/robin.yearwoodsnr
Robin Kensworth YEARWOOD,ALP,2014,St. Phillip North,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHN.asp,http://www.caribbeanelections.com/ag/images/people/Robin_Yearwood_2014c.jpg,https://www.facebook.com/robin.yearwoodsnr
Cyril JAMES,PLM,1971,St. Phillip South,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHS.asp,,
Reuben Henry HARRIS,ALP,1976,St. Phillip South,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHS.asp,,
Reuben Henry HARRIS,ALP,1980,St. Phillip South,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHS.asp,,
Reuben Henry HARRIS,ALP,1984,St. Phillip South,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHS.asp,,
Reuben Henry HARRIS,ALP,1989,St. Phillip South,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHS.asp,,
Willmoth DANIEL,UPP,1994,St. Phillip South,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHS.asp,http://www.caribbeanelections.com/ag/images/people/Wilmoth_Daniel_2014.jpg,https://www.facebook.com/pages/Wilmoth-Daniel/39938374351
Sherfield BOWEN,ALP,1999,St. Phillip South,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHS.asp,,
Willmoth DANIEL,UPP,2004,St. Phillip South,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHS.asp,http://www.caribbeanelections.com/ag/images/people/Wilmoth_Daniel_2014.jpg,https://www.facebook.com/pages/Wilmoth-Daniel/39938374351
Willmoth DANIEL,UPP,2009,St. Phillip South,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHS.asp,http://www.caribbeanelections.com/ag/images/people/Wilmoth_Daniel_2014.jpg,https://www.facebook.com/pages/Wilmoth-Daniel/39938374351
Willmoth DANIEL,UPP,2014,St. Phillip South,http://www.caribbeanelections.com/ag/election2014/constituencies/SPHS.asp,http://www.caribbeanelections.com/ag/images/people/Wilmoth_Daniel_2014.jpg,https://www.facebook.com/pages/Wilmoth-Daniel/39938374351
Ernest WILLIAMS,ALP,1971,St. Paul,http://www.caribbeanelections.com/ag/election2014/constituencies/SPA.asp,,
Ernest WILLIAMS,ALP,1976,St. Paul,http://www.caribbeanelections.com/ag/election2014/constituencies/SPA.asp,,
Ernest WILLIAMS,ALP,1980,St. Paul,http://www.caribbeanelections.com/ag/election2014/constituencies/SPA.asp,,
Ernest WILLIAMS,ALP,1984,St. Paul,http://www.caribbeanelections.com/ag/election2014/constituencies/SPA.asp,,
Rodney WILLIAMS,ALP,1989,St. Paul,http://www.caribbeanelections.com/ag/election2014/constituencies/SPA.asp,,
Rodney WILLIAMS,ALP,1994,St. Paul,http://www.caribbeanelections.com/ag/election2014/constituencies/SPA.asp,,
Rodney WILLIAMS,ALP,1999,St. Paul,http://www.caribbeanelections.com/ag/election2014/constituencies/SPA.asp,,
Eleston M. ADAMS,UPP,2004,St. Paul,http://www.caribbeanelections.com/ag/election2014/constituencies/SPA.asp,http://www.caribbeanelections.com/ag/images/people/Eleston_Adams_2014.jpg,https://www.facebook.com/pages/Eleston-Adams/38987228933
Eleston M. ADAMS,UPP,2009,St. Paul,http://www.caribbeanelections.com/ag/election2014/constituencies/SPA.asp,http://www.caribbeanelections.com/ag/images/people/Eleston_Adams_2014.jpg,https://www.facebook.com/pages/Eleston-Adams/38987228933
Paul Chet GREENE,ABLP,2014,St. Paul,http://www.caribbeanelections.com/ag/election2014/constituencies/SPA.asp,http://www.caribbeanelections.com/ag/images/people/Chet_Green_2014c.jpg,https://www.facebook.com/epchet1
Claude-Earl FRANCIS,PLM,1971,Barbuda,http://www.caribbeanelections.com/ag/election2014/constituencies/BAR.asp,,
Claude-Earl FRANCIS,IND,1976,Barbuda,http://www.caribbeanelections.com/ag/election2014/constituencies/BAR.asp,,
Eric BURTON,IND,1980,Barbuda,http://www.caribbeanelections.com/ag/election2014/constituencies/BAR.asp,,
Eric BURTON,IND,1984,Barbuda,http://www.caribbeanelections.com/ag/election2014/constituencies/BAR.asp,,
Thomas Hilbourne FRANK,BPM,1989,Barbuda,http://www.caribbeanelections.com/ag/election2014/constituencies/BAR.asp,,
Thomas Hilbourne FRANK,BPM,1994,Barbuda,http://www.caribbeanelections.com/ag/election2014/constituencies/BAR.asp,,
