name,wikipedia__en,state,party,term,holder,source
Sonia Catalina Mercado,Sonia Catalina Mercado,Durango,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Víctor Manuel Bautista López,Víctor Manuel Bautista López,Mexico,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
María del Rosario Merlín,María del Rosario Merlín,Guerrero,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Óscar Bautista Villegas,Óscar Bautista Villegas,San Luis Potosí,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Martha Lucía Mícher,Martha Lucía Mícher,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Alberto Benavides,José Alberto Benavides,Federal District,PT,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Emilse Miranda Munive,Emilse Miranda Munive,Hidalgo,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Sue Ellen Bernal,Sue Ellen Bernal,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Marino Miranda Salgado,Marino Miranda Salgado,Guerrero,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Landy Berzuenza Novelo,Landy Berzuenza Novelo,Campeche,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Alejandro Montano,José Alejandro Montano,Veracruz,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Silvano Blanco Deaquino,Silvano Blanco Deaquino,Guerrero,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Abraham Montes Alvarado,Abraham Montes Alvarado,Chihuahua,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Claudia Elizabeth Bojórquez,Claudia Elizabeth Bojórquez,Tabasco,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
