id,name,name__ru,party,party__ru,image,term,source
308,ARIPOV Nazarali Turdalievich,АРИПОВ Назарали Турдалиевич,Respublika,«Республика»,http://www.kenesh.kg/MyFiles/image/%D0%A4%D0%BE%D1%82%D0%BE%20%D1%84%D1%80%D0%B0%D0%BA%D1%86%D0%B8%D1%8F%20%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0/sait/%D0%90%D1%80%D0%B8%D0%BF%D0%BE%D0%B2(1).JPG,5,http://www.kenesh.kg/RU/Articles/308-ARIPOV_Nazarali_Turdalievich__Frakciya_Respublika.aspx
309,ARTYKOV Anvar,АРТЫКОВ Анвар,ArNamys,«Ар–Намыс»,http://www.kenesh.kg/MyFiles/image/%D0%90%D1%80%D1%82%D1%8B%D0%BA%D0%BE%D0%B2%20%D0%90_%20copy.jpg,5,http://www.kenesh.kg/RU/Articles/309-ARTYKOV_Anvar__Frakciya_ArNamys.aspx
313,BAATYRBEKOV Almazbek Baatyrbekovich,БААТЫРБЕКОВ Алмазбек Баатырбекович,Yntymak,"""Ынтымак""","",5,http://www.kenesh.kg/RU/Articles/313-BAATYRBEKOV_Almazbek_Baatyrbekovich__deputatskaya_gruppa_Yntymak.aspx
314,BADYKEEVA Nurzhan Nuralievna,БАДЫКЕЕВА Нуржан Нуралиевна,ArNamys,«Ар–Намыс»,http://www.kenesh.kg/MyFiles/image/IMG_8675a(1).jpg,5,http://www.kenesh.kg/RU/Articles/314-BADYKEEVA_Nurzhan_Nuralievna__Frakciya_ArNamys.aspx
2893,BAKIR uulu Tursunbaj,БАКИР уулу Турсунбай,ArNamys,«Ар–Намыс»,http://www.kenesh.kg/MyFiles/image/%D0%91%D0%B0%D0%BA%D0%B8%D1%80%20%D1%83_8596.jpg,5,http://www.kenesh.kg/RU/Articles/2893-BAKIR_uulu_Tursunbaj__Frakciya_ArNamys_.aspx
316,BAKIROV Mirlan Isakbekovich,БАКИРОВ Мирлан Исакбекович,Onuguu,«Өнүгүү»,http://www.kenesh.kg/MyFiles/image/Bakirov%20M%2016012013-6.jpg,5,http://www.kenesh.kg/RU/Articles/316-BAKIROV_Mirlan_Isakbekovich__deputatskaya_gruppa_Onuguu.aspx
2924,BAKIROV Omurbek Myrzaraimovich,БАКИРОВ Омурбек Мырзараимович,AtaZHurt,«Ата-Журт»,http://www.kenesh.kg/MyFiles/image/28-%D1%8F%D0%BD%D0%B2%20%D0%9E%20%D0%91%D0%B0%D0%BA%D0%B8%D1%80%D0%BE%D0%B2%20%D0%90%D1%82%D0%B0%20%D0%96%D1%83%D1%80%D1%82%20.JPG,5,http://www.kenesh.kg/RU/Articles/2924-BAKIROV_Omurbek_Myrzaraimovich__Frakciya_AtaZHurt.aspx
317,BALTABAEV Tashpolot,БАЛТАБАЕВ Ташполот,Ata Meken,«Ата Мекен»,http://www.kenesh.kg/MyFiles/image/%D0%91%D0%B0%D0%BB%D1%82%D0%B0%D0%B1%D0%B0%D0%B5%D0%B2%20%D0%A2_.jpg,5,http://www.kenesh.kg/RU/Articles/317-BALTABAEV_Tashpolot__Frakciya_Ata_Meken.aspx
318,BEKBOEV Zamir Isakovich,БЕКБОЕВ Замир Исакович,ArNamys,«Ар–Намыс»,http://www.kenesh.kg/MyFiles/image/%D0%91%D0%B5%D0%BA%D0%B1%D0%BE%D0%B5%D0%B2%20%D0%97_%20copy.jpg,5,http://www.kenesh.kg/RU/Articles/318-BEKBOEV_Zamir_Isakovich__Frakciya_ArNamys.aspx
319,BEKESHEV Dastan Dalabajevich,БЕКЕШЕВ Дастан Далабайевич,ArNamys,«Ар–Намыс»,http://www.kenesh.kg/MyFiles/image/%D0%91%D0%B5%D0%BA%D0%B5%D1%88%D0%B5%D0%B2%20%D0%94_%20%D0%94_.jpg,5,http://www.kenesh.kg/RU/Articles/319-BEKESHEV_Dastan_Dalabajevich_Frakciya_ArNamys.aspx
320,BEKMATOV Abdyzhapar Gapyrovich,БЕКМАТОВ Абдыжапар Гапырович,Respublika,«Республика»,http://www.kenesh.kg/MyFiles/image/%D0%A4%D0%BE%D1%82%D0%BE%20%D1%84%D1%80%D0%B0%D0%BA%D1%86%D0%B8%D1%8F%20%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0/sait/%D0%91%D0%B5%D0%BA%D0%BC%D0%B0%D1%82%D0%BE%D0%B2.JPG,5,http://www.kenesh.kg/RU/Articles/320-BEKMATOV_Abdyzhapar_Gapyrovich__Frakciya_Respublika.aspx
321,BOKOEV Kenzhebek Satymkulovich,БОКОЕВ Кенжебек Сатымкулович,Respublika,«Республика»,http://www.kenesh.kg/MyFiles/image/%D0%A4%D0%BE%D1%82%D0%BE%20%D1%84%D1%80%D0%B0%D0%BA%D1%86%D0%B8%D1%8F%20%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0/%D0%91%D0%BE%D0%BA%D0%BE%D0%B5%D0%B2%2014%20%D0%BC%D0%B0%D1%80%D1%82.JPG,5,http://www.kenesh.kg/RU/Articles/321-BOKOEV_Kenzhebek_Satymkulovich__Frakciya_Respublika.aspx
238,GUSAROV Igor Konstantinovich,ГУСАРОВ Игорь Константинович,ArNamys,«Ар–Намыс»,http://www.kenesh.kg/MyFiles/image/%D0%93%D1%83%D1%81%D0%B0%D1%80%D0%BE%D0%B2%20%D0%98_%20%D0%9A_%20copy.jpg,5,http://www.kenesh.kg/RU/Articles/238-GUSAROV_Igor_Konstantinovich__Frakciya_ArNamys.aspx
322,DZHETIGENOV Bakytbek Dzhenishbekovich,ДЖЕТИГЕНОВ Бакытбек Дженишбекович,ArNamys,«Ар–Намыс»,http://www.kenesh.kg/MyFiles/image/IMG_3560-21-14.JPG,5,http://www.kenesh.kg/RU/Articles/322-DZHETIGENOV_Bakytbek_Dzhenishbekovich__Frakciya_ArNamys.aspx
323,DZHOLDOSHOVA ZHyldyzkan Ajtibaevna,ДЖОЛДОШОВА Жылдызкан Айтибаевна,AtaZHurt,«Ата-Журт»,http://www.kenesh.kg/MyFiles/image/IMG_6239.1(1).jpg,5,http://www.kenesh.kg/RU/Articles/323-DZHOLDOSHOVA_ZHyldyzkan_Ajtibaevna__Frakciya_AtaZHurt.aspx
324,DZHUMABEKOV Dastanbek Artisbekovich,ДЖУМАБЕКОВ Дастанбек Артисбекович,AtaZHurt,«Ата-Журт»,http://www.kenesh.kg/MyFiles/image/%D0%96%D1%83%D0%BC%D0%B0%D0%B1%D0%B5%D0%BA%D0%BE%D0%B2%20%D0%94.%20%D0%90.%20copy(1).jpg,5,http://www.kenesh.kg/RU/Articles/324-DZHUMABEKOV_Dastanbek_Artisbekovich__Frakciya_AtaZHurt.aspx
325,DZHUMALIEVA Elmira Busurmankulovna,ДЖУМАЛИЕВА Эльмира Бусурманкуловна,Yntymak,"""Ынтымак""","",5,http://www.kenesh.kg/RU/Articles/325-DZHUMALIEVA_Elmira_Busurmankulovna_deputatskaya_gruppa_Yntymak.aspx
326,DOMSHENKO Oleg Leonidovich,ДОМШЕНКО Олег Леонидович,SDPK,СДПК,http://www.kenesh.kg/MyFiles/image/%D0%94%D0%BE%D0%BC%D1%88%D0%B5%D0%BD%D0%BA%D0%BE%20%D0%9E_%20%D0%9B_%20copy.jpg,5,http://www.kenesh.kg/RU/Articles/326-DOMSHENKO_Oleg_Leonidovich__Frakciya_SDPK.aspx
327,DOSALIEV Akunaly Atamyrzaevich,ДОСАЛИЕВ Акуналы Атамырзаевич,Ata Meken,«Ата Мекен»,http://www.kenesh.kg/MyFiles/image/%D0%94%D0%BE%D1%81%D0%B0%D0%BB%D0%B8%D0%B5%D0%B2%20%D0%90_%20%D0%90_%20copy.jpg,5,http://www.kenesh.kg/RU/Articles/327-DOSALIEV_Akunaly_Atamyrzaevich__Frakciya_Ata_Meken.aspx
808,DYJKANBAEV Kurmanbek Saparovich,ДЫЙКАНБАЕВ Курманбек Сапарович,Respublika,«Республика»,http://www.kenesh.kg/MyFiles/image/%D0%A4%D0%BE%D1%82%D0%BE%20%D1%84%D1%80%D0%B0%D0%BA%D1%86%D0%B8%D1%8F%20%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0/sait/1370090243_bee239d245b3a51192be1aec224cad78_500_0_0.jpg,5,http://www.kenesh.kg/RU/Articles/808-DYJKANBAEV_Kurmanbek_Saparovich__Frakciya_Respublika.aspx
331,ZHOOSHBEKOV Zairbek Sulajmanovich,ЖООШБЕКОВ Заирбек Сулайманович,SDPK,СДПК,http://www.kenesh.kg/MyFiles/image/%D0%96%D0%BE%D0%BE%D1%88%D0%B1%D0%B5%D0%BA%D0%BE%D0%B2%20%D0%97_%20%D0%A1_%20copy.jpg,5,http://www.kenesh.kg/RU/Articles/331-ZHOOSHBEKOV_Zairbek_Sulajmanovich__Frakciya_SDPK.aspx
246,ZHEENBEKOV Asylbek SHaripovich,ЖЭЭНБЕКОВ Асылбек Шарипович,SDPK,СДПК,"",5,http://www.kenesh.kg/RU/Articles/246-ZHEENBEKOV_Asylbek_SHaripovich__Frakciya_SDPK.aspx
332,ZHEENBEKOV Ravshan Babyrbekovich,ЖЭЭНБЕКОВ Равшан Бабырбекович,"","",http://www.kenesh.kg/MyFiles/image/_MG_6069.jpg,5,http://www.kenesh.kg/RU/Articles/332-ZHEENBEKOV_Ravshan_Babyrbekovich_.aspx
333,ZULPUKAROV Torobaj Zakirovich,ЗУЛПУКАРОВ Төрөбай Закирович,SDPK,СДПК,http://www.kenesh.kg/MyFiles/image/11-%D1%8F%D0%BD%D0%B2%20%D0%97%D1%83%D0%BB%D0%BF%D1%83%D0%BA%D0%B0%D1%80%D0%BE%D0%B2.jpg,5,http://www.kenesh.kg/RU/Articles/333-ZULPUKAROV_Torobaj_Zakirovich__Frakciya_SDPK.aspx
27604,IBRAEV Samatbek Kulukeevich,ИБРАЕВ Саматбек Кулукеевич,SDPK,СДПК,http://kenesh.kg/MyFiles/image/23-06-14%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D0%B5/other/2.JPG,5,http://www.kenesh.kg/RU/Articles/27604-IBRAEV_Samatbek_Kulukeevich__Frakciya_SDPK.aspx
27605,IBRAEV Taalajbek Omukeevich,ИБРАЕВ Таалайбек Омукеевич,AtaZHurt,«Ата-Журт»,"",5,http://www.kenesh.kg/RU/Articles/27605-IBRAEV_Taalajbek_Omukeevich__Frakciya_AtaZHurt.aspx
334,IZMALKOVA Alla Nikolaevna,ИЗМАЛКОВА Алла Николаевна,SDPK,СДПК,http://www.kenesh.kg/MyFiles/image/%D0%98%D0%B7%D0%BC%D0%B0%D0%BB%D0%BA%D0%BE%D0%B2%D0%B0%20%D0%90_%20%D0%9D_%20copy.jpg,5,http://www.kenesh.kg/RU/Articles/334-IZMALKOVA_Alla_Nikolaevna__Frakciya_SDPK.aspx
336,IMANALIEV Kanybek Kapashovich,ИМАНАЛИЕВ Каныбек Капашович,ArNamys,«Ар–Намыс»,http://www.kenesh.kg/MyFiles/image/%D0%98%D0%BC%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B5%D0%B2%20%D0%9A_%20%D0%9A_%20copy.jpg,5,http://www.kenesh.kg/RU/Articles/336-IMANALIEV_Kanybek_Kapashovich__Frakciya_ArNamys.aspx
337,IMANALIEVA Elmira Sansyzbaevna,ИМАНАЛИЕВА Эльмира Сансызбаевна,Yntymak,"""Ынтымак""",http://www.kenesh.kg/MyFiles/image/%D0%98%D0%BC%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B5%D0%B2%D0%B0%20%D0%AD_%20%D0%A1_%20copy.jpg,5,http://www.kenesh.kg/RU/Articles/337-IMANALIEVA_Elmira_Sansyzbaevna__deputatskaya_gruppa_Yntymak.aspx
2083,IMANKOZHOEVA Erkingul Bekbachaevna,ИМАНКОЖОЕВА Эркингуль Бекбачаевна,SDPK,СДПК,http://www.kenesh.kg/MyFiles/image/5Z4Q0459.JPG,5,http://www.kenesh.kg/RU/Articles/2083-IMANKOZHOEVA_Erkingul_Bekbachaevna__Frakciya_SDPK.aspx
338,ISAEV ZHusupali Kalmatovich,ИСАЕВ Жусупали Калматович,SDPK,СДПК,http://www.kenesh.kg/MyFiles/image/IMG_6412-res.jpg,5,http://www.kenesh.kg/RU/Articles/338-ISAEV_ZHusupali_Kalmatovich__Frakciya_SDPK.aspx
381,ISAEVA Dinara SHertaevna,ИСАЕВА Динара Шертаевна,AtaZHurt,«Ата-Журт»,http://www.kenesh.kg/MyFiles/image/%D0%94_%20%D0%98%D1%81%D0%B0%D0%B5%D0%B2%D0%B0.jpg,5,http://www.kenesh.kg/RU/Articles/381-ISAEVA_Dinara_SHertaevna__Frakciya_AtaZHurt.aspx
382,ISAKOV Ismail Isakovich,ИСАКОВ Исмаил Исакович,SDPK,СДПК,http://www.kenesh.kg/MyFiles/image/11-%D1%8F%D0%BD%D0%B2%20%D0%98_%D0%98%D1%81%D0%B0%D0%BA%D0%BE%D0%B2t.jpeg,5,http://www.kenesh.kg/RU/Articles/382-ISAKOV_Ismail_Isakovich__Frakciya_SDPK.aspx
383,ISAKOV Esengul Bajdalievich,ИСАКОВ Эсенгул Байдалиевич,ArNamys,«Ар–Намыс»,http://www.kenesh.kg/MyFiles/image/%D0%98%D1%81%D0%B0%D0%BA%D0%BE%D0%B2%20%D0%AD_%20copy.jpg,5,http://www.kenesh.kg/RU/Articles/383-ISAKOV_Esengul_Bajdalievich__Frakciya_ArNamys.aspx
384,KADYRALIEVA Yrgal Karmyshakovna,КАДЫРАЛИЕВА Ыргал Кармышаковна,SDPK,СДПК,http://www.kenesh.kg/MyFiles/image/IMG_9991%D0%B0%D0%B1.jpg,5,http://www.kenesh.kg/RU/Articles/384-KADYRALIEVA_Yrgal_Karmyshakovna__Frakciya_SDPK.aspx
385,KADYROV Baxtiyar Sabirzhanovich,КАДЫРОВ Бахтияр Сабиржанович,SDPK,СДПК,http://www.kenesh.kg/MyFiles/image/%D0%9A%D0%B0%D0%B4%D1%8B%D1%80%D0%BE%D0%B2%20%D0%91_%20%D0%A1_%20copy.jpg,5,http://www.kenesh.kg/RU/Articles/385-KADYROV_Baxtiyar_Sabirzhanovich__Frakciya_SDPK.aspx
21957,KALMAMATOV Azhibaj Ajtievich,КАЛМАМАТОВ Ажибай Айтиевич,AtaZHurt,"""Ата-Журт""","",5,http://www.kenesh.kg/RU/Articles/21957-KALMAMATOV_Azhibaj_Ajtievich__Frakciya_AtaZHurt.aspx
386,KALMAMATOV Baktybek Orozalievich,КАЛМАМАТОВ Бактыбек Орозалиевич,Ata Meken,«Ата Мекен»,http://www.kenesh.kg/MyFiles/image/%D0%A4%D0%BE%D1%82%D0%BE%20%D1%84%D1%80%D0%B0%D0%BA%D1%86%D0%B8%D1%8F%20%D0%90%D1%82%D0%B0-%D0%9C%D0%B5%D0%BA%D0%B5%D0%BD/%D1%84%D0%BE%D1%82%D0%BE%20%D0%B4%D0%BB%D1%8F%20%D0%B1%D0%B8%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D0%B9/kalmamatov.jpg,5,http://www.kenesh.kg/RU/Articles/386-KALMAMATOV_Baktybek_Orozalievich_Frakciya_Ata_Meken.aspx
387,KALMATOV Anarbek Baratovich,КАЛМАТОВ Анарбек Баратович,ArNamys,«Ар–Намыс»,http://www.kenesh.kg/MyFiles/image/%D0%9A%D0%B0%D0%BB%D0%BC%D0%B0%D1%82%D0%BE%D0%B2%20%D0%BD%D0%B0%20%D1%81%D0%B0%D0%B9%D1%82%20%D0%B1%D0%B8%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D1%8F.JPG,5,http://www.kenesh.kg/RU/Articles/387-KALMATOV_Anarbek_Baratovich__Frakciya_ArNamys.aspx
247,KARAMUSHKINA Irina YUrevna,КАРАМУШКИНА Ирина Юрьевна,SDPK,СДПК,http://www.kenesh.kg/MyFiles/image/%D0%9A%D0%B0%D1%80%D0%B0%D0%BC%D1%83%D1%88%D0%BA%D0%B8%D0%BD%D0%B0%20%D0%98_%20%D0%AE_%20copy.jpg,5,http://www.kenesh.kg/RU/Articles/247-KARAMUSHKINA_Irina_YUrevna__Frakciya_SDPK.aspx
27204,KASYMBEKOV Nurbek Ajtyevich,КАСЫМБЕКОВ Нурбек Айтыевич,SDPK,СДПК,http://kenesh.kg/MyFiles/image/23-06-14%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D0%B5/IMG_5018.JPG,5,http://www.kenesh.kg/RU/Articles/27204-KASYMBEKOV_Nurbek_Ajtyevich__Frakciya_SDPK.aspx
389,KELDIBEKOV Axmatbek Keldibekovich,КЕЛДИБЕКОВ Ахматбек Келдибекович,AtaZHurt,«Ата-Журт»,"",5,http://www.kenesh.kg/RU/Articles/389-KELDIBEKOV_Axmatbek_Keldibekovich__Frakciya_AtaZHurt.aspx
2923,KORKMAZOV Xadzhimurat Zulkarnaevich,КОРКМАЗОВ Хаджимурат Зулкарнаевич,Reforma uchun,"""Реформа үчүн""",http://www.kenesh.kg/MyFiles/image/IMG_8519aapg.jpg,5,http://www.kenesh.kg/RU/Articles/2923-KORKMAZOV_Xadzhimurat_Zulkarnaevich__deputatskaya_gruppa_Reforma_uchun.aspx
329,KOCHKAROVA Eristina AzretAlievna,КОЧКАРОВА Эристина Азрет,ArNamys,Алиевна - «Ар-Намыс»,http://www.kenesh.kg/MyFiles/image/727%D1%81%20.jpg,5,http://www.kenesh.kg/RU/Articles/329-KOCHKAROVA_Eristina_AzretAlievna__Frakciya_ArNamys.aspx
1118,KOCHKORBAEV Abdimutalip Kaldarbaevich,КОЧКОРБАЕВ Абдимуталип Калдарбаевич,AtaZHurt,«Ата-Журт»,"",5,http://www.kenesh.kg/RU/Articles/1118-KOCHKORBAEV_Abdimutalip_Kaldarbaevich__Frakciya_AtaZHurt.aspx
1117,KOCHKOROV Ulukbek Tojchubaevich,КОЧКОРОВ Улукбек Тойчубаевич,AtaZHurt,«Ата-Журт»,http://www.kenesh.kg/MyFiles/image/%D0%9A%D0%BE%D1%87%D0%BA%D0%BE%D1%80%D0%BE%D0%B2%20%D0%A3%D0%BB%D1%83%D0%BA%D0%B1%D0%B5%D0%BA%20copy.jpg,5,http://www.kenesh.kg/RU/Articles/1117-KOCHKOROV_Ulukbek_Tojchubaevich__Frakciya_AtaZHurt.aspx
390,KUDAJBERGENOV Dzhanysh Kamchybekovich,КУДАЙБЕРГЕНОВ Джаныш Камчыбекович,AtaZHurt,«Ата-Журт»,http://www.kenesh.kg/MyFiles/image/%D0%9A%D1%83%D0%B4%D0%B0%D0%B9%D0%B1%D0%B5%D1%80%D0%B3%D0%B5%D0%BD%D0%BE%D0%B2%20%D0%96_%20%D0%9A_%20copy.jpg,5,http://www.kenesh.kg/RU/Articles/390-KUDAJBERGENOV_Dzhanysh_Kamchybekovich__Frakciya_AtaZHurt.aspx
391,KULOV Feliks SHarshenbaevich,КУЛОВ Феликс Шаршенбаевич,ArNamys,«Ар–Намыс»,http://www.kenesh.kg/MyFiles/image/%D0%9A%D1%83%D0%BB%D0%BE%D0%B2%20%D0%A4_%20%D0%A8_%20copy.jpg,5,http://www.kenesh.kg/RU/Articles/391-KULOV_Feliks_SHarshenbaevich__Frakciya_ArNamys.aspx
312,KUTUSHEV Abdymanap Orozbaevich,КУТУШЕВ Абдыманап Орозбаевич,SDPK,СДПК,http://www.kenesh.kg/MyFiles/image/IMG_9311%2001.jpg,5,http://www.kenesh.kg/RU/Articles/312-KUTUSHEV_Abdymanap_Orozbaevich__Frakciya_SDPK.aspx
392,LEVINA Tatyana Vladimirovna,ЛЕВИНА Татьяна Владимировна,ArNamys,« Ар–Намыс»,http://www.kenesh.kg/MyFiles/image/IMG_8669%D0%B0%D0%B0.jpg,5,http://www.kenesh.kg/RU/Articles/392-LEVINA_Tatyana_Vladimirovna__Frakciya__ArNamys.aspx
15709,MADALIEV Nurkamil Apishevich,МАДАЛИЕВ Нуркамил Апишевич,ArNamys,«Ар–Намыс»,http://www.kenesh.kg/MyFiles/image/240413%20%D0%9D%20%D0%9C%D0%B0%D0%B4%D0%B0%D0%BB%D0%B8%D0%B5%D0%B2(1).jpg,5,http://www.kenesh.kg/RU/Articles/15709-MADALIEV_Nurkamil_Apishevich__Frakciya_ArNamys.aspx
806,MADEMINOV Muradyl Ganyevich,МАДЕМИНОВ Мурадыл Ганыевич,SDPK,СДПК,http://www.kenesh.kg/MyFiles/image/IMG_8811-%D0%9C%D0%B0%D0%B4%D0%B5%D0%BC%D0%B8%D0%BD%D0%BE%D0%B2_%20%D0%9C.jpg,5,http://www.kenesh.kg/RU/Articles/806-MADEMINOV_Muradyl_Ganyevich__Frakciya_SDPK_.aspx
393,MADYLBEKOV Turatbek,МАДЫЛБЕКОВ Туратбек,Ata Meken,«Ата Мекен»,http://www.kenesh.kg/MyFiles/image/%D0%9C%D0%B0%D0%B4%D1%8B%D0%BB%D0%B1%D0%B5%D0%BA%D0%BE%D0%B2%20%D0%A2_%20copy.jpg,5,http://www.kenesh.kg/RU/Articles/393-MADYLBEKOV_Turatbek__Frakciya_Ata_Meken.aspx
399,MAMATOV Abdimuktar,МАМАТОВ Абдимуктар,Ata Meken,«Ата Мекен»,http://www.kenesh.kg/MyFiles/image/%D0%A4%D0%BE%D1%82%D0%BE%20%D1%84%D1%80%D0%B0%D0%BA%D1%86%D0%B8%D1%8F%20%D0%90%D1%82%D0%B0-%D0%9C%D0%B5%D0%BA%D0%B5%D0%BD/%D1%84%D0%BE%D1%82%D0%BE%20%D0%B4%D0%BB%D1%8F%20%D0%B1%D0%B8%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D0%B9/__10_1%D0%9C%D0%B0%D0%BC%D0%B0%D1%82%D0%BE%D0%B2.jpg,5,http://www.kenesh.kg/RU/Articles/399-MAMATOV_Abdimuktar__Frakciya_Ata_Meken.aspx
400,MAMATOV Baktygul Arstanovich,МАМАТОВ Бактыгул Арстанович,ArNamys,«Ар–Намыс»,http://www.kenesh.kg/MyFiles/image/100_5279.jpg,5,http://www.kenesh.kg/RU/Articles/400-MAMATOV_Baktygul_Arstanovich__Frakciya_ArNamys.aspx
