name,wikipedia,constituency,party,term,start_date,end_date,source
Stefán Guðmundsson,"",Northwestern Region,Progressive Party,1995–1999,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1995%E2%80%9399"
Svavar Gestsson,http://en.wikipedia.org/wiki/Svavar_Gestsson,Capital Region,People's Alliance,1995–1999,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1995%E2%80%9399"
Ágúst Einarsson,"",Reykjanes,National Awakening,1995–1999,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1995%E2%80%9399"
Ólafur Einarsson,http://en.wikipedia.org/wiki/%C3%93lafur_Einarsson,Reykjanes,Independence Party,1995–1999,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1995%E2%80%9399"
Ólafur Grímsson,http://en.wikipedia.org/wiki/%C3%93lafur_Ragnar_Gr%C3%ADmsson,Reykjanes,People's Alliance,1995–1999,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1995%E2%80%9399"
Þorsteinn Pálsson,http://en.wikipedia.org/wiki/%C3%9Eorsteinn_P%C3%A1lsson,Southern Region,Independence Party,1995–1999,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1995%E2%80%9399"
Finnur Ingólfsson,http://en.wikipedia.org/wiki/Finnur_Ing%C3%B3lfsson,Reykjavik,Progressive Party,1999–2003,,2000,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Guðjón Guðmundsson,"",West,Independence Party,1999–2003,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Gísli Einarsson,"",West,Social Democratic Alliance,1999–2003,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Hjálmar Jónsson,"",Northwest,Independence Party,1999–2003,,2001,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Sigríður Ingvarsdóttir,,Northwest,Independence Party,1999–2003,2001,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Ingibjörg Pálmadóttir,http://en.wikipedia.org/wiki/Ingibj%C3%B6rg_P%C3%A1lmad%C3%B3ttir,West,Progressive Party,1999–2003,,2001,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Katrín Fjeldsted,http://en.wikipedia.org/wiki/Katr%C3%ADn_Fjeldsted,Reykjavik,Independence Party,1999–2003,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Kristján Pálsson,"",Reykjanes,Independence Party,1999–2003,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Lára Ragnarsdóttir,"",Reykjavik,Independence Party,1999–2003,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Páll Pétursson,http://en.wikipedia.org/wiki/P%C3%A1ll_P%C3%A9tursson,Northwest,Progressive Party,1999–2003,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Sighvatur Björgvinsson,http://en.wikipedia.org/wiki/Sighvatur_Bj%C3%B6rgvinsson,West Fjords,Social Democratic Alliance,1999–2003,,2001,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Sigríður Jóhannesdóttir,"",Reykjanes,Social Democratic Alliance,1999–2003,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Svanfríður Jónasdóttir,"",Northeast,Social Democratic Alliance,1999–2003,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Sverrir Hermannsson,http://en.wikipedia.org/wiki/Sverrir_Hermannsson,Reykjavik,Liberal Party,1999–2003,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Vilhjálmur Egilsson,"",Northwest,Independence Party,1999–2003,,2003,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Adolf Berndsen,,Northwest,Independence Party,1999–2003,2003,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Árni Jóhannsson,"",Northeast,Left-Green Movement,1999–2003,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Ísólfur Pálmason,"",South,Progressive Party,1999–2003,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Ólafur Haraldsson,"",Reykjavik,Progressive Party,1999–2003,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003"
Anna Gunnarsdóttir,"",Northwest,Social Democratic Alliance,2003–2007,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Bryndís Hlöðversdóttir,"",Reykjavik North,Social Democratic Alliance,2003–2007,,2005,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Dagný Jónsdóttir,"",Northeast,Progressive Party,2003–2007,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Davíð Oddsson,http://en.wikipedia.org/wiki/Dav%C3%AD%C3%B0_Oddsson,Reykjavik North,Independence Party,2003–2007,,2006,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Drífa Hjartardóttir,"",South,Independence Party,2003–2007,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Gunnar Birgisson,http://en.wikipedia.org/wiki/Gunnar_Birgisson,Southwest,Independence Party,2003–2007,,2006,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Sigurrós Þorgrímsdóttir,http://en.wikipedia.org/wiki/Sigurr%C3%B3s_%C3%9Eorgr%C3%ADmsd%C3%B3ttir,Southwest,Independence Party,2003–2007,2006,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Gunnar Örlygsson,"",Southwest,Independence Party,2003–2007,2005,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Guðjón Hjörleifsson,"",South,Independence Party,2003–2007,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Guðmundur Hallvarðsson,"",Reykjavik South,Independence Party,2003–2007,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Guðmundur Stefánsson,http://en.wikipedia.org/wiki/Gu%C3%B0mundur_%C3%81rni_Stef%C3%A1nsson,Southwest,Social Democratic Alliance,2003–2007,,2005,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Valdimar Friðriksson,,Southwest,Social Democratic Alliance,2003–2007,2005,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Guðrún Ögmundsdóttir,"",Reykjavik North,Social Democratic Alliance,2003–2007,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Halldór Blöndal,http://en.wikipedia.org/wiki/Halld%C3%B3r_Bl%C3%B6ndal,Northeast,Independence Party,2003–2007,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Halldór Ásgrímsson,http://en.wikipedia.org/wiki/Halld%C3%B3r_%C3%81sgr%C3%ADmsson,Reykjavik North,Progressive Party,2003–2007,,2006,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Guðjón Jónsson,,Reykjavik North,Progressive Party,2003–2007,2006,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Hjálmar Árnason,"",South,Progressive Party,2003–2007,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Jóhann Ársælsson,"",Northwest,Social Democratic Alliance,2003–2007,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Jón Kristjánsson,http://en.wikipedia.org/wiki/J%C3%B3n_Kristj%C3%A1nsson,Northeast,Progressive Party,2003–2007,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Jónína Bjartmarz,http://en.wikipedia.org/wiki/J%C3%B3n%C3%ADna_Bjartmarz,Reykjavik South,Progressive Party,2003–2007,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Magnús Hafsteinsson,http://en.wikipedia.org/wiki/Magn%C3%BAs_%C3%9E%C3%B3r_Hafsteinsson,South,Liberal Party,2003–2007,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Margrét Frímannsdóttir,"",South,Social Democratic Alliance,2003–2007,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Rannveig Guðmundsdóttir,http://en.wikipedia.org/wiki/Rannveig_Gu%C3%B0mundsd%C3%B3ttir,Southwest,Social Democratic Alliance,2003–2007,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Sigríður Þórðardóttir,http://en.wikipedia.org/wiki/Sigr%C3%AD%C3%B0ur_Anna_%C3%9E%C3%B3r%C3%B0ard%C3%B3ttir,Southwest,Independence Party,2003–2007,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Sigurjón Þórðarson,http://en.wikipedia.org/wiki/Sigurj%C3%B3n_%C3%9E%C3%B3r%C3%B0arson,Northwest,Liberal Party,2003–2007,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Sólveig Pétursdóttir,http://en.wikipedia.org/wiki/S%C3%B3lveig_P%C3%A9tursd%C3%B3ttir,Reykjavik South,Independence Party,2003–2007,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Tómas Olrich,http://en.wikipedia.org/wiki/T%C3%B3mas_Ingi_Olrich,Northeast,Independence Party,2003–2007,,2004,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Árni Magnússon,http://en.wikipedia.org/wiki/%C3%81rni_Magn%C3%BAsson,Reykjavik North,Progressive Party,2003–2007,,2006,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Sæunn Stefánsdóttir,,Reykjavik North,Progressive Party,2003–2007,2006,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2003%E2%80%9307"
Arnbjörg Sveinsdóttir,"",Northeast,Independence Party,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Bjarni Harðarson,http://en.wikipedia.org/wiki/Bjarni_Har%C3%B0arson,South,Progressive Party,2007–2009,,2008,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Helga Harðardóttir,,South,Progressive Party,2007–2009,2008,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Björk Guðjónsdóttir,"",South,Independence Party,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Björn Bjarnason,http://en.wikipedia.org/wiki/Bj%C3%B6rn_Bjarnason,Reykjavik South,Independence Party,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Einar Sigurðsson,"",Northeast,Social Democratic Alliance,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Ellert Schram,"",Reykjavik North,Social Democratic Alliance,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Geir Haarde,http://en.wikipedia.org/wiki/Geir_H._Haarde,Reykjavik South,Independence Party,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Grétar Jónsson,"",South,Liberal Party,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Gunnar Svavarsson,"",Southwest,Social Democratic Alliance,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Guðfinna Bjarnadóttir,"",Reykjavik North,Independence Party,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Guðni Ágústsson,http://en.wikipedia.org/wiki/Gu%C3%B0ni_%C3%81g%C3%BAstsson,South,Progressive Party,2007–2009,,2008-11-17,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Ingibjörg Gísladóttir,http://en.wikipedia.org/wiki/Ingibj%C3%B6rg_S%C3%B3lr%C3%BAn_G%C3%ADslad%C3%B3ttir,Reykjavik South,Social Democratic Alliance,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Jón Magnússon,http://en.wikipedia.org/wiki/J%C3%B3n_Magn%C3%BAsson,Reykjavik South,Independence Party,2007–2009,2009,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Karl Matthíasson,"",Northwest,Liberal Party,2007–2009,2009,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Kjartan Ólafsson,http://en.wikipedia.org/wiki/Kjartan_%C3%93lafsson,South,Independence Party,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Kolbrún Halldórsdóttir,http://en.wikipedia.org/wiki/Kolbr%C3%BAn_Halld%C3%B3rsd%C3%B3ttir,Reykjavik South,Left-Green Movement,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Kristinn Gunnarsson,"",Northwest,Independent,2007–2009,2009,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Lúðvík Bergvinsson,"",South,Social Democratic Alliance,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Magnús Stefánsson,http://en.wikipedia.org/wiki/Magn%C3%BAs_Stef%C3%A1nsson,Northwest,Progressive Party,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Sigurður Kristjánsson,http://en.wikipedia.org/wiki/Sigur%C3%B0ur_K%C3%A1ri_Kristj%C3%A1nsson,Reykjavik North,Independence Party,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Sturla Böðvarsson,http://en.wikipedia.org/wiki/Sturla_B%C3%B6%C3%B0varsson,Northwest,Independence Party,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Valgerður Sverrisdóttir,http://en.wikipedia.org/wiki/Valger%C3%B0ur_Sverrisd%C3%B3ttir,Northeast,Progressive Party,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Ágúst Ágústsson,"",Reykjavik South,Social Democratic Alliance,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Ármann Ólafsson,"",Southwest,Independence Party,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Árni Mathiesen,http://en.wikipedia.org/wiki/%C3%81rni_Mathiesen,South,Independence Party,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Ásta Möller,"",Reykjavik South,Independence Party,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Guðjón Kristjánsson,"",Northwest,Liberal Party,2007–2009,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Herdís Þórðardóttir,"",Northwest,Independence Party,2007–2009,,2007-07-14,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Einar Kristjánsson,,Northwest,Independence Party,2007–2009,2007-07-14,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2007%E2%80%9309"
Atli Gíslason,http://en.wikipedia.org/wiki/Atli_G%C3%ADslason,South Constituency,Independent,2009–2013,2011-03-21,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Birgir Ármannsson,http://en.wikipedia.org/wiki/Birgir_%C3%81rmannsson,Reykjavik Constituency South,Independence Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Birgitta Jónsdóttir,http://en.wikipedia.org/wiki/Birgitta_J%C3%B3nsd%C3%B3ttir,Reykjavik Constituency South,Pirate Party,2009–2013,2012,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Birkir Jónsson,http://en.wikipedia.org/wiki/Birkir_J%C3%B3n_J%C3%B3nsson,Northeast Constituency,Progressive Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Bjarni Benediktsson,"http://en.wikipedia.org/wiki/Bjarni_Benediktsson,_Jr.",Southwest Constituency,Independence Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Björgvin Sigurðsson,http://en.wikipedia.org/wiki/Bj%C3%B6rgvin_G._Sigur%C3%B0sson,South Constituency,Social Democratic Alliance,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Björn Gíslason,http://en.wikipedia.org/wiki/Bj%C3%B6rn_Valur_G%C3%ADslason,Northeast Constituency,Left-Green Movement,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Einar Guðfinnsson,http://en.wikipedia.org/wiki/Einar_K._Gu%C3%B0finnsson,Northwest Constituency,Independence Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
