id,name,party,image,term,source,name__ar,area
1931,Essa Al Kandari,Independent,http://www.kna.kw/images/members_14th/essa_alkandari.JPG,14,http://www.kna.kw/clt/run.asp?id=1931,عيسى أحمد محمد حسن الكندري,الدائرة الانتخابية الأولى
1893,Faisal Al Kandari,Independent,http://www.kna.kw/newsimages2/f_alkandari_=_=_faisal%20alkandari.jpg,14,http://www.kna.kw/clt/run.asp?id=1893,فيصل محمد الكندري,الدائرة الانتخابية الخامسة
1896,Faisal Al Dowaisan,Independent,http://www.kna.kw/newsimages2/f_aldowaisan_=_=_faisal%20aldowaisan.jpg,14,http://www.kna.kw/clt/run.asp?id=1896,فيصل سعود صالح الدويسان,الدائرة الانتخابية الأولى
1880,Faisal Al Shaya,Independent,http://www.kna.kw/newsimages2/f_alshayea_=_=_faisal%20alshayea.jpg,14,http://www.kna.kw/clt/run.asp?id=1880,فيصل فهد محمد علي الشايع,الدائرة الانتخابية الثالثة
1890,Kamil Al Awadi,Independent,http://www.kna.kw/newsimages2/k_alawadhi_=_=_kamel%20alawadhi.jpg,14,http://www.kna.kw/clt/run.asp?id=1890,كامل محمود العوضي,الدائرة الانتخابية الأولى
1909,Majed Al Mutairi,Independent,http://www.kna.kw/newsimages2/majed_almutairi_=_=_majed%20almotairi.jpg,14,http://www.kna.kw/clt/run.asp?id=1909,ماجد موسى عبد الرحمن المطيري,الدائرة الانتخابية الرابعة
1916,Madi Al Hajeri,Independent,http://www.kna.kw/newsimages2/madhi1_=_=_madhi%20alhajri.jpg,14,http://www.kna.kw/clt/run.asp?id=1916,ماضي محمد فالح الهاجري,الدائرة الانتخابية الخامسة
1874,Mubarak Al Harees,Independent,http://www.kna.kw/newsimages2/mubarak_alh_=_=_mubarak%20alhurais.jpg,14,http://www.kna.kw/clt/run.asp?id=1874,مبارك سالم الحريص,الدائرة الانتخابية الأولى
1930,Mohammed Al Enzi,Independent,http://www.kna.kw/newsimages2/m_alenzi_=_=_muhammed%20alenzi.jpg,14,http://www.kna.kw/clt/run.asp?id=1930,محمد طنا العنزي,الدائرة الانتخابية الرابعة
1897,Mohammed Al Hadeya,Independent,http://www.kna.kw/newsimages2/m_alhadeyyah_=_=_muhammed%20alhadeya.jpg,14,http://www.kna.kw/clt/run.asp?id=1897,محمد مروي ملفي الهدية,الدائرة الانتخابية الأولى
1876,Mohammed Al Jabri,Independent,http://www.kna.kw/newsimages2/m_aljabri_=_=_muhammed%20aljabri.jpg,14,http://www.kna.kw/clt/run.asp?id=1876,محمد ناصر الجبري,الدائرة الانتخابية الثالثة
1915,Dr. Mohammed Al Huwaila,Independent,http://www.kna.kw/newsimages2/m_alhowailah_=_=_muhammed%20alhowailah.jpg,14,http://www.kna.kw/clt/run.asp?id=1915,د . محمد هادي هايف الحويلة,الدائرة الانتخابية الخامسة
1911,Dr. Mansoor Al Dofairi,Independent,http://www.kna.kw/newsimages2/mansoor1_=_=_mansoor%20aldhafiri.jpg,14,http://www.kna.kw/clt/run.asp?id=1911,د . منصور فالح منصور الظفيري,الدائرة الانتخابية الرابعة
1942,Nabeel Al Fadel,Independent,http://www.kna.kw/images/member_14_/alfadel.jpg,14,http://www.kna.kw/clt/run.asp?id=1942,نبيل نوري الفضل,الدائرة الانتخابية الثالثة
1879,Yacob AlSane,Independent,http://www.kna.kw/newsimages2/yaqoob1_=_=_yaqoob.jpg,14,http://www.kna.kw/clt/run.asp?id=1879,يعقوب عبد المحسن الصانع,الدائرة الانتخابية الثالثة
1898,Dr. Youssef Al Zalzala,Independent,http://www.kna.kw/newsimages2/yousef1_=_=_yousef%20alzalzalah.jpg,14,http://www.kna.kw/clt/run.asp?id=1898,د . يوسف سيد حسن الزلزلة,الدائرة الانتخابية الأولى
