area,name,situation,party,gender,death_date,deputy,area_id,term
Far-North,DAKOLE DAÏSSALA,Appointed,MDR,male,,BOUBA DANKI,far-north,9
LITTORAL,Mme TJOUES Généviève,Elected,RDPC,female,,Mme MINYEM EBOUMBOU Patience,littoral,9
LITTORAL,TOBBO EYOUM Thomas,Elected,RDPC,female,,Mme ZOGO Marcelline,littoral,9
LITTORAL,Mme DIN BELL Marie Armande,Elected,RDPC,male,,DIKA NSANGWE AKWA Albert Jean Claude,littoral,9
LITTORAL,MBASSA NDINE Roger Victor,Elected,RDPC,female,,Mme NGONDE Charlotte épse SENDE,littoral,9
LITTORAL,KINGUE Simon,Elected,RDPC,male,,MOTH Emmanuel Samuel Dieudonné,littoral,9
LITTORAL,EBONGUE NGOH Jean Jules,Elected,RDPC,female,,Mme KANGUE Rebecca,littoral,9
LITTORAL,KEMAYOU Claude,Elected,RDPC,female,,Mme MBELEG YETNA Marinette,littoral,9
LITTORAL,MADIBA SONGUE,Appointed,RDPC,male,,NGALLE BIBEHE Jean Ernest,littoral,9
LITTORAL,ETAME MASSOMA David Siegfried,Appointed,RDPC,male,,NGUIME EKOLLO,littoral,9
LITTORAL,NGAYAP Pierre Flambeau,Appointed,UNDP,female,,Mme BELL Marie Mélanie,littoral,9
North,YOUSSOUFA DAOUA,Elected,RDPC,female,2015-10-11,Mme FADIMATOU ABBA,north,9
North,NAMIO Pierre,Elected,RDPC,male,,KADIRI SALI,north,9
North,Dr AMADOU ALIM,Elected,RDPC,male,,BAKARI Joël,north,9
North,Mme ASTA Yvonne,Elected,RDPC,male,,BOUBA MOUSSA,north,9
North,BEBNONE PAYOUNNI,Elected,RDPC,male,,SM ABDOURAMAN AMAN SALY,north,9
North,AMIDOU Maurice,Elected,RDPC,male,,OUSMANOU DOUNDOUNA,north,9
North,Mme ADAMOU née DOUDOU,Elected,RDPC,male,,IDRISSA ABOA,north,9
North,ABOUBAKARY ABDOULAYE,Appointed,RDPC,male,,BOUBA SAMARI Bernard,north,9
North,Mme HAYATOU Aïcha Pierrette,Appointed,RDPC,male,,MOHAMADOU BAYERO FADIL,north,9
North,HAMADOU ABBO,Appointed,FSNC,male,,AMADOU HAMAN,north,9
North-West,ACHIDI ASHU Simon,Elected,RDPC,male,,Fon QUOMON NANA W. III,north-west,9
North-West,WALLANG David AKWO,Elected,RDPC,male,,KANYIMI IHMBRU Charles,north-west,9
North-West,DINGA Ignatius BAYIN,Elected,RDPC,female,,Mme CHENYI Theresa,north-west,9
North-West,Mme ENO LAFON Emma VERGELE,Elected,RDPC,female,,Mme SHANG KINYUI Emerencia,north-west,9
North-West,WANLO CHIAMUA John,Elected,RDPC,female,,Mme NDIM WIBUA Prudencia,north-west,9
North-West,AWANGA Zacharie,Elected,RDPC,male,,NDIFOR Raphael,north-west,9
North-West,JIKONG Stephen YERIMA,Elected,RDPC,male,2014-11-15,NGI Christopher NTOH,north-west,9
North-West,Fon. DOH GANYONGA III,Appointed,RDPC,female,,Mme Régina MUNDI Elisabeth,north-west,9
North-West,NKWAIN Francis,Appointed,RDPC,male,2014-11-19,Fon CHAFAH Isaac,north-west,9
North-West,Fon TECHE NJEI II,Appointed,RDPC,male,,JAJI MANU GIDADO,north-west,9
West,TSOMELOU Jean,Elected,SDF,male,,KUETE Jean Claude,west,9
West,TANTSE TAGNE Bernard,Elected,SDF,female,,Mme TOUSSI Berthe,west,9
West,TCHATCHOUANG Paul,Elected,SDF,male,,TCHANGOP Florent,west,9
West,METIEDJE NGUIFO TCHETAGNE,Elected,SDF,female,,Mme NOUWO Florence,west,9
West,SONKIN ETIENNE,Elected,SDF,male,,MEZATIO Victor,west,9
West,TCHOMNOU Raoul,Elected,SDF,male,,NTIECHE MOUCHILI Iliassou,west,9
West,NONO,Elected,SDF,male,,OUANDJI Luc,west,9
West,S. M. Ibrahim MBOMBO NJOYA,Appointed,RDPC,male,,YOUMO KOUPIT Adamou,west,9
West,DJOMO KAMGA Victor,Appointed,RDPC,male,,POKAM Max,west,9
West,NIAT NJIFENJI Marcel,Appointed,RDPC,male,,NGOUCHINGE Sylvestre,west,9
South,Mme MEDJO Delphine,Elected,RDPC,male,,BINDJEME Félix,south,9
South,ZANG OYONO Calvin,Elected,RDPC,male,,NDINDA NDINDA Ferdinand,south,9
South,OBAM ASSAM Samuel,Elected,RDPC,female,,Mme MEKINDA Judith ASSAENG,south,9
South,MBA MBA Grégoire,Elected,RDPC,female,,Mme AVEBE née MEDJO M S,south,9
South,Mme ELOUMBA MEDJO Thérèse,Elected,RDPC,male,,EYIZO’O Ferdinand,south,9
South,Mme NNANGA NDOUME,Elected,RDPC,male,,KPWANG ABBE Denis,south,9
South,MBITA MVAEBEME,Elected,RDPC,female,,Mme AKOA née METUGU ABENA Angéline,south,9
South,NGALLI NGOA Pierre Henri,Appointed,RDPC,female,,Mme NDO Angéline,south,9
South,MENYE ONDO François Xavier,Appointed,RDPC,male,,EDOU Emmanuel,south,9
South,Mme BISSECK Paulette,Appointed,RDPC,male,,OYONO Robert,south,9
South-West,TABE TANDO NDIEP NSO,Elected,RDPC,male,,OBEN BAKWA Eno Christopher,south-west,9
South-West,Mrs ANKIE AFFIONG Rebecca AMAH,Elected,RDPC,male,,EFFIONG Denis ELANGE,south-west,9
South-West,NJIFUA Lucas FONTEM,Elected,RDPC,female,2014-04-02,Pr. Judith NDONGO EMBOLA épse TORIMIRA,south-west,9
South-West,MATUTE Daniel,Elected,RDPC,male,,NSO Nicolas,south-west,9
South-West,Mme NTUBE Agnès NDODE épse NDJOCK,Elected,RDPC,female,,Mrs NCHONG épse NSA VEGA Sally,south-west,9
South-West,OTTE Andrew MOFFA,Elected,RDPC,male,,NJOKAM Richard NGU,south-west,9
South-West,MBELLA MOKI Charles,Elected,RDPC,female,,Mrs VEFONGE BEKE Juliet,south-west,9
South-West,MAFANY MUSONGE Peter,Appointed,RDPC,male,,DIMA Gabriel,south-west,9
South-West,Fon. MUKETE ESSIMI Ngo Victor,Appointed,RDPC,male,,ITOE MUTANGA Benjamin,south-west,9
South-West,Chief ANJA Simon ONJWO,Appointed,RDPC,female,,Mme MAMBE Agnès,south-west,9
