id,name,term,source,gender,birth_place,birth_date,party,faction,religion
225,محاسن حمدون حامد حسن,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=225,female,نينوى,1957,الحركة الوطنية للاصلاح والتنمية ( الحل ),متحدون للاصلاح,مسلم
224,انتصار علي خضر محمود,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=224,female,نينوى,1966,للعراق متحدون,متحدون للاصلاح,مسلم
212,فالح ساري عبداشي عكاب,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=212,male,المثنى,1965,المواطن,ائتلاف المواطن,مسلم
213,خديجة وادي ميزر عبدالنبي,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=213,female,المثنى,1968,المواطن,ائتلاف المواطن,مسلم
214,عبدالعزيز عبدنور عوض سلمان,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=214,male,المثنى,1979,كتلة الاحرار,ائتلاف الاحرار,مسلم
217,عزالدين عبدلله حسين خضر,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=217,male,نينوى,1957,للعراق متحدون,متحدون للاصلاح,مسلم
220,طالب عبدالكريم محمود حامد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=220,male,نينوى,1973,الحركة الوطنية للاصلاح والتنمية ( الحل ),متحدون للاصلاح,مسلم
221,علي جاسم محمد برغوث,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=221,male,نينوى,1968,الحركة الوطنية للاصلاح والتنمية ( الحل ),متحدون للاصلاح,مسلم
222,احمد مدلول محمد مطلك,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=222,male,نينوى,1980,للعراق متحدون,متحدون للاصلاح,مسلم
223,زاھد محمد سلطان عباس,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=223,male,نينوى,1967,التجمع المدني للإصلاح (عمل),متحدون للاصلاح,مسلم
234,نواف سعود زيد فرحان,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=234,male,نينوى,1961,الوطنية,ائتلاف الوطنية,مسلم
323,منى قاسم باقر جابر,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=323,female,ذي قار,1981,المجلس الاعلى الاسلامي العراقي,ائتلاف المواطن,مسلم
335,جوزيف صليوا سبي ايليا,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=335,male,أربيل,1973,قائمة الوركاء الديمقراطية,قائمة الوركاء الديمقراطية,مسيحي
336,حسن حميد حسن هادي السنيد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=336,male,بغداد,1954,حزب الدعوة الاسلامية,ائتلاف دولة القانون,مسلم
337,فارس عبدالعزيز محمدعلي طه,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=337,male,نينوى,1957,للعراق متحدون,متحدون للاصلاح,مسلم
338,كامل ناصر سعدون صاحي,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=338,male,بغداد,1963,حزب الدعوة الاسلامية / تنظيم العراق,ائتلاف دولة القانون,مسلم
339,حسين عزيز شاكر جاسم,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=339,male,نجف,1967,كتلة الاحرار,ائتلاف الاحرار,مسلم
340,مناضل جاسم محمد ضاري,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=340,male,كربلاء,1975,كتلة الاحرار,ائتلاف الاحرار,مسلم
341,حسام علي حسين حاجم,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=341,male,بغداد,1970,تجمع الشراكة الوطنية,ائتلاف الاحرار,مسلم
342,حيدر عبدالكاظم نعيمة سباهي,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=342,male,بغداد,1974,تيار الإصلاح الوطني / الدكتور الجعفري,تحالف الاصلاح الوطني / الجعفري,مسلم
334,لويس كارو بندر منصور,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=334,male,دهوك,1954,المجلس الشعبي الكلداني السرياني الآشوري,المجلس الشعبي الكلداني السرياني الاشوري,مسيحي
332,عماد يوخنا ياقو يوخنا,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=332,male,كركوك,1966,قائمة الرافدين,قائمة الرافدين,مسيحي
324,حسين حسب عبدالحسين ضايف,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=324,male,ذي قار,1976,كتلة الاحرار,ائتلاف الاحرار,مسلم
325,نوال جمعة ونان شريدة,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=325,female,ذي قار,1973,كتلة الاحرار,ائتلاف الاحرار,مسلم
326,حسن حلبوص حمزة نصيف,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=326,male,ذي قار,1971,حزب الفضيلة الاسلامي,ائتلاف الفضيله والنخب المستقلة,مسلم
327,علا عوده لايذ شناوة,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=327,female,ذي قار,1968,الوفاء والتنمية,ائتلاف الفضيله والنخب المستقلة,مسلم
328,عبدالھادي عوده اسماعيل ياسين,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=328,male,ذي قار,1976,تجمع الشراكة الوطنية,ائتلاف الاحرار,مسلم
329,ھلال حسين عذيب حمد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=329,male,ذي قار,1968,تيار الإصلاح الوطني / الدكتور الجعفري,تحالف الاصلاح الوطني / الجعفري,مسلم
330,علي طالب عبدالحسن محسن,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=330,male,ذي قار,1965,التضامن في العراق,التضامن في العراق,مسلم
331,زينب ثابت كاظم علي,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=331,female,بابل,1974,كتلة الاحرار,ائتلاف الاحرار,مسلم
343,قاسم حسن ساجت,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=343,male,بغداد,1969,منظمة بدر,ائتلاف دولة القانون,مسلم
344,نجم عبدالله ازغير عبدالله,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=344,male,نينوى,1965,للعراق متحدون,متحدون للاصلاح,مسلم
345,عادل خميس عبداللطيف الفاضل,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=345,male,الانبار,1968,تجمع الافق الجديد,ائتلاف الوفاء للأنبار,مسلم
360,محمود رضا امين,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=360,male,السليمانية,1954,كوران /التغيير,كوران (التغيير),مسلم
361,احمد جاسم صابر محمد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=361,male,بغداد,1971,حزب الدعوة الاسلامية,ائتلاف دولة القانون,مسلم
