id,identifier__skupstina,birth_date,name,image,source,term,party,party_id,start_date,end_date
550a7f5b273a3965683bd852,97,"",Azra Jasavić,http://files.parldata.eu/me/skupstina/people/550a7f5b273a3965683bd852/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/22-skupstina/poslanice-i-poslanici/parlamentarne-partije/pozitivna-crna-gora/97-azra-jasavic,25,Pozitivna Crna Gora,pozitivna-crna-gora,2012,2015
550a7f5c273a3965683bd856,135,1959-01-09,Danijela - Danka Marković,http://files.parldata.eu/me/skupstina/people/550a7f5c273a3965683bd856/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/lista-poslanika-i-poslanica?layout=edit&id=135,25,Socijalistička narodna partija,socijalisticka-narodna-partija,2012,2015
550a7f5c273a3965683bd85a,98,1962-11-14,Mladen Bojanić,http://files.parldata.eu/me/skupstina/people/550a7f5c273a3965683bd85a/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/22-skupstina/poslanice-i-poslanici/parlamentarne-partije/pozitivna-crna-gora/98-mladen-bojanic,25,Pozitivna Crna Gora,pozitivna-crna-gora,2012,2015
550a7f5d273a3965683bd85e,129,1963-06-29,Obrad Gojković,http://files.parldata.eu/me/skupstina/people/550a7f5d273a3965683bd85e/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/31-skupstina/poslanice-i-poslanici/parlamentarne-partije/socijalisticka-narodna-partija/129-obrad-gojkovic,25,Socijalistička narodna partija,socijalisticka-narodna-partija,2012,2015
550a7f5e273a3965683bd862,132,"",Velizar Kaluđerović,http://files.parldata.eu/me/skupstina/people/550a7f5e273a3965683bd862/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/31-skupstina/poslanice-i-poslanici/parlamentarne-partije/socijalisticka-narodna-partija/132-velizar-kaluderovic,25,Socijalistička narodna partija,socijalisticka-narodna-partija,2012,2015
550a7f5f273a3965683bd866,138,1958-03-02,dr Radosav Nišavić,http://files.parldata.eu/me/skupstina/people/550a7f5f273a3965683bd866/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/31-skupstina/poslanice-i-poslanici/parlamentarne-partije/socijalisticka-narodna-partija/138-dr-radosav-nisavic,25,Socijalistička narodna partija,socijalisticka-narodna-partija,2012,2015
550a7f60273a3965683bd86a,131,1969-12-22,mr Aleksandar Damjanović,http://files.parldata.eu/me/skupstina/people/550a7f60273a3965683bd86a/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/31-skupstina/poslanice-i-poslanici/parlamentarne-partije/socijalisticka-narodna-partija/131-mr-aleksandar-damjanovic,25,Socijalistička narodna partija,socijalisticka-narodna-partija,2012,2015
550a7f61273a3965683bd86e,119,1976-11-29,mr Danko Šarančić,http://files.parldata.eu/me/skupstina/people/550a7f61273a3965683bd86e/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/31-skupstina/poslanice-i-poslanici/parlamentarne-partije/socijalisticka-narodna-partija/119-dr-milorad-bakic,25,Socijalistička narodna partija,socijalisticka-narodna-partija,2012,2015
550a7f61273a3965683bd872,113,1971-07-25,Snežana Jonica,http://files.parldata.eu/me/skupstina/people/550a7f61273a3965683bd872/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/31-skupstina/poslanice-i-poslanici/parlamentarne-partije/socijalisticka-narodna-partija/113-snezana-jonica,25,Socijalistička narodna partija,socijalisticka-narodna-partija,2012,2015
550a7f62273a3965683bd876,110,1953-11-02,Neven Gošović,http://files.parldata.eu/me/skupstina/people/550a7f62273a3965683bd876/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/31-skupstina/poslanice-i-poslanici/parlamentarne-partije/socijalisticka-narodna-partija/110-neven-gosovic,25,Socijalistička narodna partija,socijalisticka-narodna-partija,2012,2015
550a7f63273a3965683bd87a,106,"",Srđan Milić,http://files.parldata.eu/me/skupstina/people/550a7f63273a3965683bd87a/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/31-skupstina/poslanice-i-poslanici/parlamentarne-partije/socijalisticka-narodna-partija/106-srdan-milic,25,Socijalistička narodna partija,socijalisticka-narodna-partija,2012,2015
550a7f64273a3965683bd87e,155,"",Prof. dr Jelisava Kalezić,http://files.parldata.eu/me/skupstina/people/550a7f64273a3965683bd87e/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/24-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratski-front/155-prof-dr-jelisava-kalezic,25,Demokratski front,demokratski-front,2012,2015
550a7f65273a3965683bd882,159,"",Milutin Đukanović,http://files.parldata.eu/me/skupstina/people/550a7f65273a3965683bd882/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/24-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratski-front/159-milutin-dukanovic,25,Demokratski front,demokratski-front,2012,2015
550a7f66273a3965683bd886,144,"",dr Strahinja Bulajić,http://files.parldata.eu/me/skupstina/people/550a7f66273a3965683bd886/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/24-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratski-front/144-dr-strahinja-bulajic,25,Demokratski front,demokratski-front,2012,2015
550a7f67273a3965683bd88a,158,"",dr Radovan Asanović,http://files.parldata.eu/me/skupstina/people/550a7f67273a3965683bd88a/image.2.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/lista-poslanika-i-poslanica?layout=edit&id=158,25,Demokratski front,demokratski-front,2012,2015
550a7f68273a3965683bd88e,163,"",Veljko Vasiljević,http://files.parldata.eu/me/skupstina/people/550a7f68273a3965683bd88e/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/24-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratski-front/163-veljko-vasiljevic,25,Demokratski front,demokratski-front,2012,2015
550a7f69273a3965683bd892,161,"",dr Novica Stanić,http://files.parldata.eu/me/skupstina/people/550a7f69273a3965683bd892/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/24-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratski-front/161-dr-novica-stanic,25,Demokratski front,demokratski-front,2012,2015
550a7f6a273a3965683bd896,156,1957-01-04,Emilo Labudović,http://files.parldata.eu/me/skupstina/people/550a7f6a273a3965683bd896/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/24-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratski-front/156-emilo-labudovic,25,Demokratski front,demokratski-front,2012,2015
550a7f6b273a3965683bd89a,153,"",Vladislav Bojović,http://files.parldata.eu/me/skupstina/people/550a7f6b273a3965683bd89a/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/24-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratski-front/153-vladislav-bojovic,25,Demokratski front,demokratski-front,2012,2015
550a7f6c273a3965683bd89e,147,1964-01-06,Slaven Radunović,http://files.parldata.eu/me/skupstina/people/550a7f6c273a3965683bd89e/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/24-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratski-front/147-slaven-radunovic,25,Demokratski front,demokratski-front,2012,2015
550a7f6e273a3965683bd8a2,149,"",Koča Pavlović,http://files.parldata.eu/me/skupstina/people/550a7f6e273a3965683bd8a2/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/24-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratski-front/149-koca-pavlovic,25,Demokratski front,demokratski-front,2012,2015
550a7f6f273a3965683bd8a6,127,1966-05-13,Janko Vučinić,http://files.parldata.eu/me/skupstina/people/550a7f6f273a3965683bd8a6/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/24-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratski-front/127-janko-vucinic,25,Demokratski front,demokratski-front,2012,2015
550a7f70273a3965683bd8aa,142,1950-07-10,Prof. dr Branko Radulović,http://files.parldata.eu/me/skupstina/people/550a7f70273a3965683bd8aa/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/24-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratski-front/142-branko-radulovic,25,Demokratski front,demokratski-front,2012,2015
550a7f71273a3965683bd8ae,140,"",Goran Danilović,http://files.parldata.eu/me/skupstina/people/550a7f71273a3965683bd8ae/image.2.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/lista-poslanika-i-poslanica?layout=edit&id=140,25,Demokratski front,demokratski-front,2012,2015
550a7f72273a3965683bd8b2,134,"",Nebojša Medojević,http://files.parldata.eu/me/skupstina/people/550a7f72273a3965683bd8b2/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/24-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratski-front/134-nebojsa-medojevic,25,Demokratski front,demokratski-front,2012,2015
550a7f73273a3965683bd8b6,137,1956-07-16,Predrag Bulatović,http://files.parldata.eu/me/skupstina/people/550a7f73273a3965683bd8b6/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/24-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratski-front/137-predrag-bulatovic,25,Demokratski front,demokratski-front,2012,2015
550a7f74273a3965683bd8ba,123,1970-01-23,doc. dr Branka Bošnjak,http://files.parldata.eu/me/skupstina/people/550a7f74273a3965683bd8ba/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/24-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratski-front/123-doc-dr-branka-bosnjak,25,Demokratski front,demokratski-front,2012,2015
550a7f75273a3965683bd8be,130,1965-01-19,Andrija Mandić,http://files.parldata.eu/me/skupstina/people/550a7f75273a3965683bd8be/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/24-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratski-front/130-andrija-mandic,25,Demokratski front,demokratski-front,2012,2015
550a7f76273a3965683bd8c2,126,1980-03-24,Milan Knežević,http://files.parldata.eu/me/skupstina/people/550a7f76273a3965683bd8c2/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/24-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratski-front/126-milan-knezevic,25,Demokratski front,demokratski-front,2012,2015
550a7f77273a3965683bd8c6,120,1958-01-13,dr Ljiljana Đurašković,http://files.parldata.eu/me/skupstina/people/550a7f77273a3965683bd8c6/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/24-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratski-front/120-dr-ljiljana-duraskovic,25,Demokratski front,demokratski-front,2012,2015
550a7f78273a3965683bd8ca,117,1947-11-21,Miodrag Lekić,http://files.parldata.eu/me/skupstina/people/550a7f78273a3965683bd8ca/image.2.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/lista-poslanika-i-poslanica?layout=edit&id=117,25,Demokratski front,demokratski-front,2012,2015
550a7f79273a3965683bd8ce,171,"",Žana Filipović,http://files.parldata.eu/me/skupstina/people/550a7f79273a3965683bd8ce/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/26-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratska-partija-socijalista/171-zana-filipovic,25,Demokratska partija socijalista,demokratska-partija-socijalista,2012,2015
550a7f79273a3965683bd8d2,169,"",Nada Drobnjak,http://files.parldata.eu/me/skupstina/people/550a7f79273a3965683bd8d2/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/26-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratska-partija-socijalista/169-nada-drobnjak,25,Demokratska partija socijalista,demokratska-partija-socijalista,2012,2015
550a7f7a273a3965683bd8d6,172,1969-09-24,Radovan Obradović,http://files.parldata.eu/me/skupstina/people/550a7f7a273a3965683bd8d6/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/26-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratska-partija-socijalista/172-radovan-obradovic,25,Demokratska partija socijalista,demokratska-partija-socijalista,2012,2015
550a7f7b273a3965683bd8da,174,"",Zorica Kovačević,http://files.parldata.eu/me/skupstina/people/550a7f7b273a3965683bd8da/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/26-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratska-partija-socijalista/174-zorica-kovacevic,25,Demokratska partija socijalista,demokratska-partija-socijalista,2012,2015
550a7f7c273a3965683bd8de,173,1963-09-12,Željko Aprcović,http://files.parldata.eu/me/skupstina/people/550a7f7c273a3965683bd8de/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/26-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratska-partija-socijalista/173-zeljko-aprcovic,25,Demokratska partija socijalista,demokratska-partija-socijalista,2012,2015
550a7f7d273a3965683bd8e2,167,1958-09-20,mr Branka Tanasijević,http://files.parldata.eu/me/skupstina/people/550a7f7d273a3965683bd8e2/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/26-skupstina/poslanice-i-poslanici/parlamentarne-partije/demokratska-partija-socijalista/167-mr-branka-tanasijevic,25,Demokratska partija socijalista,demokratska-partija-socijalista,2012,2015
