name,area,group,term
Ahmed NAZIM,DHIHGARU,Progressive Party of Maldives,2014
Ibrahim NASEER,MULAKU,Maldives Democratic Party,2014
Ali MOHAMED,HOLHUDHOO,Maldives Democratic Party,2014
Ali MAUROOF,KENDHIKULHUDHOO,Maldives Development Alliance,2014
Umar HUSSAIN,MANADHOO,Maldives Development Alliance,2014
Abdullah YAMEEN,VELIDHOO,Maldives Democratic Party,2014
Mohamed Rasheed HUSSAIN,ALIFUSHI,Maldives Democratic Party,2014
Mohamed ALI,DHUVAAFARU,Progressive Party of Maldives,2014
Ibrahim FALAAH,INGURAIDHOO,Progressive Party of Maldives,2014
Mohamed AMEETH,MADUVVARI,Progressive Party of Maldives,2014
Jaufar DAAOOD,UNGOOFAARU,Progressive Party of Maldives,2014
Ali SALEEM,FUNADHOO,Progressive Party of Maldives,2014
Mohamed HUSSAIN,KANDITHEEMU,Republican Party,2014
Ahmed NASHID,KOMMANDOO,Maldives Democratic Party,2014
Hassan Mufeed A QADHIR,MILANDHOO,Republican Party,2014
Hussain Manik DHONMANIK,GURAIDHOO,Progressive Party of Maldives,2014
Abdullah RIYAZ,KINBIDHOO,Republican Party,2014
Mohamed MUSTHAFA,THIMARAFUSHI,Maldives Democratic Party,2014
Riyaz RASHEED,VILUFUSHI,Progressive Party of Maldives,2014
Ahmed MARZOOQ,FELIDHOO,Maldives Democratic Party,2014
Moosa Nizar IBRAHIM,KEYODHOO,Republican Party,2014
