id,name,term,source,image,birth_date,birth_place,nationality,area,group
1981,Алихонов Борий Ботирович,5,http://www.parliament.gov.uz/uz/structure/deputy/1981,http://www.parliament.gov.uz/upload/iblock/c2b/_mg_4325.jpg,1961-06-08,Тошкент шаҳри,ўзбек,Марказий кенгаш ижроия қўмитаси,Ўзбекистон экологик ҳаракати депутатлар гуруҳи
13993,Арзикулов Сахобиддин Жиянбоевич,5,http://www.parliament.gov.uz/uz/structure/deputy/13993,"",1969-12-28,"Самарқанд вилояти, Иштихон тумани",ўзбек,52-Булунғур сайлов округи,Ўзбекистон Халқ демократик партиясининг фракцияси
14013,Арипов Даврон Рахимович,5,http://www.parliament.gov.uz/uz/structure/deputy/14013,"",1974-10-12,Тошкент шаҳри,ўзбек,78-Бекобод сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
14394,Артиков Бекзод Хатамович,5,http://www.parliament.gov.uz/uz/structure/deputy/14394,"",1982-01-27,"Сирдарё вилояти, Гулистон шаҳри",ўзбек,64-Гулистон сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
2198,Аҳмедов Аҳад Амириддинович,5,http://www.parliament.gov.uz/uz/structure/deputy/2198,http://www.parliament.gov.uz/upload/iblock/5f4/_mg_4381.jpg,1964-01-29,"Самарқанд вилояти, Пахтачи тумани",ўзбек,35-Қизилтепа,Ўзбекистон Халқ демократик партиясининг фракцияси
14168,Бабашев Қутлимурат Айтмуратович,5,http://www.parliament.gov.uz/uz/structure/deputy/14168,"",1975-08-25,"Қорақалпоғистон Республикаси, Хўжайли тумани",қорақалпоқ,1-Нукус сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14384,Бафаев Шухрат Гафурович,5,http://www.parliament.gov.uz/uz/structure/deputy/14384,"",1963-06-19,"Бухоро вилояти, Ғиждувон тумани",ўзбек,28-Ғиждувон сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14403,Бекатова Зумрад Рахимбаевна,5,http://www.parliament.gov.uz/uz/structure/deputy/14403,"",1968-01-14,"Қорақалпоғистон Республикаси, Амударё тумани",ўзбек,3-Элликқалъа сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
14044,Бурханов Акмал Эшондедаевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14044,"",1981-05-26,"Наманган вилояти, Наманган шаҳри",ўзбек,44-Тўрақўрғон сайлов округи,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
13994,Бутаев Уткир Умирович,5,http://www.parliament.gov.uz/uz/structure/deputy/13994,"",1971-08-29,"Қашқадарё вилояти, Шаҳрисабз тумани",ўзбек,113-Бешкент сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14023,Владислав Олегович Цветков,5,http://www.parliament.gov.uz/uz/structure/deputy/14023,"",1978-02-22,Тошкент шаҳри,рус,134-Қўйлиқ сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14404,Гаппоров Хайрилло Лутпиллаевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14404,"",1971-12-09,"Наманган вилояти, Наманган тумани",ўзбек,Экоҳаракат депутатлар гуруҳи,Ўзбекистон экологик ҳаракати депутатлар гуруҳи
14401,Ғафурова Марҳабба Низамидиновна,5,http://www.parliament.gov.uz/uz/structure/deputy/14401,"",1971-11-10,"Самарқанд вилояти, Самарқанд шаҳри",ўзбек,50-Регистон сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
2177,Ғофуров Аҳмаджон Мамашарипович,5,http://www.parliament.gov.uz/uz/structure/deputy/2177,http://www.parliament.gov.uz/upload/iblock/427/_mg_4454.jpg,1959-03-08,Марҳамат тумани,ўзбек,16-Пахтаобод,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14026,Дадаходжаева Мухаррам Эсонуллаевна,5,http://www.parliament.gov.uz/uz/structure/deputy/14026,"",1973-04-08,"Андижон вилояти, Андижон шаҳри",ўзбек,19-Хортум сайлов округи,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
2199,Жакбаров Садиржон Аминжонович,5,http://www.parliament.gov.uz/uz/structure/deputy/2199,http://www.parliament.gov.uz/upload/iblock/0b4/_mg_4328.jpg,1957-02-21,Андижон вилояти,ўзбек,Фарғона вилояти,Ўзбекистон экологик ҳаракати депутатлар гуруҳи
14169,Жалилов Авазбек Абдужаминович,5,http://www.parliament.gov.uz/uz/structure/deputy/14169,"",1964-04-23,"Андижон вилояти, Хўжаобод тумани",ўзбек,20-Чинобод сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
14184,Жалилова Дилфуза Каримовна,5,http://www.parliament.gov.uz/uz/structure/deputy/14184,"",1967-12-24,"Қашқадарё вилояти, Қарши шаҳри",ўзбек,112-Қарши сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
14185,Жамолдинова Одинахон Расуловна,5,http://www.parliament.gov.uz/uz/structure/deputy/14185,"",1970-05-29,"Фарғона вилояти, Ўзбекистон тумани",ўзбек,92-Яйпан сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14014,Жумабаев Акмалжон Адилович,5,http://www.parliament.gov.uz/uz/structure/deputy/14014,"",1983-02-25,"Андижон вилояти, Қўрғонтепа тумани",ўзбек,10-Олтинкўл сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
14160,Жумаев Ойбек Чариевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14160,"",1968-11-05,"Сурхондарё вилояти, Термиз шаҳри",ўзбек,69-Ангор сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
498,Жумамуратова Клара Шоҳназаровна,5,http://www.parliament.gov.uz/uz/structure/deputy/498,http://www.parliament.gov.uz/upload/iblock/8bb/djamamuratova-k-h.jpg,1961-07-27,"Хоразм вилояти, Урганч шаҳри",ўзбек,105-Урганч,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14199,Жуманиёзов Кувондик Йўлдашевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14199,"",1966-03-24,"Хоразм вилояти, Хонқа тумани",ўзбек,Экоҳаракат депутатлар гуруҳи,Ўзбекистон экологик ҳаракати депутатлар гуруҳи
2149,Жўраев Қодир Асадович,5,http://www.parliament.gov.uz/uz/structure/deputy/2149,http://www.parliament.gov.uz/upload/iblock/d42/_mg_4346.jpg,1972-08-11,"Бухоро вилояти, Вобкент тумани",ўзбек,21-Бухоро,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
14043,Закир Сабирджанович Умаров,5,http://www.parliament.gov.uz/uz/structure/deputy/14043,"",1980-01-11,"Россия Федерацияси, Владикавказ шахри",ўзбек,125-Дархон сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
506,Зиё Азамат Хамид ўғли,5,http://www.parliament.gov.uz/uz/structure/deputy/506,http://www.parliament.gov.uz/upload/iblock/a5a/zie.jpg,1963-06-23,Тошкент шаҳри,ўзбек,126-Темирйўлчилар,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
14175,Зокиров Исломжон Илҳомжонович,5,http://www.parliament.gov.uz/uz/structure/deputy/14175,"",1979-06-12,"Фарғона вилояти, Тошлоқ тумани",ўзбек,101-Тошлоқ сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14176,Ибрагимова Фируза Баходирхоновна,5,http://www.parliament.gov.uz/uz/structure/deputy/14176,"",1970-11-24,"Бухоро вилояти, Бухоро шаҳар",ўзбек,22-Когон сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
13901,Исмоилов Нурдинжон Мўйдинхонович,5,http://www.parliament.gov.uz/uz/structure/deputy/13901,http://www.parliament.gov.uz/upload/iblock/ef5/mpynqejhdkfkasfl%20kgwjevyyezmmxeskuq.jpg,1959-01-20,"Наманган вилояти, Учқўрғон тумани",ўзбек,47-Чортоқ,""
2157,Исмоилов Соҳибжон Ибрагимович,5,http://www.parliament.gov.uz/uz/structure/deputy/2157,http://www.parliament.gov.uz/upload/iblock/33d/_mg_4427.jpg,1963-06-13,"Фарғона вилояти, Риштон шахри",ўзбек,95-Риштон,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14161,Кадиров Алишер Келдиевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14161,"",1975-03-12,Тошкент шаҳри,ўзбек,33-Пахтакор сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
13902,Камилов Рустам Туйчиевич,5,http://www.parliament.gov.uz/uz/structure/deputy/13902,http://www.parliament.gov.uz/upload/iblock/2e9/uqnekwsresgdsa%20vwurvoqutflr.jpg,1972-08-19,Тошкент шаҳри,ўзбек,128-Саноат,Ўзбекистон Халқ демократик партиясининг фракцияси
2140,Карамова Комила Зайдуллаевна,5,http://www.parliament.gov.uz/uz/structure/deputy/2140,http://www.parliament.gov.uz/upload/iblock/b9c/_mg_4354.jpg,1960-10-20,Қарши шаҳри,ўзбек,123-Насаф,Ўзбекистон Халқ демократик партиясининг фракцияси
2132,Каримов Раҳматилла Ҳамидиллаевич,5,http://www.parliament.gov.uz/uz/structure/deputy/2132,http://www.parliament.gov.uz/upload/iblock/069/_mg_4591.jpg,1966-01-26,"Тошкент вилояти, Зангиота тумани",ўзбек,132-Тўқимачи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14036,Каримов Тўлкинжон Пайзиевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14036,"",1968-05-10,"Андижон вилояти, Андижон шаҳри",ўзбек,9-Андижон сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
13944,Кетмонов Хатамжон Абдурахмонович,5,http://www.parliament.gov.uz/uz/structure/deputy/13944,http://www.parliament.gov.uz/upload/iblock/cf0/zgszoeaabwhryfvu%20xbdvejdehbscbcfb.jpg,1969-05-22,"Андижон вилояти, Балиқчи тумани",ўзбек,11-Бўз,Ўзбекистон Халқ демократик партиясининг фракцияси
14177,Кобилов Рустам Ражаббойевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14177,"",1984-05-08,"Самарқанд вилояти, Тайлоқ тумани",ўзбек,55-Қорадарё сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14385,Кошелапова Людмила Викторовна,5,http://www.parliament.gov.uz/uz/structure/deputy/14385,"",1959-01-30,Туркманистон,рус,87-Қибрай сайлов округи,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
14395,Кушербаев Расул Хидралиевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14395,"",1987-01-12,"Тошкент вилояти, Янгийўл тумани",қозоқ,88-Янгийўл сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
2168,Қирғизбоев Абдуғаппор Каримжонович,5,http://www.parliament.gov.uz/uz/structure/deputy/2168,http://www.parliament.gov.uz/upload/iblock/779/%20--49%20copy.jpg,1962-08-10,Наманган вилояти,ўзбек,49-Янгиқўрғон,Ўзбекистон Халқ демократик партиясининг фракцияси
2143,Қувватов Фарҳоджон Муродуллаевич,5,http://www.parliament.gov.uz/uz/structure/deputy/2143,http://www.parliament.gov.uz/upload/iblock/071/_mg_4321.jpg,1977-03-16,Самарқанд вилояти,ўзбек,Навоий вилояти,Ўзбекистон экологик ҳаракати депутатлар гуруҳи
14027,Қулматов Шерзод Дўстмурадович,5,http://www.parliament.gov.uz/uz/structure/deputy/14027,"",1981-05-15,"Сирдарё вилояти, Гулистон шаҳри",ўзбек,67-Оқолтин сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
13995,Қурбонбоев Мақсуд Камилович,5,http://www.parliament.gov.uz/uz/structure/deputy/13995,"",1973-10-20,"Хоразм вилояти, Қўшкўпир тумани",ўзбек,109-Хонқа сайлов округи,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
2125,Қурбонов Абдураҳим Эшонқулович,5,http://www.parliament.gov.uz/uz/structure/deputy/2125,http://www.parliament.gov.uz/upload/iblock/0d8/_mg_4331.jpg,1974-05-10,"Сурхондарё вилояти, Жарқўрғон тумани",ўзбек,Сурхондарё вилояти,Ўзбекистон экологик ҳаракати депутатлар гуруҳи
14015,Мамаджанов Шухрат Муратович,5,http://www.parliament.gov.uz/uz/structure/deputy/14015,"",1979-02-02,Тошкент шаҳри,ўзбек,127-Қорақамиш сайлов округи,Ўзбекистон Халқ демократик партиясининг фракцияси
2200,Мамараҳимов Ойбек Муротович,5,http://www.parliament.gov.uz/uz/structure/deputy/2200,http://www.parliament.gov.uz/upload/iblock/435/_mg_4336.jpg,1974-04-25,Жиззах вилояти,ўзбек,Жиззах вилояти,Ўзбекистон экологик ҳаракати депутатлар гуруҳи
14038,Маткурбанов Рашид Жолдасбаевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14038,"",1977-10-09,"Қорақалпоғистон Республикаси, Чимбой тумани",қорақалпоқ,6-Чимбой сайлов округи,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
14405,Матякубов Анварбек Эгамович,5,http://www.parliament.gov.uz/uz/structure/deputy/14405,"",1960-10-04,"Хоразм вилояти, Урганч шаҳри",ўзбек,106-Боғот сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14178,Махматмуродов Алишер Улмасович,5,http://www.parliament.gov.uz/uz/structure/deputy/14178,"",1967-07-20,"Самарқанд вилояти, Ургут тумани",ўзбек,63-Қоратепа сайлов округи,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
13996,Мирзаев Кахрамон Эльмуратович,5,http://www.parliament.gov.uz/uz/structure/deputy/13996,"",1982-05-17,"Сурхондарё вилояти, Денов шаҳри",ўзбек,74-Денов сайлов округи,Ўзбекистон Халқ демократик партиясининг фракцияси
14200,Мухторов Нодиржон Илхомжонович,5,http://www.parliament.gov.uz/uz/structure/deputy/14200,"",1982-01-19,"Наманган вилояти, Поп тумани",ўзбек,43-Поп сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
2141,Муҳаммадиев Меҳриддин Мамадиёрович,5,http://www.parliament.gov.uz/uz/structure/deputy/2141,http://www.parliament.gov.uz/upload/iblock/25f/_mg_4444.jpg,1968-06-09,"Самарқанд вилояти, Каттақўрғон тумани",ўзбек,62- Ургут,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14028,Назиркулов Атхам Ахаткулович,5,http://www.parliament.gov.uz/uz/structure/deputy/14028,"",1966-09-15,"Тошкент вилояти, Пискент тумани","",82-Олмалиқ сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14162,Насиров Кабил Эркинович,5,http://www.parliament.gov.uz/uz/structure/deputy/14162,"",1959-12-09,Тошкент шаҳри,ўзбек,"",Ўзбекистон экологик ҳаракати депутатлар гуруҳи
14029,Насыров Джамол Шухратович,5,http://www.parliament.gov.uz/uz/structure/deputy/14029,"",1985-06-12,"Бухоро вилояти, Бухоро шаҳри",ўзбек,27-Жилвон сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
13953,Ниёзматов Бахром Бахтиёрович,5,http://www.parliament.gov.uz/uz/structure/deputy/13953,http://www.parliament.gov.uz/upload/iblock/798/ioopdtuftymbitcdmh%20rhgpfokrdqao.jpg,1966-11-01,"Фарғона вилояти, Қува тумани",ўзбек,15-Хўжаобод,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
535,Ниёзова Жамила Абдуқодировна,5,http://www.parliament.gov.uz/uz/structure/deputy/535,http://www.parliament.gov.uz/upload/iblock/544/niyazova.jpg,1958-04-14,Нукус шаҳри,қорақалпоқ,8-Оқманғит,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
13997,Номозов Сиддик Каххорович,5,http://www.parliament.gov.uz/uz/structure/deputy/13997,"",1972-01-20,"Самарқанд вилояти, Қўшработ тумани",ўзбек,57-Оқдарё сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
14386,Норбоев Турсунпўлат Юсупович,5,http://www.parliament.gov.uz/uz/structure/deputy/14386,"",1961-10-15,"Сурхондарё вилояти, Жарқўрғон тумани",ўзбек,71-Жарқўрғон сайлов округи,Ўзбекистон Халқ демократик партиясининг фракцияси
14179,Носиров Илхом Аббосович,5,http://www.parliament.gov.uz/uz/structure/deputy/14179,"",1966-02-25,25.02.1966,ўзбек,100-Водил сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14387,Обиджонов Баҳромжон Анваржонович,5,http://www.parliament.gov.uz/uz/structure/deputy/14387,"",1970-10-04,"Фарғона вилояти, Олтиариқ тумани",ўзбек,96-Олтиариқ сайлов округи,Ўзбекистон Халқ демократик партиясининг фракцияси
2201,Отажонов Жуманазар Озодович,5,http://www.parliament.gov.uz/uz/structure/deputy/2201,http://www.parliament.gov.uz/upload/iblock/77e/_mg_4298.jpg,1976-06-11,"Хоразм вилояти, Хива шаҳри",ўзбек,110-Хива,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
2112,Отамуратов Сарвар Саъдуллаевич,5,http://www.parliament.gov.uz/uz/structure/deputy/2112,http://www.parliament.gov.uz/upload/iblock/930/lkaueqtkbkhxawwantnh%20rbytnrojiysu.jpg,1973-04-22,Тошкент шаҳри,ўзбек,108-Ҳазорасп,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
14163,Пак Виктор Николаевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14163,"",1958-12-26,"Тошкент вилояти, Бекобод тумани",корейс,84-Тўйтепа сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14167,Пардаев Азамат Кенжабоевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14167,"",1973-06-06,"Самарқанд вилояти, Самарқанд шаҳри",ўзбек,56-Нарпай сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
14396,Пирматов Жамшид Азимович,5,http://www.parliament.gov.uz/uz/structure/deputy/14396,"",1977-11-23,"Қашқадарё вилояти, Қарши шаҳри",ўзбек,115-Нишон сайлов округи,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
14016,Полванов Шухрат Тагаймуратович,5,http://www.parliament.gov.uz/uz/structure/deputy/14016,"",1977-12-11,"Самарқанд вилояти, Пастдарғом тумани",ўзбек,60-Самарқанд сайлов округи,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
14030,Раджапов Нодирбек Мухторович,5,http://www.parliament.gov.uz/uz/structure/deputy/14030,"",1972-12-18,"Жиззах вилояти, Зарбдор тумани",ўзбек,31-Зарбдор сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14031,Расулов Хамдамбек Курбаналиевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14031,"",1981-04-12,"Сурхондарё вилояти, Узун тумани",ўзбек,68-Шеробод сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14180,Рахимов Шерзод Абдухалилович,5,http://www.parliament.gov.uz/uz/structure/deputy/14180,"",1984-07-30,"Фарғона вилояти, Қува тумани",ўзбек,99-Фарғона сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
2203,Раҳматов Саттор Неъматович,5,http://www.parliament.gov.uz/uz/structure/deputy/2203,http://www.parliament.gov.uz/upload/iblock/2db/_mg_4394.jpg,1973-05-05,Китоб тумани,ўзбек,119-Чироқчи,Ўзбекистон Халқ демократик партиясининг фракцияси
2142,Раҳмонов Акмал Эргашевич,5,http://www.parliament.gov.uz/uz/structure/deputy/2142,http://www.parliament.gov.uz/upload/iblock/b37/_mg_4302.jpg,1967-08-30,Наманган вилояти,ўзбек,45-Уйчи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
2185,Рўзметов Хайрулло Ибодуллаевич,5,http://www.parliament.gov.uz/uz/structure/deputy/2185,http://www.parliament.gov.uz/upload/iblock/6b4/_mg_4450.jpg,1964-10-14,Хоразм вилояти,ўзбек,111-Шовот сайлов округи,Ўзбекистон Халқ демократик партиясининг фракцияси
14170,Сабиров Назир Нажметдинович,5,http://www.parliament.gov.uz/uz/structure/deputy/14170,"",1973-05-25,"Самарқанд вилояти, Самарқанд шаҳри",ўзбек,26-Пайкент сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
13998,Саидахметова Нилуфар Зокиржоновна,5,http://www.parliament.gov.uz/uz/structure/deputy/13998,"",1978-11-30,"Тошкент вилояти, Чирчиқ шаҳри",тожик,79-Бўка сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
550,Саидов Акмал Холматович,5,http://www.parliament.gov.uz/uz/structure/deputy/550,http://www.parliament.gov.uz/upload/iblock/309/_mg_4612.jpg,1958-10-11,Тошкент вилояти,ўзбек,117- Касби,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
14397,Саматов Улуғбек Гаффарович,5,http://www.parliament.gov.uz/uz/structure/deputy/14397,"",1977-11-30,Тошкент шаҳри,ўзбек,133-Кўкча сайлов округи,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
2204,Самойлов Сергей Владимирович,5,http://www.parliament.gov.uz/uz/structure/deputy/2204,http://www.parliament.gov.uz/upload/iblock/092/_mg_4330.jpg,1952-09-05,Тошкент шаҳри,рус,Тошкент вилояти,Ўзбекистон экологик ҳаракати депутатлар гуруҳи
14017,Саъдуллаев Дилмурод Сафохонович,5,http://www.parliament.gov.uz/uz/structure/deputy/14017,"",1983-07-23,"Самарќанд вилояти, Оќдарё тумани",ўзбек,53-Иштихон сайлов округи,Ўзбекистон Халқ демократик партиясининг фракцияси
2121,Свешников Полянте Грамитонович,5,http://www.parliament.gov.uz/uz/structure/deputy/2121,http://www.parliament.gov.uz/upload/iblock/4d5/cvcchqwmprpovfcsz%20--129.jpg,1954-03-27,"Грузия, Кеда қишлоғи",рус,129-Дўмбиробод,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14039,Сулаймонов Умиджон Қурбонович,5,http://www.parliament.gov.uz/uz/structure/deputy/14039,"",1983-08-23,Фарғона вилояти Қўштепа тумани,ўзбек,97-Қўштепа сайлов округи,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
13999,Султонов Зафар Рашидович,5,http://www.parliament.gov.uz/uz/structure/deputy/13999,"",1981-04-11,"Навоий вилояти, Навбаҳор тумани",ўзбек,38-Нурота сайлов округи,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
14388,Таджиев Одилжон Патихджонович,5,http://www.parliament.gov.uz/uz/structure/deputy/14388,"",1984-09-11,"Тошкент шаҳри, Шайҳонтохур тумани",ўзбек,85-Чиноз сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
14406,Тангиров Даврон Хуррамович,5,http://www.parliament.gov.uz/uz/structure/deputy/14406,"",1974-04-01,"Сурхондарё вилояти, Бойсун тумани",ўзбек,75-Сариосиё сайлов округи,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
14000,Темирханова Бибисанем Таджибаевна,5,http://www.parliament.gov.uz/uz/structure/deputy/14000,"",1964-07-14,"Қорақалпоғистон Республикаси, Нукус шаҳри",қорақалпоқ,2-Тўрткўл сайлов округи,""
