incoming_name,existing_name,id,confidence
Ahmad Sahroni,"H. AHMAD SAHRONI, SE",1392,86.95652173913044
Venna Melinda,"VENNA MELINDA, SE.",436,86.95652173913044
Nazarudin Kiemas,"Ir. NAZARUDIN KIEMAS, MM",342,86.66666666666667
Adang Daradjatun,Drs. H. ADANG DARADJATUN,457,86.66666666666667
Utut Adianto,Drs. UTUT ADIANTO,294,85.71428571428571
Sudjadi,Ir. SUDJADI,291,85.71428571428571
Fahri Hamzah,"FAHRI HAMZAH, SE.",546,85.71428571428571
Teuku Riefky Harsa,H. TEUKU RIEFKY HARSYA,462,85.71428571428571
Khatibul Umam Wiranu,"KHATIBUL UMAM WIRANU, M.HUM",420,85.71428571428571
Mukhamad Misbakhun,"H. MUKHAMAD MISBAKHUN, S.E.",531,85.71428571428571
Ade Rezki Pratama,"ADE REZKI PRATAMA, SE, MM",1352,85.71428571428571
Abdul Malik Haramain,"ABDUL MALIK HARAMAIN, M.Si.",61,85.71428571428571
Andi Muhammad Ghalib,"H. ANDI MUHAMMAD GHALIB, SH, MH",668,85.71428571428571
Betti Shadiq Pasadigoe,"BETTI SHADIQ PASADIGOE, SE, Ak, MM",1347,85.0
Evita Nursanty,"EVITA NURSANTY, M.Sc",282,84.61538461538461
Fadel Muhammad,Dr. Ir. FADEL MUHAMMAD,1602,84.61538461538461
John Kenedy Azis,"H. JOHN KENEDY AZIS, SH.",1351,84.61538461538461
Ansory Siregar,"H. ANSORY SIREGAR, Lc.",560,84.61538461538461
Nurzahedi,"H. NURZAHEDI, SE",1358,84.21052631578947
Khrisna Mukti,KRISNA MUKTI,1420,84.21052631578947
Zulfadhli,Ir. H. ZULFADHLI,142,84.21052631578947
Bambang Wuryanto,"Ir. BAMBANG WURYANTO, MBA",283,83.87096774193549
Rofi' Munawar,"H. ROFI' MUNAWAR, Lc.",533,83.33333333333334
Biem Triani Benjamin,"H. BIEM TRIANI BENJAMIN, BSC, MM",1391,83.33333333333334
Ibnu Multazam,Drs. H. IBNU MULTAZAM,75,83.33333333333334
Rachmat Hidayat,"H. RACHMAT HIDAYAT,SH.",332,82.75862068965517
Iskan Qolba Lubis,"H. ISKAN QOLBA LUBIS, M.A.",559,82.75862068965517
Putih Sari,drg. PUTIH SARI,168,82.35294117647058
Rudi Hartono Bangun,"H. RUDI HARTONO BANGUN, SE, MAP",1342,82.35294117647058
Meutya Hafid,MEUTYA VIADA HAFID,195,81.81818181818183
Indah Kurnia,INDAH KURNIAWATI,300,81.81818181818183
Tamsil Linrung,"TAMSIL LINRUNG, S.Pd.",549,81.48148148148148
Totok Daryanto,"H. TOTOK DARYANTO, S.E.",5,81.48148148148148
Syaifullah Tamliha,"H. SYAIFULLAH TAMLIHA, S.Pi, MS",232,81.08108108108108
Edhie Baskoro Yudhoyono,"EDHIE BASKORO YUDHOYONO, B.Com, M.SC",437,80.0
Ahmad Riza Patria,"Ir. H. AHMAD RIZA PATRIA, MBA",1408,80.0
Nurhayati Ali Assegaf,"Dr. Hj. NURHAYATI ALI ASSEGAF, M.SI",432,80.0
Irgan Chairul Mahfiz,"Drs. H. IRGAN CHAIRUL MAHFIZ, M.Si",206,78.94736842105263
Aditya Mufti Ariffin,"H.M. ADITYA MUFTI ARIFFIN, SH, MH.",233,78.94736842105263
Trimedya Panjaitan,"TRIMEDYA PANJAITAN, S.H., M.H.",347,78.94736842105263
Zainul Arifin Noor,"Dr. H. ZAINUL ARIFIN NOOR, SE, MM",1566,78.78787878787878
Djoko Udjianto,"Dr. Ir. DJOKO UDJIANTO, MM",410,78.57142857142857
Zulkifli Hasan,"ZULKIFLI HASAN, SE., MM.",777,78.57142857142857
Nico Siahaan,"JUNICO BP SIAHAAN, SE",1396,78.26086956521739
Achmad Amins,"DR. H. ACHMAD AMINS, MM",1574,78.26086956521739
Nasril Bahar,"H. NASRIL BAHAR, S.E.",50,78.26086956521739
Pius Lustrilanang,"PIUS LUSTRILANANG, S.IP, M.Si",312,77.77777777777779
Muhaimin Iskandar,"Drs. A. MUHAIMIN ISKANDAR, M.Si",1229,77.77777777777779
Fayakhun Andriadi,"Ir. FAYAKHUN ANDRIADI, M.Kom.",96,77.77777777777779
Achmad Dimyati Natakusumah,"Dr. H. R. ACHMAD DIMYATI NATAKUSUMAH, SH, MH, M.Si",205,77.77777777777779
Ahmadi Noor Supit,"Ir. H. AHMADI NOOR SUPIT, M.BA",144,77.41935483870968
Rinto Subekti,"RINTO SUBEKTI,SE,MM",413,76.92307692307693
Saiful Rasyid,"Drs. H. SAIFUL RASYID, MM",1569,76.92307692307693
Setya Novanto,"Drs. SETYA NOVANTO, Ak.",163,76.92307692307693
Ade Komarudin,"Dr. ADE KOMARUDIN, M.H.",111,76.92307692307693
Al Muzzammil Yusuf,"Drs. AL MUZZAMMIL YUSUF, M.Si.",542,76.47058823529412
Taufik Kurniawan,"Dr. Ir. TAUFIK KURNIAWAN, M.M.",17,76.47058823529412
Tjatur Sapto Edy,"Ir. H. TJATUR SAPTO EDY, M.T.",16,75.86206896551724
Ruhut Sitompul,"RUHUT POLTAK SITOMPUL, SH",507,75.86206896551724
Muhammad Nasir Djamil,"MUHAMMAD NASIR, SH",477,75.86206896551724
Dito Ganinduto,"H. DITO GANINDUTO, M.B.A.",128,75.86206896551724
Linda Megawati,"LINDA MEGAWATI, SE., M.Si",389,75.86206896551724
Muhammad Iqbal,"MUHAMMAD IQBAL, SE, M.Com",242,75.86206896551724
Epyardi Asda,"H. EPYARDI ASDA, M,Mar",241,75.0
Kardaya Warnika,"Dr. Ir. H. KARDAYA WARNIKA, DEA",1428,75.0
Hasrul Azwar,"Drs. H. HASRUL AZWAR, MM",230,75.0
Sadarestuwati,"HJ. SADARESTUWATI, SP, M.MA",315,75.0
Budiman Sudjatmiko,"BUDIMAN SUDJATMIKO, M.Sc, M.Phil",295,75.0
Budi Supriyanto,Drs. SUPRIYANTO,1516,75.0
Junimart Girsang,"DR. JUNIMART GIRSANG, SH, MBA, MH",1340,74.28571428571429
Chairul Anwar,"Drs. CHAIRUL ANWAR, Apt.",547,74.07407407407408
Hermanto,Dr. AGUS HERMANTO,407,73.68421052631578
Jazuli Juwaini,"H. JAZULI JUWAINI, Lc., M.A.",390,73.33333333333333
Arief Suditomo,"MOH. ARIEF S. SUDITOMO, SH, MA",1398,73.33333333333333
Wahidin Halim,"Drs. H. WAHIDIN HALIM, M.Si",1546,71.42857142857143
Okky Asokawati,"Dra. HJ. OKKY ASOKAWATI, M.Si",207,70.96774193548387
Aziz Syamsuddin,"DR. HM. AZIS SYAMSUDDIN, SH.",1047,70.96774193548387
Bambang Soesatyo,"H. BAMBANG SOESATYO, S.E., M.B.A.",127,70.27027027027027
Jon Erizal,"H. JON ERIZAL, SE, MBA",1356,70.0
Sa'duddin,"DR. H. SA'DUDDIN, M.M.",1421,69.56521739130434
Akbar Faizal,"Drs. AKBAR FAIZAL, M.Si.",13,69.23076923076923
Bachtiar Aly,"PROF. DR. BACHTIAR ALY, MA",1319,69.23076923076923
Asril Tanjung,"ASRIL HAMZAH TANJUNG, SIP.",1387,68.96551724137932
Guntur Sasono,"Drs. H. GUNTUR SASONO, M.Si.",441,68.96551724137932
Syamsul Bachri Chaeruddin,H. SYAMSUL BACHRI,724,68.75
Pramono Anung,Ir. H. PRAMONO ANUNG WIBOWO. MM,310,66.66666666666666
Airlangga Hartarto,"Ir. H. AIRLANGGA HARTARTO, M.M.T., M.B.A.",108,66.66666666666666
Benny Kabur Harman,"Dr. BENNY K. HARMAN, SH",472,66.66666666666666
Muslim,"MUSLIM, SHI, MM",365,66.66666666666666
Guruh Soekarnoputra,M. GURUH IRIANTO SUKARNO PUTRA,299,64.86486486486487
Arzetti Bilbina,"ARZETTY BILBINA SETYAWAN, SE.",1628,64.70588235294117
Siti Hediati Hariyadi,"SITI HEDIATI SOEHARTO, SE",1478,64.70588235294117
Ahmad Basarah,"DRS.ACHMAD BASARAH,MH",303,64.28571428571429
Abdul Hakim,"Ir. K.H. ABDUL HAKIM, M.M.",543,64.0
Imam Suroso,"Drs. H. IMAM SUROSO, SH,MM",281,64.0
Ermalena,Dra. Hj. ERMALENA MHS.,1555,63.63636363636363
Mahyudin,"MAHYUDIN, S.T., M.M.",148,63.63636363636363
Hidayat Nur Wahid,"DR. H. MUHAMMAD HIDAYAT NUR WAHID, M.A.",526,63.1578947368421
M. Romahurmuziy,"IR. H. MUHAMMAD ROMAHURMUZIY, MT",225,62.857142857142854
Teuku Taufiqulhadi,"Drs. T. TAUFIQULHADI, M.Si.",1495,62.857142857142854
Asman Abnur,"H. ASMAN ABNUR, S.E., M.Si.",36,61.53846153846154
Dede Yusuf,"DEDE YUSUF M.E., ST, M.Si",1402,60.86956521739131
Rachel Maryam,RACHEL MARIAM SAYIDINA,135,59.25925925925925
Fadli Zon,"FADLI ZON, S.S., M.Sc.",1416,57.14285714285714
Ali Umri,"H. M. ALI UMRI, SH, M.Kn",1339,55.55555555555556
Ahmad Hanafi Rais,"H. A. HANAFI RAIS, S.IP, MPP",1480,55.172413793103445
Suir Syam,"dr. H. SUIR SYAM, M.Kes, MMR",1348,52.17391304347826
Aboe Bakar,"HABIB ABOE BAKAR ALHABSYI, SE",1567,51.85185185185185
E.E. Mangindaan,"EVERT ERENST MANGINDAAN, S.Ip.",748,51.42857142857142
Mulyadi (politisi),Ir. H. MULYADI,495,50.0
Mahfudz Siddiq,"Drs. H. MAHFUZ SIDIK, M.Si.",520,48.275862068965516
Sartono (politikus),"SARTONO, SE., MM.",1517,42.857142857142854
