name,state,constituency,wikipedia,party_id,party,term,source,area,coalition,coalition_id
Abdillah Abdul Hamid,Sabah,Silam,,BERJAYA,Sabah People's United Front,6,"","Silam, Sabah",Barisan Nasional,BN
Abdillah Hassan,Sabah,Semporna,,IND,Independent,6,"","Semporna, Sabah",,
Abu Bakar Umar,Kedah,Kota Setar,,PAS,Pan-Malaysian Islamic Party,6,"","Kota Setar, Kedah",,
Affendy Mohd. Fuad Stephens,Sabah,Marudu,,IND,Independent,6,"","Marudu, Sabah",,
Ahmed Hambal Yeop Majlis,Perak,Parit,,UMNO,United Malays National Organisation,6,"","Parit, Perak",Barisan Nasional,BN
Alfred Jabu Numpang,Sarawak,Betong,,PBB,Parti Pesaka Bumiputera Bersatu,6,"","Betong, Sarawak",Barisan Nasional,BN
Alias Md. Ali,Terengganu,Ulu Trengganu,,UMNO,United Malays National Organisation,6,"","Ulu Trengganu, Terengganu",Barisan Nasional,BN
Andrew Janggi Muyang,Sarawak,Lubok Antu,,SNAP,Sarawak National Party,6,"","Lubok Antu, Sarawak",Barisan Nasional,BN
Awang Jabar,Terengganu,Dungun,,UMNO,United Malays National Organisation,6,"","Dungun, Terengganu",Barisan Nasional,BN
Azharul Abidin Abdul Rahim,Perak,Batang Padang,,UMNO,United Malays National Organisation,6,"","Batang Padang, Perak",Barisan Nasional,BN
Bahari Haron,Johor,Labis,,UMNO,United Malays National Organisation,6,"","Labis, Johor",Barisan Nasional,BN
Baharom Bakar,Kedah,Padang Terap,,UMNO,United Malays National Organisation,6,"","Padang Terap, Kedah",Barisan Nasional,BN
Ban Hon Keong,Perak,Batu Gajah,,MCA,Malaysian Chinese Association,6,"","Batu Gajah, Perak",Barisan Nasional,BN
George Chan Hong Nam,Sarawak,Lambir,http://en.wikipedia.org/wiki/George_Chan_Hong_Nam,SUPP,Sarawak United Peoples' Party,6,"","Lambir, Sarawak",Barisan Nasional,BN
Chan Kok Kit,Federal Territory,Sungei Besi,,DAP,Democratic Action Party,6,"","Sungei Besi, Federal Territory",,
Chen Man Hin,Negeri Sembilan,Seremban,,DAP,Democratic Action Party,6,"","Seremban, Negeri Sembilan",,
Abdul Daim Zainuddin,Kedah,Kuala Muda,http://en.wikipedia.org/wiki/Daim_Zainuddin,UMNO,United Malays National Organisation,6,"","Kuala Muda, Kedah",Barisan Nasional,BN
Michael Chen Wing Sum,Perak,Bruas,,MCA,Malaysian Chinese Association,6,"","Bruas, Perak",Barisan Nasional,BN
Peter Chin Gan Oon,Perak,Ipoh,,MCA,Malaysian Chinese Association,6,"","Ipoh, Perak",Barisan Nasional,BN
Daud Taha,Johor,Batu Pahat,,UMNO,United Malays National Organisation,6,"","Batu Pahat, Johor",Barisan Nasional,BN
Dusuki Ahmad,Kelantan,Tumpat,,UMNO,United Malays National Organisation,6,"","Tumpat, Kelantan",Barisan Nasional,BN
Edmund Langgu Saga,Sarawak,Saratok,,IND,Independent,6,"","Saratok, Sarawak",,
Edwin Tangkun,Sarawak,Batang Lupar,,IND,Independent,6,"","Batang Lupar, Sarawak",,
Fung Ket Wing,Sabah,Sandakan,,DAP,Democratic Action Party,6,"","Sandakan, Sabah",,
Newman Gaban,Sabah,Bandau,,BERJAYA,Sabah People's United Front,6,"","Bandau, Sabah",Barisan Nasional,BN
Gooi Hock Seng,Penang,Bukit Bendera,,DAP,Democratic Action Party,6,"","Bukit Bendera, Penang",,
V. Govindaraj,Selangor,Pelabuhan Kelang,,MIC,Malaysian Indian Congress,6,"","Pelabuhan Kelang, Selangor",Barisan Nasional,BN
Harris Salleh,Sabah,Ulu Padas,http://en.wikipedia.org/wiki/Harris_Salleh,BERJAYA,Sabah People's United Front,6,"","Ulu Padas, Sabah",Barisan Nasional,BN
Hashim Endut,Kedah,Ulu Muda,,UMNO,United Malays National Organisation,6,"","Ulu Muda, Kedah",Barisan Nasional,BN
Hassan Alban Sandukong,Sabah,Labuk-Sugut,,IND,Independent,6,"","Labuk-Sugut, Sabah",,
Hassan Mohamed,Kelantan,Rantau Panjang,http://en.wikipedia.org/wiki/Hassan_Mohamed,PAS,Pan-Malaysian Islamic Party,6,"","Rantau Panjang, Kelantan",,
Ibrahim Azmi Hassan,Terengganu,Kuala Nerus,,UMNO,United Malays National Organisation,6,"","Kuala Nerus, Terengganu",Barisan Nasional,BN
Ismail Arshad,Kedah,Jerai,,UMNO,United Malays National Organisation,6,"","Jerai, Kedah",Barisan Nasional,BN
Ismail Said,Terengganu,Kemaman,,UMNO,United Malays National Organisation,6,"","Kemaman, Terengganu",Barisan Nasional,BN
Jamaluddin Suhaimi,Selangor,Sabak Bernam,,UMNO,United Malays National Organisation,6,"","Sabak Bernam, Selangor",Barisan Nasional,BN
Justine Jinggot,Sarawak,Ulu Rajang,,SNAP,Sarawak National Party,6,"","Ulu Rajang, Sarawak",Barisan Nasional,BN
Kamaruddin Mohd. Isa,Perak,Larut,,UMNO,United Malays National Organisation,6,"","Larut, Perak",Barisan Nasional,BN
Kan Yau Fa,Sabah,Tawau,,BERJAYA,Sabah People's United Front,6,"","Tawau, Sabah",Barisan Nasional,BN
Karpal Singh,Penang,Jelutong,http://en.wikipedia.org/wiki/Karpal_Singh,DAP,Democratic Action Party,6,"","Jelutong, Penang",,
Khadri Sabran,Johor,Tenggaroh,,UMNO,United Malays National Organisation,6,"","Tenggaroh, Johor",Barisan Nasional,BN
Mark Koding,Sabah,Kinabalu,,BERJAYA,Sabah People's United Front,6,"","Kinabalu, Sabah",Barisan Nasional,BN
Koh Tsu Koon,Penang,Tanjong,http://en.wikipedia.org/wiki/Koh_Tsu_Koon,Gerakan,Parti Gerakan Rakyat Malaysia,6,"","Tanjong, Penang",Barisan Nasional,BN
Lee Kim Sai,Selangor,Ulu Selangor,http://en.wikipedia.org/wiki/Lee_Kim_Sai,MCA,Malaysian Chinese Association,6,"","Ulu Selangor, Selangor",Barisan Nasional,BN
Lee Lam Thye,Federal Territory,Kuala Lumpur Bandar,http://en.wikipedia.org/wiki/Lee_Lam_Thye,DAP,Democratic Action Party,6,"","Kuala Lumpur Bandar, Federal Territory",,
Leo Michael Toyad,Sarawak,Mukah,http://en.wikipedia.org/wiki/Leo_Michael_Toyad,PBB,Parti Pesaka Bumiputera Bersatu,6,"","Mukah, Sarawak",Barisan Nasional,BN
Leonard Linggi Jugah,Sarawak,Kapit,,PBB,Parti Pesaka Bumiputera Bersatu,6,"","Kapit, Sarawak",Barisan Nasional,BN
Lim Kit Siang,Malacca,Kota Melaka,http://en.wikipedia.org/wiki/Lim_Kit_Siang,DAP,Democratic Action Party,6,"","Kota Melaka, Malacca",,
Lim Liang Seng,Perak,Kinta,,MCA,Malaysian Chinese Association,6,"","Kinta, Perak",Barisan Nasional,BN
Ling Sie Ming,Sarawak,Sibu,,DAP,Democratic Action Party,6,"","Sibu, Sarawak",,
Mamat Abdul Rahman,Terengganu,Ulu Nerus,,UMNO,United Malays National Organisation,6,"","Ulu Nerus, Terengganu",Barisan Nasional,BN
Megat Junid Megat Ayub,Perak,Hilir Perak,http://en.wikipedia.org/wiki/Megat_Junid_Megat_Ayub,UMNO,United Malays National Organisation,6,"","Hilir Perak, Perak",Barisan Nasional,BN
Ahmad Shah Hussein Tambakau,Sabah,Keningau,,BERJAYA,Sabah People's United Front,6,"","Keningau, Sabah",Barisan Nasional,BN
Mohamad Razlan Abdul Hamid,Perak,Matang,,UMNO,United Malays National Organisation,6,"","Matang, Perak",Barisan Nasional,BN
Tajol Rosli Mohd Ghazali,Perak,Gerik,http://en.wikipedia.org/wiki/Tajol_Rosli_Mohd_Ghazali,UMNO,United Malays National Organisation,6,"","Gerik, Perak",Barisan Nasional,BN
Mohamed Ali,Kelantan,Nilam Puri,,UMNO,United Malays National Organisation,6,"","Nilam Puri, Kelantan",Barisan Nasional,BN
Mohamed Rahmat,Johor,Pulai,http://en.wikipedia.org/wiki/Mohamed_Rahmat,UMNO,United Malays National Organisation,6,"","Pulai, Johor",Barisan Nasional,BN
Mohamed Amin Daud,Pahang,Pekan,,UMNO,United Malays National Organisation,6,"","Pekan, Pahang",Barisan Nasional,BN
Mohammad Abu Bakar Rautin Ibrahim,Kedah,Kuala Kedah,,UMNO,United Malays National Organisation,6,"","Kuala Kedah, Kedah",Barisan Nasional,BN
Mohammad Idris Mohammad Basari,Federal Territory,Setapak,,UMNO,United Malays National Organisation,6,"","Setapak, Federal Territory",Barisan Nasional,BN
Mohammad Yahya Lampong,Sabah,Kota Belud,,IND,Independent,6,"","Kota Belud, Sabah",,
Mohammed Yussof Yakob,Sabah,Hilir Padas,,IND,Independent,6,"","Hilir Padas, Sabah",,
Mohd. Zain Abdullah,Kelantan,Bachok,,PAS,Pan-Malaysian Islamic Party,6,"","Bachok, Kelantan",,
Mokhtaram Rabidin,Johor,Pontian,,UMNO,United Malays National Organisation,6,"","Pontian, Johor",Barisan Nasional,BN
Mutang Tagal,Sarawak,Bukit Mas,,PBB,Parti Pesaka Bumiputera Bersatu,6,"","Bukit Mas, Sarawak",Barisan Nasional,BN
Mustaffa Mohammad,Johor,Sri Gading,,UMNO,United Malays National Organisation,6,"","Sri Gading, Johor",Barisan Nasional,BN
Ng Cheng Kuai,Perak,Lumut,,MCA,Malaysian Chinese Association,6,"","Lumut, Perak",Barisan Nasional,BN
Ngah Abdul Rahman,Johor,Ledang,,UMNO,United Malays National Organisation,6,"","Ledang, Johor",Barisan Nasional,BN
Nik Abdul Aziz Nik Mat,Kelantan,Pengkalan Chepa,http://en.wikipedia.org/wiki/Nik_Abdul_Aziz_Nik_Mat,PAS,Pan-Malaysian Islamic Party,6,"","Pengkalan Chepa, Kelantan",,
James Peter Ongkili,Sabah,Tuaran,,BERJAYA,Sabah People's United Front,6,"","Tuaran, Sabah",Barisan Nasional,BN
Oo Gin Sun,Kedah,Alor Setar,,MCA,Malaysian Chinese Association,6,"","Alor Setar, Kedah",Barisan Nasional,BN
Omar Abdullah,Negeri Sembilan,Tampin,http://en.wikipedia.org/wiki/Omar_Abdullah,UMNO,United Malays National Organisation,6,"","Tampin, Negeri Sembilan",Barisan Nasional,BN
Patrick Uren,Sarawak,Mas Gading,,IND,Independent,6,"","Mas Gading, Sarawak",,
Quah Wee Liam,Johor,Kluang,,MCA,Malaysian Chinese Association,6,"","Kluang, Johor",Barisan Nasional,BN
Richard Damping Laki,Sarawak,Serian,,SUPP,Sarawak United Peoples' Party,6,"","Serian, Sarawak",Barisan Nasional,BN
Saidin Mat Piah,Perak,Padang Rengas,,UMNO,United Malays National Organisation,6,"","Padang Rengas, Perak",Barisan Nasional,BN
Seow Hun Khim,Penang,Bukit Mertajam,,MCA,Malaysian Chinese Association,6,"","Bukit Mertajam, Penang",Barisan Nasional,BN
Seroji Haron,Kedah,Baling,,UMNO,United Malays National Organisation,6,"","Baling, Kedah",Barisan Nasional,BN
Shamsuri Md. Salleh,Penang,Balik Pulau,,UMNO,United Malays National Organisation,6,"","Balik Pulau, Penang",Barisan Nasional,BN
Sim Kwang Yang,Sarawak,Bandar Kuching,,DAP,Democratic Action Party,6,"","Bandar Kuching, Sarawak",,
Tan Koon Swan,Federal Territory,Damansara,http://en.wikipedia.org/wiki/Tan_Koon_Swan,MCA,Malaysian Chinese Association,6,"","Damansara, Federal Territory",Barisan Nasional,BN
Tan Kok Hooi,Kedah,Padang Serai,,MCA,Malaysian Chinese Association,6,"","Padang Serai, Kedah",Barisan Nasional,BN
Tan Seng Giaw,Federal Territory,Kepong,http://en.wikipedia.org/wiki/Tan_Seng_Giaw,DAP,Democratic Action Party,6,"","Kepong, Federal Territory",,
Thomas Salang Siden,Sarawak,Julau,,SNAP,Sarawak National Party,6,"","Julau, Sarawak",Barisan Nasional,BN
Wan Abu Bakar Wan Mohamad,Pahang,Jerantut,,UMNO,United Malays National Organisation,6,"","Jerantut, Pahang",Barisan Nasional,BN
Wan Ibrahim Wan Abdullah,Kelantan,Pasir Mas,,PAS,Pan-Malaysian Islamic Party,6,"","Pasir Mas, Kelantan",,
Wan Mohd. Najib Wan Mohamed,Kelantan,Pasir Puteh,,UMNO,United Malays National Organisation,6,"","Pasir Puteh, Kelantan",Barisan Nasional,BN
Wan Zainab M. A. Bakar,Kedah,Sungei Patani,,UMNO,United Malays National Organisation,6,"","Sungei Patani, Kedah",Barisan Nasional,BN
Yahya Zakaria,Perak,Bagan Datok,,UMNO,United Malays National Organisation,6,"","Bagan Datok, Perak",Barisan Nasional,BN
Yeoh Poh San,Selangor,Petaling,,MCA,Malaysian Chinese Association,6,"","Petaling, Selangor",Barisan Nasional,BN
Yew Foo Weng,Perak,Menglembu,,MCA,Malaysian Chinese Association,6,"","Menglembu, Perak",Barisan Nasional,BN
Zaleha Ismail,Selangor,Tanjong Karang,,UMNO,United Malays National Organisation,6,"","Tanjong Karang, Selangor",Barisan Nasional,BN
Mohamed Zahir Ismail,"","",http://en.wikipedia.org/wiki/Mohamed_Zahir_Ismail,UMNO,United Malays National Organisation,7,"","",Barisan Nasional,BN
Mohamed Amin Daud,Pahang,Rompin,,UMNO,United Malays National Organisation,7,"","Rompin, Pahang",Barisan Nasional,BN
Ong Tee Keat,Selangor,Ampang Jaya,http://en.wikipedia.org/wiki/Ong_Tee_Keat,MCA,Malaysian Chinese Association,7,"","Ampang Jaya, Selangor",Barisan Nasional,BN
Mahathir Mohamad,Kedah,Kubang Pasu,http://en.wikipedia.org/wiki/Mahathir_Mohamad,UMNO,United Malays National Organisation,7,"","Kubang Pasu, Kedah",Barisan Nasional,BN
Abdul Ghafar Baba,Malacca,Jasin,http://en.wikipedia.org/wiki/Ghafar_Baba,UMNO,United Malays National Organisation,7,"","Jasin, Malacca",Barisan Nasional,BN
Ling Liong Sik,Johor,Labis,http://en.wikipedia.org/wiki/Ling_Liong_Sik,MCA,Malaysian Chinese Association,7,"","Labis, Johor",Barisan Nasional,BN
Samy Vellu,Perak,Sungai Siput,http://en.wikipedia.org/wiki/Samy_Vellu,MIC,Malaysian Indian Congress,7,"","Sungai Siput, Perak",Barisan Nasional,BN
Lim Keng Yaik,Perak,Beruas,http://en.wikipedia.org/wiki/Lim_Keng_Yaik,Gerakan,Parti Gerakan Rakyat Malaysia,7,"","Beruas, Perak",Barisan Nasional,BN
Tengku Ahmad Rithauddeen Tengku Ismail,Kelantan,Kota Bharu,,UMNO,United Malays National Organisation,7,"","Kota Bharu, Kelantan",Barisan Nasional,BN
Tengku Razaleigh Hamzah,Kelantan,Gua Musang,http://en.wikipedia.org/wiki/Tengku_Razaleigh_Hamzah,UMNO,United Malays National Organisation,7,"","Gua Musang, Kelantan",Barisan Nasional,BN
Leo Moggie Irok,Sarawak,Kanowit,,PBDS,Parti Bansa Dayak Sarawak,7,"","Kanowit, Sarawak",Barisan Nasional,BN
Rafidah Aziz,Perak,Kuala Kangsar,http://en.wikipedia.org/wiki/Rafidah_Aziz,UMNO,United Malays National Organisation,7,"","Kuala Kangsar, Perak",Barisan Nasional,BN
Sulaiman Daud,Sarawak,Santubong,http://en.wikipedia.org/wiki/Sulaiman_Daud,PBB,Parti Pesaka Bumiputera Bersatu,7,"","Santubong, Sarawak",Barisan Nasional,BN
Sanusi Junid,Kedah,Jerlun-Langkawi,,UMNO,United Malays National Organisation,7,"","Jerlun-Langkawi, Kedah",Barisan Nasional,BN
Abdullah Ahmad Badawi,Penang,Kepala Batas,http://en.wikipedia.org/wiki/Abdullah_Ahmad_Badawi,UMNO,United Malays National Organisation,7,"","Kepala Batas, Penang",Barisan Nasional,BN
Rais Yatim,Negeri Sembilan,Jelebu,http://en.wikipedia.org/wiki/Rais_Yatim,UMNO,United Malays National Organisation,7,"","Jelebu, Negeri Sembilan",Barisan Nasional,BN
Stephen Yong Kuet Tze,Sarawak,Padawan,http://en.wikipedia.org/wiki/Stephen_Yong_Kuet_Tze,SUPP,Sarawak United Peoples' Party,7,"","Padawan, Sarawak",Barisan Nasional,BN
Anwar Ibrahim,Penang,Permatang Pauh,http://en.wikipedia.org/wiki/Anwar_Ibrahim,UMNO,United Malays National Organisation,7,"","Permatang Pauh, Penang",Barisan Nasional,BN
Abu Hassan Omar,Selangor,Kuala Selangor,http://en.wikipedia.org/wiki/Abu_Hassan_Omar,UMNO,United Malays National Organisation,7,"","Kuala Selangor, Selangor",Barisan Nasional,BN
Abdul Daim Zainuddin,Kedah,Merbok,http://en.wikipedia.org/wiki/Daim_Zainuddin,UMNO,United Malays National Organisation,7,"","Merbok, Kedah",Barisan Nasional,BN
Lee Kim Sai,Selangor,Hulu Langat,http://en.wikipedia.org/wiki/Lee_Kim_Sai,MCA,Malaysian Chinese Association,7,"","Hulu Langat, Selangor",Barisan Nasional,BN
Najib Razak,Pahang,Pekan,http://en.wikipedia.org/wiki/Najib_Razak,UMNO,United Malays National Organisation,7,"","Pekan, Pahang",Barisan Nasional,BN
Abdul Ajib Ahmad,Johor,Mersing,http://en.wikipedia.org/wiki/Abdul_Ajib_Ahmad,UMNO,United Malays National Organisation,7,"","Mersing, Johor",Barisan Nasional,BN
Kasitah Gaddam,Sabah,Kinabalu,,USNO,United Sabah National Organisation,7,"","Kinabalu, Sabah",Barisan Nasional,BN
K. Pathamanaban,Negeri Sembilan,Telok Kemang,,MIC,Malaysian Indian Congress,7,"","Telok Kemang, Negeri Sembilan",Barisan Nasional,BN
Bujang Ulis,Sarawak,Simunjan,,PERMAS,Sarawak Malaysian People's Association,7,"","Simunjan, Sarawak",Barisan Nasional,BN
Abang Abu Bakar Abang Mustapha,Sarawak,Paloh,,PBB,Parti Pesaka Bumiputera Bersatu,7,"","Paloh, Sarawak",Barisan Nasional,BN
Luhat Wan,Sarawak,Baram,,SNAP,Sarawak National Party,7,"","Baram, Sarawak",Barisan Nasional,BN
Mohd. Kassim Ahmed,Kelantan,Machang,,UMNO,United Malays National Organisation,7,"","Machang, Kelantan",Barisan Nasional,BN
Subramaniam Sinniah,Johor,Segamat,http://en.wikipedia.org/wiki/Subramaniam_Sinniah,MIC,Malaysian Indian Congress,7,"","Segamat, Johor",Barisan Nasional,BN
Rahmah Othman,Selangor,Shah Alam,,UMNO,United Malays National Organisation,7,"","Shah Alam, Selangor",Barisan Nasional,BN
Sabbaruddin Chik,Pahang,Temerloh,,UMNO,United Malays National Organisation,7,"","Temerloh, Pahang",Barisan Nasional,BN
Napsiah Omar,Negeri Sembilan,Kuala Pilah,,UMNO,United Malays National Organisation,7,"","Kuala Pilah, Negeri Sembilan",Barisan Nasional,BN
Abdul Kadir Sheikh Fadzir,Kedah,Kulim-Bandar Baharu,,UMNO,United Malays National Organisation,7,"","Kulim-Bandar Baharu, Kedah",Barisan Nasional,BN
Mohd Radzi Sheikh Ahmad,Perlis,Kangar,http://en.wikipedia.org/wiki/Mohd_Radzi_Sheikh_Ahmad,UMNO,United Malays National Organisation,7,"","Kangar, Perlis",Barisan Nasional,BN
Oo Gin Sun,Kedah,Alor Setar,,MCA,Malaysian Chinese Association,7,"","Alor Setar, Kedah",Barisan Nasional,BN
Zainal Abidin Zin,Perak,Bagan Serai,,UMNO,United Malays National Organisation,7,"","Bagan Serai, Perak",Barisan Nasional,BN
Megat Junid Megat Ayub,Perak,Pasir Salak,http://en.wikipedia.org/wiki/Megat_Junid_Megat_Ayub,UMNO,United Malays National Organisation,7,"","Pasir Salak, Perak",Barisan Nasional,BN
Mohamed Yusof Mohamed Noor,Terengganu,Setiu,,UMNO,United Malays National Organisation,7,"","Setiu, Terengganu",Barisan Nasional,BN
Daud Taha,Johor,Batu Pahat,,UMNO,United Malays National Organisation,7,"","Batu Pahat, Johor",Barisan Nasional,BN
Ng Cheng Kiat,Selangor,Klang,,MCA,Malaysian Chinese Association,7,"","Klang, Selangor",Barisan Nasional,BN
Ng Cheng Kuai,Perak,Lumut,,MCA,Malaysian Chinese Association,7,"","Lumut, Perak",Barisan Nasional,BN
Tajol Rosli Mohd Ghazali,Perak,Gerik,http://en.wikipedia.org/wiki/Tajol_Rosli_Mohd_Ghazali,UMNO,United Malays National Organisation,7,"","Gerik, Perak",Barisan Nasional,BN
Mustaffa Mohammad,Johor,Sri Gading,,UMNO,United Malays National Organisation,7,"","Sri Gading, Johor",Barisan Nasional,BN
Alexander Yu Lung Lee,Federal Territory,Batu,,Gerakan,Parti Gerakan Rakyat Malaysia,7,"","Batu, Federal Territory",Barisan Nasional,BN
Wan Abu Bakar Wan Mohamad,Pahang,Jerantut,,UMNO,United Malays National Organisation,7,"","Jerantut, Pahang",Barisan Nasional,BN
Wang Choon Wing,Pahang,Lipis,,MCA,Malaysian Chinese Association,7,"","Lipis, Pahang",Barisan Nasional,BN
Siti Zaharah Sulaiman,Pahang,Mentakab,,UMNO,United Malays National Organisation,7,"","Mentakab, Pahang",Barisan Nasional,BN
Kok Wee Kiat,Malacca,Selandar,,MCA,Malaysian Chinese Association,7,"","Selandar, Malacca",Barisan Nasional,BN
Woon See Chin,Johor,Senai,,MCA,Malaysian Chinese Association,7,"","Senai, Johor",Barisan Nasional,BN
Kalakau Untol,Sabah,Tuaran,,USNO,United Sabah National Organisation,7,"","Tuaran, Sabah",Barisan Nasional,BN
Law Hieng Ding,Sarawak,Sarikei,,SUPP,Sarawak United Peoples' Party,7,"","Sarikei, Sarawak",Barisan Nasional,BN
Awang Jabar,Terengganu,Dungun,,UMNO,United Malays National Organisation,7,"","Dungun, Terengganu",Barisan Nasional,BN
Dusuki Ahmad,Kelantan,Tumpat,,UMNO,United Malays National Organisation,7,"","Tumpat, Kelantan",Barisan Nasional,BN
Zaleha Ismail,Selangor,Selayang,,UMNO,United Malays National Organisation,7,"","Selayang, Selangor",Barisan Nasional,BN
Alias Md. Ali,Terengganu,Hulu Terengganu,,UMNO,United Malays National Organisation,7,"","Hulu Terengganu, Terengganu",Barisan Nasional,BN
Teng Gaik Kwan,Pahang,Raub,,MCA,Malaysian Chinese Association,7,"","Raub, Pahang",Barisan Nasional,BN
Raja Ariffin Raja Sulaiman,Kedah,Baling,,UMNO,United Malays National Organisation,7,"","Baling, Kedah",Barisan Nasional,BN
Peter Chin Fah Kui,Sarawak,Lambir,http://en.wikipedia.org/wiki/Peter_Chin_Fah_Kui,SUPP,Sarawak United Peoples' Party,7,"","Lambir, Sarawak",Barisan Nasional,BN
Ong Tin Kim,Perak,Telok Intan,,Gerakan,Parti Gerakan Rakyat Malaysia,7,"","Telok Intan, Perak",Barisan Nasional,BN
Abdol Mulok Awang Damit,Federal Territory,Labuan,,IND,Independent,7,"","Labuan, Federal Territory",,
Abdul Ghani Othman,Johor,Ledang,http://en.wikipedia.org/wiki/Abdul_Ghani_Othman,UMNO,United Malays National Organisation,7,"","Ledang, Johor",Barisan Nasional,BN
Abdul Hadi Derani,Kedah,Kota Setar,,UMNO,United Malays National Organisation,7,"","Kota Setar, Kedah",Barisan Nasional,BN
Abdul Manaf Ahmad,Kedah,Sungai Petani,,UMNO,United Malays National Organisation,7,"","Sungai Petani, Kedah",Barisan Nasional,BN
Abdul Rahman Bakar,Terengganu,Marang,,UMNO,United Malays National Organisation,7,"","Marang, Terengganu",Barisan Nasional,BN
Abdul Rahman Sulaiman,Perak,Parit Buntar,,UMNO,United Malays National Organisation,7,"","Parit Buntar, Perak",Barisan Nasional,BN
Abdul Razak Abu Samah,Federal Territory,Lembah Pantai,,UMNO,United Malays National Organisation,7,"","Lembah Pantai, Federal Territory",Barisan Nasional,BN
Abdul Taib Mahmud,Sarawak,Samarahan,http://en.wikipedia.org/wiki/Abdul_Taib_Mahmud,PBB,Parti Pesaka Bumiputera Bersatu,7,"","Samarahan, Sarawak",Barisan Nasional,BN
Abdullah Ahmad,Kelantan,Kok Lanas,http://en.wikipedia.org/wiki/Abdullah_Ahmad,UMNO,United Malays National Organisation,7,"","Kok Lanas, Kelantan",Barisan Nasional,BN
Abdullah Arshad,Kelantan,Pengkalan Chepa,,PAS,Pan-Malaysian Islamic Party,7,"","Pengkalan Chepa, Kelantan",,
Abdullah Fadzil Che Wan,Perak,Bukit Gantang,,UMNO,United Malays National Organisation,7,"","Bukit Gantang, Perak",Barisan Nasional,BN
Adam Abdul Kadir,Pahang,Kuantan,,UMNO,United Malays National Organisation,7,"","Kuantan, Pahang",Barisan Nasional,BN
Affifudin Omar,Kedah,Padang Terap,,UMNO,United Malays National Organisation,7,"","Padang Terap, Kedah",Barisan Nasional,BN
Ahmad Omar,Johor,Pagoh,,UMNO,United Malays National Organisation,7,"","Pagoh, Johor",Barisan Nasional,BN
Basri Bajuri,Selangor,Kuala Langat,,UMNO,United Malays National Organisation,7,"","Kuala Langat, Selangor",Barisan Nasional,BN
Bernard Giluk Dompok,Sabah,Penampang,http://en.wikipedia.org/wiki/Bernard_Giluk_Dompok,PBS,Parti Bersatu Sabah,7,"","Penampang, Sabah",Barisan Nasional,BN
Chen Man Hin,Negeri Sembilan,Seremban,,DAP,Democratic Action Party,7,"","Seremban, Negeri Sembilan",,
Chew Kam Hoy,Kedah,Padang Serai,,MCA,Malaysian Chinese Association,7,"","Padang Serai, Kedah",Barisan Nasional,BN
Chian Heng Kai,Penang,Bukit Mertajam,,DAP,Democratic Action Party,7,"","Bukit Mertajam, Penang",,
Samson Chin Chee Tsu,Sabah,Tawau,,DAP,Democratic Action Party,7,"","Tawau, Sabah",,
Chua Jui Meng,Johor,Bakri,http://en.wikipedia.org/wiki/Chua_Jui_Meng,MCA,Malaysian Chinese Association,7,"","Bakri, Johor",Barisan Nasional,BN
V. David,Selangor,Puchong,http://en.wikipedia.org/wiki/V._David,DAP,Democratic Action Party,7,"","Puchong, Selangor",,
Douglas Uggah Embas,Sarawak,Betong,http://en.wikipedia.org/wiki/Douglas_Uggah_Embas,PBB,Parti Pesaka Bumiputera Bersatu,7,"","Betong, Sarawak",Barisan Nasional,BN
Eng Seng Chai,Selangor,Petaling Jaya,,DAP,Democratic Action Party,7,"","Petaling Jaya, Selangor",,
Fung Ket Wing,Sabah,Sandakan,,DAP,Democratic Action Party,7,"","Sandakan, Sabah",,
Gerard Math Lee Min,Sabah,Gaya,,DAP,Democratic Action Party,7,"","Gaya, Sabah",,
Ghazali Ahmad,Kedah,Jerai,,UMNO,United Malays National Organisation,7,"","Jerai, Kedah",Barisan Nasional,BN
Goh Cheng Teik,Penang,Nibong Tebal,,Gerakan,Parti Gerakan Rakyat Malaysia,7,"","Nibong Tebal, Penang",Barisan Nasional,BN
Gooi Hock Seng,Penang,Bukit Bendera,,DAP,Democratic Action Party,7,"","Bukit Bendera, Penang",,
Hashim Safin,Kelantan,Tanah Merah,,UMNO,United Malays National Organisation,7,"","Tanah Merah, Kelantan",Barisan Nasional,BN
Hussein Taib,Selangor,Sabak Bernam,,UMNO,United Malays National Organisation,7,"","Sabak Bernam, Selangor",Barisan Nasional,BN
Hsing Yin Shean,Sabah,Tanjong Aru,,DAP,Democratic Action Party,7,"","Tanjong Aru, Sabah",,
Hu Sepang,Negeri Sembilan,Rasah,,DAP,Democratic Action Party,7,"","Rasah, Negeri Sembilan",,
Ibrahim Ali,Kelantan,Pasir Mas,http://en.wikipedia.org/wiki/Ibrahim_Ali_(Malaysia),UMNO,United Malays National Organisation,7,"","Pasir Mas, Kelantan",Barisan Nasional,BN
Ibrahim Azmi Hassan,Terengganu,Kuala Nerus,,UMNO,United Malays National Organisation,7,"","Kuala Nerus, Terengganu",Barisan Nasional,BN
Ismail Said,Terengganu,Kemaman,,UMNO,United Malays National Organisation,7,"","Kemaman, Terengganu",Barisan Nasional,BN
James Jimbun Pungga,Sarawak,Kapit,,PBB,Parti Pesaka Bumiputera Bersatu,7,"","Kapit, Sarawak",Barisan Nasional,BN
Jawah Gerang,Sarawak,Lubok Antu,,PBDS,Parti Bansa Dayak Sarawak,7,"","Lubok Antu, Sarawak",Barisan Nasional,BN
