name,state,constituency,wikipedia,party_id,party,term,source,area,coalition,coalition_id
Hishammuddin Hussein,Johor,Sembrong,http://en.wikipedia.org/wiki/Hishammuddin_Hussein,UMNO,United Malays National Organisation,12,"","Sembrong, Johor",Barisan Nasional,BN
Abdul Latiff Ahmad,Johor,Mersing,http://en.wikipedia.org/wiki/Abdul_Latiff_Ahmad,UMNO,United Malays National Organisation,12,"","Mersing, Johor",Barisan Nasional,BN
Halimah Mohd Sadique,Johor,Tenggara,http://en.wikipedia.org/wiki/Halimah_Mohd_Sadique,UMNO,United Malays National Organisation,12,"","Tenggara, Johor",Barisan Nasional,BN
Syed Hamid Albar,Johor,Kota Tinggi,http://en.wikipedia.org/wiki/Syed_Hamid_Albar,UMNO,United Malays National Organisation,12,"","Kota Tinggi, Johor",Barisan Nasional,BN
Azalina Othman Said,Johor,Pengerang,http://en.wikipedia.org/wiki/Azalina_Othman_Said,UMNO,United Malays National Organisation,12,"","Pengerang, Johor",Barisan Nasional,BN
Teng Boon Soon,Johor,Tebrau,http://en.wikipedia.org/wiki/Teng_Boon_Soon,MCA,Malaysian Chinese Association,12,"","Tebrau, Johor",Barisan Nasional,BN
Mohamed Khaled Nordin,Johor,Pasir Gudang,http://en.wikipedia.org/wiki/Mohamed_Khaled_Nordin,UMNO,United Malays National Organisation,12,"","Pasir Gudang, Johor",Barisan Nasional,BN
Shahrir Abdul Samad,Johor,Johor Bahru,http://en.wikipedia.org/wiki/Shahrir_Abdul_Samad,UMNO,United Malays National Organisation,12,"","Johor Bahru, Johor",Barisan Nasional,BN
Nur Jazlan Mohamed,Johor,Pulai,http://en.wikipedia.org/wiki/Nur_Jazlan_Mohamed,UMNO,United Malays National Organisation,12,"","Pulai, Johor",Barisan Nasional,BN
Tan Ah Eng,Johor,Gelang Patah,http://en.wikipedia.org/wiki/Tan_Ah_Eng,MCA,Malaysian Chinese Association,12,"","Gelang Patah, Johor",Barisan Nasional,BN
Ong Ka Ting,Johor,Kulai,http://en.wikipedia.org/wiki/Ong_Ka_Ting,MCA,Malaysian Chinese Association,12,"","Kulai, Johor",Barisan Nasional,BN
Ahmad Maslan,Johor,Pontian,http://en.wikipedia.org/wiki/Ahmad_Maslan,UMNO,United Malays National Organisation,12,"","Pontian, Johor",Barisan Nasional,BN
Wee Jeck Seng,Johor,Tanjong Piai,http://en.wikipedia.org/wiki/Wee_Jeck_Seng,MCA,Malaysian Chinese Association,12,"","Tanjong Piai, Johor",Barisan Nasional,BN
Rozman Isli,Federal Territory of Labuan,Labuan,,UMNO,United Malays National Organisation,12,"","Labuan, Federal Territory of Labuan",Barisan Nasional,BN
Abdul Rahim Bakri,Sabah,Kudat,http://en.wikipedia.org/wiki/Abdul_Rahim_Bakri,UMNO,United Malays National Organisation,12,"","Kudat, Sabah",Barisan Nasional,BN
Maximus Johnity Ongkili,Sabah,Kota Marudu,http://en.wikipedia.org/wiki/Maximus_Ongkili,PBS,Parti Bersatu Sabah,12,"","Kota Marudu, Sabah",Barisan Nasional,BN
Abdul Rahman Dahlan,Sabah,Kota Belud,http://en.wikipedia.org/wiki/Abdul_Rahman_Dahlan,UMNO,United Malays National Organisation,12,"","Kota Belud, Sabah",Barisan Nasional,BN
Wilfred Bumburing,Sabah,Tuaran,http://en.wikipedia.org/wiki/Wilfred_Bumburing,PR,Pakatan Rakyat,12,"","Tuaran, Sabah",,
Eric Majimbun,Sabah,Sepanggar,http://en.wikipedia.org/wiki/Eric_Majimbun,SAPP,Sabah Progressive Party,12,"","Sepanggar, Sabah",Independent,IND
Hiew King Chew,Sabah,Kota Kinabalu,http://en.wikipedia.org/wiki/Hiew_King_Chew,DAP,Democratic Action Party,12,"","Kota Kinabalu, Sabah",Pakatan Rakyat,PR
Marcus Mojigoh,Sabah,Putatan,http://en.wikipedia.org/wiki/Marcus_Mojigoh,UPKO,United Pasokmomogun Kadazandusun Murut Organisation,12,"","Putatan, Sabah",Barisan Nasional,BN
Bernard Giluk Dompok,Sabah,Penampang,http://en.wikipedia.org/wiki/Bernard_Giluk_Dompok,UPKO,United Pasokmomogun Kadazandusun Murut Organisation,12,"","Penampang, Sabah",Barisan Nasional,BN
Rosnah Abdul Rashid Shirlin,Sabah,Papar,http://en.wikipedia.org/wiki/Rosnah_Shirlin,UMNO,United Malays National Organisation,12,"","Papar, Sabah",Barisan Nasional,BN
Anifah Aman,Sabah,Kimanis,http://en.wikipedia.org/wiki/Anifah_Aman,UMNO,United Malays National Organisation,12,"","Kimanis, Sabah",Barisan Nasional,BN
Lajim Ukin,Sabah,Beaufort,http://en.wikipedia.org/wiki/Lajim_Ukin,PR,Pakatan Rakyat,12,"","Beaufort, Sabah",,
Sapawi Ahmad,Sabah,Sipitang,http://en.wikipedia.org/wiki/Sapawi_Ahmad,UMNO,United Malays National Organisation,12,"","Sipitang, Sabah",Barisan Nasional,BN
Siringan Gubat,Sabah,Ranau,http://en.wikipedia.org/wiki/Siringan_Gubat,UPKO,United Pasokmomogun Kadazandusun Murut Organisation,12,"","Ranau, Sabah",Barisan Nasional,BN
Joseph Pairin Kitingan,Sabah,Keningau,http://en.wikipedia.org/wiki/Joseph_Pairin_Kitingan,PBS,Parti Bersatu Sabah,12,"","Keningau, Sabah",Barisan Nasional,BN
Raime Unggi,Sabah,Tenom,http://en.wikipedia.org/wiki/Raime_Unggi,UMNO,United Malays National Organisation,12,"","Tenom, Sabah",Barisan Nasional,BN
Joseph Kurup,Sabah,Pensiangan,http://en.wikipedia.org/wiki/Joseph_Kurup,PBRS,Parti Bersatu Rakyat Sabah,12,"","Pensiangan, Sabah",Barisan Nasional,BN
Ronald Kiandee,Sabah,Beluran,http://en.wikipedia.org/wiki/Ronald_Kiandee,UMNO,United Malays National Organisation,12,"","Beluran, Sabah",Barisan Nasional,BN
Juslie Ajirol,Sabah,Libaran,http://en.wikipedia.org/wiki/Juslie_Ajirol,UMNO,United Malays National Organisation,12,"","Libaran, Sabah",Barisan Nasional,BN
Linda Tsen Thau Lin,Sabah,Batu Sapi,http://en.wikipedia.org/wiki/Linda_Tsen,PBS,Parti Bersatu Sabah,12,"","Batu Sapi, Sabah",Barisan Nasional,BN
Liew Vui Keong,Sabah,Sandakan,http://en.wikipedia.org/wiki/Liew_Vui_Keong,LDP,Liberal Democratic Party,12,"","Sandakan, Sabah",Barisan Nasional,BN
Bung Moktar Radin,Sabah,Kinabatangan,http://en.wikipedia.org/wiki/Bung_Moktar_Radin,UMNO,United Malays National Organisation,12,"","Kinabatangan, Sabah",Barisan Nasional,BN
Salleh Kalbi,Sabah,Silam,http://en.wikipedia.org/wiki/Salleh_Kalbi,UMNO,United Malays National Organisation,12,"","Silam, Sabah",Barisan Nasional,BN
Shafie Apdal,Sabah,Semporna,http://en.wikipedia.org/wiki/Shafie_Apdal,UMNO,United Malays National Organisation,12,"","Semporna, Sabah",Barisan Nasional,BN
Chua Soon Bui,Sabah,Tawau,http://en.wikipedia.org/wiki/Chua_Soon_Bui,SAPP,Sabah Progressive Party,12,"","Tawau, Sabah",Independent,IND
Abdul Ghapur Salleh,Sabah,Kalabakan,http://en.wikipedia.org/wiki/Abdul_Ghapur_Salleh,UMNO,United Malays National Organisation,12,"","Kalabakan, Sabah",Barisan Nasional,BN
Tiki Lafe,Sarawak,Mas Gading,http://en.wikipedia.org/wiki/Tiki_Lafe,SPDP,Sarawak Progressive Democratic Party,12,"","Mas Gading, Sarawak",Barisan Nasional,BN
Wan Junaidi Tuanku Jaafar,Sarawak,Santubong,http://en.wikipedia.org/wiki/Wan_Junaidi_Tuanku_Jaafar,PBB,Parti Pesaka Bumiputera Bersatu,12,"","Santubong, Sarawak",Barisan Nasional,BN
Fadillah Yusof,Sarawak,Petra Jaya,http://en.wikipedia.org/wiki/Fadillah_Yusof,PBB,Parti Pesaka Bumiputera Bersatu,12,"","Petra Jaya, Sarawak",Barisan Nasional,BN
Chong Chieng Jen,Sarawak,Bandar Kuching,http://en.wikipedia.org/wiki/Chong_Chieng_Jen,DAP,Democratic Action Party,12,"","Bandar Kuching, Sarawak",Pakatan Rakyat,PR
Yong Khoon Seng,Sarawak,Stampin,http://en.wikipedia.org/wiki/Yong_Khoon_Seng,SUPP,Sarawak United Peoples' Party,12,"","Stampin, Sarawak",Barisan Nasional,BN
Sulaiman Abdul Rahman Taib,Sarawak,Kota Samarahan,http://en.wikipedia.org/wiki/Sulaiman_Abdul_Rahman_Taib,PBB,Parti Pesaka Bumiputera Bersatu,12,"","Kota Samarahan, Sarawak",Barisan Nasional,BN
James Dawos Mamit,Sarawak,Mambong,http://en.wikipedia.org/wiki/James_Dawos_Mamit,PBB,Parti Pesaka Bumiputera Bersatu,12,"","Mambong, Sarawak",Barisan Nasional,BN
Richard Riot Jaem,Sarawak,Serian,http://en.wikipedia.org/wiki/Richard_Riot_Jaem,SUPP,Sarawak United Peoples' Party,12,"","Serian, Sarawak",Barisan Nasional,BN
Nancy Shukri,Sarawak,Batang Sadong,http://en.wikipedia.org/wiki/Nancy_Shukri,PBB,Parti Pesaka Bumiputera Bersatu,12,"","Batang Sadong, Sarawak",Barisan Nasional,BN
Rohani Abdul Karim,Sarawak,Batang Lupar,http://en.wikipedia.org/wiki/Rohani_Abdul_Karim,PBB,Parti Pesaka Bumiputera Bersatu,12,"","Batang Lupar, Sarawak",Barisan Nasional,BN
Masir Kujat,Sarawak,Sri Aman,http://en.wikipedia.org/wiki/Masir_Kujat,PRS,Parti Rakyat Sarawak,12,"","Sri Aman, Sarawak",Barisan Nasional,BN
William Nyallau Badak,Sarawak,Lubok Antu,http://en.wikipedia.org/wiki/William_Nyallau_Badak,PRS,Parti Rakyat Sarawak,12,"","Lubok Antu, Sarawak",Barisan Nasional,BN
Douglas Uggah Embas,Sarawak,Betong,http://en.wikipedia.org/wiki/Douglas_Uggah_Embas,PBB,Parti Pesaka Bumiputera Bersatu,12,"","Betong, Sarawak",Barisan Nasional,BN
Jelaing Mersat,Sarawak,Saratok,http://en.wikipedia.org/wiki/Jelaing_Mersat,SPDP,Sarawak Progressive Democratic Party,12,"","Saratok, Sarawak",Barisan Nasional,BN
Norah Abdul Rahman,Sarawak,Tanjong Manis,http://en.wikipedia.org/wiki/Norah_Abdul_Rahman,PBB,Parti Pesaka Bumiputera Bersatu,12,"","Tanjong Manis, Sarawak",Barisan Nasional,BN
Wahab Dolah,Sarawak,Igan,http://en.wikipedia.org/wiki/Wahab_Dolah,PBB,Parti Pesaka Bumiputera Bersatu,12,"","Igan, Sarawak",Barisan Nasional,BN
Ding Kuong Hiing,Sarawak,Sarikei,http://en.wikipedia.org/wiki/Ding_Kuong_Hiing,SUPP,Sarawak United Peoples' Party,12,"","Sarikei, Sarawak",Barisan Nasional,BN
Joseph Salang Gandum,Sarawak,Julau,http://en.wikipedia.org/wiki/Joseph_Salang_Gandum,PRS,Parti Rakyat Sarawak,12,"","Julau, Sarawak",Barisan Nasional,BN
Aaron Ago Dagang,Sarawak,Kanowit,http://en.wikipedia.org/wiki/Aaron_Ago_Dagang,PRS,Parti Rakyat Sarawak,12,"","Kanowit, Sarawak",Barisan Nasional,BN
Tiong Thai King,Sarawak,Lanang,http://en.wikipedia.org/wiki/Tiong_Thai_King,SUPP,Sarawak United Peoples' Party,12,"","Lanang, Sarawak",Barisan Nasional,BN
