id,group,start_date,term,area,name,end_date
47866,Darbo partija,2012-11-17,11,Skuodo  - Mažeikių  (Nr. 37) apygardoje,Audronė Pitrėnienė,
47867,Darbo partija,2012-11-17,11,pagal sąrašą,Loreta Graužinienė,
47875,Partija Tvarka ir teisingumas,2012-11-17,11,pagal sąrašą,Ona Valiukevičiūtė,
47932,Darbo partija,2012-11-17,11,pagal sąrašą,Vytautas Gapšys,
47983,Darbo partija,2012-11-17,11,pagal sąrašą,Mečislovas Zasčiurinskas,
48114,Darbo partija,2012-11-17,11,Kėdainių  (Nr. 43) apygardoje,Virginija Baltraitienė,
48565,Lietuvos socialdemokratų partija,2012-11-17,11,Saulės  (Nr. 24) apygardoje,Arvydas Mockus,
48690,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,pagal sąrašą,Mantas Adomėnas,
50482,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,pagal sąrašą,Agnė Bilotaitė,
50877,Lietuvos socialdemokratų partija,2012-11-17,11,pagal sąrašą,Arūnas Dudėnas,
50,"""Drąsos kelias"" politinė partija",2012-11-17,11,pagal sąrašą,Povilas Gylys,
51660,Darbo partija,2012-11-17,11,pagal sąrašą,Vitalija Vonžutaitė,
51970,Lietuvos socialdemokratų partija,2012-11-17,11,pagal sąrašą,Rimantė Šalaševičiūtė,
51,Lietuvos socialdemokratų partija,2012-11-17,11,pagal sąrašą,Irena Šiaulienė,
53899,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,Justiniškių  (Nr. 7) apygardoje,Paulius Saudargas,
53909,Lietuvos lenkų rinkimų akcija,2012-11-17,11,pagal sąrašą,Michal Mackevič,
53912,Lietuvos Respublikos liberalų sąjūdis,2012-11-17,11,pagal sąrašą,Dalia Kuodytė,
53916,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,Senamiesčio  (Nr. 2) apygardoje,Arvydas Anušauskas,
53917,"""Drąsos kelias"" politinė partija",2012-11-17,11,pagal sąrašą,Aurelija Stancikienė,
53926,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,pagal sąrašą,Rokas Žilinskas,
53931,Partija Tvarka ir teisingumas,2012-11-17,11,pagal sąrašą,Kęstas Komskis,
53932,Partija Tvarka ir teisingumas,2012-11-17,11,pagal sąrašą,Andrius Mazuronis,
53995,Darbo partija,2012-11-17,11,pagal sąrašą,Valdas Skarbalius,
54711,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,pagal sąrašą,Liutauras Kazlavickas,
54,Partija Tvarka ir teisingumas,2012-11-17,11,Ukmergės  (Nr. 61) apygardoje,Julius Veselka,2012-11-26
56356,"""Drąsos kelias"" politinė partija",2012-11-17,11,pagal sąrašą,Vytautas Antanas Matulevičius,
65703,Partija Tvarka ir teisingumas,2012-11-17,11,Šilalės - Šilutės  (Nr. 33) apygardoje,Remigijus Žemaitaitis,
69932,Lietuvos socialdemokratų partija,2012-11-17,11,pagal sąrašą,Juras Požela,
70474,Darbo partija,2012-11-17,11,pagal sąrašą,Vilija Filipovičienė,
7193,Lietuvos socialdemokratų partija,2012-11-17,11,Suvalkijos  (Nr. 63) apygardoje,Juozas Olekas,
