id,name,area,term,start_date,image,group,source_url,end_date,given_name,middle_name,family_name
15655,Бурбак Максим Юрійович,Виборчому округу №204,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d204_1.jpg,"Голова депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/15655,,Юрійович,Максим,Бурбак
15257,Бухарєв Владислав Вікторович,Виборчому округу №162,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d162_1.jpg,"Член депутатської фракції політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України",http://itd.rada.gov.ua/mps/info/page/15257,,Вікторович,Владислав,Бухарєв
18067,Вадатурський Андрій Олексійович,Виборчому округу №130,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d130_1.jpg,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/18067,,Олексійович,Андрій,Вадатурський
18068,Валентиров Сергій Васильович,Виборчому округу №81,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d81_1.jpg,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/18068,,Васильович,Сергій,Валентиров
17964,Ванат Петро Михайлович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/nf45.jpg,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/17964,,Михайлович,Петро,Ванат
15787,Васюник Ігор Васильович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/nf17.jpg,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/15787,,Васильович,Ігор,Васюник
17961,Величкович Микола Романович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/nf40.jpg,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/17961,,Романович,Микола,Величкович
18008,Веселова Наталія Василівна,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/sp9.jpg,"Член депутатської фракції Політичної партії ""Об'єднання ""САМОПОМІЧ""",http://itd.rada.gov.ua/mps/info/page/18008,,Василівна,Наталія,Веселова
17963,Висоцький Сергій Віталійович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/nf44.jpg,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/17963,,Віталійович,Сергій,Висоцький
8737,Вілкул Олександр Юрійович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/ob2.jpg,"Заступник голови депутатської фракції Політичної партії ""Опозиційний блок"" у Верховній Раді України восьмого скликання",http://itd.rada.gov.ua/mps/info/page/8737,,Юрійович,Олександр,Вілкул
