id,name,area,area_id,image,term,source,district,party,birth_year
gurbandurdyyew-shatlyk-meretdurdyyewic,Şatlyk Meretdurdyýewiç Gurbandurdyýew,54,Gurbansoltan eje,http://mejlis2.bushluk.com/site/assets/files/14522/54-gurbandurdyyew-sm.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/gurbandurdyyew-shatlyk-meretdurdyyewic/,Daşoguz welaýaty,"",1981
gurbanowa-guljemal-bayyshowna,Güljemal Baýyşowna Gurbanowa,55,Täzezaman,http://mejlis2.bushluk.com/site/assets/files/14523/55-gurbanowa-gb.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/gurbanowa-guljemal-bayyshowna/,Daşoguz welaýaty,"",1969
amangeldiyew-altybay,Altybaý Amangeldiýew,56,Agzybirlik,http://mejlis2.bushluk.com/site/assets/files/14524/56-amangeldiyew-a.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/amangeldiyew-altybay/,Daşoguz welaýaty,"",1972
gandymow-dowletgeldi-hudayberdiyewich,Döwletgeldi Hudaýberdiýewiç Gandymow,57,Köneürgenç,http://mejlis2.bushluk.com/site/assets/files/14525/57-gandymow-dh.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/gandymow-dowletgeldi-hudayberdiyewich/,Daşoguz welaýaty,"",1980
nazkulyyew-dadebay-gurbandurdyyewich,Dädebaý Gurbandurdyýewiç Nazkulyýew,58,Derýalyk,http://mejlis2.bushluk.com/site/assets/files/14526/58-nazkulyyew-dg.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/nazkulyyew-dadebay-gurbandurdyyewich/,Daşoguz welaýaty,"",1967
babayew-baymyrat-atanayewich,Baýmyrat Atanaýewiç Babaýew,59,Gürgenç,http://mejlis2.bushluk.com/site/assets/files/14527/59--babayew.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/babayew-baymyrat-atanayewich/,Daşoguz welaýaty,"",1963
saparowa-jennet-kurbanowna,Jennet Kurbanowna Saparowa,60,Bossan,http://mejlis2.bushluk.com/site/assets/files/14528/60-saparowa-jk.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/saparowa-jennet-kurbanowna/,Daşoguz welaýaty,"",1982
tajiyewa-tamara-nuraddinowna,Tamara Nuraddinowna Tažiýewa,61,S. Rozmetow,http://mejlis2.bushluk.com/site/assets/files/14529/61-taziyewa-tn.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/tajiyewa-tamara-nuraddinowna/,Daşoguz welaýaty,"",1976
annaglychew-myratglych-nuryyewich,Myratglyç Nuryýewiç Annaglyçew,62,Nowbahar,http://mejlis2.bushluk.com/site/assets/files/14530/62-annaglycew-mn.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/annaglychew-myratglych-nuryyewich/,Daşoguz welaýaty,"",1979
annayewa-guljemal-bekdurdyyewna,Güljemal Bekdurdyýewna Annaýewa,63,S.A.Nyýazow,http://mejlis2.bushluk.com/site/assets/files/14531/63-anayew-gb.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/annayewa-guljemal-bekdurdyyewna/,Daşoguz welaýaty,"",1975
sopyyew-magsat-gurbanmamedowich,Magsat Gurbanmämedowiç Sopyýew,64,S.Türkmenbaşy,http://mejlis2.bushluk.com/site/assets/files/14532/64-sopyyew-mg.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/sopyyew-magsat-gurbanmamedowich/,Daşoguz welaýaty,"",1984
odeshow-maksat-myradowich,Maksat Myradowiç Ödeşow,65,Aýböwür,http://mejlis2.bushluk.com/site/assets/files/14533/65-odesow-mm.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/odeshow-maksat-myradowich/,Daşoguz welaýaty,"",1977
atayewa-jennet-muhammedowna,Jennet Muhammedowna Ataýewa,66,Sarygamyş,http://mejlis2.bushluk.com/site/assets/files/14534/66-atayewa-jm.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/atayewa-jennet-muhammedowna/,Daşoguz welaýaty,"",1967
altybayew-yazdurdy-ballyyewich,Ýazdurdy Ballyýewiç Altybaýew,67,Ruhubelent,http://mejlis2.bushluk.com/site/assets/files/14535/67-altybayew-yb.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/altybayew-yazdurdy-ballyyewich/,Daşoguz welaýaty,"",1976
