id,name__zh,name__en,image,term,source,wikiname__zh,name
leong_veng_chai,梁榮仔,LEONG VENG CHAI,http://www.al.gov.mo/dep_2013/img/25.jpg,10,http://www.al.gov.mo/dep_2013/cn/leong%20veng%20chai.htm,"",LEONG VENG CHAI
zheng_anting,鄭安庭,ZHENG ANTING,http://www.al.gov.mo/dep_2013/img/28.jpg,10,http://www.al.gov.mo/dep_2013/cn/zheng%20anting.htm,"",ZHENG ANTING
si_ka_lon,施家倫,SI KA LON,http://www.al.gov.mo/dep_2013/img/29.jpg,10,http://www.al.gov.mo/dep_2013/cn/si%20ka%20lon.htm,施家倫,SI KA LON
wong_kit_cheng,黃潔貞,WONG KIT CHENG,http://www.al.gov.mo/dep_2013/img/32.jpg,10,http://www.al.gov.mo/dep_2013/cn/wong%20kit%20cheng.htm,"",WONG KIT CHENG
song_pek_kei,宋碧琪,SONG PEK KEI,http://www.al.gov.mo/dep_2013/img/33.jpg,10,http://www.al.gov.mo/dep_2013/cn/song%20pek%20kei.htm,"",SONG PEK KEI
fong_chi_keong,馮志強,FONG CHI KEONG,http://www.al.gov.mo/dep_2013/img/05.jpg,10,http://www.al.gov.mo/dep_2013/cn/fong_chi_keong.htm,馮志強 (澳門),FONG CHI KEONG
tsui_wai_kwan,徐偉坤,TSUI WAI KWAN,http://www.al.gov.mo/dep_2013/img/10.jpg,10,http://www.al.gov.mo/dep_2013/cn/tsui_wai_kwan.htm,"",TSUI WAI KWAN
vong_hin_fai,黃顯輝,VONG HIN FAI,http://www.al.gov.mo/dep_2013/img/14.jpg,10,http://www.al.gov.mo/dep_2013/cn/vong_hin_fai.htm,"",VONG HIN FAI
lau_veng_seng,劉永誠,LAU VENG SENG,http://www.al.gov.mo/dep_2013/img/19.jpg,10,http://www.al.gov.mo/dep_2013/cn/lau%20veng%20seng.htm,劉永誠,LAU VENG SENG
sio_chi_wai,蕭志偉,SIO CHI WAI,http://www.al.gov.mo/dep_2013/img/21.jpg,10,http://www.al.gov.mo/dep_2013/cn/sio%20chi%20wai.htm,"",SIO CHI WAI
tong_io_cheng,唐曉晴,TONG IO CHENG,http://www.al.gov.mo/dep_2013/img/24.jpg,10,http://www.al.gov.mo/dep_2013/cn/tong%20io%20cheng.htm,"",TONG IO CHENG
ma_chi_seng,馬志成,MA CHI SENG,http://www.al.gov.mo/dep_2013/img/30.jpg,10,http://www.al.gov.mo/dep_2013/cn/ma%20chi%20seng.htm,"",MA CHI SENG
