id,name,area,group,group_id,term,source,national_identity,gender
2010-105,UWIMANA Charlotte,NGOZI,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-106,UWIZEYE Ibrahim,MUYINGA,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2015-1,AHISHAKIYE Gloriose,NGOZI,CNDD-FDD,,2015,,HUTU,Female
2015-2,BANYIKWA Adolphe,BUJUMBURA,ABIGENGA MIZERO Y’ABARUNDI,,2015,,HUTU,Male
2015-3,BARAMPAMA Chantal,BUJUMBURA,CNDD-FDD,,2015,,TUTSI,Female
2015-4,BARANYANKA Joselyne,MUYINGA,CNDD-FDD,,2015,,TUTSI,Female
2015-5,BARANYIZIGIYE Jacqueline,CANKUZO,CNDD-FDD,,2015,,HUTU,Female
2015-6,BASHINGWA Evole,MAIRIE,CNDD-FDD,,2015,,HUTU,Male
2015-7,BAVAKURE Domitien,KARUSI,CNDD-FDD,,2015,,HUTU,Male
2015-8,BAZIRAHOMPONYO YE Rémégie,MURAMVYA,CNDD-FDD,,2015,,HUTU,Male
2015-9,Dr. BIGIRINDAVYI Ildéphonse,MURAMVYA,CNDD-FDD,,2015,,TUTSI,Male
2015-10,BIKORIMANA Jérôme,BURURI,CNDD-FDD,,2015,,HUTU,Male
2015-11,BIZIMUNGU Simon,CIBITOKE,ABIGENGA MIZERO Y’ABARUNDI,,2015,,HUTU,Male
2015-12,BIZUMUREMYI Pascal,RUYIGI,ABIGENGA MIZERO Y’ABARUNDI,,2015,,HUTU,Male
2015-13,BUKURU Renate,RUYIGI,CNDD-FDD,,2015,,HUTU,Female
2015-14,BURIKUKIYE Victor,MUYINGA,CNDD-FDD,,2015,,HUTU,Male
2015-15,BUSOKOZA Bernard,MAIRIE,ABIGENGA MIZERO Y’ABARUNDI,,2015,,TUTSI,Male
2015-16,CIMPAYE Spéciose,MURAMVYA,CNDD-FDD,,2015,,TUTSI,Female
2015-17,CIZA Angèle,KIRUNDO,ABIGENGA MIZERO Y’ABARUNDI,,2015,,TUTSI,Female
2015-18,COYITUNGIYE Claver,KARUSI,ABIGENGA MIZERO Y’ABARUNDI,,2015,,HUTU,Male
2015-19,DUKUNDANE Fleurette,MUYINGA,CNDD-FDD,,2015,,TUTSI,Female
2015-20,GAFURERO Léocadie,BUBANZA,CNDD-FDD,,2015,,TUTSI,Female
2015-21,GAKOBWA Séraphine,MAKAMBA,CNDD-FDD,,2015,,HUTU,Female
2015-22,GASUHUKE Jacques,CANKUZO,AMIZERO,,2015,,TUTSI,Male
2015-23,HABONIMANA Odette,RUMONGE,CNDD-FDD,,2015,,HUTU,Female
2015-24,HAKIZIMANA Léopold,KAYANZA,ABIGENGA MIZERO Y’ABARUNDI,,2015,,HUTU,Male
2015-25,HAKIZIMANA Pascal,MUYINGA,CNDD-FDD,,2015,,HUTU,Male
2015-26,HATUNGIMANA Godeberthe,RUTANA,ABIGENGA MIZERO Y’ABARUNDI,,2015,,TUTSI,Female
2015-27,HATUNGIMANA Venant,KAYANZA,CNDD-FDD,,2015,,HUTU,Male
2015-28,HAVYARIMANA Juvénal,BUBANZA,CNDD-FDD,,2015,,HUTU,Male
2015-29,INABIGENDERA Mireille,KARUSI,ABIGENGA MIZERO Y’ABARUNDI,,2015,,TUTSI,Female
2015-30,IRAKOZE Caritas,MAKAMBA,CNDD-FDD,,2015,,TUTSI,Female
2015-31,IRAKOZE Lydia,MAIRIE,CNDD-FDD,,2015,,TUTSI,Female
2015-32,IRAMBONA Joséphine,KARUSI,CNDD-FDD,,2015,,HUTU,Female
2015-33,KABANGO Georges,KARUSI,CNDD-FDD,,2015,,HUTU,Male
2015-34,KAMERE Ange Denise,MUYINGA,CNDD-FDD,,2015,,HUTU,Female
2015-35,KARERA Denis,GITEGA,CNDD-FDD,,2015,,HUTU,Male
2015-36,KARERWA MO- MAMO,GITEGA,CNDD-FDD,,2015,,HUTU,Female
2015-37,MALAYIKA Pamphile,MUYINGA,ABIGENGA MIZERO Y’ABARUNDI,,2015,,HUTU,Male
2015-38,MANIRAKIZA Anatole,CIBITOKE,CNDD-FDD,,2015,,HUTU,Male
2015-39,MANIRAKIZA Pascasie,NGOZI,CNDD-FDD,,2015,,TUTSI,Female
2015-40,MANIRAMBONA Térence,GITEGA,ABIGENGA MIZERO,,2015,,HUTU,Male
2015-41,MBONEKO Sauda,BUJUMBURA,CNDD-FDD,,2015,,HUTU,Female
2015-42,MBONIHANKUYE François,KARUSI,CNDD-FDD,,2015,,HUTU,Male
2015-43,MBONIGABA Noé,RUYIGI,ABIGENGA MIZERO Y’ABARUNDI,,2015,,HUTU,Male
2015-44,MBONIMPA Adolphe,KIRUNDO,CNDD-FDD,,2015,,TUTSI,Male
2015-45,MBONIMPA Freddy,MAIRIE,CNDD-FDD,,2015,,TUTSI,Male
2015-46,MBONINYIBUKA Gilbert,MAKAMBA,CNDD-FDD,,2015,,HUTU,Male
2015-47,MISAGO Amédée,MUYINGA,CNDD-FDD,,2015,,HUTU,Male
2015-48,MIZERO Mireille,NGOZI,ABIGENGA MIZERO Y’ABARUNDI,,2015,,TUTSI,Female
2015-49,MPITABAVUMA François,MUYINGA,CNDD-FDD,,2015,,HUTU,Male
2015-50,MUHIMPUNDU Xavière,KARUSI,CNDD-FDD,,2015,,TUTSI,Female
2015-51,MUHUNGU Jean Bosco,RUTANA,CNDD-FDD,,2015,,TUTSI,Male
2015-52,MUKESHIMANA Léonidas,RUMONGE,CNDD-FDD,,2015,,HUTU,Male
2015-53,MUREKERISONI Jeanine,KIRUNDO,ABIGENGA MIZERO Y’ABARUNDI,,2015,,TUTSI,Female
2015-54,MVUYEKURE Lazare,GITEGA,CNDD-FDD,,2015,,HUTU,Male
2015-55,MWIDOGO Persille,NGOZI,CNDD-FDD,,2015,,TUTSI,Female
2015-56,NAHAYO Claude,NGOZI,CNDD-FDD,,2015,,HUTU,Male
2015-57,NAHAYO Immaculée,KAYANZA,CNDD-FDD,,2015,,HUTU,Female
2015-58,NAHINTIJE Julienne,KAYANZA,ABIGENGA MIZERO Y’ABARUNDI,,2015,,TUTSI,Female
2015-59,NDABIRABE Gélase,KAYANZA,CNDD-FDD,,2015,,HUTU,Male
2015-60,NDARUVUKANYE Zénon,BUJUMBURA,CNDD-FDD,,2015,,HUTU,Male
2015-61,NDAYIMANISHA Canisius,KAYANZA,CNDD-FDD,,2015,,HUTU,Male
2015-62,NDAYIRAGIJE Juvénal,RUTANA,CNDD-FDD,,2015,,HUTU,Male
2015-63,NDAYISENGA Bernard,MAI    RIE,ABIGENGA MIZERO Y’ABARUNDI,,2015,,HUTU,Male
2015-64,NDAYIZAMBA André,BURURI,UPRONA,,2015,,TUTSI,Male
2015-65,NDAYIZEYE Gloriose,GITEGA,CNDD-FDD,,2015,,HUTU,Female
2015-66,NDIHOKUBWAYO Angèle,BURURI,CNDD-FDD,,2015,,TUTSI,Female
2015-67,NDIKUMANA Pierre Célestin,BUJUMBURA,ABIGENGA MIZERO Y’ABARUNDI,,2015,,HUTU,Male
2015-68,NDIKUMASABO Terence,MWARO,ABIGENGA MIZERO Y’ABARUNDI,,2015,,TUTSI,Male
2015-69,NDITIJE Charles,BURURI,ABIGENGA MIZERO Y’ABARUNDI,,2015,,HUTU,Male
2015-70,NDUWAYO Gilbert,MAKAMBA,CNDD-FDD,,2015,,HUTU,Male
2015-71,NDUWIMANA Déogratias,NGOZI,CNDD-FDD,,2015,,HUTU,Male
2015-72,NDUWIMANA Dévote,KIRUNDO,CNDD-FDD,,2015,,TUTSI,Female
2015-73,NDUWIMANA Edouard,KAYANZA,CNDD-FDD,,2015,,TUTSI,Male
2015-74,NDUWUMWAMI Rénovat,MAKAMBA,ABIGENGA MIZERO Y’ABARUNDI,,2015,,HUTU,Male
2015-75,NGAYIMPENDA Evariste,RUTANA,ABIGENGA MIZERO Y’ABARUNDI,,2015,,TUTSI,Male
2015-76,NGENDABANKA Anglebert,CANKUZO,CNDD-FDD,,2015,,HUTU,Male
2015-77,NGERAGEZE Egide,RUYIGI,CNDD-FDD,,2015,,HUTU,Male
2015-78,NIBIGIRA Ezéchiel,BUJUMBURA,CNDD-FDD,,2015,,HUTU,Male
2015-79,NIMENYA Gloriose,RUMONGE,UPRONA,,2015,,TUTSI,Female
2015-80,NININAHAZWE Godelieve,MWARO,CNDD-FDD,,2015,,HUTU,Female
2015-81,NIRAGIRA Félix,NGOZI,CNDD-FDD,,2015,,TUTSI,Male
2015-82,NIYOBUHUNGIRO Justin,CIBITOKE,CNDD-FDD,,2015,,HUTU,Male
2015-83,NIYONGABO Justine,CANKUZO,CNDD-FDD,,2015,,TUTSI,Female
