name,area_ar,area,image,term,source,end_date,end_reason
Muhammed Omar  Al'abani,ترهونة,Tarhunah,https://www.temehu.com/pictures3/hor13/290-tarhouna.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Aboubaker Ahmed Saleh,ترهونة,Tarhunah,https://www.temehu.com/pictures1/hor11/503-tarhouna.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Hasen Althaher  Musbah,بني وليد,Bani Walid,https://www.temehu.com/pictures2/hor12/hsein-altaher-musbah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muhammed Ali Ibrahim,بني وليد,Bani Walid,https://www.temehu.com/pictures1/hor11/ibrahim-ali-alwaer.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Jaballah Muhammed Jaballah,تاورغاء,Tawergha,https://www.temehu.com/pictures3/hor13/1807-tawergha.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Hanan Muhammed  Shlouf,مصراطة,Mesratha (Misrata),https://www.temehu.com/pictures2/hor12/hanan-shellouf.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Sulieman Muhammed Alfaqih,مصراطة ,Mesratha,https://www.temehu.com/pictures2/hor12/sliman-alfaqih.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Fathi Ali  Bashagha,مصراطة ,Mesratha,https://www.temehu.com/pictures3/hor13/fathi-bashagha.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muhammed Abdulkarim Alra'id,مصراطة ,Mesratha,https://www.temehu.com/pictures1/hor11/alraid-abdulkarim.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abdulrahman Alhshibani Alsweihli,مصراطة ,Mesratha,https://www.temehu.com/pictures2/hor12/abdulrahman-alsweihli.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muhammed Ibrahim  Aldrrath,مصراطة ,Mesratha,https://www.temehu.com/pictures1/hor11/alderrat-ali-ibrahim.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muhammed Mansour  Hnish,مصراطة ,Mesratha,https://www.temehu.com/pictures1/hor11/hanish-ali-mansour.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Kamal Albashir  Aljamel,مصراطة ,Mesratha,https://www.temehu.com/pictures1/hor11/kamal-bashir.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Na'ima Ramadan  Dalf,زليتن,Zliten,https://www.temehu.com/pictures1/hor11/delf-naima.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muhammed Alhadi  Ben Khalil,زليتن,Zliten,https://www.temehu.com/pictures1/hor11/khalil-benhashmi-ali.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abdulghani Ahmed  Alfthisi,زليتن,Zliten,https://www.temehu.com/pictures2/hor12/abdulghani-alfthisi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ezeddine Abdulsalam  Qweireb,زليتن,Zliten,https://www.temehu.com/pictures3/hor13/ezeddin-goubreb.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Emar Milad Rajab Alablaq,زليتن,Zliten,https://www.temehu.com/pictures3/hor13/emmar-alabeq.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Aboubaker Ibrahim Milad,الخمس الساحل,Khoms Coast,https://www.temehu.com/pictures1/hor11/1378-khoms-coast.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Yousef Abdulsalam  Alferjani,الخمس الساحل,Khoms Coast,https://www.temehu.com/pictures3/hor13/843-khoms-coast.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abdulnaser Alameen Alna'as,الخمس المدينة,Khoms City,https://www.temehu.com/pictures1/hor11/496-khoms-city.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Fathi Abdulsalam  Alsharif,قصر الاخيار,Qasr Alakhyar,https://www.temehu.com/pictures2/hor12/662-qasr-akhyar.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ibtisam Abdulsalam Ben Jum'aa,القره بوللي,Castelverde,https://www.temehu.com/pictures1/hor11/469-castelverde.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ali Khalifa Salem Alsoul,القره بوللي,Castelverde,https://www.temehu.com/pictures3/hor13/203-castelverde.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Alsadeq Ali  Alkahili,تاجوراء,Tripoli: Tajoura,https://www.temehu.com/pictures3/hor13/982-tajoura2.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Aboualkhayer Alsha'ab Belkhayer,تاجوراء,Tripoli: Tajoura,https://www.temehu.com/pictures2/hor12/792-tajoura.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Khalid Ali Muhammed Alostha,تاجوراء,Tripoli: Tajoura,https://www.temehu.com/pictures2/hor12/1597-tajoura.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Mustafa Abushagour  Abushagour,سوق الجمعة,Tripoli: Souq Aljum'aa,https://www.temehu.com/pictures3/hor13/mustafa-abushagur.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Rabi'aa Alsadeq  Alfaqih,سوق الجمعة,Tripoli: Souq Aljum'aa,https://www.temehu.com/pictures3/hor13/1791-souq-jumaa.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Loua Muhammed  Alghawi,سوق الجمعة,Tripoli: Souq Aljum'aa,https://www.temehu.com/pictures3/hor13/993-souq-jumaa.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Alsadiq Muftah Hmoudah,سوق الجمعة,Tripoli: Souq Aljum'aa,https://www.temehu.com/pictures3/hor13/869-souq-jumaa.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muhammed Mustafa  Rashed,سوق الجمعة,Tripoli: Souq Aljum'aa,https://www.temehu.com/pictures1/hor11/1143-souq-jumaa.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Fouziyyah Muhammed  Aboghalya,طرابلس المركز,Tripoli Centre,https://www.temehu.com/pictures1/hor11/1173-tripoli-centre.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Hamoudah Ahmed  Sayyala,طرابلس المركز,Tripoli Centre,https://www.temehu.com/pictures1/hor11/1171-tripoli-centre.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ali Omar Aboalqasem Altekbali,طرابلس المركز,Tripoli Centre,https://www.temehu.com/pictures3/hor13/1777-tripoli-centre.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Hana Khalifa Khalid Abodeib,حي الاندلس,Tripoli: Hay Alandulus,https://www.temehu.com/pictures3/hor13/871-hay-andulus.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Rabi'aa Abdulrahman  Aboras,حي الاندلس,Tripoli: Hay Alandulus,https://www.temehu.com/pictures1/hor11/545-hay-andulus.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Faez Mustafa Fouzi Alsaraj,حي الاندلس,Tripoli: Hay Alandulus,https://www.temehu.com/pictures3/hor13/1757-hay-andulus.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ali Rhouma  Alsaba'ai,حي الاندلس,Tripoli: Hay Alandulus,https://www.temehu.com/pictures3/hor13/1772-hay-andulus.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Masa'ab Muhammed Abolqasem,حي الاندلس,Tripoli: Hay Alandulus,https://www.temehu.com/pictures1/hor11/1330-hay-andulus.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Alsadeq Muhammed  Idris,قصر بن غشير,Tripoli: Ben Ghashir,https://www.temehu.com/pictures2/hor12/708-qasr-ben-ghashir4.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muhammed Bashir  Alfayres,قصر بن غشير,Tripoli: Ben Ghashir,https://www.temehu.com/pictures3/hor13/22.qasr-ben-ghashir.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Sa'ad Almeryami Almeryami,ابوسليم,Tripoli: Abu Salim,https://www.temehu.com/pictures3/hor13/28-abu-salim.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
So'aad Abdullah Alsheli,ابوسليم,Tripoli: Abu Salim,https://www.temehu.com/pictures1/hor11/1180-abu-salim.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abdulraouf Ibrahim Almana'ai,ابوسليم,Tripoli: Abu Salim,https://www.temehu.com/pictures2/hor12/801-abu-salim.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Tareq Abdullah  Alashter,ابوسليم,Tripoli: Abu Salim,https://www.temehu.com/pictures3/hor13/1769-abu-salim.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Asma Mahmoud  Alkhouja,عين زارة,Tripoli: Ain Zara,https://www.temehu.com/pictures2/hor12/1619-ainzara.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abdulnaser Bashir  BenNafi'a,عين زارة,Tripoli: Ain Zara,https://www.temehu.com/pictures1/hor11/488-ainzara.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ali Ahmed Ali Altekali,عين زارة,Tripoli: Ain Zara,https://www.temehu.com/pictures1/hor11/1336-ainzara.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Osama Faraj  Alsh'aafi,عين زارة,Tripoli: Ain Zara,https://www.temehu.com/pictures1/hor11/542-ainzara.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ali Muftah Omar Almjdoub,مسيحل +  السائح + اسبيعة,Mseihel + Alsaeh + Sbi'aa,https://www.temehu.com/pictures1/hor11/1138-mseihel.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ibtisam Abdulhafid Omar Salem,العزيزية,Aziziyah,https://www.temehu.com/pictures3/hor13/1781-aziziyah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ali Muhammed Housein Kshir,العزيزية,Aziziyah,https://www.temehu.com/pictures2/hor12/1421-aziziyah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ezeddine Musbah  Aborawi,سواني بن آدم,Swani Ben Adam,https://www.temehu.com/pictures1/hor11/390-swani.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
"Sarah Amer Abduljalil Alsweih
 ",جنزور,Janzur,https://www.temehu.com/pictures3/hor13/870-janzur.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Aymen Almbrouk  Saif Alnaser,جنزور,Janzur,https://www.temehu.com/pictures1/hor11/1142-janzur.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Bashir Ali Sa'ad Alahmar,جنزور,Janzur,https://www.temehu.com/pictures2/hor12/795-janzur.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Omar Ali Alajili Tantoush,الماية,Mayah,https://www.temehu.com/pictures3/hor13/864-mayah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Musbah Miloud Albadawi,الناصرية,Nasiriyah,https://www.temehu.com/pictures1/hor11/393-nasiriyah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Aisha Almahdi Shalabi,الزاوية,Zawia,https://www.temehu.com/pictures2/hor12/1710-zawiyah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
" 
Muhammed Alfitouri Alhanish",الزاوية,Zawia,https://www.temehu.com/pictures1/hor11/1315-zawiyah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ali Muhammed Hasan Abozriba,الزاوية,Zawia,https://www.temehu.com/pictures1/hor11/1237-zawiyah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Emarah Ali Hasan Shenbaro,الزاوية,Zawia,https://www.temehu.com/pictures2/hor12/1527-zawiyah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Emhamed Ali Belqasem Sh'aib,الزاوية,Zawia,https://www.temehu.com/pictures2/hor12/1513b-zawiyah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Salem Masoud Ahmed Qnidi,الزاوية,Zawia,https://www.temehu.com/pictures3/hor13/216-zawiyah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abdulnabi Albashir Abdulmawla,الزاوية,Zawia,https://www.temehu.com/pictures1/hor11/509-zawiyah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abdullah Housein  Allafi,الزاوية,Zawia,https://www.temehu.com/pictures3/hor13/957-zawiyah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Fouzi Althaher  Alnweiry,صرمان,Surman,https://www.temehu.com/pictures2/hor12/1526-serman.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Faraj Bashir  Abdulmalik,صبراتة,Sabratah,https://www.temehu.com/pictures1/hor11/abdulmalik-bashir.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Almabrouk Abdullah  Alkabir,صبراتة,Sabratah,https://www.temehu.com/pictures2/hor12/almbrouk-mansour.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abdulmun'aim Emar  Balkour,العجيلات,Ajaylat,https://www.temehu.com/pictures1/hor11/523-ajilat.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Adel Mawloud Mahfoud,العجيلات,Ajaylat,https://www.temehu.com/pictures3/hor13/952-ajilat.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Asseyyedah Kamel Aly'aqoubi,غريان,Gharyan,https://www.temehu.com/pictures1/hor11/43-gheryan.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Suleiman Omar  Alharai,غريان,Gharyan,https://www.temehu.com/pictures2/hor12/1480-gheryan2.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Salah Ali Alshibani Zoubik,غريان,Gharyan,https://www.temehu.com/pictures2/hor12/1681-gheryan.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
N'aim Muhammed  Abdulrahman,غريان,Gharyan,https://www.temehu.com/pictures3/hor13/1720-gheryan.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Tareq Aboubaker  Abouhisa,يفرن,Yefren,https://www.temehu.com/pictures2/hor12/1479-yefren.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abdulwahhab Omar  Zoliyah,الاصابعة,Alasab'aa,https://www.temehu.com/pictures2/hor12/1568-asabiaa.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Akram Esa Omar Khalifa,ككلة + القلعة,Kikla + Qal'ah,https://www.temehu.com/pictures1/hor11/129-kikla-qala.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Omar Salem Alarabi,الرياينة,Ryayna,https://www.temehu.com/pictures3/hor13/282-rayayna.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muhammed Ahmed  Niqro,الرحيبات,Arrihibat,https://www.temehu.com/pictures3/hor13/279-rhibat.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Salah Alsahbi Ali Balhouq,الرجبان,Rujban,https://www.temehu.com/pictures2/hor12/1563-rujban.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abdulsalam Abdullah Nasiyah,الزنتان,Zintan,https://www.temehu.com/pictures1/hor11/1094-zintan.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Omar Ghaith  Abokader,الزنتان,Zintan,https://www.temehu.com/pictures3/hor13/833-zintan.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ali Khalifa  Al'aisawi,كاباو,Kabaw,https://www.temehu.com/pictures1/hor11/1079-kabaw.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Salem Masoud  Qanan,نالوت,Nalut,https://www.temehu.com/pictures3/hor13/836-nalut.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Fahmi Abdulrahman Altawati,مزدة,Mizdah,https://www.temehu.com/pictures1/hor11/1071-mezdah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ehfid Khalifa  Shaninah,باطن الجبل,Batin Aljabal,https://www.temehu.com/pictures1/hor11/1080-jabel-bathen.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abdulqader Bashir  Hibah,غدامس,Ghadamis,https://www.temehu.com/pictures1/hor11/546-ghadames.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ismaeil Muhammed Ismaeil,الجفرة,Jufra,https://www.temehu.com/pictures3/hor13/341-jufrah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Mu'ad Rafi'a Saleh Masoud,الجفرة,Jufra,https://www.temehu.com/pictures2/hor12/1470-jufrah3.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Mdellah Muhammed  Qendah,الجفرة,Jufra,https://www.temehu.com/pictures2/hor12/1463-jufrah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Fathi Abdulrahim Alqabasi,اوجلة,Awjilah,https://www.temehu.com/pictures3/hor13/fathi-alqabbasi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Hamed Muhammed  Maqiq,جالو + اجخرة,Jalu + Jakharrad,https://www.temehu.com/pictures2/hor12/hmed-maqiq.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Fatima Ahmed  Karis,اوجلة + جالو + اجخرة ,Awjilah + Jalu + Jakharrad,https://www.temehu.com/pictures1/hor11/1341-jalu-awjla-women-2.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muhammed Musa  Douma,تازربو,Tazerbu,https://www.temehu.com/pictures1/hor11/493-tazerbu.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Khadijah Ahmed  Alzarouq,وادي الشاطيء,Wadi Ashathi,https://www.temehu.com/pictures1/hor11/353-wadi-shathi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ali Als'aidi  Alqaidi,وادي الشاطيء,Wadi Ashathi,https://www.temehu.com/pictures1/hor11/360-wadi-shathi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abdullah Muhammed  Lehmish,وادي الشاطيء,Wadi Ashathi,https://www.temehu.com/pictures2/hor12/584-wadi-shathi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Alhadi Ali Alsaghir,وادي الشاطيء,Wadi Ashathi,https://www.temehu.com/pictures2/hor12/593-wadi-shathi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abosalah Abdulsalam  Shalbi,وادي الشاطيء,Wadi Ashathi,https://www.temehu.com/pictures1/hor11/374-wadi-shathi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
