id,uuid
mp_MelihateTërmkolli,3e00f32d-07c5-4a40-9626-fc150d7de9ad
mp_MevlydeSaraçi,4b99fb43-f750-4dcb-b284-93049087ced4
mp_MilovanJovanoviæ,6be42a69-5f23-4f35-9973-f80157e8aa66
mp_MomèiloSaviæ,e90be212-7404-4d38-aad1-4a493a854dbf
mp_MuhametKelmendi,b35086a7-76e7-466d-baa3-e5457f6dd2dc
mp_NafijeBerisha,0734d120-5300-4e8b-bf16-963d7e8a8ec4
mp_NafiyeGaş,3fd3c7f0-713b-4e00-b58c-bc45f0b0107d
mp_NaimMaloku,9239b9b9-5b3e-4337-a30b-6f7acb3d735f
mp_NekibeKelmendi,d1ade62c-06e1-433a-9fe2-7c8319ec4e41
mp_NerxhivaneDauti,3d5f6338-7e0b-4eec-ad93-ca9725613a30
mp_NimonAlimusaj,d0dc2e59-afda-4e04-a266-7189f57313db
mp_NurishaheHulaj,0403bb37-a13d-4ca3-beb4-146f9311827e
mp_OliverIvanović,cbce510d-db85-4c3d-99e6-8c462172aaea
mp_PetarRadosavljeviæ,6c3ce2cb-1911-47a4-a0d0-f3be73843c56
mp_QazimKabashi,75cddb81-6ee3-4511-8fee-ff9abff0890c
mp_RadaTrajkoviæ,eb385fb5-360b-4801-802d-c4e0bbe5a3d8
mp_RamadanBKelmendi,7e8f8e7c-3e68-4bbf-85b9-eb100cfa7513
mp_RamushHaradinaj,72dcd1cf-3363-49ec-b241-b8bdb72ed551
mp_RanðelNojkiæ,019181ce-0d74-43cc-a6f9-788bd53664f1
mp_RemzijeNimani,69645e24-43b7-4e84-ba9b-656753615266
mp_RustemIbiI,cf470bc2-cf98-4d83-9d94-883ce321edeb
mp_SabileBasha,53afce27-4028-4fef-bc7e-49762c8441e3
mp_SabitRrahmani,28ca8680-75fc-4b2e-9aff-b24ea6b1f20e
mp_SabitRrustemi,0b37d7e5-c7a2-42d1-b7d7-ccb6733d685f
mp_SabriFejzullahu,07f6ce71-62a3-4005-a4b9-e91d5b07abd4
mp_SabriHamiti,ced178f5-5847-4065-81e1-8228bf0c7f16
mp_SadikIdrizi,e446eb65-9c99-4dd2-9d8c-9fbf99f261f5
mp_SadudinBerisha,abce66d3-06de-4c35-b672-d77f0dc95e67
mp_SahitKrasniqi,ae7413d1-9c6f-4cbe-9d2f-07ce18d58800
mp_SalaAhmetaj,11874fda-6ac0-49b2-9879-e6918f644152
mp_SamijeZeqiraj,61e1c2a2-afa2-4c59-b33e-4ee628283d40
mp_SanijeAliaj,2ce384ea-9e98-463a-a9b4-86bcc8ddbae5
mp_SebahateKrasniqiGrajçevci,1eccd5b1-d86d-4c6b-85ba-99464522b543
mp_SejdullahHoxha,cbdce045-8a48-440e-b4a9-727addde414b
mp_ShefkiSejdiu,16b04950-f480-4b1c-9859-a687e0ad4456
mp_SlobodanBjeliæ,4bb31624-c395-41a2-aef0-be7e7cda091d
mp_SmajlLatifi,e2b831c7-aa27-4a6e-b45a-517addc7e148
mp_SmiljkaMilisavljeviæ,e1898341-c8ff-41e5-8682-22ebfacf6042
mp_SofijeHargji,64843e0c-ebcc-428c-b6cf-f4219e523504
mp_SokolÐorðeviæ,ad934642-07d7-433b-ad6b-0d6d52d093f9
mp_StojankaPetkoviæ,0b2866f8-9346-4641-9905-5612f6a7a898
mp_SvetomirSamardIæ,fea6f5b9-f484-498e-b023-cdd827116d99
mp_SylejmanÇerkezi,65b771aa-9d37-4c76-a210-7c936556821d
mp_TeutaHadri,1029f89c-7b57-4b68-8073-f53aacd6a382
mp_TomëHajdaraj,867004ea-a69f-4ac5-9ee7-baf6950c8879
mp_VesnaJovanoviæ,795ba9b9-7436-4823-afe0-62c498e43b28
mp_XhavitHaliti,690cfb71-9b17-4aef-a24f-feabb4e1f2c8
mp_XhelalCanziba,ad17aac5-5514-4def-890d-4c9efee23761
mp_XhevdetNeziraj,148a66f9-8349-4b88-a968-49e75fdb023c
mp_YmerMuhaxheri,d88218b9-808d-4057-81c9-7b0f5976e49d
mp_ZehraElezi,dc00740d-d34c-421f-bf14-fd691c302e94
mp_ZulfiMerxha,cf0b602f-586c-427b-a1f5-42fc1caea6a8
mp_ZyhrieMaloku,1ac44071-2a84-42bf-bcb6-c41c87aae867
mp_ZylfijeHundozi,c7d68fc3-8b82-4012-89cc-2310458f68cc
mp_AfrimArzullaxhiu,8985b438-1950-4473-8a2b-8507fe98ad96
mp_BajramRexhepi,6b25d6ff-dc13-4e07-934a-61082a756643
mp_BrikendaKryeziu,a4746a1d-a11f-41b2-af70-9cd834349ebe
mp_DemirLima,18ff19f4-9320-41b3-9803-ce98a109f5b1
mp_DragiAKrstović,c150753d-e901-4729-98fe-fbf322ebf218
mp_EmrushXhemajli,d7cc3551-e586-4176-a1be-100a5f341250
mp_EnverHoxhaj,1162e7b6-d9c5-4575-8328-bd686f6ae5d7
mp_Et'hemÇeku,ff025c57-fdde-47f2-ae3c-cf84f2af20ad
mp_FadilGashi,88bc2eec-d6f4-47bd-a084-5c8232924b4b
mp_FatmireMulhaxhaKollçaku,09a89cd0-1c1e-4de9-ae2f-c6c87cbc92d3
mp_FehmiMujota,f4da79f4-967e-483c-8ddf-b24787f424de
mp_FehmiVula,474d2bc0-018f-48ff-8040-b24757d0fc0f
mp_FeridAgani,dffa3f29-e2ad-457c-a774-cd7ca99ae8e8
mp_FetahBerisha,0a87fc4d-0423-45d2-9fb2-f7f8f55f1e5b
