id,name,name__tj,source,image,group,term
1229,Kholiqzoda Abdurahim Gafor,Холиқзода Абдураҳим Ғафор,http://www.parlament.tj/index.php?view=article&id=1229,http://www.parlament.tj/images/stories/Kholiqzoda%20Abdurahim%20Gafor.jpg,Unknown,2015
1248,Sharipov Sadridin Faizievich,Шарипов Садридин Файзиевич,http://www.parlament.tj/index.php?view=article&id=1248,http://www.parlament.tj/images/stories/Sharipov%20S.jpg,Unknown,2015
1251,Boboev Olimjon,Бобоев Олимҷон,http://www.parlament.tj/index.php?view=article&id=1251,http://www.parlament.tj/images/stories/Boboev%20Olimjon.jpg,Unknown,2015
1215,Kholmuhammadzoda Azizmuhammad Kholmuhammad,Холмуҳаммадзода Азизмуҳаммад,http://www.parlament.tj/index.php?view=article&id=1215,http://www.parlament.tj/images/stories/Kholmuhammadzoda%20Azizmuhammad%20Kholmuhammad.JPG,Unknown,2015
1235,Qalandarzoda Mavluda Sattori,Қаландарзода Мавлуда Сатторӣ,http://www.parlament.tj/index.php?view=article&id=1235,http://www.parlament.tj/images/stories/Qalandarzoda%20Mavluda%20Satori.jpg,Unknown,2015
1238,Sodiqova Nasiba Nusratovna,Содиқова Насиба Нуруллоевна,http://www.parlament.tj/index.php?view=article&id=1238,http://www.parlament.tj/images/stories/Sodiqova%20Nasiba%20Nurulloevna.jpg,Unknown,2015
1236,Safarov Bakhtovar Amiralievich,Сафаров Бахтовар Амиралиевич,http://www.parlament.tj/index.php?view=article&id=1236,http://www.parlament.tj/images/stories/Safarov%20Bakhtovar%20Amiralievich.jpg,Unknown,2015
1226,Bukhoriev Tolibek Ahmadovich,Бухориев Толибек Аҳмадович,http://www.parlament.tj/index.php?view=article&id=1226,http://www.parlament.tj/images/stories/Bukhoriev%20Tolibek%20Ahmadovich.jpg,Unknown,2015
1240,Sirojov Sharofiddin,Сироҷов Шарофидин,http://www.parlament.tj/index.php?view=article&id=1240,http://www.parlament.tj/images/stories/Sirojov%20Sharofidin.jpg,Unknown,2015
1219,Qobilov Ahmadjon,Қобилов Аҳмадчон,http://www.parlament.tj/index.php?view=article&id=1219,http://www.parlament.tj/images/stories/Qobilov%20Ahmadjon.jpg,Unknown,2015
1259,Taghaimurodov Anvar Haidarovich,Тағоймуродов Анвар Ҳайдарович,http://www.parlament.tj/index.php?view=article&id=1259,http://www.parlament.tj/images/stories/Tagaimurodov%20An.jpg,Unknown,2015
1258,Qudratov Rustam Rahmatovich,Қудратов Рустам Раҳматович,http://www.parlament.tj/index.php?view=article&id=1258,http://www.parlament.tj/images/stories/Qudratov%20R.jpg,Unknown,2015
1220,Odinaev Hayot Abdulhaqovich,Одинаев Ҳаёт Абдулҳақович,http://www.parlament.tj/index.php?view=article&id=1220,http://www.parlament.tj/images/stories/Odinaev%20Hayot.jpg,Unknown,2015
1250,Sufiev Khairullo Sabzaalievich,Суфиев Хайрулло Сабзаалиевич,http://www.parlament.tj/index.php?view=article&id=1250,http://www.parlament.tj/images/stories/Sufiev%20Kh.JPG,Unknown,2015
98,Safarov Zainidin,Сафаров Зайнидин,http://www.parlament.tj/index.php?view=article&id=98,http://www.parlament.tj/images/stories/Safarov%20Zainidin(1).jpg,Unknown,2015
66,Rajabov Safarali Khudoyorovich,Раҷабов Сафаралӣ Худоёрович,http://www.parlament.tj/index.php?view=article&id=66,http://www.parlament.tj/images/stories/Rafabov%20Safarali%20Khudoyorovich(1).jpg,Unknown,2015
1262,Jobirzoda Tohir Gul,Ҷобирзода Тоҳир Гул,http://www.parlament.tj/index.php?view=article&id=1262,http://www.parlament.tj/images/stories/Jobirzoda%20Tohir%20Gul.jpg,Unknown,2015
1267,Salimzoda Komil,Салимзода Комил,http://www.parlament.tj/index.php?view=article&id=1267,http://www.parlament.tj/images/stories/%D0%A1%D0%B0%D0%BB%D0%B8%D0%BC%D0%B7%D0%BE%D0%B4%D0%B0%20%D0%BA%D0%BE%D0%BC%D0%B8%D0%BB.jpg,Unknown,2015
1230,Tursunova Gulbahor Nazirjonovna,Турсунова Гулбаҳор Назирҷоновна,http://www.parlament.tj/index.php?view=article&id=1230,http://www.parlament.tj/images/stories/Tursunova%20Gulbahor%20Nazirjonovna.jpg,Unknown,2015
1266,Azimzoda Tolibkhon Sitamurod,Азимзода Толибхон Ситамурод,http://www.parlament.tj/index.php?view=article&id=1266,http://www.parlament.tj/images/stories/Azimzoda%20Tolibkhon%20Sitamurod(1).jpg,Unknown,2015
1231,Saburov Mirzodavlat Abdolievich,Сабуров Мирзодавлат Абдолиевич,http://www.parlament.tj/index.php?view=article&id=1231,http://www.parlament.tj/images/stories/Saburov%20Mirzodavlat%20Abdolievich.jpg,Unknown,2015
1264,Akhmedov Mirzoanvar Khalifaevich,Ахмедов Мирзоанвар Халифаевич,http://www.parlament.tj/index.php?view=article&id=1264,http://www.parlament.tj/images/stories/Akhmedov%20Mirzoanvar%20Khalifaevich.jpg,Unknown,2015
121,Afzalshoeva Bibidavlat Askarshoevna,Афзалшоева Бибидавлат Аскаршоевна,http://www.parlament.tj/index.php?view=article&id=121,http://www.parlament.tj/images/stories/Afzalshoeva%20Bibidavlat%20Askarshoevna.jpg,Unknown,2015
78,Safarov Olimjon Jusupovich,Сафаров Олимҷон Ҷусупович,http://www.parlament.tj/index.php?view=article&id=78,http://www.parlament.tj/images/stories/Safarov%20Olimjon%20Jusupovich.jpg,Unknown,2015
1218,Ismoilzoda Zufar Murtazokhon,Исмоилзода Зуфар Муртазохон,http://www.parlament.tj/index.php?view=article&id=1218,http://www.parlament.tj/images/stories/Ismoilzloda%20Zufar%20Murtazokhon.jpg,Unknown,2015
96,Sadriddinov Badriddin Talbakovich,Садриддинов Бадриддин Талбакович,http://www.parlament.tj/index.php?view=article&id=96,http://www.parlament.tj/images/stories/Sadriddinov%20Badriddin%20Talbakovich.jpg,Unknown,2015
1237,Saidov Jamshed Hamroqulovich,Саидов Ҷамшед Ҳамроқулович,http://www.parlament.tj/index.php?view=article&id=1237,http://www.parlament.tj/images/stories/Saidov%20J.jpg,Unknown,2015
1221,Boboeva Gulnora Islomovna,Бобоева Гулнора Исломовна,http://www.parlament.tj/index.php?view=article&id=1221,http://www.parlament.tj/images/stories/Boboeva%20Gulnora%20Islomovna.jpg,Unknown,2015
1270,Ruzador Muhabbatsho,Рузадор Муҳаббатшо,http://www.parlament.tj/index.php?view=article&id=1270,http://www.parlament.tj/images/stories/Ruzador%20Muhabbatsho.JPG,Unknown,2015
1265,Ismonov Saidjafar Ismonovich,Исмонов Саидҷаъфар Исмонович,http://www.parlament.tj/index.php?view=article&id=1265,http://www.parlament.tj/images/stories/Ismonov%20S(3).jpg,Unknown,2015
1269,Davlatov Murolullo Ismatovich,Давлатов Муродулло Исматович,http://www.parlament.tj/index.php?view=article&id=1269,http://www.parlament.tj/images/stories/Davlatov%20Murodullo%20Ismatovich.jpg,Unknown,2015
104,Oqilzoda Nurullo,Оқилзода Нурулло,http://www.parlament.tj/index.php?view=article&id=104,http://www.parlament.tj/images/stories/Oqilzoda%20Nurullo(1).jpg,Unknown,2015
1241,Miraliyon Qiyomiddin Abdusalimzoda,Миралиён Қиёмиддин Абусалимзода,http://www.parlament.tj/index.php?view=article&id=1241,http://www.parlament.tj/images/stories/Miraliev%20Qiyomiddin%20Abdusalomovich.jpg,Unknown,2015
1263,Akhmedov Jabbor Jalolovich,Ахмедов Ҷаббор Ҷалолович,http://www.parlament.tj/index.php?view=article&id=1263,http://www.parlament.tj/images/stories/Akhmedov%20J.jpg,Unknown,2015
1243,Murtazoqulov Jamshed Saidalievich,Муртазоқулов Ҷамшед Саидалиевич,http://www.parlament.tj/index.php?view=article&id=1243,http://www.parlament.tj/images/stories/Murtazoqulov%20Jamshed%20Saidalievich.jpg,Unknown,2015
1216,Qodirova Musalam Asomiddinovna,Қодирова Мусалам Асомиддиновна,http://www.parlament.tj/index.php?view=article&id=1216,http://www.parlament.tj/images/stories/Qodirova%20Musalam%20Asomiddinovna.jpg,Unknown,2015
1242,Nizom Qosim,Низом Қосим,http://www.parlament.tj/index.php?view=article&id=1242,http://www.parlament.tj/images/stories/Nizom%20Qosimpuri%20Jahongir.jpg,Unknown,2015
1244,Ashurova Gulbahor Sangilloevna,Ашурова Гулбаҳор Сангиллоевна,http://www.parlament.tj/index.php?view=article&id=1244,http://www.parlament.tj/images/stories/Ashurova%20Gulbahor%20Sangilloevna.jpg,Unknown,2015
1260,Kholiqov Hokimjon Hikmatulloevich,Холиқов Ҳокимҷон Ҳикматуллоевич,http://www.parlament.tj/index.php?view=article&id=1260,http://www.parlament.tj/images/stories/Kholiqov%20Hokimjon%20Hikmatulloevich.jpg,Unknown,2015
1261,Ghafforov Abduhalim Roziqovich,Ғаффоров Абдуҳалим,http://www.parlament.tj/index.php?view=article&id=1261,http://www.parlament.tj/images/stories/Gafforov%20Abduhalim.jpg,Unknown,2015
1239,Rajabov Ravshan Muhitdinovich,Раҷабов Равшан Муҳитдинович,http://www.parlament.tj/index.php?view=article&id=1239,http://www.parlament.tj/images/stories/Rajabov%20Ravshan%20Muhitdinovich.jpg,Unknown,2015
1252,Rahmonzoda Abdulghaffor Aziz,Раҳмонзода Абдулғаффор Азиз,http://www.parlament.tj/index.php?view=article&id=1252,http://www.parlament.tj/images/stories/Rahmnozoda%20Abdulgaffor%20Aziz.jpg,Unknown,2015
1227,Amrikhudoi Damdor,Амрихудои Дамдор,http://www.parlament.tj/index.php?view=article&id=1227,http://www.parlament.tj/images/stories/Amrikhudoi%20Damdor.jpg,Unknown,2015
1254,Sharofidinovna Mavzuna Shamsiddinovna,Шарофидинова Мавзуна Шамсиддиновна,http://www.parlament.tj/index.php?view=article&id=1254,http://www.parlament.tj/images/stories/Sharofidinova%20Mavzuna%20Shamsiddinovna(1).jpg,Unknown,2015
1245,Hakimov Orif Marifovich,Ҳакимов Ориф Марифович,http://www.parlament.tj/index.php?view=article&id=1245,http://www.parlament.tj/images/stories/Hakimov%20Orif%20Marifovich.jpg,Unknown,2015
1213,Abdullozoda Ibrohim Ghoibnazari,Абдуллозода Иброҳим Ғоибназарӣ,http://www.parlament.tj/index.php?view=article&id=1213,http://www.parlament.tj/images/stories/Abdulozoda%20Ibrohim%20Goibnazari.JPG,Unknown,2015
1246,Muhidiniyon Pulod Muhiddin,Муҳидиниён Пулод Муҳиддин,http://www.parlament.tj/index.php?view=article&id=1246,http://www.parlament.tj/images/stories/Muhiddin%20Pulod.jpg,Unknown,2015
1228,Mansurova Dilrabo Saidulloevna,Мансурова Дилрабо Сайдуллоевна,http://www.parlament.tj/index.php?view=article&id=1228,http://www.parlament.tj/images/stories/Mansurova%20Dilrabo%20Saiduloevna.jpg,Unknown,2015
1247,Asozoda Khairullo,Асозода Хайрулло,http://www.parlament.tj/index.php?view=article&id=1247,http://www.parlament.tj/images/stories/Asozoda%20Khairullo.jpg,Unknown,2015
1268,Abdualimov Bahrom Abdulazimovich,Абдуалимов Баҳром Абдулазимович,http://www.parlament.tj/index.php?view=article&id=1268,http://www.parlament.tj/images/stories/Abdualimov%20Bahrom.jpg,Unknown,2015
678,Ismatulloev Dilshod Abdughaforovich,Исматуллоев Дилшод Абдуғаффорович,http://www.parlament.tj/index.php?view=article&id=678,http://www.parlament.tj/images/stories/Ismatolloev%20Dilshod%20Gaforovich.jpg,Unknown,2015
