id,name,image,partylist,faction,faction_id,area,gender,term,source
204,Ahmed Ameri,http://majles.marsad.tn/2014/uploads/images/Ahmed_Ameri.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Medenine,male,1,http://majles.marsad.tn/2014/fr/assemblee
232,Hssan Amri,http://majles.marsad.tn/2014/uploads/images/Hssan_Amri.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Ariana,male,1,http://majles.marsad.tn/2014/fr/assemblee
57,Noura Amri,http://majles.marsad.tn/2014/uploads/images/noura_amri.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Sousse,female,1,http://majles.marsad.tn/2014/fr/assemblee
114,Ammar Amroussia,http://majles.marsad.tn/2014/uploads/images/Ammar_Amroussia.png,Front Populaire,Front Populaire,Front_Populaire,Gafsa,male,1,http://majles.marsad.tn/2014/fr/assemblee
46,Mbarka Aouania ,http://majles.marsad.tn/2014/uploads/images/Mbarka%20Aouania.png,Front Populaire,Front Populaire,Front_Populaire,Sidi Bouzid,female,1,http://majles.marsad.tn/2014/fr/assemblee
33,Jihen Aouichi,http://majles.marsad.tn/2014/uploads/images/Jihen_Aouichi.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Jendouba,female,1,http://majles.marsad.tn/2014/fr/assemblee
256,Sahbi Atig,http://majles.marsad.tn/2014/uploads/images/Sahbi_Atig.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Ariana,male,1,http://majles.marsad.tn/2014/fr/assemblee
249,Wafa Attia,http://majles.marsad.tn/2014/uploads/images/wafa%20attia.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Sousse,female,1,http://majles.marsad.tn/2014/fr/assemblee
160,Chafik Ayadi,http://majles.marsad.tn/2014/uploads/images/Chafik_Ayadi.png,Front Populaire,Front Populaire,Front_Populaire,Sfax 1,male,1,http://majles.marsad.tn/2014/fr/assemblee
96,Chaker Ayadi,http://majles.marsad.tn/2014/uploads/images/Chaker_Ayadi.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Jendouba,male,1,http://majles.marsad.tn/2014/fr/assemblee
197,Fathi Ayadi,http://majles.marsad.tn/2014/uploads/images/Fathi_Ayadi.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Sfax 1,male,1,http://majles.marsad.tn/2014/fr/assemblee
193,Dalila Babba,http://majles.marsad.tn/2014/uploads/images/Dalila_Babba.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,France 2,female,1,http://majles.marsad.tn/2014/fr/assemblee
243,Kalthoum Badreddine,http://majles.marsad.tn/2014/uploads/images/Kalthoum_Badreddine.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Sfax 2,female,1,http://majles.marsad.tn/2014/fr/assemblee
98,Chakib Bani,http://majles.marsad.tn/2014/uploads/images/chakib%20bani.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Nabeul 1,male,1,http://majles.marsad.tn/2014/fr/assemblee
38,Walid Banneni,http://majles.marsad.tn/2014/uploads/images/Walid_Banneni.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Kasserine,male,1,http://majles.marsad.tn/2014/fr/assemblee
278,Salah Bargaoui,http://majles.marsad.tn/2014/uploads/images/Salah_Bargaoui.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Siliana,male,1,http://majles.marsad.tn/2014/fr/assemblee
76,Tarek Barrak,http://majles.marsad.tn/2014/uploads/images/Tarek_Barrak.png,Front Populaire,Front Populaire,Front_Populaire,Kairouan,male,1,http://majles.marsad.tn/2014/fr/assemblee
237,Taher Battikh,http://majles.marsad.tn/2014/uploads/images/taher%20battikh.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Ben Arous,male,1,http://majles.marsad.tn/2014/fr/assemblee
211,Souad Bayouli,http://majles.marsad.tn/2014/uploads/images/Souad_Bayouli.png,Front Populaire,Front Populaire,Front_Populaire,Sfax 2,female,1,http://majles.marsad.tn/2014/fr/assemblee
250,Mohamed Ali Bedoui,http://majles.marsad.tn/2014/uploads/images/Mohamed%20Ali_Bedoui.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Kebili,male,1,http://majles.marsad.tn/2014/fr/assemblee
111,Ali Belakhoua,http://majles.marsad.tn/2014/uploads/images/Ali_Belakhoua.png,Union Patriotique Libre,Union Patriotique Libre,Union_Patriotique_Libre,Bizerte,male,1,http://majles.marsad.tn/2014/fr/assemblee
42,Abdelmoumen Belanes,http://majles.marsad.tn/2014/uploads/images/Abdelmoumen%20Belanes.png,Front Populaire,Front Populaire,Front_Populaire,Monastir,male,1,http://majles.marsad.tn/2014/fr/assemblee
75,Haykel Belgacem,http://majles.marsad.tn/2014/uploads/images/Haykel_Belgacem.png,Front Populaire,Front Populaire,Front_Populaire,Mahdia,male,1,http://majles.marsad.tn/2014/fr/assemblee
131,Mondher Belhaj Ali,http://majles.marsad.tn/2014/uploads/images/Mondher_Belhaj%20Ali.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,La Manouba,male,1,http://majles.marsad.tn/2014/fr/assemblee
240,Bochra Belhaj Hamida,http://majles.marsad.tn/2014/uploads/images/Bochra_Belhaj%20Hamida.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Tunis 2,female,1,http://majles.marsad.tn/2014/fr/assemblee
104,Moez Belhaj Rhouma,http://majles.marsad.tn/2014/uploads/images/moez%20belhaj%20rhouma.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Nabeul 1,male,1,http://majles.marsad.tn/2014/fr/assemblee
110,Lakhdhar Belhouchat,http://majles.marsad.tn/2014/uploads/images/Lakhdhar_Belhouchat.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Medenine,male,1,http://majles.marsad.tn/2014/fr/assemblee
153,Aroua Ben Abbas,http://majles.marsad.tn/2014/uploads/images/Aroua_Ben%20Abbas.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Tunis 2,female,1,http://majles.marsad.tn/2014/fr/assemblee
234,Najia Ben Abdelhafidh,http://majles.marsad.tn/2014/uploads/images/Najia_Ben%20Abdelhafidh.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,France 2,female,1,http://majles.marsad.tn/2014/fr/assemblee
207,Noureddine Ben Achour,http://majles.marsad.tn/2014/uploads/images/Noureddine%20Ben%20Achour.png,Union Patriotique Libre,Union Patriotique Libre,Union_Patriotique_Libre,Beja,male,1,http://majles.marsad.tn/2014/fr/assemblee
35,Mustapha Ben Ahmed,http://majles.marsad.tn/2014/uploads/images/Mustapha_Ben%20Ahmed.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Tunis 2,male,1,http://majles.marsad.tn/2014/fr/assemblee
181,Khawla Ben Aicha,http://majles.marsad.tn/2014/uploads/images/Khaoula_Ben%20Aicha.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,France 1,female,1,http://majles.marsad.tn/2014/fr/assemblee
246,Nadhir Ben Ammou,http://majles.marsad.tn/2014/uploads/images/Nadhir_Ben%20Ammou.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Tunis 1,male,1,http://majles.marsad.tn/2014/fr/assemblee
91,Bechir Ben Amor,http://majles.marsad.tn/2014/uploads/images/Bechir_Ben%20Amor.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Medenine,male,1,http://majles.marsad.tn/2014/fr/assemblee
66,Hedi Ben Braham,http://majles.marsad.tn/2014/uploads/images/Hedi_Ben%20Braham.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Mahdia,male,1,http://majles.marsad.tn/2014/fr/assemblee
258,Abdelkader Ben Dhifallah,http://majles.marsad.tn/2014/uploads/images/Ben%20Dhifallah.png,Union Patriotique Libre,Union Patriotique Libre,Union_Patriotique_Libre,Nabeul 2,male,1,http://majles.marsad.tn/2014/fr/assemblee
146,Mahbouba Ben Dhifallah,http://majles.marsad.tn/2014/uploads/images/Mahbouba_Ben%20Dhifallah.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Kebili,female,1,http://majles.marsad.tn/2014/fr/assemblee
294,Faouzia Ben Fodha,http://majles.marsad.tn/2014/uploads/images/faouzia_bf.png,Union Patriotique Libre,Union Patriotique Libre,Union_Patriotique_Libre,La Manouba,female,1,http://majles.marsad.tn/2014/fr/assemblee
144,Ramzi Ben Fraj,http://majles.marsad.tn/2014/uploads/images/Ramzi_Ben%20Fraj.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Amérique et reste de l'Europe,male,1,http://majles.marsad.tn/2014/fr/assemblee
191,Sahbi Ben Fraj,http://majles.marsad.tn/2014/uploads/images/Sahbi_Ben%20Fraj.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Tunis 2,male,1,http://majles.marsad.tn/2014/fr/assemblee
166,Mehdi Ben Gharbia,http://majles.marsad.tn/2014/uploads/images/Mehdi_Ben%20Gharbia.png,Alliance Démocratique,Bloc Social-Démocrate,Bloc_Social-Démocrate,Bizerte,male,1,http://majles.marsad.tn/2014/fr/assemblee
61,El Khansa Ben Harrath,http://majles.marsad.tn/2014/uploads/images/El%20Khansa_Ben%20Harrath.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Le Kef,female,1,http://majles.marsad.tn/2014/fr/assemblee
230,Rabha Ben Hassine,http://majles.marsad.tn/2014/uploads/images/Rabha%20Ben%20Hassine.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mahdia,female,1,http://majles.marsad.tn/2014/fr/assemblee
132,Ibtihej Ben Helal,http://majles.marsad.tn/2014/uploads/images/Ibtihej_Ben%20Helal.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Bizerte,female,1,http://majles.marsad.tn/2014/fr/assemblee
151,Emna Ben Hmayed,http://majles.marsad.tn/2014/uploads/images/Emna_Ben%20Hmayed.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Bizerte,female,1,http://majles.marsad.tn/2014/fr/assemblee
273,Ismail Ben Mahmoud,http://majles.marsad.tn/2014/uploads/images/Ismail_Ben%20Mahmoud.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Sfax 2,male,1,http://majles.marsad.tn/2014/fr/assemblee
149,Imen Ben Mhamed,http://majles.marsad.tn/2014/uploads/images/Imen_Ben%20Mhamed.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Italie,female,1,http://majles.marsad.tn/2014/fr/assemblee
5,Mohamed Fadhel Ben Omrane,http://majles.marsad.tn/2014/uploads/images/Mohamed%20Fadhel_Ben%20Omrane.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Kebili,male,1,http://majles.marsad.tn/2014/fr/assemblee
261,Ibrahim Ben Said,http://majles.marsad.tn/2014/uploads/images/Ibrahim_Ben%20Said.png,Congrès Pour la République,Aucun bloc,Aucun_bloc,Kebili,male,1,http://majles.marsad.tn/2014/fr/assemblee
6,Ali Ben Salem,http://majles.marsad.tn/2014/uploads/images/Ali_Ben%20Salem.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Bizerte,male,1,http://majles.marsad.tn/2014/fr/assemblee
203,Mohamed Ben Salem,http://majles.marsad.tn/2014/uploads/images/Mohamed_Ben%20Salem.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Zaghouan,male,1,http://majles.marsad.tn/2014/fr/assemblee
239,Mohamed Ben Souf,http://majles.marsad.tn/2014/uploads/images/Mohamed_Ben%20Souf.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Italie,male,1,http://majles.marsad.tn/2014/fr/assemblee
44,Ali Bennour,http://majles.marsad.tn/2014/uploads/images/Ali_Bennour.png,Afek Tounes,Afek Tounes,Afek_Tounes,Monastir,male,1,http://majles.marsad.tn/2014/fr/assemblee
244,Mohamed Kamel Besbes,http://majles.marsad.tn/2014/uploads/images/Mohamed%20Kamel_Besbes.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Monastir,male,1,http://majles.marsad.tn/2014/fr/assemblee
245,Slim Besbes,http://majles.marsad.tn/2014/uploads/images/Slim_Besbes.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Sfax 1,male,1,http://majles.marsad.tn/2014/fr/assemblee
11,Noureddine Bhiri,http://majles.marsad.tn/2014/uploads/images/Noureddine_Bhiri.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Ben Arous,male,1,http://majles.marsad.tn/2014/fr/assemblee
165,Nozha Biaoui,http://majles.marsad.tn/2014/uploads/images/dsc_0108.png,Front National du Salut,Aucun bloc,Aucun_bloc,Sidi Bouzid,female,1,http://majles.marsad.tn/2014/fr/assemblee
9,Leila Bougatef,http://majles.marsad.tn/2014/uploads/images/Leila_Bougatef.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Tunis 2,female,1,http://majles.marsad.tn/2014/fr/assemblee
227,Sameh Bouhaouel,http://majles.marsad.tn/2014/uploads/images/Sameh_Bouhaouel.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Monastir,female,1,http://majles.marsad.tn/2014/fr/assemblee
180,Meriem Boujbel,http://majles.marsad.tn/2014/uploads/images/boujbel.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Nabeul 2,female,1,http://majles.marsad.tn/2014/fr/assemblee
136,Houssem Bounenni,http://majles.marsad.tn/2014/uploads/images/Houssem_Bounenni.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Nabeul 1,male,1,http://majles.marsad.tn/2014/fr/assemblee
69,Heger Bouzemmi,http://majles.marsad.tn/2014/uploads/images/Heger_Bouzemmi.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Medenine,female,1,http://majles.marsad.tn/2014/fr/assemblee
253,Monia Brahim,http://majles.marsad.tn/2014/uploads/images/Monia_Brahim.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Sousse,female,1,http://majles.marsad.tn/2014/fr/assemblee
148,Zeineb Brahmi,http://majles.marsad.tn/2014/uploads/images/Zeineb_Brahmi.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Gafsa,female,1,http://majles.marsad.tn/2014/fr/assemblee
16,Fathi Chamkhi,http://majles.marsad.tn/2014/uploads/images/Fathi_Chamkhi.png,Front Populaire,Front Populaire,Front_Populaire,Nabeul 2,male,1,http://majles.marsad.tn/2014/fr/assemblee
118,Naceur Channoufi,http://majles.marsad.tn/2014/uploads/images/Naceur%20Channoufi.png,Parti l'initiative,Bloc Social-Démocrate,Bloc_Social-Démocrate,Zaghouan,male,1,http://majles.marsad.tn/2014/fr/assemblee
214,Ghazi Chaouachi,http://majles.marsad.tn/2014/uploads/images/Ghazi_Chaouachi.png,Courant Démocratique,Aucun bloc,Aucun_bloc,Ben Arous,male,1,http://majles.marsad.tn/2014/fr/assemblee
184,Ridha Charfeddine,http://majles.marsad.tn/2014/uploads/images/Ridha_Charfeddine.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Sousse,male,1,http://majles.marsad.tn/2014/fr/assemblee
257,Abderraouf Chebbi,http://majles.marsad.tn/2014/uploads/images/Abderraouf%20Chebbi.png,Union Patriotique Libre,Union Patriotique Libre,Union_Patriotique_Libre,Tozeur,male,1,http://majles.marsad.tn/2014/fr/assemblee
32,Abderraouf Cherif,http://majles.marsad.tn/2014/uploads/images/Abderraouf_Cherif.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Tozeur,male,1,http://majles.marsad.tn/2014/fr/assemblee
62,Abdennaceur Chouikh,http://majles.marsad.tn/2014/uploads/images/Abdennaceur_Chouikh.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Tunis 1,male,1,http://majles.marsad.tn/2014/fr/assemblee
177,Khaled Chouket,http://majles.marsad.tn/2014/uploads/images/Khaled_Chouket.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,France 1,male,1,http://majles.marsad.tn/2014/fr/assemblee
215,Abderrazak Chraiet,http://majles.marsad.tn/2014/uploads/images/Abderrazak_Chraiet.png,"Liste indépendante ""Majd Al Jarid""",Aucun bloc,Aucun_bloc,Tozeur,male,1,http://majles.marsad.tn/2014/fr/assemblee
163,Iyad Dahmani,http://majles.marsad.tn/2014/uploads/images/Iyad_Dahmani.png,Al Jomhouri,Bloc Social-Démocrate,Bloc_Social-Démocrate,Siliana,male,1,http://majles.marsad.tn/2014/fr/assemblee
263,Imed Daimi,http://majles.marsad.tn/2014/uploads/images/Imed_Daimi.png,Congrès Pour la République,Aucun bloc,Aucun_bloc,Medenine,male,1,http://majles.marsad.tn/2014/fr/assemblee
97,Sameh Dammak,http://majles.marsad.tn/2014/uploads/images/Sameh_Dammak.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Sfax 1,female,1,http://majles.marsad.tn/2014/fr/assemblee
68,Jamila Debbech,http://majles.marsad.tn/2014/uploads/images/Jamila_Debbech.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Ariana,female,1,http://majles.marsad.tn/2014/fr/assemblee
264,Sabri Dekhil,http://majles.marsad.tn/2014/uploads/images/Sabri_Dekhil.png,Congrès Pour la République,Aucun bloc,Aucun_bloc,Gabès,male,1,http://majles.marsad.tn/2014/fr/assemblee
79,Ridha Dellai,http://majles.marsad.tn/2014/uploads/images/Ridha%20Dellai.png,Mouvement du Peuple,Aucun bloc,Aucun_bloc,Beja,male,1,http://majles.marsad.tn/2014/fr/assemblee
235,Kamel Dhaouadi,http://majles.marsad.tn/2014/uploads/images/Kamel%20Dhaouadi.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,France 2,male,1,http://majles.marsad.tn/2014/fr/assemblee
254,Samir Dilou,http://majles.marsad.tn/2014/uploads/images/Samir_Dilou.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Bizerte,male,1,http://majles.marsad.tn/2014/fr/assemblee
65,Belgacem Dkhili,http://majles.marsad.tn/2014/uploads/images/Belgacem_Dkhili.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Jendouba,male,1,http://majles.marsad.tn/2014/fr/assemblee
213,Noomane El Euch,http://majles.marsad.tn/2014/uploads/images/Noomane_El%20Euch.png,Courant Démocratique,Aucun bloc,Aucun_bloc,Sfax 1,male,1,http://majles.marsad.tn/2014/fr/assemblee
285,Mohamed El Hamdi,http://majles.marsad.tn/2014/uploads/images/Mohamed_El%20Hamdi.png,Courant de l'amour,Aucun bloc,Aucun_bloc,Sidi Bouzid,male,1,http://majles.marsad.tn/2014/fr/assemblee
31,Abderraouf El May,http://majles.marsad.tn/2014/uploads/images/El%20May.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Pays arabes et reste du monde,male,1,http://majles.marsad.tn/2014/fr/assemblee
281,Bechir Ellazzem,http://majles.marsad.tn/2014/uploads/images/Bechir_Ellazzem.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Bizerte,male,1,http://majles.marsad.tn/2014/fr/assemblee
293,Mohamed Ennaceur,http://majles.marsad.tn/2014/uploads/images/Mohamed_Ennaceur.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mahdia,male,1,http://majles.marsad.tn/2014/fr/assemblee
155,Tahar Fdhil,http://majles.marsad.tn/2014/uploads/images/Taher%20Fdhil.png,Union Patriotique Libre,Union Patriotique Libre,Union_Patriotique_Libre,Medenine,male,1,http://majles.marsad.tn/2014/fr/assemblee
236,Hatem Ferjani,http://majles.marsad.tn/2014/uploads/images/hatem%20ferjani.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Allemagne,male,1,http://majles.marsad.tn/2014/fr/assemblee
157,Tarek Fetiti,http://majles.marsad.tn/2014/uploads/images/Tarek_Fetiti.png,Union Patriotique Libre,Union Patriotique Libre,Union_Patriotique_Libre,Kairouan,male,1,http://majles.marsad.tn/2014/fr/assemblee
106,Sami Fetnassi,http://majles.marsad.tn/2014/uploads/images/Sami_Fetnassi.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Beja,male,1,http://majles.marsad.tn/2014/fr/assemblee
194,Chahida Fraj,http://majles.marsad.tn/2014/uploads/images/Chahida_Fraj.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Monastir,female,1,http://majles.marsad.tn/2014/fr/assemblee
14,Mohamed Frikha,http://majles.marsad.tn/2014/uploads/images/Mohamed_Frikha.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Sfax 2,male,1,http://majles.marsad.tn/2014/fr/assemblee
78,Mohamed Ghannem,http://majles.marsad.tn/2014/uploads/images/Mohamed_Ghannem.png,Afek Tounes,Afek Tounes,Afek_Tounes,France 1,male,1,http://majles.marsad.tn/2014/fr/assemblee
10,Lamia Gharbi,http://majles.marsad.tn/2014/uploads/images/lamia%20gharbi.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Nabeul 1,female,1,http://majles.marsad.tn/2014/fr/assemblee
224,Mohamed Jalel Ghedira,http://majles.marsad.tn/2014/uploads/images/Mohamed%20Jalel_Ghedira.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Monastir,male,1,http://majles.marsad.tn/2014/fr/assemblee
238,Sabrine Goubantini,http://majles.marsad.tn/2014/uploads/images/Goubantini.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Ariana,female,1,http://majles.marsad.tn/2014/fr/assemblee
247,Mahmoud Gouiaa,http://majles.marsad.tn/2014/uploads/images/Mahmoud_Gouiaa.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Kairouan,male,1,http://majles.marsad.tn/2014/fr/assemblee
274,Mohamed Hedi Gueddich,http://majles.marsad.tn/2014/uploads/images/Mohamed%20Hedi_Gueddich.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Sfax 1,male,1,http://majles.marsad.tn/2014/fr/assemblee
279,Latifa Habachi,http://majles.marsad.tn/2014/uploads/images/Latifa_Habachi.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,La Manouba,female,1,http://majles.marsad.tn/2014/fr/assemblee
216,Adnane Hajji,http://majles.marsad.tn/2014/uploads/images/Adnane_Hajji.png,"Liste indépendante ""Rad El Itibar""",Bloc Social-Démocrate,Bloc_Social-Démocrate,Gafsa,male,1,http://majles.marsad.tn/2014/fr/assemblee
159,Mourad Hamaidi,http://majles.marsad.tn/2014/uploads/images/Mourad%20Hamaidi.png,Front Populaire,Front Populaire,Front_Populaire,Le Kef,male,1,http://majles.marsad.tn/2014/fr/assemblee
241,Mounir Hamdi,http://majles.marsad.tn/2014/uploads/images/Mounir_Hamdi.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Beja,male,1,http://majles.marsad.tn/2014/fr/assemblee
142,Salem Hamdi,http://majles.marsad.tn/2014/uploads/images/Salem_Hamdi.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Sidi Bouzid,male,1,http://majles.marsad.tn/2014/fr/assemblee
43,Jilani Hammami,http://majles.marsad.tn/2014/uploads/images/Jilani_Hammami.png,Front Populaire,Front Populaire,Front_Populaire,Siliana,male,1,http://majles.marsad.tn/2014/fr/assemblee
284,Hela Hammi,http://majles.marsad.tn/2014/uploads/images/Hela_Hammi.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Ben Arous,female,1,http://majles.marsad.tn/2014/fr/assemblee
