name,area,area_id,group,term,source
Rony CÉLESTIN,Cerca la Source et Thomassique,ocd-division/country:ht/departement:centre/arrondissement:cerca_la_source/circonscription:1,LAVNI,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Gilbert AUGUSTIN,Hinche,ocd-division/country:ht/departement:centre/arrondissement:hinche/circonscription:1,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Marie Denise BERNADEAU,Thomonde,ocd-division/country:ht/departement:centre/arrondissement:hinche/circonscription:2,LAVNI,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Romain MUSSET,Maïssade,ocd-division/country:ht/departement:centre/arrondissement:hinche/circonscription:3,MAS,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
A. Rodon BIEN-AIMÉ,Cerca Carvajal et le quartier de Los Palis,ocd-division/country:ht/departement:centre/arrondissement:hinche/circonscription:4,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Markentz SIGUE,Lascahobas,ocd-division/country:ht/departement:centre/arrondissement:lascahobas/circonscription:1,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Amos DURBOIRANT,Belladère,ocd-division/country:ht/departement:centre/arrondissement:lascahobas/circonscription:2,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Guerda B. BENJAMIN,Savanette et le quartier de Baptiste,ocd-division/country:ht/departement:centre/arrondissement:lascahobas/circonscription:3,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Abel DESCOLINES,Mirebalais et Boucan Carré,ocd-division/country:ht/departement:centre/arrondissement:mirebalais/circonscription:1,LAVNI,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Romuald SMITH,Saut d'Eau,ocd-division/country:ht/departement:centre/arrondissement:mirebalais/circonscription:2,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Orélien JOACHIM,Anse d'Hainault et les Irois,ocd-division/country:ht/departement:grande_anse/arrondissement:anse_d'hainault/circonscription:1,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Acklush LOUIS JEUNE,Dame Marie,ocd-division/country:ht/departement:grande_anse/arrondissement:anse_d'hainault/circonscription:2,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Victor RONALD,Corail et Roseaux,ocd-division/country:ht/departement:grande_anse/arrondissement:corail/circonscription:1,RESPÈ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Dionald Polyte,Pestel et Beaumont,ocd-division/country:ht/departement:grande_anse/arrondissement:corail/circonscription:2,...,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Rupert LAFOREST,Jérémie,ocd-division/country:ht/departement:grande_anse/arrondissement:jérémie/circonscription:1,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Rigaud BÉLIZAIRE,Abricot et Bonbon,ocd-division/country:ht/departement:grande_anse/arrondissement:jérémie/circonscription:2,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jacinthe SOREL,Moron et Chamberllan,ocd-division/country:ht/departement:grande_anse/arrondissement:jérémie/circonscription:3,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Wilner GUERVIL,Anse à Veau et dArnaud,ocd-division/country:ht/departement:nippes/arrondissement:anse_à_veau/circonscription:1,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Denius FRANCENET,Asile,ocd-division/country:ht/departement:nippes/arrondissement:anse_à_veau/circonscription:2,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Luberne PIERRE,Petit-Trou de Nippes et Plaisance du Sud,ocd-division/country:ht/departement:nippes/arrondissement:anse_à_veau/circonscription:3,LAVNI,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Dupner CLÉMENT,Baradères et Grand Boucan,ocd-division/country:ht/departement:nippes/arrondissement:baradères/circonscription:1,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Poly FAUSTIN,Miragoâne et Fonds des Nègres,ocd-division/country:ht/departement:nippes/arrondissement:miragoâne/circonscription:1,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Ulrick FILOCSAINT,Petite Rivière de Nippes et Paillant,ocd-division/country:ht/departement:nippes/arrondissement:miragoâne/circonscription:2,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jobes Jolicaire MICHEL,Acul du Nord,ocd-division/country:ht/departement:nord/arrondissement:acul_du_nord/circonscription:1,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Marie Jossie ETIENNE,Plaine du Nord et Milot,ocd-division/country:ht/departement:nord/arrondissement:acul_du_nord/circonscription:2,RASANBLE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jude Charles FAUSTIN,Borgne et Port-Margot,ocd-division/country:ht/departement:nord/arrondissement:borgne/circonscription:1,KONBIT,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Kenston JEAN-BAPTISTE,Cap-Haitien,ocd-division/country:ht/departement:nord/arrondissement:cap_haitien/circonscription:1,PLAPH,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Teophile GLUCK,Limonade et Quartier Morin,ocd-division/country:ht/departement:nord/arrondissement:cap_haitien/circonscription:2,AAA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Benjamin OCINJAK,Grande-Rivière du Nord et Bahon,ocd-division/country:ht/departement:nord/arrondissement:grande_rivière_du_nord/circonscription:1,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Louis FRANDY,Limbé et Bas-Limbé,ocd-division/country:ht/departement:nord/arrondissement:limbé/circonscription:1,LAVNI,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Renaud JEAN-BAPTISTE,Plaisance,ocd-division/country:ht/departement:nord/arrondissement:plaisance/circonscription:1,KONBIT,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Perilus WORMS,Pilate,ocd-division/country:ht/departement:nord/arrondissement:plaisance/circonscription:2,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Harold CHÉRY,Saint Raphael et Dondon,ocd-division/country:ht/departement:nord/arrondissement:saint_raphael/circonscription:1,RASANBLE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Nelson HIDSON,"Pignon, Ranquitte et La Victoire",ocd-division/country:ht/departement:nord/arrondissement:saint_raphael/circonscription:2,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Bilgot COLAS,"Fort-Liberté, Ferrier et Perches",ocd-division/country:ht/departement:nord-est/arrondissement:fort-liberté/circonscription:1,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Luckner NOËL,Ouanaminthe,ocd-division/country:ht/departement:nord-est/arrondissement:ouanaminthe/circonscription:1,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Ronald LARECHE,Mont-Organisé et Capotille,ocd-division/country:ht/departement:nord-est/arrondissement:ouanaminthe/circonscription:2,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Wanique PIERRE,Trou du Nord et Caracol,ocd-division/country:ht/departement:nord-est/arrondissement:trou_du_nord/circonscription:1,AAA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Pierrogene DAVILMAR,Ste Suzanne,ocd-division/country:ht/departement:nord-est/arrondissement:trou_du_nord/circonscription:2,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Arinks JEAN-PIERRE,Terrier Rouge,ocd-division/country:ht/departement:nord-est/arrondissement:trou_du_nord/circonscription:3,AAA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Bertold BASTIEN,"Vallières, Carice et Mombrun Crochu",ocd-division/country:ht/departement:nord-est/arrondissement:vallières/circonscription:1,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Éloune DORÉUS,"Môle Saint Nicolas,",ocd-division/country:ht/departement:nord-ouest/arrondissement:môle_saint_nicolas/circonscription:1,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jusclair DORGIL,Bombardopolis et Baie de Henne,ocd-division/country:ht/departement:nord-ouest/arrondissement:môle_saint_nicolas/circonscription:2,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Dieujuste JOHNSON,Jean Rabel,ocd-division/country:ht/departement:nord-ouest/arrondissement:môle_saint_nicolas/circonscription:3,PONT,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Louystz Amyot FRANÇOIS,Port-de-Paix,ocd-division/country:ht/departement:nord-ouest/arrondissement:port-de-paix/circonscription:1,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Pierre TATOUTE,Bassin Bleu et Chansolme,ocd-division/country:ht/departement:nord-ouest/arrondissement:port-de-paix/circonscription:2,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Acilus GROS-NÈGRE,La Tortue,ocd-division/country:ht/departement:nord-ouest/arrondissement:port-de-paix/circonscription:3,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Louis Marie BONHOMME,Saint Louis du Nord et Anse à Foleur,ocd-division/country:ht/departement:nord-ouest/arrondissement:saint_louis_du_nord/circonscription:1,PONT,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean-Dany DUVERT,Arcahaie,ocd-division/country:ht/departement:ouest/arrondissement:arcahaie/circonscription:1,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Joseph Martial DÉPAS,Cabaret,ocd-division/country:ht/departement:ouest/arrondissement:arcahaie/circonscription:2,AAA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Tholbert ALEXIS,Croix des Bouquets et Thomazeau,ocd-division/country:ht/departement:ouest/arrondissement:croix_des_bouquets/circonscription:1,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Lamarre BAPTISTE,Cornillon,ocd-division/country:ht/departement:ouest/arrondissement:croix_des_bouquets/circonscription:3,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
François SANOZIER,Fonds Verrettes et Ganthier,ocd-division/country:ht/departement:ouest/arrondissement:croix_des_bouquets/circonscription:2,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Beguens THÉUS,Anse-à-Galets et Pointe-à-Raquette,ocd-division/country:ht/departement:ouest/arrondissement:la_gonave/circonscription:1,MOCHRENA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Danton LEGER,Léogâne,ocd-division/country:ht/departement:ouest/arrondissement:léogâne/circonscription:1,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Stevenson Jacques THIMOLÉON,Petit-Goâve,ocd-division/country:ht/departement:ouest/arrondissement:léogâne/circonscription:2,LAVNI,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Joseph Franck LAPORTE,Grand-Goâve,ocd-division/country:ht/departement:ouest/arrondissement:léogâne/circonscription:3,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Rodriguez SÉJOUR,Zone Nord (1),ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:1,LIBÉRATION,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean René LOCHARD,Zone Est (2),ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:2,KONBIT,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
M'Zou Naya JEAN-BAPTISTE,Zone Sud (3),ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:3,REPONS PEYIZAN,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Frédély GEORGES,Pétion-Ville,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:4,REPONS PEYIZAN,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
André Gustave LOUIS,Kenscoff,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:5,RASANBLE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Arnel BÉLIZAIRE,Delmas et Tabarre,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:6,VEYE-YO,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Almétis Junior SAINT FLEUR,Cité Soleil,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:7,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Elie BLAISE,Carrefour,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:8,MAS,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Ronald OSCAR,Gressier,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:9,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
E. F. Gérard BOURJOLLY,Aquin,ocd-division/country:ht/departement:sud/arrondissement:aquin/circonscription:1,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Gandhy DORFEUILLE,Cavaillon et St Louis du Sud,ocd-division/country:ht/departement:sud/arrondissement:aquin/circonscription:2,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Fenel THANIS,Cayes et l'Ile à Vaches,ocd-division/country:ht/departement:sud/arrondissement:cayes/circonscription:1,REPONS PEYIZAN,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Guy Gérard GEORGES,Torbeck et de Chantal,ocd-division/country:ht/departement:sud/arrondissement:cayes/circonscription:2,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Ogline PIERRE,Camp Perrin et de Maniche,ocd-division/country:ht/departement:sud/arrondissement:cayes/circonscription:3,MOCHRENA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Romélus LISMA,Chardonnières et les Anglais,ocd-division/country:ht/departement:sud/arrondissement:chardonnières/circonscription:1,LIBÉRATION,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Louinor SAINTIMA,Tiburon et le quartier de la Cahôanne,ocd-division/country:ht/departement:sud/arrondissement:chardonnières/circonscription:2,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Astrel DOLNÉ,Coteaux,ocd-division/country:ht/departement:sud/arrondissement:côteaux/circonscription:1,LIBÉRATION,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Julner LAINÉ,Port à Piment,ocd-division/country:ht/departement:sud/arrondissement:côteaux/circonscription:3,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Paul Olivar MICHEL,Roche à Bateaux,ocd-division/country:ht/departement:sud/arrondissement:côteaux/circonscription:2,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Bertrand SINAL,Port-Salut,ocd-division/country:ht/departement:sud/arrondissement:port-salut/circonscription:1,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Joseph Benoit LAGUERRE,St Jean du Sud et d'Arniquet,ocd-division/country:ht/departement:sud/arrondissement:port-salut/circonscription:2,AAA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
François MALHERBE,Bainet,ocd-division/country:ht/departement:sud-est/arrondissement:bainet/circonscription:1,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Leslie GUIRAND,Côtes de Fer,ocd-division/country:ht/departement:sud-est/arrondissement:bainet/circonscription:2,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean-Pierre ROSSINI,Belle Anse,ocd-division/country:ht/departement:sud-est/arrondissement:belle_anse/circonscription:1,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Patrick ROBASSON,Anse à Pitre,ocd-division/country:ht/departement:sud-est/arrondissement:belle_anse/circonscription:3,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Camilles DESMARATATTES,Thiotte et Grand Gosier,ocd-division/country:ht/departement:sud-est/arrondissement:belle_anse/circonscription:2,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Patrick DUMOND,Jacmel et le Quartier de Marbial,ocd-division/country:ht/departement:sud-est/arrondissement:jacmel/circonscription:1,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Ruffine LABBE,La Vallée de Jacmel,ocd-division/country:ht/departement:sud-est/arrondissement:jacmel/circonscription:2,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Kénol CHARLES,Marigot et Cayes-Jacmel,ocd-division/country:ht/departement:sud-est/arrondissement:jacmel/circonscription:3,INDÉP.,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
