id,name,party,party_id,area,image,term
147,Djenguinadé Laoumbo Malachie,Mouvement Patriotique du Salut,MPS,Logone occidental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton147-54c30.jpg,2011
198,Keimbadje Betoudji Denise,Mouvement Patriotique du Salut,MPS,Logone occidental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton198-0c84c.jpg,2011
116,Mbaidessmel Dionadji,unknown,unknown,Logone occidental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton116-b84e8.jpg,2011
195,Mbainaye Eugenie,Mouvement Patriotique du Salut,MPS,Logone occidental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton195-eb829.jpg,2011
221,Mbairemtar Prosper,unknown,unknown,Logone occidental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton221-ad45d.png,2011
126,Neatobeï Bidi Valentin,unknown,unknown,Logone occidental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton126-42dd2.jpg,2011
167,Neatobeï Le Nasseguen’Gar,Mouvement Patriotique du Salut,MPS,Logone occidental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton167-bae51.jpg,2011
56,Nodjiadjim Laoubaou Abdias,Mouvement Patriotique du Salut,MPS,Logone occidental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton56-634f7.jpg,2011
55,Salibou Garba,unknown,unknown,Logone occidental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton55-0e478.jpg,2011
155,Yombombe Madjitoloum Théophile,Rassemblement des Nationalistes et Démocrates Tchadiens,RNDT Le Réveil,Logone occidental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton155-a97f2.jpg,2011
106,Aymadji Opportune,Mouvement Patriotique du Salut,MPS,Logone oriental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton106-65246.jpg,2011
108,Dingamadji née Ngarkoutou Moryo Delphine,Mouvement Patriotique du Salut,MPS,Logone oriental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton108-58381.jpg,2011
42,Djidengar NDjendi Bassa,Mouvement Patriotique du Salut,MPS,Logone oriental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton42-bd1b8.jpg,2011
156,Kosmadji  Merci,unknown,unknown,Logone oriental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton156-0d305.jpg,2011
22,Laondigui Dakob Batil,unknown,unknown,Logone oriental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton22-3f7f4.jpg,2011
159,Laouhingamaye Dingamaibé,Mouvement Patriotique du Salut,MPS,Logone oriental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton159-7f06b.jpg,2011
253,Loum Ndoadoumngue Neloumsei Elise,unknown,unknown,Logone oriental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton253-e300d.jpg,2011
219,Masrangar MBaïredoum,Mouvement Patriotique du Salut,MPS,Logone oriental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton219-a1903.jpg,2011
174,Mog-Nangar Ngarsouledé,Union pour le Renouveau et la Démocratie,URD,Logone oriental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton174-60bf4.jpg,2011
252,Nekingam Mbayam,Mouvement Patriotique du Salut,MPS,Logone oriental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton252-ec39d.jpg,2011
150,Nekingame Mbayam,Mouvement Patriotique du Salut,MPS,Logone oriental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton150-a7d89.jpg,2011
231,Ngarlejy Kodji Yorangar Moiban,unknown,unknown,Logone oriental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton231-1f619.jpg,2011
117,Ngonhaslaouel Ndiah,Mouvement Patriotique du Salut,MPS,Logone oriental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton117-3c43c.jpg,2011
229,Noubanadji Taram,unknown,unknown,Logone oriental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton229-f0018.jpg,2011
102,Alnoudjim Alladoum René,Mouvement Patriotique du Salut,MPS,Mandoul,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton102-881d0.jpg,2011
26,Dangaye Sadjigoto,Union pour le Renouveau et la Démocratie,URD,Mandoul,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton26-c3b92.jpg,2011
158,Kamougue née Dene Assoum,Union pour le Renouveau et la Démocratie,URD,Mandoul,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton158-c06cc.jpg,2011
228,Nassardjimti Mordjimngarti,Rassemblement des Nationalistes et Démocrates Tchadiens,RNDT Le Réveil,Mandoul,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton228-f1081.jpg,2011
163,Ndiguindjita Dodih Kemtobaye,Mouvement Patriotique du Salut,MPS,Mandoul,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton163-db4bf.jpg,2011
142,Ngartoketé Tatola,Mouvement Patriotique du Salut,MPS,Mandoul,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton142-1b581.jpg,2011
239,Yamingaye Bruno,Union pour le Renouveau et la Démocratie,URD,Mandoul,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton239-59208.jpg,2011
187,Biroué Wassi Kaïbaïna,Mouvement Patriotique du Salut,MPS,Mayo Kebbi Est,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton187-ce0bd.jpg,2011
146,Bomra Robert,Rassemblement des Nationalistes et Démocrates Tchadiens,RNDT Le Réveil,Mayo Kebbi Est,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton146-6abe2.jpg,2011
189,Boukar Païlapi,Mouvement Patriotique du Salut,MPS,Mayo Kebbi Est,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton189-f52ff.jpg,2011
91,Djimet Clement Bagou,unknown,unknown,Mayo Kebbi Est,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton91-7f0db.jpg,2011
148,Djoblaona Atoukoum,Union Nationale pour la Démocratie et le Renouveau,UNDR,Mayo Kebbi Est,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton148-3ce79.jpg,2011
140,Lawane Gilbert,Union Nationale pour la Démocratie et le Renouveau,UNDR,Mayo Kebbi Est,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton140-c83af.jpg,2011
205,Mahamadou Djouga Djoddi,Mouvement Patriotique du Salut,MPS,Mayo Kebbi Est,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton205-58143.jpg,2011
227,Napoleon Bonaparte Kone,Mouvement Patriotique du Salut,MPS,Mayo Kebbi Est,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton227-4d346.jpg,2011
154,Oumar Ibn Daoud,Union pour le Renouveau et la Démocratie,URD,Mayo Kebbi Est,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton154-06972.jpg,2011
46,Routouang Yoma Golom,Mouvement Patriotique du Salut,MPS,Mayo Kebbi Est,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton46-fbfb5.jpg,2011
30,Tchombi Getna Kami,Rassemblement des Nationalistes et Démocrates Tchadiens,RNDT Le Réveil,Mayo Kebbi Est,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton30-4c1b2.jpg,2011
240,Wihaouna Jean,Union Nationale pour la Démocratie et le Renouveau,UNDR,Mayo Kebbi Est,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton240-19bba.jpg,2011
29,Aba Djouassab Koï,Union Nationale pour la Démocratie et le Renouveau,UNDR,Mayo Kebbi Ouest,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton29-a84e8.jpg,2011
138,Habiba Sahoulba Gontchomé,Mouvement Patriotique du Salut,MPS,Mayo Kebbi Ouest,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton138-887b4.jpg,2011
129,Kebzabo Saleh,Union Nationale pour la Démocratie et le Renouveau,UNDR,Mayo Kebbi Ouest,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton129-a47a5.jpg,2011
197,Keda ballah,Mouvement Patriotique du Salut,MPS,Mayo Kebbi Ouest,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton197-c9499.jpg,2011
200,Lama Tchindele,Mouvement Patriotique du Salut,MPS,Mayo Kebbi Ouest,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton200-3bcf2.jpg,2011
164,Lambo Baissa,Union pour le Renouveau et la Démocratie,URD,Mayo Kebbi Ouest,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton164-1047f.jpg,2011
60,Maney Well Pagouipore,Union Nationale pour la Démocratie et le Renouveau,UNDR,Mayo Kebbi Ouest,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton60-632cd.jpg,2011
226,Ndoubabe Tomel,Rassemblement des Nationalistes et Démocrates Tchadiens,RNDT Le Réveil,Mayo Kebbi Ouest,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton226-eedee.jpg,2011
58,Pahimi Padacket Albert,Rassemblement des Nationalistes et Démocrates Tchadiens,RNDT Le Réveil,Mayo Kebbi Ouest,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton58-e8adb.jpg,2011
143,Balyamal Bansitan,Mouvement Patriotique du Salut,MPS,Moyen Chari,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton143-aa44a.jpg,2011
183,Bandoum Roalate Rimingaye Ra,Mouvement Patriotique du Salut,MPS,Moyen Chari,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton183-6c270.jpg,2011
64,Gali Ngothe Gatta,unknown,unknown,Moyen Chari,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton64-81268.jpg,2011
