name,group,area,term,source
MAHDI MOUMIN HADI,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
WAHIB AHMED BENT AHMED,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
ELMI OBSIEH WAIS,UMP,Ali Sabiix,6,http://www.lughaya.com/archives/19857
ABDI KHAIREH BOUH,UMP,Ali Sabiix,6,http://www.lughaya.com/archives/19857
MOUSSA YABEH WARSAMA,UMP,Ali Sabiix,6,http://www.lughaya.com/archives/19857
DEKA AHMED ELMI,UMP,Ali Sabiix,6,http://www.lughaya.com/archives/19857
OMAR ALI WAIS,UMP,Ali Sabiix,6,http://www.lughaya.com/archives/19857
OMAR WABERI MALOW,UMP,Carta,6,http://www.lughaya.com/archives/19857
DJIBRIL ABDILLAHI MIGANEH,UMP,Carta,6,http://www.lughaya.com/archives/19857
OUGOUREH KIFLEH AHMED,UMP,Dikhil,6,http://www.lughaya.com/archives/19857
MAHAMOUD HASSAN FARAH,UMP,Dikhil,6,http://www.lughaya.com/archives/19857
MOHAMED ABDOULKADER MOHAMED,UMP,Dikhil,6,http://www.lughaya.com/archives/19857
ADEN DARAR MOUSSA,UMP,Dikhil,6,http://www.lughaya.com/archives/19857
ABDOULKADER MOHAMED MOUSSA,UMP,Dikhil,6,http://www.lughaya.com/archives/19857
ABDOULWAHAB BARKAT GOURAD,UMP,Dikhil,6,http://www.lughaya.com/archives/19857
AICHA DABAR GUELLEH,UMP,Dikhil,6,http://www.lughaya.com/archives/19857
MOUSSA MOHAMED SAID,UMP,Dikhil,6,http://www.lughaya.com/archives/19857
ELAF ALOITA DOUROUY,UMP,Dikhil,6,http://www.lughaya.com/archives/19857
ALI HASSAN HOUMED,UMP,Obock,6,http://www.lughaya.com/archives/19857
HASNA HOUMED BILIL,UMP,Obock,6,http://www.lughaya.com/archives/19857
ALI CHEHEM BOURHAN,UMP,Obock,6,http://www.lughaya.com/archives/19857
HASSAN OMAR MOHAMED,UMP,Tadjourah,6,http://www.lughaya.com/archives/19857
MOHAMED ALI HOUMED,UMP,Tadjourah,6,http://www.lughaya.com/archives/19857
HASSAN OMAR MOHAMED KAMIL,UMP,Tadjourah,6,http://www.lughaya.com/archives/19857
ALI ADOYTA IWAD,UMP,Tadjourah,6,http://www.lughaya.com/archives/19857
ABDOULKADER ALI HOUMED,UMP,Tadjourah,6,http://www.lughaya.com/archives/19857
ISMAEL GUEDI HARED,USN,Djibouti,6,http://www.lughaya.com/archives/19857
ADAN MOHAMED ABDOU,USN,Djibouti,6,http://www.lughaya.com/archives/19857
ADEN ROBLEH AWALEH,USN,Djibouti,6,http://www.lughaya.com/archives/19857
MOHAMED DAOUD CHEHEM,USN,Djibouti,6,http://www.lughaya.com/archives/19857
ABDILLAHI FARAH LODON,USN,Djibouti,6,http://www.lughaya.com/archives/19857
ABATE EBO ADOU,USN,Djibouti,6,http://www.lughaya.com/archives/19857
ZAKARIA ABDILLAHI ALI,USN,Djibouti,6,http://www.lughaya.com/archives/19857
DOUALEH EGUEH OFLE,USN,Djibouti,6,http://www.lughaya.com/archives/19857
ISMAIL AHMED ASSOWEH,USN,Djibouti,6,http://www.lughaya.com/archives/19857
FARADA WITTI MOHAMED,USN,Dikhil,6,http://www.lughaya.com/archives/19857
YOUSSOUFF AMBASSA MOHAMED,USN,Tadjourah,6,http://www.lughaya.com/archives/19857
KASSIM ALI DINI,USN,Obock,6,http://www.lughaya.com/archives/19857
DJAMA HOUSSEIN ROBLEH,USN,Dikhil,6,http://www.lughaya.com/archives/19857
