chamber,area,details_url,name,group,image,executive,term_id,term
National Assembly,Ambilobe,http://www.assemblee-nationale.mg/?depute=sebany-mouhamed,SEBANY Mouhamed,MAPAR,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/140.jpg&w=200&h=auto,Vice-président de commission,,2013
National Assembly,Soanierana Ivongo,http://www.assemblee-nationale.mg/?depute=tody-arnaud,TODY Arnaud,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/141.jpg&w=200&h=auto,Rapporteur de commission,,2013
National Assembly,Vohipeno,http://www.assemblee-nationale.mg/?depute=tsabotokay-honore,TSABOTOKAY Honoré,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/142.jpg&w=200&h=auto,Député,,2013
National Assembly,Vangaindrano,http://www.assemblee-nationale.mg/?depute=vanovason-jean-adrien,VANOVASON Jean Adrien,MAPAR,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/143.jpg&w=200&h=auto,Questeur chargé des Relations Publiques et de la Législation,,2013
National Assembly,Port Berger,http://www.assemblee-nationale.mg/?depute=velontsara-paul-bert,VELONTSARA Paul Bert,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/144.jpg&w=200&h=auto,Député,,2013
National Assembly,Bealanana,http://www.assemblee-nationale.mg/?depute=volahaingo-marie-therese,VOLAHAINGO Marie Thérèse,VP-MMM,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/145.jpg&w=200&h=auto,Président de commission,,2013
National Assembly,Nosy Varika,http://www.assemblee-nationale.mg/?depute=volony-jimmy,VOLONY Jimmy,MAPAR,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/146.jpg&w=200&h=auto,Député,,2013
National Assembly,Manakara,http://www.assemblee-nationale.mg/?depute=zafimahatratra-abel,ZAFIMAHATRATRA Abel,MAPAR,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/147.jpg&w=200&h=auto,Président de commission,,2013
National Assembly,Ambanja,http://www.assemblee-nationale.mg/?depute=5519,SOLAIMANA Mahamodo,VPM-MMM,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/148.jpg&w=200&h=auto,,,2013
National Assembly,Belo Tsiribihina,http://www.assemblee-nationale.mg/?depute=5520,RAKOTOZANAKOLONA Paul,HIARAKA ISIKA,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/149.jpg&w=200&h=auto,,,2013
National Assembly,Sainte Marie,http://www.assemblee-nationale.mg/?depute=5521,RAVONINJATOVO Sahoby,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/150.jpg&w=200&h=auto,,,2013
National Assembly,Sainte Marie,http://www.assemblee-nationale.mg/?depute=5522,TSIVOULANGNE Maximin,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/151.jpg&w=200&h=auto,,,2013
