id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
362,SISSAOUI HOCINE,,,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,rassemblement_national_democratique,Skikda,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/283.jpg,Homme
364,SLIM AMIRA,,,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,rassemblement_national_democratique,TUNIS,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/274.jpg,Femme
366,SLIMANI ABDELKADER,,,MOUVEMENT EL INFITAH,mouvement_el_infitah,Bechar,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/275.jpg,Homme
367,SNANI MOURAD,,,PARTI DES TRAVAILLEURS,parti_des_travailleurs,El Taref,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/277.jpg,Homme
369,TABBOU KARIM,,,FRONT DES FORCES SOCIALISTES,front_des_forces_socialistes,Tizi ouzou,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/303.jpg,Homme
371,TACHI NEE DJIHED FATIMA,,,FRONT DE LIBERATION NATIONALE,front_de_liberation_nationale,Aïn Temouchent,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/304.jpg,Femme
373,TAHAR MISSOUM,,,RASSEMBLEMENT ALGERIEN,rassemblement_algerien,Medea,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/305.jpg,Homme
375,TAIATI MEZIANI HAYAT,,,FRONT DES FORCES SOCIALISTES,front_des_forces_socialistes,Alger,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/174.jpg,Femme
377,TAIBI MOHAMED,,,FRONT DE LIBERATION NATIONALE,front_de_liberation_nationale,Oran,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/312.jpg,Homme
379,TALHA EP.SOUIKI HOUDA,,,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,rassemblement_national_democratique,Biskra,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/306.jpg,Femme
