id,name,sortname,image,group,birth_date,group_id,area,start_date,term,source
5019,IGOR DRAGOVAN,"Dragovan, Igor",http://www.sabor.hr/lgs.axd?t=16&id=19553,Deputy Club of the Social Democratic Party,1968-07-04,5178,5th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5019
5021,IVAN DRMIĆ,"Drmić, Ivan",http://www.sabor.hr/lgs.axd?t=16&id=19554,Deputy Club of the Croatian Democratic Alliance of Slavonia and Baranja,1972-11-12,5177,4th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5021
5023,JOSIP ĐAKIĆ,"Đakić, Josip",http://www.sabor.hr/lgs.axd?t=16&id=19549,Deputy Club of the Croatian Democratic Union,1960-11-02,5175,4th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5023
5082,SAŠA ĐUJIĆ,"Đujić, Saša",http://www.sabor.hr/lgs.axd?t=16&id=19550,Deputy Club of the Social Democratic Party,1981-12-05,5178,7th,2011-12-23,7,http://www.sabor.hr/lgs.axd?t=24&id=5082
4863,ŠIMO ĐURĐEVIĆ,"Đurđević, Šimo",http://www.sabor.hr/lgs.axd?t=16&id=19551,Deputy Club of the Croatian Democratic Union,1957-10-22,5175,5th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4863
5025,DRAŽEN ĐUROVIĆ,"Đurović, Dražen",http://www.sabor.hr/lgs.axd?t=16&id=19552,Deputy Club of the Croatian Democratic Alliance of Slavonia and Baranja,1970-06-08,5177,5th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5025
5029,ILIJA FILIPOVIĆ,"Filipović, Ilija",http://www.sabor.hr/lgs.axd?t=16&id=19556,Deputy Club of the Croatian Democratic Union,1949-07-22,5175,11th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5029
5031,GVOZDEN SREĆKO FLEGO,"Flego, Gvozden Srećko",http://www.sabor.hr/lgs.axd?t=16&id=19557,Deputy Club of the Social Democratic Party,1946-04-01,5178,1st,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5031
5037,SRĐAN GJURKOVIĆ,"Gjurković, Srđan",http://www.sabor.hr/lgs.axd?t=16&id=19559,Deputy Club of the Croatian People's Party - Liberal Democrats,1964-09-28,5176,10th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5037
5039,SUNČANA GLAVAK,"Glavak, Sunčana",http://www.sabor.hr/lgs.axd?t=16&id=14400,Deputy Club of the Croatian Democratic Union,1968-12-09,5175,3rd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5039
5084,DRAGUTIN GLAVINA,"Glavina, Dragutin",http://www.sabor.hr/lgs.axd?t=16&id=19561,Deputy Club of the Croatian People's Party - Liberal Democrats,1945-09-30,5176,3rd,2011-12-23,7,http://www.sabor.hr/lgs.axd?t=24&id=5084
5041,PEĐA GRBIN,"Grbin, Peđa",http://www.sabor.hr/lgs.axd?t=16&id=19562,Deputy Club of the Social Democratic Party,1979-05-24,5178,8th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5041
5045,BORO GRUBIŠIĆ,"Grubišić, Boro",http://www.sabor.hr/lgs.axd?t=16&id=19563,Deputy Club of the Croatian Democratic Alliance of Slavonia and Baranja,1952-11-25,5177,5th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5045
5047,IVAN GRUBIŠIĆ,"Grubišić, Ivan",http://www.sabor.hr/lgs.axd?t=16&id=19564,Deputy Club of the independent MPs,1936-06-20,5389,10th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5047
5049,MARIO HABEK,"Habek, Mario",http://www.sabor.hr/lgs.axd?t=16&id=19565,Deputy Club of the Social Democratic Party,1972-05-16,5178,3rd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5049
5051,DOMAGOJ HAJDUKOVIĆ,"Hajduković, Domagoj",http://www.sabor.hr/lgs.axd?t=16&id=19566,Deputy Club of the Social Democratic Party,1981-06-04,5178,4th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5051
5053,NEDŽAD HODŽIĆ,"Hodžić, Nedžad",http://www.sabor.hr/lgs.axd?t=16&id=19567,Deputy Club of national minoritiesDeputy Club of Independent Left,1958-07-24,5254,12th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5053
5055,MIRELA HOLY,"Holy, Mirela",http://www.sabor.hr/lgs.axd?t=16&id=21381,Deputy Club of ORaH,1971-12-15,6004,6th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5055
5479,MILE HORVAT,"Horvat, Mile",http://www.sabor.hr/lgs.axd?t=16&id=12830,Deputy Club of the Independent Democratic Serbian PartyDeputy Club of national minorities,1959-05-16,5180,12th,2012-10-01,7,http://www.sabor.hr/lgs.axd?t=24&id=5479
5057,SILVANO HRELJA,"Hrelja, Silvano",http://www.sabor.hr/lgs.axd?t=16&id=19568,Deputy Club of the Croatian Party of Pensioners,1958-03-14,5179,8th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5057
5472,BRANKO HRG,"Hrg, Branko",http://www.sabor.hr/lgs.axd?t=16&id=22156,Independent,1961-09-26,,2nd,2012-10-12,7,http://www.sabor.hr/lgs.axd?t=24&id=5472
5721,MARIJA ILIĆ,"Ilić, Marija",http://www.sabor.hr/lgs.axd?t=16&id=26347,Deputy Club of the Croatian Party of Pensioners,1945-02-19,5179,4th,2013-12-13,7,http://www.sabor.hr/lgs.axd?t=24&id=5721
5086,TONKA IVČEVIĆ,"Ivčević, Tonka",http://www.sabor.hr/lgs.axd?t=16&id=19569,Deputy Club of the Social Democratic Party,1973-06-21,5178,10th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5086
5088,TOMISLAV IVIĆ,"Ivić, Tomislav",http://www.sabor.hr/lgs.axd?t=16&id=19570,Deputy Club of the Croatian Democratic Union,1961-02-01,5175,4th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5088
5090,GORDAN JANDROKOVIĆ,"Jandroković, Gordan",http://www.sabor.hr/lgs.axd?t=16&id=19571,Deputy Club of the Croatian Democratic Union,1967-08-02,5175,1st,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5090
5092,NADICA JELAŠ,"Jelaš, Nadica",http://www.sabor.hr/lgs.axd?t=16&id=19572,Deputy Club of the Social Democratic Party,1957-02-24,5178,3rd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5092
5094,PERICA JELEČEVIĆ,"Jelečević, Perica",http://www.sabor.hr/lgs.axd?t=16&id=19573,Deputy Club of the Croatian Democratic Union,1960-02-25,5175,11th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5094
4722,IVO JELUŠIĆ,"Jelušić, Ivo",http://www.sabor.hr/lgs.axd?t=16&id=19574,Deputy Club of the Social Democratic Party,1960-10-10,5178,7th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4722
4725,ROMANA JERKOVIĆ,"Jerković, Romana",http://www.sabor.hr/lgs.axd?t=16&id=19807,Deputy Club of the Social Democratic Party,1964-11-28,5178,8th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4725
5696,ANTE JEROLIMOV,"Jerolimov, Ante",http://www.sabor.hr/lgs.axd?t=16&id=25483,Deputy Club of the Croatian Democratic Union,1968-03-02,5175,9th,2013-09-24,7,http://www.sabor.hr/lgs.axd?t=24&id=5696
4727,ŽELJKO JOVANOVIĆ,"Jovanović, Željko",http://www.sabor.hr/lgs.axd?t=16&id=40159,Deputy Club of the Social Democratic Party,1965-11-26,5178,8th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4727
5816,ŠANDOR JUHAS,"Juhas, Šandor",http://www.sabor.hr/lgs.axd?t=16&id=39235,Deputy Club of national minoritiesDeputy Club of the independent MPs,1954-07-12,5254,12th,2014-04-04,7,http://www.sabor.hr/lgs.axd?t=24&id=5816
4732,BRANKA JURIČEV-MARTINČEV,"Juričev-Martinčev, Branka",http://www.sabor.hr/lgs.axd?t=16&id=19575,Deputy Club of the Croatian Democratic Union,1965-11-13,5175,9th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4732
4734,MARIN JURJEVIĆ,"Jurjević, Marin",http://www.sabor.hr/lgs.axd?t=16&id=19576,Deputy Club of the Social Democratic Party,1952-11-17,5178,10th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4734
4737,MILAN JURKOVIĆ,"Jurković, Milan",http://www.sabor.hr/lgs.axd?t=16&id=24450,Deputy Club of the Croatian Democratic Union,1959-03-08,5175,9th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4737
4741,DAMIR KAJIN,"Kajin, Damir",http://www.sabor.hr/lgs.axd?t=16&id=19577,Deputy Club of the independent MPs,1962-02-03,5389,8th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4741
4745,VELJKO KAJTAZI,"Kajtazi, Veljko",http://www.sabor.hr/lgs.axd?t=16&id=19580,Deputy Club of the Croatian People's Party - Liberal DemocratsDeputy Club of national minorities,1960-02-14,5176,12th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4745
4752,TOMISLAV KARAMARKO,"Karamarko, Tomislav",http://www.sabor.hr/lgs.axd?t=16&id=19582,Deputy Club of the Croatian Democratic Union,1959-05-25,5175,3rd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4752
4754,ŽELJKO KERUM,"Kerum, Željko",http://www.sabor.hr/lgs.axd?t=16&id=19583,Deputy Club of the independent MP Jadranka Kosor and the Croatian Civic Party,1960-09-25,5597,10th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4754
5650,TOMISLAV KLARIĆ,"Klarić, Tomislav",http://www.sabor.hr/lgs.axd?t=16&id=24981,Deputy Club of the Croatian Democratic Union,1964-03-31,5175,7th,2013-07-01,7,http://www.sabor.hr/lgs.axd?t=24&id=5650
5061,IVAN KLARIN,"Klarin, Ivan",http://www.sabor.hr/lgs.axd?t=16&id=19808,Deputy Club of the Social Democratic Party,1985-07-16,5178,9th,2011-12-23,7,http://www.sabor.hr/lgs.axd?t=24&id=5061
5063,IGOR KOLMAN,"Kolman, Igor",http://www.sabor.hr/lgs.axd?t=16&id=19585,Deputy Club of the Croatian People's Party - Liberal Democrats,1979-05-18,5176,1st,2011-12-23,7,http://www.sabor.hr/lgs.axd?t=24&id=5063
4762,ANA KOMPARIĆ DEVČIĆ,"Komparić Devčić, Ana",http://www.sabor.hr/lgs.axd?t=16&id=19586,Deputy Club of the Social Democratic Party,1976-04-18,5178,8th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4762
4765,SONJA KÖNIG,"König, Sonja",http://www.sabor.hr/lgs.axd?t=16&id=19587,Deputy Club of the Croatian People's Party - Liberal Democrats,1974-08-03,5176,3rd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4765
4767,JADRANKA KOSOR,"Kosor, Jadranka",http://www.sabor.hr/lgs.axd?t=16&id=19588,Deputy Club of the independent MP Jadranka Kosor and the Croatian Civic Party,1953-07-01,5597,5th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4767
5096,BORIS KOVAČIĆ,"Kovačić, Borislav",http://www.sabor.hr/lgs.axd?t=16&id=19589,Deputy Club of the Social Democratic Party,1949-11-13,5178,6th,2011-12-23,7,http://www.sabor.hr/lgs.axd?t=24&id=5096
4774,JOSIP KREGAR,"Kregar, Josip",http://www.sabor.hr/lgs.axd?t=16&id=19590,Deputy Club of the Social Democratic Party,1953-01-01,5178,1st,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4774
5955,JOSIP KRNIĆ,"Krnić, Josip",http://www.sabor.hr/lgs.axd?t=16&id=42142,Deputy Club of the Social Democratic Party,1969-03-19,5178,5th,2015-03-20,7,http://www.sabor.hr/lgs.axd?t=24&id=5955
5971,TUGOMIR KUDUZ,"Kuduz, Tugomir",http://www.sabor.hr/lgs.axd?t=16&id=42606,Deputy Club of the Croatian Democratic Union,1956-04-14,5175,4th,2015-05-08,7,http://www.sabor.hr/lgs.axd?t=24&id=5971
4779,ANTE KULUŠIĆ,"Kulušić, Ante",http://www.sabor.hr/lgs.axd?t=16&id=19591,Deputy Club of the Croatian Democratic Union,1958-06-22,5175,9th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4779
4783,BRANKO KUTIJA,"Kutija, Branko",http://www.sabor.hr/lgs.axd?t=16&id=19596,Deputy Club of the Croatian Democratic Union,1963-05-16,5175,9th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4783
5854,KAROLINA LEAKOVIĆ,"Leaković, Karolina",http://www.sabor.hr/lgs.axd?t=16&id=40160,Deputy Club of the Social Democratic Party,1977-09-16,5178,1st,2014-07-11,7,http://www.sabor.hr/lgs.axd?t=24&id=5854
5664,DARKO LEDINSKI,"Ledinski, Darko",http://www.sabor.hr/lgs.axd?t=16&id=25365,Deputy Club of the Social Democratic Party,1962-05-06,5178,2nd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5664
4788,JOSIP LEKO,"Leko, Josip",http://www.sabor.hr/lgs.axd?t=16&id=19598,Deputy Club of the Social Democratic Party,1948-09-19,5178,7th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4788
4791,DRAGUTIN LESAR,"Lesar, Dragutin",http://www.sabor.hr/lgs.axd?t=16&id=19599,Deputy Club of the Croatian Labourists - Labour party,1956-03-04,5174,3rd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4791
4794,SLAVKO LINIĆ,"Linić, Slavko",http://www.sabor.hr/lgs.axd?t=16&id=42157,Deputy Club of Independent Left,1966-09-19,5878,7th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4794
4796,MARINA LOVRIĆ MERZEL,"Lovrić Merzel, Marina",http://www.sabor.hr/lgs.axd?t=16&id=40639,Independent,1996-09-02,,6th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4796
4800,FRANJO LUCIĆ,"Lucić, Franjo",http://www.sabor.hr/lgs.axd?t=16&id=19601,Deputy Club of the Croatian Democratic Union,1958-09-09,5175,5th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4800
4804,ŠIME LUČIN,"Lučin, Šime",http://www.sabor.hr/lgs.axd?t=16&id=19602,Deputy Club of the Social Democratic Party,1958-11-04,5178,6th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4804
4806,MARIJA LUGARIĆ,"Lugarić, Marija",http://www.sabor.hr/lgs.axd?t=16&id=19603,Deputy Club of the Social Democratic Party,1978-06-05,5178,2nd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4806
5098,IVICA MANDIĆ,"Mandić, Ivica",http://www.sabor.hr/lgs.axd?t=16&id=19604,Deputy Club of the Croatian People's Party - Liberal Democrats,1954-01-03,5176,5th,2011-12-23,7,http://www.sabor.hr/lgs.axd?t=24&id=5098
4814,DUJOMIR MARASOVIĆ,"Marasović, Dujomir",http://www.sabor.hr/lgs.axd?t=16&id=19605,Deputy Club of the Croatian Democratic Union,1952-01-03,5175,10th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4814
5100,MLADEN MARELIĆ,"Marelić, Mladen",http://www.sabor.hr/lgs.axd?t=16&id=19809,Deputy Club of the Social Democratic Party,1951-10-08,5178,10th,2011-12-23,7,http://www.sabor.hr/lgs.axd?t=24&id=5100
5607,GORAN MARIĆ,"Marić, Goran",http://www.sabor.hr/lgs.axd?t=16&id=24351,Deputy Club of the Croatian Democratic Union,1959-09-05,5175,7th,2013-05-24,7,http://www.sabor.hr/lgs.axd?t=24&id=5607
4816,NATALIJA MARTINČEVIĆ,"Martinčević, Natalija",http://www.sabor.hr/lgs.axd?t=16&id=19606,"Deputy Club of the Democratic Centre, New Wave and People's Party - Reformists",1975-05-01,5809,3rd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4816
4821,DAMIR MATELJAN,"Mateljan, Damir",http://www.sabor.hr/lgs.axd?t=16&id=19667,Deputy Club of the Social Democratic Party,1970-11-26,5178,7th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4821
4716,FRANO MATUŠIĆ,"Matušić, Frano",http://www.sabor.hr/lgs.axd?t=16&id=19608,Deputy Club of the Croatian Democratic Union,1961-03-18,5175,10th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4716
4719,JASEN MESIĆ,"Mesić, Jasen",http://www.sabor.hr/lgs.axd?t=16&id=19609,Deputy Club of the Croatian Democratic Union,1972-06-11,5175,6th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4719
4731,ZVONKO MILAS,"Milas, Zvonko",http://www.sabor.hr/lgs.axd?t=16&id=19810,Deputy Club of the Croatian Democratic Union,1961-10-13,5175,5th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4731
5592,DAVOR MILIČEVIĆ,"Miličević, Davor",http://www.sabor.hr/lgs.axd?t=16&id=23897,Deputy Club of the Croatian Democratic Union,"",5175,5th,2013-04-12,7,http://www.sabor.hr/lgs.axd?t=24&id=5592
4738,STJEPAN MILINKOVIĆ,"Milinković, Stjepan",http://www.sabor.hr/lgs.axd?t=16&id=19610,Deputy Club of the Croatian Democratic Union,1954-01-04,5175,2nd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4738
4742,DARKO MILINOVIĆ,"Milinović, Darko",http://www.sabor.hr/lgs.axd?t=16&id=19611,Deputy Club of the Croatian Democratic Union,1963-04-25,5175,9th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4742
4746,DOMAGOJ IVAN MILOŠEVIĆ,"Milošević, Domagoj Ivan",http://www.sabor.hr/lgs.axd?t=16&id=19811,Deputy Club of the Croatian Democratic Union,1970-01-05,5175,3rd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4746
5059,ŽELJKO MIRKOVIĆ,"Mirković, Željko",http://www.sabor.hr/lgs.axd?t=16&id=19612,Deputy Club of the Social Democratic Party,1956-01-03,5178,7th,2011-12-23,7,http://www.sabor.hr/lgs.axd?t=24&id=5059
4761,DAVORIN MLAKAR,"Mlakar, Davorin",http://www.sabor.hr/lgs.axd?t=16&id=19812,Deputy Club of the Croatian Democratic Union,1958-12-30,5175,2nd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4761
4768,MARIO MOHARIĆ,"Moharić, Mario",http://www.sabor.hr/lgs.axd?t=16&id=19613,Deputy Club of the Social Democratic Party,1970-01-01,5178,3rd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4768
4773,DANIEL MONDEKAR,"Mondekar, Daniel",http://www.sabor.hr/lgs.axd?t=16&id=19614,Deputy Club of the Social Democratic Party,1978-11-09,5178,6th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4773
5354,MELITA MULIĆ,"Mulić, Melita",http://www.sabor.hr/lgs.axd?t=16&id=19814,Deputy Club of the Social Democratic Party,1976-10-15,5178,1st,2012-01-18,7,http://www.sabor.hr/lgs.axd?t=24&id=5354
5779,NADA MURGANIĆ,"Murganić, Nada",http://www.sabor.hr/lgs.axd?t=16&id=26714,Deputy Club of the Croatian Democratic Union,1958-01-14,5175,7th,2014-01-31,7,http://www.sabor.hr/lgs.axd?t=24&id=5779
5655,HRVOJE NEKIĆ,"Nekić, Hrvoje",http://www.sabor.hr/lgs.axd?t=16&id=24979,Deputy Club of the Social Democratic Party,1978-03-03,5178,4th,2013-07-05,7,http://www.sabor.hr/lgs.axd?t=24&id=5655
4792,MLADEN NOVAK,"Novak, Mladen",http://www.sabor.hr/lgs.axd?t=16&id=19615,Deputy Club of ORaH,1963-12-20,6004,6th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4792
4809,RAJKO OSTOJIĆ,"Ostojić, Rajko",http://www.sabor.hr/lgs.axd?t=16&id=40372,Deputy Club of the Social Democratic Party,1962-01-19,5178,6th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4809
5356,DRAŽENKO PANDEK,"Pandek, Draženko",http://www.sabor.hr/lgs.axd?t=16&id=20448,Deputy Club of the Social Democratic Party,1971-12-11,5178,2nd,2012-02-24,7,http://www.sabor.hr/lgs.axd?t=24&id=5356
5102,ĐURĐICA PLANČIĆ,"Plančić, Đurđica",http://www.sabor.hr/lgs.axd?t=16&id=19816,Deputy Club of the Social Democratic Party,1956-12-13,5178,10th,2011-12-23,7,http://www.sabor.hr/lgs.axd?t=24&id=5102
5989,ŽELJKO PLAZONIĆ,"Plazonić, Željko","",Deputy Club of the Croatian Democratic Union,1952-08-16,5175,7th,2015-07-15,7,http://www.sabor.hr/lgs.axd?t=24&id=5989
