id,name,sort_name,family_name,given_name,area,group,image,term,source
9672,Martin Harold,"Harold, Martin",Martin,Harold,Province Sud,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/martin.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9673,Metzdorf Nicolas,"Nicolas, Metzdorf",Metzdorf,Nicolas,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/metzdorf.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9674,Michel Philippe,"Philippe, Michel",Michel,Philippe,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/michel.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9675,Mole Dominique,"Dominique, Mole",Mole,Dominique,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/mole.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
10400,Muliakaaka Silipéléto dit Fiu,"Silipéléto dit Fiu, Muliakaaka",Muliakaaka,Silipéléto dit Fiu,Province Sud,CE,"",4,http://www.congres.nc/assemblee/les-elus/?panel=5
9676,Neaoutyine Paul,"Paul, Neaoutyine",Neaoutyine,Paul,Province Nord,UNI,http://www.congres.nc/wp-content/uploads/2015/01/Neaoutyine.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9677,Nechero Émile,"Émile, Nechero",Nechero,Émile,Province Nord,UNI,http://www.congres.nc/wp-content/uploads/2015/01/nechero.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9678,Pabouty Sylvain,"Sylvain, Pabouty",Pabouty,Sylvain,Province Sud,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/pabouty.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9679,Poadja Gérard,"Gérard, Poadja",Poadja,Gérard,Province Nord,CE,http://www.congres.nc/wp-content/uploads/2015/01/poadja.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9680,Poithily Monique,"Monique, Poithily",Poithily,Monique,Province Sud,UNI,http://www.congres.nc/wp-content/uploads/2015/01/poithily.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9681,Robineau Nicole,"Nicole, Robineau",Robineau,Nicole,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/robineau.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9682,Sanmohamat Rusmaeni,"Rusmaeni, Sanmohamat",Sanmohamat,Rusmaeni,Province Sud,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/sanmohamat.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9683,Santa Thierry,"Thierry, Santa",Santa,Thierry,Province Sud,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/santa.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9684,Sio-Lagadec Sutita,"Sutita, Sio-Lagadec",Sio-Lagadec,Sutita,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/sio-lagadec.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9685,Tidjine-Hmae Henriette,"Henriette, Tidjine-Hmae",Tidjine-Hmae,Henriette,Province Nord,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/tdjine-hame.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9686,Tieoue Ithupane,"Ithupane, Tieoue",Tieoue,Ithupane,Province Sud,UNI,http://www.congres.nc/wp-content/uploads/2015/01/ithupane.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9687,Tutugoro Pierre-Chanel,"Pierre-Chanel, Tutugoro",Tutugoro,Pierre-Chanel,Province Nord,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/tutugoro.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9699,Tein-Taouva Hervé,"Hervé, Tein-Taouva",Tein-Taouva,Hervé,Province Sud,UC-FLNKS et Nationalistes,"",4,http://www.congres.nc/assemblee/les-elus/?panel=5
9688,Louis Kotra Uregei,"Uregei, Louis Kotra",Louis Kotra,Uregei,Province des îles loyauté,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/kotra-ureigei.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9689,Voisin Corinne,"Corinne, Voisin",Voisin,Corinne,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/voisin.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9690,Wackenthaler-Faivre Nadeige,"Nadeige, Wackenthaler-Faivre",Wackenthaler-Faivre,Nadeige,Province Nord,UNI,http://www.congres.nc/wp-content/uploads/2015/01/wackenthaler-faivre.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9692,Wamytan Roch,"Roch, Wamytan",Wamytan,Roch,Province Sud,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/rock-wamytan.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9694,Waneux Mathias,"Mathias, Waneux",Waneux,Mathias,Province des îles loyauté,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/waneux.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9695,Washetine Charles,"Charles, Washetine",Washetine,Charles,Province des îles loyauté,PALIKA,http://www.congres.nc/wp-content/uploads/2015/01/washetine.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9696,Yanno Gaël,"Gaël, Yanno",Yanno,Gaël,Province Sud,"",http://www.congres.nc/wp-content/uploads/2015/01/yanno.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
