id,name,sort_name,gender,email,area,group,group_id,term
827,Marcelo Díaz Díaz,Díaz,male,mdiaz,7,Partido Socialista,PS,6
831,Edmundo Eluchans Urenda,Eluchans,male,eeluchans,14,Unión Demócrata Independiente,UDI,6
836,Marcos Espinosa Monardes,Espinosa,male,mespinosa,3,Partido Radical Social Demócrata,PRSD,6
837,Fidel Espinoza Sandoval,Espinoza,male,fespinoza,56,Partido Socialista,PS,6
838,Enrique Estay Peñaloza,Estay,male,eestay,49,Unión Demócrata Independiente,UDI,6
839,Ramón Farías Ponce,Farías,male,rfarias,30,Partido Por la Democracia,PPD,6
843,René Manuel García García,García,male,rmgarcia,52,Renovación Nacional,RN,6
844,Alejandro García-Huidobro Sanfuentes,García-Huidobro,male,agarcia,32,Unión Demócrata Independiente,UDI,6
846,Joaquín Godoy Ibáñez,Godoy,male,jgodoy,13,Renovación Nacional,RN,6
847,Carolina Goic Boroevic,Goic,female,cgoic,60,Partido Demócrata Cristiano,DC,6
848,Rodrigo González Torres,González,male,rodrigogonzalez,14,Partido Por la Democracia,PPD,6
849,Patricio Hales Dib,Hales,male,phales,19,Partido Por la Democracia,PPD,6
850,Javier Hernández Hernández,Hernández,male,jhernandez,55,Unión Demócrata Independiente,UDI,6
853,Marta Isasi Barbieri,Isasi,female,misasi,2,Independientes,IND,6
854,Enrique Jaramillo Becker,Jaramillo,male,ejaramil,54,Partido Por la Democracia,PPD,6
855,Carlos Abel Jarpa Wevar,Jarpa,male,cjarpa,41,Partido Radical Social Demócrata,PRSD,6
856,Tucapel Jiménez Fuentes,Jiménez,male,tjimenez,27,Partido Por la Democracia,PPD,6
857,José Antonio Kast Rist,Kast,male,jkast,30,Unión Demócrata Independiente,UDI,6
858,Juan Carlos Latorre Carmona,Latorre,male,jclatorre,35,Partido Demócrata Cristiano,DC,6
860,Roberto León Ramírez,León,male,rleon,36,Partido Demócrata Cristiano,DC,6
861,Juan Lobos Krause,Lobos,male,jlobos,47,Unión Demócrata Independiente,UDI,6
862,Pablo Lorenzini Basso,Lorenzini,male,plorenzi,38,Partido Demócrata Cristiano,DC,6
863,Rosauro Martínez Labbé,Martínez,male,romar,41,Renovación Nacional,RN,6
