source,name,area,area_id,wikiname,party,term,id
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1985",Anthony Thomas Blake,Camp,ocd-division/country:fk/constituency:camp,,Independent,1985,anthony_thomas_blake
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1985",Lionel Geoffrey Blake,Camp,ocd-division/country:fk/constituency:camp,,Independent,1985,lionel_geoffrey_blake
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1985",Robin Myles Lee,Camp,ocd-division/country:fk/constituency:camp,,Independent,1985,robin_myles_lee
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1985",Timothy John Durose Miller,Camp,ocd-division/country:fk/constituency:camp,,Independent,1985,timothy_john_durose_miller
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1985",Darwin Lewis Clifton,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1985,darwin_lewis_clifton
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1985","Charles Desmond Keenleyside, Jr",Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1985,"charles_desmond_keenleyside,_jr"
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1985",Norma Edwards,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1985,norma_edwards
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1985",John Edward Cheek,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1985,john_edward_cheek
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1981",Anthony Thomas Blake,Camp,ocd-division/country:fk/constituency:camp,,Independent,1981,anthony_thomas_blake
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1981",Ronald Eric Binnie,East Falkland,ocd-division/country:fk/constituency:east-falkland,,Independent,1981,ronald_eric_binnie
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1981",William Henry Goss,East Stanley,ocd-division/country:fk/constituency:east-stanley,,Independent,1981,william_henry_goss
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1981",Terence John Peck,Stanley,ocd-division/country:fk/constituency:stanley,Terence John Peck,Independent,1981,terence_john_peck
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1981",Lionel Geoffrey Blake,West Falkland,ocd-division/country:fk/constituency:west-falkland,,Independent,1981,lionel_geoffrey_blake
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1981",John Edward Cheek,West Stanley,ocd-division/country:fk/constituency:west-stanley,,Independent,1981,john_edward_cheek
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1977",Timothy John Durose Miller,Camp,ocd-division/country:fk/constituency:camp,,Independent,1977,timothy_john_durose_miller
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1977",Adrian Bertrand Monk,East Falkland,ocd-division/country:fk/constituency:east-falkland,,Independent,1977,adrian_bertrand_monk
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1977",William Henry,East Stanley,ocd-division/country:fk/constituency:east-stanley,,Independent,1977,william_henry
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1977",William Edward Bowles,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1977,william_edward_bowles
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1977",Derek Stanley Evans,West Falkland,ocd-division/country:fk/constituency:west-falkland,,Independent,1977,derek_stanley_evans
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1977",Stuart Barrett Wallace,West Stanley,ocd-division/country:fk/constituency:west-stanley,,Independent,1977,stuart_barrett_wallace
