name,region,area_id,area,party,term,source
Altes TOUSSAINT,DÉPARTEMENT de l'ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:saint_marc/circonscription:1,St. Marc,AAA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Vikens DERILUS,DÉPARTEMENT de l'ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:saint_marc/circonscription:2,Verrettes,MODELH,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Fanel SALOMON,DÉPARTEMENT de l'ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:saint_marc/circonscription:3,La Chapelle,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Rony CÉLESTIN,DÉPARTEMENT du CENTRE,ocd-division/country:ht/departement:centre/arrondissement:cerca_la_source/circonscription:1,Cerca la Source et Thomassique,LAVNI,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Gilbert AUGUSTIN,DÉPARTEMENT du CENTRE,ocd-division/country:ht/departement:centre/arrondissement:hinche/circonscription:1,Hinche,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Marie Denise BERNADEAU,DÉPARTEMENT du CENTRE,ocd-division/country:ht/departement:centre/arrondissement:hinche/circonscription:2,Thomonde,LAVNI,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Romain MUSSET,DÉPARTEMENT du CENTRE,ocd-division/country:ht/departement:centre/arrondissement:hinche/circonscription:3,Maïssade,MAS,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
A. Rodon BIEN-AIMÉ,DÉPARTEMENT du CENTRE,ocd-division/country:ht/departement:centre/arrondissement:hinche/circonscription:4,Cerca Carvajal et le quartier de Los Palis,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Markentz SIGUE,DÉPARTEMENT du CENTRE,ocd-division/country:ht/departement:centre/arrondissement:lascahobas/circonscription:1,Lascahobas,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Amos DURBOIRANT,DÉPARTEMENT du CENTRE,ocd-division/country:ht/departement:centre/arrondissement:lascahobas/circonscription:2,Belladère,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Guerda B. BENJAMIN,DÉPARTEMENT du CENTRE,ocd-division/country:ht/departement:centre/arrondissement:lascahobas/circonscription:3,Savanette et le quartier de Baptiste,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Abel DESCOLINES,DÉPARTEMENT du CENTRE,ocd-division/country:ht/departement:centre/arrondissement:mirebalais/circonscription:1,Mirebalais et Boucan Carré,LAVNI,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Romuald SMITH,DÉPARTEMENT du CENTRE,ocd-division/country:ht/departement:centre/arrondissement:mirebalais/circonscription:2,Saut d'Eau,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Orélien JOACHIM,DÉPARTEMENT de la GRANDE ANSE,ocd-division/country:ht/departement:grande_anse/arrondissement:anse_d'hainault/circonscription:1,Anse d'Hainault et les Irois,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Acklush LOUIS JEUNE,DÉPARTEMENT de la GRANDE ANSE,ocd-division/country:ht/departement:grande_anse/arrondissement:anse_d'hainault/circonscription:2,Dame Marie,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Victor RONALD,DÉPARTEMENT de la GRANDE ANSE,ocd-division/country:ht/departement:grande_anse/arrondissement:corail/circonscription:1,Corail et Roseaux,RESPÈ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Dionald Polyte,DÉPARTEMENT de la GRANDE ANSE,ocd-division/country:ht/departement:grande_anse/arrondissement:corail/circonscription:2,Pestel et Beaumont,...,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Rupert LAFOREST,DÉPARTEMENT de la GRANDE ANSE,ocd-division/country:ht/departement:grande_anse/arrondissement:jérémie/circonscription:1,Jérémie,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Rigaud BÉLIZAIRE,DÉPARTEMENT de la GRANDE ANSE,ocd-division/country:ht/departement:grande_anse/arrondissement:jérémie/circonscription:2,Abricot et Bonbon,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jacinthe SOREL,DÉPARTEMENT de la GRANDE ANSE,ocd-division/country:ht/departement:grande_anse/arrondissement:jérémie/circonscription:3,Moron et Chamberllan,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Wilner GUERVIL,DÉPARTEMENT du NIPPES,ocd-division/country:ht/departement:nippes/arrondissement:anse_à_veau/circonscription:1,Anse à Veau et dArnaud,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Denius FRANCENET,DÉPARTEMENT du NIPPES,ocd-division/country:ht/departement:nippes/arrondissement:anse_à_veau/circonscription:2,Asile,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Luberne PIERRE,DÉPARTEMENT du NIPPES,ocd-division/country:ht/departement:nippes/arrondissement:anse_à_veau/circonscription:3,Petit-Trou de Nippes et Plaisance du Sud,LAVNI,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Dupner CLÉMENT,DÉPARTEMENT du NIPPES,ocd-division/country:ht/departement:nippes/arrondissement:baradères/circonscription:1,Baradères et Grand Boucan,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Poly FAUSTIN,DÉPARTEMENT du NIPPES,ocd-division/country:ht/departement:nippes/arrondissement:miragoâne/circonscription:1,Miragoâne et Fonds des Nègres,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Ulrick FILOCSAINT,DÉPARTEMENT du NIPPES,ocd-division/country:ht/departement:nippes/arrondissement:miragoâne/circonscription:2,Petite Rivière de Nippes et Paillant,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jobes Jolicaire MICHEL,DÉPARTEMENT du NORD,ocd-division/country:ht/departement:nord/arrondissement:acul_du_nord/circonscription:1,Acul du Nord,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Marie Jossie ETIENNE,DÉPARTEMENT du NORD,ocd-division/country:ht/departement:nord/arrondissement:acul_du_nord/circonscription:2,Plaine du Nord et Milot,RASANBLE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jude Charles FAUSTIN,DÉPARTEMENT du NORD,ocd-division/country:ht/departement:nord/arrondissement:borgne/circonscription:1,Borgne et Port-Margot,KONBIT,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Kenston JEAN-BAPTISTE,DÉPARTEMENT du NORD,ocd-division/country:ht/departement:nord/arrondissement:cap_haitien/circonscription:1,Cap-Haitien,PLAPH,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Teophile GLUCK,DÉPARTEMENT du NORD,ocd-division/country:ht/departement:nord/arrondissement:cap_haitien/circonscription:2,Limonade et Quartier Morin,AAA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Benjamin OCINJAK,DÉPARTEMENT du NORD,ocd-division/country:ht/departement:nord/arrondissement:grande_rivière_du_nord/circonscription:1,Grande-Rivière du Nord et Bahon,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Louis FRANDY,DÉPARTEMENT du NORD,ocd-division/country:ht/departement:nord/arrondissement:limbé/circonscription:1,Limbé et Bas-Limbé,LAVNI,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Renaud JEAN-BAPTISTE,DÉPARTEMENT du NORD,ocd-division/country:ht/departement:nord/arrondissement:plaisance/circonscription:1,Plaisance,KONBIT,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Perilus WORMS,DÉPARTEMENT du NORD,ocd-division/country:ht/departement:nord/arrondissement:plaisance/circonscription:2,Pilate,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Harold CHÉRY,DÉPARTEMENT du NORD,ocd-division/country:ht/departement:nord/arrondissement:saint_raphael/circonscription:1,Saint Raphael et Dondon,RASANBLE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Nelson HIDSON,DÉPARTEMENT du NORD,ocd-division/country:ht/departement:nord/arrondissement:saint_raphael/circonscription:2,"Pignon, Ranquitte et La Victoire",INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Bilgot COLAS,DÉPARTEMENT du NORD-EST,ocd-division/country:ht/departement:nord-est/arrondissement:fort-liberté/circonscription:1,"Fort-Liberté, Ferrier et Perches",ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Luckner NOËL,DÉPARTEMENT du NORD-EST,ocd-division/country:ht/departement:nord-est/arrondissement:ouanaminthe/circonscription:1,Ouanaminthe,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Ronald LARECHE,DÉPARTEMENT du NORD-EST,ocd-division/country:ht/departement:nord-est/arrondissement:ouanaminthe/circonscription:2,Mont-Organisé et Capotille,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Wanique PIERRE,DÉPARTEMENT du NORD-EST,ocd-division/country:ht/departement:nord-est/arrondissement:trou_du_nord/circonscription:1,Trou du Nord et Caracol,AAA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Pierrogene DAVILMAR,DÉPARTEMENT du NORD-EST,ocd-division/country:ht/departement:nord-est/arrondissement:trou_du_nord/circonscription:2,Ste Suzanne,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Arinks JEAN-PIERRE,DÉPARTEMENT du NORD-EST,ocd-division/country:ht/departement:nord-est/arrondissement:trou_du_nord/circonscription:3,Terrier Rouge,AAA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Bertold BASTIEN,DÉPARTEMENT du NORD-EST,ocd-division/country:ht/departement:nord-est/arrondissement:vallières/circonscription:1,"Vallières, Carice et Mombrun Crochu",INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Éloune DORÉUS,DÉPARTEMENT du NORD-OUEST,ocd-division/country:ht/departement:nord-ouest/arrondissement:môle_saint_nicolas/circonscription:1,"Môle Saint Nicolas,",ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jusclair DORGIL,DÉPARTEMENT du NORD-OUEST,ocd-division/country:ht/departement:nord-ouest/arrondissement:môle_saint_nicolas/circonscription:2,Bombardopolis et Baie de Henne,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Dieujuste JOHNSON,DÉPARTEMENT du NORD-OUEST,ocd-division/country:ht/departement:nord-ouest/arrondissement:môle_saint_nicolas/circonscription:3,Jean Rabel,PONT,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Louystz Amyot FRANÇOIS,DÉPARTEMENT du NORD-OUEST,ocd-division/country:ht/departement:nord-ouest/arrondissement:port-de-paix/circonscription:1,Port-de-Paix,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Pierre TATOUTE,DÉPARTEMENT du NORD-OUEST,ocd-division/country:ht/departement:nord-ouest/arrondissement:port-de-paix/circonscription:2,Bassin Bleu et Chansolme,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Acilus GROS-NÈGRE,DÉPARTEMENT du NORD-OUEST,ocd-division/country:ht/departement:nord-ouest/arrondissement:port-de-paix/circonscription:3,La Tortue,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Louis Marie BONHOMME,DÉPARTEMENT du NORD-OUEST,ocd-division/country:ht/departement:nord-ouest/arrondissement:saint_louis_du_nord/circonscription:1,Saint Louis du Nord et Anse à Foleur,PONT,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean-Dany DUVERT,DÉPARTEMENT de l'OUEST,ocd-division/country:ht/departement:ouest/arrondissement:arcahaie/circonscription:1,Arcahaie,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Joseph Martial DÉPAS,DÉPARTEMENT de l'OUEST,ocd-division/country:ht/departement:ouest/arrondissement:arcahaie/circonscription:2,Cabaret,AAA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Tholbert ALEXIS,DÉPARTEMENT de l'OUEST,ocd-division/country:ht/departement:ouest/arrondissement:croix_des_bouquets/circonscription:1,Croix des Bouquets et Thomazeau,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Lamarre BAPTISTE,DÉPARTEMENT de l'OUEST,ocd-division/country:ht/departement:ouest/arrondissement:croix_des_bouquets/circonscription:3,Cornillon,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
François SANOZIER,DÉPARTEMENT de l'OUEST,ocd-division/country:ht/departement:ouest/arrondissement:croix_des_bouquets/circonscription:2,Fonds Verrettes et Ganthier,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Beguens THÉUS,DÉPARTEMENT de l'OUEST,ocd-division/country:ht/departement:ouest/arrondissement:la_gonave/circonscription:1,Anse-à-Galets et Pointe-à-Raquette,MOCHRENA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Danton LEGER,DÉPARTEMENT de l'OUEST,ocd-division/country:ht/departement:ouest/arrondissement:léogâne/circonscription:1,Léogâne,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Stevenson Jacques THIMOLÉON,DÉPARTEMENT de l'OUEST,ocd-division/country:ht/departement:ouest/arrondissement:léogâne/circonscription:2,Petit-Goâve,LAVNI,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Joseph Franck LAPORTE,DÉPARTEMENT de l'OUEST,ocd-division/country:ht/departement:ouest/arrondissement:léogâne/circonscription:3,Grand-Goâve,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Rodriguez SÉJOUR,DÉPARTEMENT de l'OUEST,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:1,Zone Nord (1),LIBÉRATION,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean René LOCHARD,DÉPARTEMENT de l'OUEST,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:2,Zone Est (2),KONBIT,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
M'Zou Naya JEAN-BAPTISTE,DÉPARTEMENT de l'OUEST,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:3,Zone Sud (3),REPONS PEYIZAN,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Frédély GEORGES,DÉPARTEMENT de l'OUEST,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:4,Pétion-Ville,REPONS PEYIZAN,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
André Gustave LOUIS,DÉPARTEMENT de l'OUEST,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:5,Kenscoff,RASANBLE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Arnel BÉLIZAIRE,DÉPARTEMENT de l'OUEST,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:6,Delmas et Tabarre,VEYE-YO,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Almétis Junior SAINT FLEUR,DÉPARTEMENT de l'OUEST,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:7,Cité Soleil,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Elie BLAISE,DÉPARTEMENT de l'OUEST,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:8,Carrefour,MAS,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Ronald OSCAR,DÉPARTEMENT de l'OUEST,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:9,Gressier,ALTERNATIVE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
E. F. Gérard BOURJOLLY,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:aquin/circonscription:1,Aquin,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Gandhy DORFEUILLE,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:aquin/circonscription:2,Cavaillon et St Louis du Sud,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Fenel THANIS,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:cayes/circonscription:1,Cayes et l'Ile à Vaches,REPONS PEYIZAN,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Guy Gérard GEORGES,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:cayes/circonscription:2,Torbeck et de Chantal,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Ogline PIERRE,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:cayes/circonscription:3,Camp Perrin et de Maniche,MOCHRENA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Romélus LISMA,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:chardonnières/circonscription:1,Chardonnières et les Anglais,LIBÉRATION,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Louinor SAINTIMA,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:chardonnières/circonscription:2,Tiburon et le quartier de la Cahôanne,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Astrel DOLNÉ,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:côteaux/circonscription:1,Coteaux,LIBÉRATION,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Julner LAINÉ,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:côteaux/circonscription:3,Port à Piment,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Paul Olivar MICHEL,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:côteaux/circonscription:2,Roche à Bateaux,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Bertrand SINAL,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:port-salut/circonscription:1,Port-Salut,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Joseph Benoit LAGUERRE,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:port-salut/circonscription:2,St Jean du Sud et d'Arniquet,AAA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
François MALHERBE,DÉPARTEMENT du SUD-EST,ocd-division/country:ht/departement:sud-est/arrondissement:bainet/circonscription:1,Bainet,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Leslie GUIRAND,DÉPARTEMENT du SUD-EST,ocd-division/country:ht/departement:sud-est/arrondissement:bainet/circonscription:2,Côtes de Fer,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean-Pierre ROSSINI,DÉPARTEMENT du SUD-EST,ocd-division/country:ht/departement:sud-est/arrondissement:belle_anse/circonscription:1,Belle Anse,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Patrick ROBASSON,DÉPARTEMENT du SUD-EST,ocd-division/country:ht/departement:sud-est/arrondissement:belle_anse/circonscription:3,Anse à Pitre,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jean Camilles DESMARATATTES,DÉPARTEMENT du SUD-EST,ocd-division/country:ht/departement:sud-est/arrondissement:belle_anse/circonscription:2,Thiotte et Grand Gosier,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Patrick DUMOND,DÉPARTEMENT du SUD-EST,ocd-division/country:ht/departement:sud-est/arrondissement:jacmel/circonscription:1,Jacmel et le Quartier de Marbial,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Ruffine LABBE,DÉPARTEMENT du SUD-EST,ocd-division/country:ht/departement:sud-est/arrondissement:jacmel/circonscription:2,La Vallée de Jacmel,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Kénol CHARLES,DÉPARTEMENT du SUD-EST,ocd-division/country:ht/departement:sud-est/arrondissement:jacmel/circonscription:3,Marigot et Cayes-Jacmel,INDÉP.,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
