area,name,party,term
Masvingo Central,Edmond Mhere,ZANU PF,8
Masvingo North,Davis Murapira,ZANU PF,8
Masvingo South,Walter Mzembi,ZANU PF,8
Masvingo Urban,Daniel Shumba,ZANU PF,8
Masvingo West,Ezira Ruvai,ZANU PF,8
Mwenezi East,Chuma K. Bhasikiti,ZANU PF,8
Mwenezi West,Lamson Moyo,ZANU PF,8
Zaka Central,Paradzai Chakona,ZANU PF,8
Zaka East,Samson T. Mukanduri,ZANU PF,8
Zaka North,Robson Mavenyengwa,ZANU PF,8
Zaka West,Mapetere D. V. Mawere,ZANU PF,8
Chirumanzu-Zibagwe,Emmerson Mnangagwa,ZANU PF,8
Chirumanzu,Innocent Pedzisai,ZANU PF,8
Chiwundura,Kizito Chivambe,ZANU PF,8
Gokwe-Chireya,Cephas Sindi,ZANU PF,8
Gokwe-Nembudziya,Justice Mayor Wdyajena,ZANU PF,8
Gokwe-Sengwe,Paul Mavima,ZANU PF,8
Gokwe-Sesame,Jeffrey Runzirwai,ZANU PF,8
Gokwe,Dorothy Mangami,ZANU PF,8
Gokwe-Gumunyu,Melenia Mahiya,ZANU PF,8
Gokwe-Kabuyuni,Leonard Chikomba,ZANU PF,8
Gokwe-Kana,Owen Ncube,ZANU PF,8
Gokwe-Mapfungautsi,Miriam Makweya,ZANU PF,8
Gweru Urban,Sesel Zvidzai,ZANU PF,8
Kwekwe Central,Masango Matambanadzo,ZANU PF,8
Mberengwa East,Makhosini Hlongwane,ZANU PF,8
Mberengwa South,Chiratidzo Mabuwa,ZANU PF,8
Mberengwa West,Joram Gumbo,ZANU PF,8
Mbizo,Settlement Chikwinya,MDC-T,8
Mkoba,Amos Chibaya,MDC-T,8
Redcliff,Harris Ncube,ZANU PF,8
Shurugwi North,Chenayimoyo D. F. Nhema,ZANU PF,8
Shurugwi South,Tapiwanashe Matangaidze,ZANU PF,8
Silobela,Mtokozisi M. Mpofu,ZANU PF,8
Vungu,Josephat Madubeko,ZANU PF,8
Zhombe,Daniel M. Ncube,ZANU PF,8
Zvishavane-Ngezi,John Holder,ZANU PF,8
Zvishavane-Runde,Fred Moyo,ZANU PF,8
Binga North,Dubeko Sibanda,MDC-T,8
Binga South,Joel G. Gabbuza,ZANU PF,8
Bubi,Clifford Sibanda,ZANU PF,8
Hwange Central,Brian Tshuma,MDC-T,8
Hwange East,Tose Wesley Sansole,MDC-T,8
Hwange West,Bekithemba Mpofu,ZANU PF,8
Lupane East,Sithemba Gumbo,ZANU PF,8
Lupane West,Martin Khumalo,ZANU PF,8
Nkayi North,Sithembiso Nyoni,ZANU PF,8
Nkayi South,Abednico Bhebhe,MDC-T,8
Tsholotsho North,Roselene Nkomo,MDC-T,8
Tsholotsho South,Zenzo Sibanda,ZANU PF,8
Umguza,Obert Mpofu,ZANU PF,8
Beitbridge East,Kembo Mohadi,ZANU PF,8
Beitbridge West,Metrine Mdau,ZANU PF,8
Bulilima East,Mathias S. Ndlovu,ZANU PF,8
Bulilima West,Lungisati Nleya,ZANU PF,8
Gwanda Central,Edson Gumbo,ZANU PF,8
Gwanda North,Madodana Sibanda,ZANU PF,8
Gwanda South,Abednico Ncube,ZANU PF,8
Insizo North,Andrew Langa,ZANU PF,8
Insiza South,Malach Nkomo,ZANU PF,8
Mangwe,Obedingwa Mguni,ZANU PF,8
Matobo North,Never Khanye,ZANU PF,8
Matobo South,Soul Ncube,ZANU PF,8
Umzingwane,Wiiliam M. Dhewa,ZANU PF,8
