id,name,area,area_id,image,term,source,group,birth_year
taylyyew-atamyrat-baymyradowic,Atamyrat Baýmyradowiç Taýlyýew,Balkan welaýaty,Balkan,http://mejlis2.bushluk.com/site/assets/files/14499/31--taylyyew.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/taylyyew-atamyrat-baymyradowic/,"",1969
mamiyewa-bahargul-amanmyradowna,Mämiýewa Bahargül Amanmyradowna,Balkan welaýaty,Balkanabat,http://mejlis2.bushluk.com/site/assets/files/14500/32-mamiyewa-ba.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/mamiyewa-bahargul-amanmyradowna/,"",""
orazmammedow-kadyr-gurbanberdiyewic,Kadyr Gurbanberdiýewiç Orazmämmedow,Balkan welaýaty,Daşrabat,http://mejlis2.bushluk.com/site/assets/files/14501/33-orazmammedow-kg.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/orazmammedow-kadyr-gurbanberdiyewic/,"",1982
shihnepesow-amannepes-goyuncyyewic,Amannepes Goýunçyýewiç Şihnepesow,Balkan welaýaty,Awaza,http://mejlis2.bushluk.com/site/assets/files/14502/34-syhnepesow-ag.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/shihnepesow-amannepes-goyuncyyewic/,"",1965
yazmammedow-balahmet,Balahmet Ýazmämmedow,Balkan welaýaty,Türkmenbaşy,http://mejlis2.bushluk.com/site/assets/files/14503/35-yazmammedow-b.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/yazmammedow-balahmet/,"",1958
annataganow-dowran-nepestaganowic,Döwran Nepestaganowiç Annataganow,Balkan welaýaty,Bereket,http://mejlis2.bushluk.com/site/assets/files/14504/36-annataganow-dn.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/annataganow-dowran-nepestaganowic/,"",1974
nyyazmammedow-jumaberdi-taganberdiyewic,Jumaberdi Taganberdiýewiç Nyýazmämmedow,Balkan welaýaty,Esenguly,http://mejlis2.bushluk.com/site/assets/files/14505/37-nyyazmammedow-jt.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/nyyazmammedow-jumaberdi-taganberdiyewic/,"",1977
gurbanberdiyewa-gowher,Göwher Gurbanberdiýewa,Balkan welaýaty,Serdar,http://mejlis2.bushluk.com/site/assets/files/14506/38-gurbanberdiyewa-g.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/gurbanberdiyewa-gowher/,"",1974
owluyagulyyew-nerce-aydogdyyewic,Nerçe Aýdogdyýewiç Öwlüýägulyýew,Balkan welaýaty,Magtymguly,http://mejlis2.bushluk.com/site/assets/files/14507/39-owlyagulyyew-na.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/owluyagulyyew-nerce-aydogdyyewic/,"",1976
nuryyew-amanmyrat-nurgeldiyewic,Amanmyrat Nurgeldiýewiç Nuryýew,Balkan welaýaty,Gumdag,http://mejlis2.bushluk.com/site/assets/files/14508/40-nuryyew-an.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/nuryyew-amanmyrat-nurgeldiyewic/,"",1982
nepesowa-tazegul-hakberdiyewna,Täzegül Hakberdiýewna Nepesowa,Daşoguz welaýaty,Daşoguz,http://mejlis2.bushluk.com/site/assets/files/14509/41--nepesowa.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/nepesowa-tazegul-hakberdiyewna/,"",1962
nurmetow-farhad-kadambayewic,Farhad Kadambaýewiç Nurmetow,Daşoguz welaýaty,Şabat,http://mejlis2.bushluk.com/site/assets/files/14510/42-nurmetow-fk.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/nurmetow-farhad-kadambayewic/,"",1971
geldinyyazow-mammetmyrat,Mämmetmyrat Geldinyýazow,Daşoguz welaýaty,Altynýol,http://mejlis2.bushluk.com/site/assets/files/14511/43-geldinyyazow-m.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/geldinyyazow-mammetmyrat/,"",1971
otuzowa-aynabat-amangeldiyewna,Aýnabat Amangeldiýewna Otuzowa,Daşoguz welaýaty,Diýar,http://mejlis2.bushluk.com/site/assets/files/14512/44--otuzowa.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/otuzowa-aynabat-amangeldiyewna/,"",1967
