name,image,area,id,party,type,term,source
Micaela Wendy Nina Orellana,http://www.diputados.bo/script/imagenes/Potosi/nina.om.jpg,C - 33,nina.om,UD,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Eustaquia Benavidez Quispe,http://www.diputados.bo/script/imagenes/Potosi/benavidez.qe.jpg,C - 34,benavidez.qe,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Elisa Catari Méndez,http://www.diputados.bo/script/imagenes/Potosi/catari.me.jpg,C - 35,catari.me,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Vicente Méndez Villca,http://www.diputados.bo/script/imagenes/Potosi/mendez.vv.jpg,C - 35,mendez.vv,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Zacarias Colque Matias,http://www.diputados.bo/script/imagenes/Potosi/colque.mz.jpg,C - 38,colque.mz,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Eunecia Lopez Cala,http://www.diputados.bo/script/imagenes/Potosi/lopez.ce.jpg,C - 38,lopez.ce,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Fidel Colque Pascual,http://www.diputados.bo/script/imagenes/Potosi/colque.pf.jpg,Plurinominal,colque.pf,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Viviana Barral Barrera,http://www.diputados.bo/script/imagenes/Potosi/barral.bv.jpg,Plurinominal,barral.bv,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Julio Grover Huanca Nina,http://www.diputados.bo/script/imagenes/Potosi/huanca.nj.jpg,Plurinominal,huanca.nj,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Antonia Concha Azurduy,http://www.diputados.bo/script/imagenes/Potosi/concha.aa.jpg,Plurinominal,concha.aa,UD,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Ascencio Lazo,http://www.diputados.bo/script/imagenes/Potosi/lazo.a.jpg,C - 36,lazo.a,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Lorenza Quispe Alejandro,http://www.diputados.bo/script/imagenes/Potosi/quispe.al.jpg,C - 36,quispe.al,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Esteban López Fernández,http://www.diputados.bo/script/imagenes/Potosi/lopez.fe.jpg,Plurinominal,lopez.fe,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Maria Esthela Vargas Gareca,http://www.diputados.bo/script/imagenes/Potosi/vargas.gm.jpg,Plurinominal,vargas.gm,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Maura Quispe Quispe,http://www.diputados.bo/script/imagenes/Potosi/quispe.qm.jpg,C - 37,quispe.qm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Domingo Soto Farfan,http://www.diputados.bo/script/imagenes/Potosi/soto.fd.jpg,C - 37,soto.fd,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
David Ramos Mamani,http://www.diputados.bo/script/imagenes/Potosi/ramos.md.jpg,Plurinominal,ramos.md,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Emiliana Delgado,http://www.diputados.bo/script/imagenes/Potosi/delgado.e.jpg,Plurinominal,delgado.e,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Trinidad Rojas Bellido,http://www.diputados.bo/script/imagenes/Potosi/rojas.bt.jpg,Plurinominal,rojas.bt,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Pablo Berrios Lizarazu,http://www.diputados.bo/script/imagenes/Potosi/berrios.lp.jpg,Plurinominal,berrios.lp,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Gonzalo Aguilar Ayma,http://www.diputados.bo/script/imagenes/Oruro/aguilar.ag.jpg,C - 29,aguilar.ag,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Claudia Lizeth Marza Villca,http://www.diputados.bo/script/imagenes/Oruro/marza.vc.jpg,C - 29,marza.vc,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Delia Canaviri Condori,http://www.diputados.bo/script/imagenes/Oruro/canaviri.cd.jpg,C - 32,canaviri.cd,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Cristobal Chuquichambi Apaza,http://www.diputados.bo/script/imagenes/Oruro/chuquichambi.ac.jpg,C - 32,chuquichambi.ac,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Aniceto Choque Chino,http://www.diputados.bo/script/imagenes/Oruro/choque.ca.jpg,Plurinominal,choque.ca,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Maria Guadalupe Requena Valdivia,http://www.diputados.bo/script/imagenes/Oruro/requena.vm.jpg,Plurinominal,requena.vm,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Otilia Choque Veliz,http://www.diputados.bo/script/imagenes/Oruro/choque.vo.jpg,Plurinominal,choque.vo,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Jaime Gonzales Alanez,http://www.diputados.bo/script/imagenes/Oruro/gonzales.aj.jpg,Plurinominal,gonzales.aj,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Eleuterio Huallpa Janco,http://www.diputados.bo/script/imagenes/Oruro/huallpa.je.jpg,C - 31,huallpa.je,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Casilda Flores Clemente,http://www.diputados.bo/script/imagenes/Oruro/flores.cc.jpg,C - 31,flores.cc,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Santos Paredes Mamani,http://www.diputados.bo/script/imagenes/Oruro/paredes.ms.jpg,,paredes.ms,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Ines Lopez Quispe,http://www.diputados.bo/script/imagenes/Oruro/lopez.qi.jpg,,lopez.qi,UD,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Francisco Quispe Flores,http://www.diputados.bo/script/imagenes/Oruro/quispe.ff.jpg,Plurinominal,quispe.ff,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Elsa Vasquez Roman,http://www.diputados.bo/script/imagenes/Oruro/vasquez.re.jpg,Plurinominal,vasquez.re,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Raul Rocha Ayala,http://www.diputados.bo/script/imagenes/Oruro/rocha.ar.jpg,Plurinominal,rocha.ar,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php
Judith Yobana Fernández Capuma,http://www.diputados.bo/script/imagenes/Oruro/fernandez.cj.jpg,Plurinominal,fernandez.cj,PDC,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Lily Rosario Villca Calle,http://www.diputados.bo/script/imagenes/Oruro/villca.cl.jpg,C - 30,villca.cl,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Ruben Gutierrez Carrizo,http://www.diputados.bo/script/imagenes/Oruro/gutierrez.cr.jpg,C - 30,gutierrez.cr,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Juan Lino Cardenas Ortega,http://www.diputados.bo/script/imagenes/Tarija/cardenas.oj.jpg,Plurinominal,cardenas.oj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Jacqueline Mendieta Cardozo,http://www.diputados.bo/script/imagenes/Tarija/mendieta.cj.jpg,Plurinominal,mendieta.cj,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Norman Rene Lazarte Calizaya,http://www.diputados.bo/script/imagenes/Tarija/lazarte.cn.jpg,Plurinominal,lazarte.cn,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Lorena Guiselle Gareca Mealla,http://www.diputados.bo/script/imagenes/Tarija/gareca.ml.jpg,Plurinominal,gareca.ml,UD,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Constancio Jimenez Ovando,http://www.diputados.bo/script/imagenes/Tarija/jimenez.oc.jpg,C - 42,jimenez.oc,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Nora Quisbert Tito,http://www.diputados.bo/script/imagenes/Tarija/quisbert.tn.jpg,Plurinominal,quisbert.tn,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Justiniano Alex Mamani Huarachi,http://www.diputados.bo/script/imagenes/Tarija/mamani.hj.jpg,Plurinominal,mamani.hj,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Edgar Rendon Rios,http://www.diputados.bo/script/imagenes/Tarija/rendon.re.jpg,Plurinominal,rendon.re,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php
Maria Virginia Narvaez Rocha,http://www.diputados.bo/script/imagenes/Tarija/narvaez.rm.jpg,Plurinominal,narvaez.rm,PDC,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Ignacio Soruco Grandchant,http://www.diputados.bo/script/imagenes/Tarija/soruco.gi.jpg,C - 40,soruco.gi,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Sonia Bety Condori Chalco,http://www.diputados.bo/script/imagenes/Tarija/condori.cs.jpg,C - 40,condori.cs,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Mario Castillo Noguera,http://www.diputados.bo/script/imagenes/Tarija/castillo.nm.jpg,C - 41,castillo.nm,PDC,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Marcela Vasquez,http://www.diputados.bo/script/imagenes/Tarija/vasquez.m.jpg,C - 43,vasquez.m,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Nestor Claudio Justiniano Leon,http://www.diputados.bo/script/imagenes/Tarija/justiniano.ln.jpg,C - 43,justiniano.ln,UD,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Jacinto Vega Rivero,http://www.diputados.bo/script/imagenes/Tarija/vega.rj.jpg,,vega.rj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Tula Salazar Retamozo,http://www.diputados.bo/script/imagenes/Tarija/salazar.rt.jpg,,salazar.rt,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Orlando Egüez Algarañaz,http://www.diputados.bo/script/imagenes/Beni/eguez.ao.jpg,C - 60,eguez.ao,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Veronica Teresa Tellez Camargo,http://www.diputados.bo/script/imagenes/Beni/tellez.cv.jpg,C - 60,tellez.cv,UD,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Margarita del Carmen Fernandez Claure,http://www.diputados.bo/script/imagenes/Beni/fernandez.cm.jpg,Plurinominal,fernandez.cm,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Jorge German Rioja Perez,http://www.diputados.bo/script/imagenes/Beni/rioja.pj.jpg,Plurinominal,rioja.pj,UD,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Alvaro Rodrigo Guzman Collao,http://www.diputados.bo/script/imagenes/Beni/guzman.ca.jpg,C - 58,guzman.ca,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Zianko Raymond Saavedra,http://www.diputados.bo/script/imagenes/Beni/saavedra.z.jpg,C - 58,saavedra.z,UD,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Irma Herminia Ledezma Tambo,http://www.diputados.bo/script/imagenes/Beni/ledezma.ti.jpg,C - 61,ledezma.ti,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Luis Fernando Cuellar Avaroma,http://www.diputados.bo/script/imagenes/Beni/cuellar.al.jpg,C - 61,cuellar.al,UD,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Ramona Moye Camaconi,http://www.diputados.bo/script/imagenes/Beni/moye.cr.jpg,,moye.cr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Eloy Cartagena Yoamona,http://www.diputados.bo/script/imagenes/Beni/cartagena.ye.jpg,,cartagena.ye,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Susana Rivero Guzman,http://www.diputados.bo/script/imagenes/Beni/rivero.gs.jpg,Plurinominal,rivero.gs,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Braulio Gutierrez Dumay,http://www.diputados.bo/script/imagenes/Beni/gutierrez.db.jpg,Plurinominal,gutierrez.db,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Walter Roque Gomez,http://www.diputados.bo/script/imagenes/Beni/roque.gw.jpg,Plurinominal,roque.gw,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Lizeth Veliz Rivero,http://www.diputados.bo/script/imagenes/Beni/veliz.rl.jpg,Plurinominal,veliz.rl,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Ana Vidal Velasco,http://www.diputados.bo/script/imagenes/Beni/vidal.va.jpg,C - 59,vidal.va,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Ignacio Escalante Mastororaque,http://www.diputados.bo/script/imagenes/Beni/escalante.mi.jpg,C - 59,escalante.mi,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Dulce Maria Araujo Dominguez,http://www.diputados.bo/script/imagenes/Pando/araujo.dd.jpg,Plurinominal,araujo.dd,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Agustin Condori Quelca,http://www.diputados.bo/script/imagenes/Pando/condori.qa.jpg,Plurinominal,condori.qa,UD,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Walter Ayala Siripi,http://www.diputados.bo/script/imagenes/Pando/ayala.sw.jpg,,ayala.sw,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Yeny Duri Bautista,http://www.diputados.bo/script/imagenes/Pando/duri.by.jpg,,duri.by,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Miguel Santa Lucia Ojopi Sosa,http://www.diputados.bo/script/imagenes/Pando/ojopi.sm.jpg,Plurinominal,ojopi.sm,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Yeimy Peña Maeda,http://www.diputados.bo/script/imagenes/Pando/peina.my.jpg,Plurinominal,peina.my,UD,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Sebastian Texeira Rojas,http://www.diputados.bo/script/imagenes/Pando/texeira.rs.jpg,C - 62,texeira.rs,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Witman Rojas Cayuba,http://www.diputados.bo/script/imagenes/Pando/rojas.cw.jpg,C - 63,rojas.cw,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
