name,party,wikiname,constituency,term,source,id
Ditmir Bushati,Socialist Party,Ditmir Bushati,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",ditmir_bushati
Eduard Shalsi,Socialist Party,Eduard Shalsi,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",eduard_shalsi
Eglantina Gjermeni,Socialist Party,Eglantina Gjermeni,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",eglantina_gjermeni
Enkelejda Shkreli,Socialist Party,Enkelejda Shkreli,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",enkelejda_shkreli
Fatmir Mediu,Republican Party,Fatmir Mediu,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",fatmir_mediu
Fatmir Xhafaj,Socialist Party,Fatmir Xhafaj,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",fatmir_xhafaj
Florian Mima,Democratic Party,Florian Mima,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",florian_mima
Gent Strazimiri,Democratic Party,Gent Strazimiri,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",gent_strazimiri
Gerti Bogdani,Democratic Party,Gerti Bogdani,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",gerti_bogdani
Ilir Rusmali,Democratic Party,Ilir Rusmali,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",ilir_rusmali
Ilir Meta,Socialist Movement for Integration,Ilir Meta,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",ilir_meta
Ilir Gjoni,Socialist Party,Ilir Gjoni,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",ilir_gjoni
Kastriot Islami,Independent,Kastriot Islami,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",kastriot_islami
Lajla Pernaska,Democratic Party,Lajla Pernaska,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",lajla_pernaska
Luan Skuqi,Democratic Party,Luan Skuqi,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",luan_skuqi
Majlinda Bregu,Democratic Party,Majlinda Bregu,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",majlinda_bregu
Myqerem Tafaj,Democratic Party,Myqerem Tafaj,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",myqerem_tafaj
Namik Dokle,Socialist Party,Namik Dokle,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",namik_dokle
Rajmonda Bulku,Democratic Party,Rajmonda Bulku,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",rajmonda_bulku
Sajmir Tahiri,Socialist Party,Sajmir Tahiri,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",sajmir_tahiri
Sali Berisha,Democratic Party,Sali Berisha,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",sali_berisha
Tritan Shehu,Democratic Party,Tritan Shehu,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",tritan_shehu
Vasilika Hysi,Socialist Party,Vasilika Hysi,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",vasilika_hysi
Viktor Gumi,Democratic Party,Viktor Gumi,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",viktor_gumi
Xhemal Qefalia,Socialist Party,Xhemal Qefalia,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",xhemal_qefalia
Arben Isaraj,Socialist Party,Arben Isaraj,Vlorë County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",arben_isaraj
Arben Malaj,Socialist Party,Arben Malaj,Vlorë County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",arben_malaj
