id,name,image,birth_date,area,faction,term,homepage,identifier__kuvendi
10738,Sadri Abazi,http://www.parlament.al/web/pub/abazi_s_60_0.jpg,1957-02-10,Tiranë,PS,8,http://www.parlament.al/web/ABAZI_Sadri_10738_1.php,10738
20778,Erjeta ALHYSA,"",1971-05-18,Tiranë,PS,8,http://www.parlament.al/web/ALHYSA_Erjeta_20778_1.php,20778
16260,Anastas ANGJELI,http://www.parlament.al/web/pub/anastas_angjeli_13989_0.jpg,1956-05-06,"",PS,8,http://www.parlament.al/web/ANGJELI_Anastas_16260_1.php,16260
10708,Taulant Balla,http://www.parlament.al/web/pub/balla_t_64_0.jpg,1977-08-12,Elbasan,PS,8,http://www.parlament.al/web/BALLA_Taulant_10708_1.php,10708
10827,Besnik Baraj,http://www.parlament.al/web/pub/baraj_b_8023_0.jpg,1956-03-12,Tiranë,PS,8,http://www.parlament.al/web/BARAJ_Besnik_10827_1.php,10827
16357,Gentian BEJKO,http://www.parlament.al/web/pub/gentian_bejko_15245_0.jpg,1973-09-09,"",PS,8,http://www.parlament.al/web/BEJKO_Gentian_16357_1.php,16357
10842,Sali Berisha,http://www.parlament.al/web/pub/kryeministri_7981_0.jpg,1944-10-15,"","",8,http://www.parlament.al/web/BERISHA_Sali_10842_1.php,10842
19766,Robert BITRI,http://www.parlament.al/web/pub/bitri_21844_0.jpg,,Fier,LSI,8,http://www.parlament.al/web/BITRI_Robert_19766_1.php,19766
10711,Ben Blushi,http://www.parlament.al/web/pub/blushi_b_72_0.jpg,1969-01-01,Elbasan,PS,8,http://www.parlament.al/web/BLUSHI_Ben_10711_1.php,10711
10834,Luçiano Boçi,http://www.parlament.al/web/pub/boci_l_8027_0.jpg,1967-03-26,Elbasan,PD,8,http://www.parlament.al/web/BOCI_Lu_c_iano_10834_1.php,10834
10797,Ridvan Bode,http://www.parlament.al/web/pub/bode_r_73_0.jpg,1959-06-26,Korçë,PD,8,http://www.parlament.al/web/BODE_Ridvan_10797_1.php,10797
10781,Gerti Bogdani,http://www.parlament.al/web/pub/bogdani_g_8028_0.jpg,1980-07-07,Tiranë,PD,8,http://www.parlament.al/web/BOGDANI_Gerti_10781_1.php,10781
10712,Erion Braçe,http://www.parlament.al/web/pub/brace_e_74_0.jpg,1972-04-02,Fier,PS,8,http://www.parlament.al/web/BRACE_Erion_10712_1.php,10712
15842,Spartak BRAHO,http://www.parlament.al/show_image.php?file_id=14926,1951-07-17,"",LSI,8,http://www.parlament.al/web/BRAHO_Spartak_15842_1.php,15842
11170,Majlinda Bregu,http://www.parlament.al/web/pub/majlinda_bregu_19142_0.jpg,1974-05-19,Tiranë,PD,8,http://www.parlament.al/web/BREGU_Majlinda_PHD_11170_1.php,11170
11164,Aldo Bumçi,http://www.parlament.al/web/pub/a_bumci_59_0.jpg,1974-06-11,Lezhë,PD,8,http://www.parlament.al/web/BUMCI_Aldo_11164_1.php,11164
16244,Helidon BUSHATI,http://www.parlament.al/web/pub/helidon_bushati_15051_0.jpg,1973-04-08,"",PD,8,http://www.parlament.al/web/BUSHATI_Helidon_16244_1.php,16244
16243,Oerd BYLYKBASHI,http://www.parlament.al/web/pub/Person_m_38_0.gif,1974-05-23,"",PD,8,http://www.parlament.al/web/BYLYKBASHI_Oerd_16243_1.php,16243
15757,Gjovalin BZHETAJ,http://www.parlament.al/web/pub/gjovalin_bzhetaj_15054_0.jpg,1967-08-21,"",PD,8,http://www.parlament.al/web/BZHETAJ_Gjovalin_15757_1.php,15757
16197,Silva CAKA,http://www.parlament.al/web/pub/silva_caka_15052_0.jpg,1987-12-25,"",LSI,8,http://www.parlament.al/web/CAKA_Silva_16197_1.php,16197
19681,Shkëlqim CANI,http://www.parlament.al/show_image.php?file_id=21713,1956-05-06,"","",8,http://www.parlament.al/web/CANI_Shkelqim_19681_1.php,19681
10811,Igli Cara,http://www.parlament.al/web/pub/cara_i_8030_0.jpg,1969-03-16,Durrës,PD,8,http://www.parlament.al/web/CARA_Igli_10811_1.php,10811
15995,Parid CARA,http://www.parlament.al/show_image.php?file_id=14923,1976-09-11,"",PS,8,http://www.parlament.al/web/CARA_Parid_15995_1.php,15995
16286,Edlira ÇEKREZI,http://www.parlament.al/web/pub/edlira_22471_0.png,1971-01-08,"",LSI,8,http://www.parlament.al/web/CEKREZI_Edlira_16286_1.php,16286
15721,Agron ÇELA,http://www.parlament.al/web/pub/agron_cela_14909_0.jpg,1969-02-05,"",LSI,8,http://www.parlament.al/web/CELA_Agron_15721_1.php,15721
20321,Bujar ÇELA,http://www.parlament.al/web/pub/bujar_22714_0.jpg,1960-05-14,Fier,PS,8,http://www.parlament.al/web/CELA_Bujar_20321_1.php,20321
11184,Arben Çuko,http://www.parlament.al/web/pub/arben_cuko_14910_0.jpg,1967-04-13,"",PS,8,http://www.parlament.al/web/CUKO_Arben_11184_1.php,11184
10765,Arta Dade,http://www.parlament.al/web/pub/dade_a_87_0.jpg,1953-03-15,Korçë,PS,8,http://www.parlament.al/web/DADE_Arta_10765_1.php,10765
15985,Kozma Dashi,http://www.parlament.al/web/pub/kozma_dashi_14423_0.jpg,1953-07-27,"",PD,8,http://www.parlament.al/web/Dashi_Kozma_15985_1.php,15985
15870,Albina DEDA,http://www.parlament.al/web/pub/Person_m_38_0.gif,1969-12-20,Lezhe.,PD,8,http://www.parlament.al/web/DEDA_Albina_15870_1.php,15870
19759,Bujar DERVENI,http://www.parlament.al/web/pub/derveni_21826_0.jpg,1959-08-27,Durrës,LSI,8,http://www.parlament.al/web/DERVENI_Bujar_19759_1.php,19759
