name,wikiname,area,party,term,source,id
Fatmir Mehdiu,"",Korçë,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,fatmir_mehdiu
Gjergji Papa,Gjergji Papa,Korçë,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,gjergji_papa
Ridvan Bode,Ridvan Bode,Korçë,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,ridvan_bode
Arta Dade,Arta Dade,Korçë,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,arta_dade
Bashkim Fino,Bashkim Fino,Korçë,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,bashkim_fino
Ilir Xhakolli,"",Korçë,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,ilir_xhakolli
Ilirjan Pendavinji,"",Korçë,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,ilirjan_pendavinji
Olta Xhaçka,"",Korçë,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,olta_xhaçka
Ylli Mihallaq Ziçishti,"",Korçë,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,ylli_mihallaq_ziçishti
Alban Zeneli,"",Kukës,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,alban_zeneli
Besnik Dushaj,Besnik Dushaj,Kukës,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,besnik_dushaj
Flamur Noka,Flamur Noka,Kukës,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,flamur_noka
Vexhi Muçmataj,"",Kukës,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,vexhi_muçmataj
Albina Deda,Albina Deda,Lezhë,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,albina_deda
Aldo Bumçi,Aldo Bumçi,Lezhë,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,aldo_bumçi
Gjovalin Kadeli,Gjovalin Kadeli,Lezhë,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,gjovalin_kadeli
Mhill Fufi,"",Lezhë,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,mhill_fufi
Arben Ndoka,"",Lezhë,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,arben_ndoka
Armando Prenga,"",Lezhë,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,armando_prenga
Monika Kryemadhi,"",Lezhë,LSI,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,monika_kryemadhi
Gjovalin Bzheta,Gjovalin Bzheta,Shkodër,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,gjovalin_bzheta
Helidon Bushati,Helidon Bushati,Shkodër,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,helidon_bushati
Jozefina Topalli,Jozefina Topalli,Shkodër,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,jozefina_topalli
Nard Ndoka,Nard Ndoka,Shkodër,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,nard_ndoka
Voltana Ademi,Voltana Ademi,Shkodër,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,voltana_ademi
Mimoza Hafizi,"",Shkodër,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,mimoza_hafizi
Namik Kopliku,"",Shkodër,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,namik_kopliku
Paulin Sterkaj,"",Shkodër,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,paulin_sterkaj
Tom Doshi,"",Shkodër,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,tom_doshi
Agron Çela,"",Shkodër,LSI,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,agron_Çela
Artan Gaçi,"",Tiranë,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,artan_gaçi
Besnik Baraj,"",Tiranë,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,besnik_baraj
Blerina Gjylameti,"",Tiranë,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,blerina_gjylameti
Dashamir Peza,"",Tiranë,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,dashamir_peza
Enkelejda Shkreli,"",Tiranë,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,enkelejda_shkreli
